<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONXDR,D,19951023,000000,3.0073,3.0073,3.0073,3.0073,0,0
RONXDR,D,19951024,000000,2.984,2.984,2.984,2.984,0,0
RONXDR,D,19951025,000000,2.9651,2.9651,2.9651,2.9651,0,0
RONXDR,D,19951026,000000,2.9767,2.9767,2.9767,2.9767,0,0
RONXDR,D,19951027,000000,2.9781,2.9781,2.9781,2.9781,0,0
RONXDR,D,19951030,000000,2.9688,2.9688,2.9688,2.9688,0,0
RONXDR,D,19951031,000000,2.9808,2.9808,2.9808,2.9808,0,0
RONXDR,D,19951102,000000,2.948,2.948,2.948,2.948,0,0
RONXDR,D,19951103,000000,2.9249,2.9249,2.9249,2.9249,0,0
RONXDR,D,19951106,000000,2.9265,2.9265,2.9265,2.9265,0,0
RONXDR,D,19951107,000000,2.8507,2.8507,2.8507,2.8507,0,0
RONXDR,D,19951108,000000,2.8764,2.8764,2.8764,2.8764,0,0
RONXDR,D,19951109,000000,2.8503,2.8503,2.8503,2.8503,0,0
RONXDR,D,19951110,000000,2.827,2.827,2.827,2.827,0,0
RONXDR,D,19951113,000000,2.8013,2.8013,2.8013,2.8013,0,0
RONXDR,D,19951114,000000,2.8033,2.8033,2.8033,2.8033,0,0
RONXDR,D,19951115,000000,2.8138,2.8138,2.8138,2.8138,0,0
RONXDR,D,19951116,000000,2.712,2.712,2.712,2.712,0,0
RONXDR,D,19951117,000000,2.6161,2.6161,2.6161,2.6161,0,0
RONXDR,D,19951120,000000,2.6153,2.6153,2.6153,2.6153,0,0
RONXDR,D,19951121,000000,2.6267,2.6267,2.6267,2.6267,0,0
RONXDR,D,19951122,000000,2.6204,2.6204,2.6204,2.6204,0,0
RONXDR,D,19951123,000000,2.6172,2.6172,2.6172,2.6172,0,0
RONXDR,D,19951124,000000,2.6172,2.6172,2.6172,2.6172,0,0
RONXDR,D,19951127,000000,2.625,2.625,2.625,2.625,0,0
RONXDR,D,19951128,000000,2.5942,2.5942,2.5942,2.5942,0,0
RONXDR,D,19951129,000000,2.6365,2.6365,2.6365,2.6365,0,0
RONXDR,D,19951130,000000,2.646,2.646,2.646,2.646,0,0
RONXDR,D,19951201,000000,2.6492,2.6492,2.6492,2.6492,0,0
RONXDR,D,19951204,000000,2.6163,2.6163,2.6163,2.6163,0,0
RONXDR,D,19951205,000000,2.5907,2.5907,2.5907,2.5907,0,0
RONXDR,D,19951206,000000,2.6148,2.6148,2.6148,2.6148,0,0
RONXDR,D,19951207,000000,2.5751,2.5751,2.5751,2.5751,0,0
RONXDR,D,19951208,000000,2.5823,2.5823,2.5823,2.5823,0,0
RONXDR,D,19951211,000000,2.5856,2.5856,2.5856,2.5856,0,0
RONXDR,D,19951212,000000,2.599,2.599,2.599,2.599,0,0
RONXDR,D,19951213,000000,2.5931,2.5931,2.5931,2.5931,0,0
RONXDR,D,19951214,000000,2.6065,2.6065,2.6065,2.6065,0,0
RONXDR,D,19951215,000000,2.5831,2.5831,2.5831,2.5831,0,0
RONXDR,D,19951218,000000,2.582,2.582,2.582,2.582,0,0
RONXDR,D,19951219,000000,2.5785,2.5785,2.5785,2.5785,0,0
RONXDR,D,19951220,000000,2.5759,2.5759,2.5759,2.5759,0,0
RONXDR,D,19951221,000000,2.5812,2.5812,2.5812,2.5812,0,0
RONXDR,D,19951222,000000,2.5793,2.5793,2.5793,2.5793,0,0
RONXDR,D,19951227,000000,2.5747,2.5747,2.5747,2.5747,0,0
RONXDR,D,19951228,000000,2.5774,2.5774,2.5774,2.5774,0,0
RONXDR,D,19951229,000000,2.5582,2.5582,2.5582,2.5582,0,0
RONXDR,D,19960102,000000,2.5597,2.5597,2.5597,2.5597,0,0
RONXDR,D,19960103,000000,2.5653,2.5653,2.5653,2.5653,0,0
RONXDR,D,19960104,000000,2.5715,2.5715,2.5715,2.5715,0,0
RONXDR,D,19960105,000000,2.5761,2.5761,2.5761,2.5761,0,0
RONXDR,D,19960108,000000,2.5825,2.5825,2.5825,2.5825,0,0
RONXDR,D,19960109,000000,2.5722,2.5722,2.5722,2.5722,0,0
RONXDR,D,19960110,000000,2.5485,2.5485,2.5485,2.5485,0,0
RONXDR,D,19960111,000000,2.5874,2.5874,2.5874,2.5874,0,0
RONXDR,D,19960112,000000,2.5567,2.5567,2.5567,2.5567,0,0
RONXDR,D,19960115,000000,2.5256,2.5256,2.5256,2.5256,0,0
RONXDR,D,19960116,000000,2.5162,2.5162,2.5162,2.5162,0,0
RONXDR,D,19960117,000000,2.5542,2.5542,2.5542,2.5542,0,0
RONXDR,D,19960118,000000,2.5294,2.5294,2.5294,2.5294,0,0
RONXDR,D,19960119,000000,2.5394,2.5394,2.5394,2.5394,0,0
RONXDR,D,19960122,000000,2.5522,2.5522,2.5522,2.5522,0,0
RONXDR,D,19960123,000000,2.5966,2.5966,2.5966,2.5966,0,0
RONXDR,D,19960124,000000,2.4862,2.4862,2.4862,2.4862,0,0
RONXDR,D,19960125,000000,2.4362,2.4362,2.4362,2.4362,0,0
RONXDR,D,19960126,000000,2.428,2.428,2.428,2.428,0,0
RONXDR,D,19960129,000000,2.4257,2.4257,2.4257,2.4257,0,0
RONXDR,D,19960130,000000,2.4759,2.4759,2.4759,2.4759,0,0
RONXDR,D,19960131,000000,2.4917,2.4917,2.4917,2.4917,0,0
RONXDR,D,19960201,000000,2.4915,2.4915,2.4915,2.4915,0,0
RONXDR,D,19960202,000000,2.4905,2.4905,2.4905,2.4905,0,0
RONXDR,D,19960205,000000,2.476,2.476,2.476,2.476,0,0
RONXDR,D,19960206,000000,2.4627,2.4627,2.4627,2.4627,0,0
RONXDR,D,19960207,000000,2.4566,2.4566,2.4566,2.4566,0,0
RONXDR,D,19960208,000000,2.4638,2.4638,2.4638,2.4638,0,0
RONXDR,D,19960209,000000,2.4173,2.4173,2.4173,2.4173,0,0
RONXDR,D,19960212,000000,2.4345,2.4345,2.4345,2.4345,0,0
RONXDR,D,19960213,000000,2.3833,2.3833,2.3833,2.3833,0,0
RONXDR,D,19960214,000000,2.3783,2.3783,2.3783,2.3783,0,0
RONXDR,D,19960215,000000,2.3579,2.3579,2.3579,2.3579,0,0
RONXDR,D,19960216,000000,2.3528,2.3528,2.3528,2.3528,0,0
RONXDR,D,19960219,000000,2.3194,2.3194,2.3194,2.3194,0,0
RONXDR,D,19960220,000000,2.3297,2.3297,2.3297,2.3297,0,0
RONXDR,D,19960221,000000,2.3435,2.3435,2.3435,2.3435,0,0
RONXDR,D,19960222,000000,2.345,2.345,2.345,2.345,0,0
RONXDR,D,19960223,000000,2.3575,2.3575,2.3575,2.3575,0,0
RONXDR,D,19960226,000000,2.3608,2.3608,2.3608,2.3608,0,0
RONXDR,D,19960227,000000,2.3517,2.3517,2.3517,2.3517,0,0
RONXDR,D,19960228,000000,2.3123,2.3123,2.3123,2.3123,0,0
RONXDR,D,19960229,000000,2.3731,2.3731,2.3731,2.3731,0,0
RONXDR,D,19960301,000000,2.3231,2.3231,2.3231,2.3231,0,0
RONXDR,D,19960304,000000,2.3563,2.3563,2.3563,2.3563,0,0
RONXDR,D,19960305,000000,2.3006,2.3006,2.3006,2.3006,0,0
RONXDR,D,19960306,000000,2.348,2.348,2.348,2.348,0,0
RONXDR,D,19960307,000000,2.3416,2.3416,2.3416,2.3416,0,0
RONXDR,D,19960308,000000,2.2923,2.2923,2.2923,2.2923,0,0
RONXDR,D,19960311,000000,2.3195,2.3195,2.3195,2.3195,0,0
RONXDR,D,19960312,000000,2.3189,2.3189,2.3189,2.3189,0,0
RONXDR,D,19960313,000000,2.2625,2.2625,2.2625,2.2625,0,0
RONXDR,D,19960314,000000,2.3923,2.3923,2.3923,2.3923,0,0
RONXDR,D,19960315,000000,2.3586,2.3586,2.3586,2.3586,0,0
RONXDR,D,19960318,000000,2.3026,2.3026,2.3026,2.3026,0,0
RONXDR,D,19960319,000000,2.3163,2.3163,2.3163,2.3163,0,0
RONXDR,D,19960320,000000,2.2662,2.2662,2.2662,2.2662,0,0
RONXDR,D,19960321,000000,2.3007,2.3007,2.3007,2.3007,0,0
RONXDR,D,19960322,000000,2.3142,2.3142,2.3142,2.3142,0,0
RONXDR,D,19960325,000000,2.3631,2.3631,2.3631,2.3631,0,0
RONXDR,D,19960326,000000,2.3489,2.3489,2.3489,2.3489,0,0
RONXDR,D,19960327,000000,2.3593,2.3593,2.3593,2.3593,0,0
