<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBBGN,D,19951023,000000,1.5187,1.5187,1.5187,1.5187,0,0
RUBBGN,D,19951024,000000,1.52,1.52,1.52,1.52,0,0
RUBBGN,D,19951025,000000,1.5202,1.5202,1.5202,1.5202,0,0
RUBBGN,D,19951026,000000,1.5207,1.5207,1.5207,1.5207,0,0
RUBBGN,D,19951027,000000,1.5203,1.5203,1.5203,1.5203,0,0
RUBBGN,D,19951030,000000,1.5217,1.5217,1.5217,1.5217,0,0
RUBBGN,D,19951031,000000,1.522,1.522,1.522,1.522,0,0
RUBBGN,D,19951102,000000,1.519,1.519,1.519,1.519,0,0
RUBBGN,D,19951103,000000,1.5195,1.5195,1.5195,1.5195,0,0
RUBBGN,D,19951106,000000,1.5186,1.5186,1.5186,1.5186,0,0
RUBBGN,D,19951107,000000,1.5186,1.5186,1.5186,1.5186,0,0
RUBBGN,D,19951108,000000,1.5206,1.5206,1.5206,1.5206,0,0
RUBBGN,D,19951109,000000,1.5231,1.5231,1.5231,1.5231,0,0
RUBBGN,D,19951110,000000,1.5237,1.5237,1.5237,1.5237,0,0
RUBBGN,D,19951113,000000,1.5231,1.5231,1.5231,1.5231,0,0
RUBBGN,D,19951114,000000,1.5203,1.5203,1.5203,1.5203,0,0
RUBBGN,D,19951115,000000,1.5215,1.5215,1.5215,1.5215,0,0
RUBBGN,D,19951116,000000,1.5261,1.5261,1.5261,1.5261,0,0
RUBBGN,D,19951117,000000,1.5194,1.5194,1.5194,1.5194,0,0
RUBBGN,D,19951120,000000,1.5164,1.5164,1.5164,1.5164,0,0
RUBBGN,D,19951121,000000,1.522,1.522,1.522,1.522,0,0
RUBBGN,D,19951122,000000,1.5173,1.5173,1.5173,1.5173,0,0
RUBBGN,D,19951123,000000,1.5186,1.5186,1.5186,1.5186,0,0
RUBBGN,D,19951124,000000,1.5209,1.5209,1.5209,1.5209,0,0
RUBBGN,D,19951127,000000,1.5211,1.5211,1.5211,1.5211,0,0
RUBBGN,D,19951128,000000,1.5227,1.5227,1.5227,1.5227,0,0
RUBBGN,D,19951129,000000,1.5247,1.5247,1.5247,1.5247,0,0
RUBBGN,D,19951130,000000,1.5261,1.5261,1.5261,1.5261,0,0
RUBBGN,D,19951201,000000,1.5243,1.5243,1.5243,1.5243,0,0
RUBBGN,D,19951204,000000,1.5254,1.5254,1.5254,1.5254,0,0
RUBBGN,D,19951205,000000,1.5249,1.5249,1.5249,1.5249,0,0
RUBBGN,D,19951206,000000,1.5276,1.5276,1.5276,1.5276,0,0
RUBBGN,D,19951207,000000,1.5264,1.5264,1.5264,1.5264,0,0
RUBBGN,D,19951208,000000,1.5368,1.5368,1.5368,1.5368,0,0
RUBBGN,D,19951211,000000,1.532,1.532,1.532,1.532,0,0
RUBBGN,D,19951212,000000,1.5311,1.5311,1.5311,1.5311,0,0
RUBBGN,D,19951213,000000,1.5178,1.5178,1.5178,1.5178,0,0
RUBBGN,D,19951214,000000,1.5185,1.5185,1.5185,1.5185,0,0
RUBBGN,D,19951215,000000,1.519,1.519,1.519,1.519,0,0
RUBBGN,D,19951218,000000,1.5168,1.5168,1.5168,1.5168,0,0
RUBBGN,D,19951219,000000,1.5153,1.5153,1.5153,1.5153,0,0
RUBBGN,D,19951220,000000,1.5166,1.5166,1.5166,1.5166,0,0
RUBBGN,D,19951221,000000,1.5211,1.5211,1.5211,1.5211,0,0
RUBBGN,D,19951222,000000,1.5228,1.5228,1.5228,1.5228,0,0
RUBBGN,D,19951227,000000,1.524,1.524,1.524,1.524,0,0
RUBBGN,D,19951228,000000,1.5267,1.5267,1.5267,1.5267,0,0
RUBBGN,D,19951229,000000,1.5265,1.5265,1.5265,1.5265,0,0
RUBBGN,D,19960102,000000,1.5274,1.5274,1.5274,1.5274,0,0
RUBBGN,D,19960103,000000,1.5338,1.5338,1.5338,1.5338,0,0
RUBBGN,D,19960104,000000,1.542,1.542,1.542,1.542,0,0
RUBBGN,D,19960105,000000,1.5489,1.5489,1.5489,1.5489,0,0
RUBBGN,D,19960108,000000,1.5575,1.5575,1.5575,1.5575,0,0
RUBBGN,D,19960109,000000,1.5579,1.5579,1.5579,1.5579,0,0
RUBBGN,D,19960110,000000,1.5469,1.5469,1.5469,1.5469,0,0
RUBBGN,D,19960111,000000,1.5502,1.5502,1.5502,1.5502,0,0
RUBBGN,D,19960112,000000,1.5549,1.5549,1.5549,1.5549,0,0
RUBBGN,D,19960115,000000,1.5574,1.5574,1.5574,1.5574,0,0
RUBBGN,D,19960116,000000,1.5585,1.5585,1.5585,1.5585,0,0
RUBBGN,D,19960117,000000,1.5574,1.5574,1.5574,1.5574,0,0
RUBBGN,D,19960118,000000,1.5539,1.5539,1.5539,1.5539,0,0
