<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBCHF,D,19951023,000000,25.088,25.088,25.088,25.088,0,0
RUBCHF,D,19951024,000000,25.155,25.155,25.155,25.155,0,0
RUBCHF,D,19951025,000000,25.28,25.28,25.28,25.28,0,0
RUBCHF,D,19951026,000000,25.227,25.227,25.227,25.227,0,0
RUBCHF,D,19951027,000000,25.005,25.005,25.005,25.005,0,0
RUBCHF,D,19951030,000000,25.266,25.266,25.266,25.266,0,0
RUBCHF,D,19951031,000000,25.273,25.273,25.273,25.273,0,0
RUBCHF,D,19951102,000000,25.298,25.298,25.298,25.298,0,0
RUBCHF,D,19951103,000000,25.298,25.298,25.298,25.298,0,0
RUBCHF,D,19951106,000000,25.055,25.055,25.055,25.055,0,0
RUBCHF,D,19951107,000000,25.211,25.211,25.211,25.211,0,0
RUBCHF,D,19951108,000000,25.21,25.21,25.21,25.21,0,0
RUBCHF,D,19951109,000000,25.388,25.388,25.388,25.388,0,0
RUBCHF,D,19951110,000000,25.177,25.177,25.177,25.177,0,0
RUBCHF,D,19951113,000000,24.984,24.984,24.984,24.984,0,0
RUBCHF,D,19951114,000000,25.174,25.174,25.174,25.174,0,0
RUBCHF,D,19951115,000000,24.957,24.957,24.957,24.957,0,0
RUBCHF,D,19951116,000000,25.099,25.099,25.099,25.099,0,0
RUBCHF,D,19951117,000000,24.894,24.894,24.894,24.894,0,0
RUBCHF,D,19951120,000000,25.036,25.036,25.036,25.036,0,0
RUBCHF,D,19951121,000000,24.992,24.992,24.992,24.992,0,0
RUBCHF,D,19951122,000000,24.853,24.853,24.853,24.853,0,0
RUBCHF,D,19951123,000000,24.898,24.898,24.898,24.898,0,0
RUBCHF,D,19951124,000000,24.937,24.937,24.937,24.937,0,0
RUBCHF,D,19951127,000000,25.108,25.108,25.108,25.108,0,0
RUBCHF,D,19951128,000000,25.212,25.212,25.212,25.212,0,0
RUBCHF,D,19951129,000000,25.405,25.405,25.405,25.405,0,0
RUBCHF,D,19951130,000000,25.493,25.493,25.493,25.493,0,0
RUBCHF,D,19951201,000000,25.674,25.674,25.674,25.674,0,0
RUBCHF,D,19951204,000000,25.393,25.393,25.393,25.393,0,0
RUBCHF,D,19951205,000000,25.358,25.358,25.358,25.358,0,0
RUBCHF,D,19951206,000000,25.431,25.431,25.431,25.431,0,0
RUBCHF,D,19951207,000000,25.358,25.358,25.358,25.358,0,0
RUBCHF,D,19951208,000000,25.573,25.573,25.573,25.573,0,0
RUBCHF,D,19951211,000000,25.476,25.476,25.476,25.476,0,0
RUBCHF,D,19951212,000000,25.619,25.619,25.619,25.619,0,0
RUBCHF,D,19951213,000000,25.465,25.465,25.465,25.465,0,0
RUBCHF,D,19951214,000000,25.379,25.379,25.379,25.379,0,0
