<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBHUF,D,19951023,000000,28.854,28.854,28.854,28.854,0,0
RUBHUF,D,19951024,000000,28.89,28.89,28.89,28.89,0,0
RUBHUF,D,19951025,000000,28.944,28.944,28.944,28.944,0,0
RUBHUF,D,19951026,000000,29.002,29.002,29.002,29.002,0,0
RUBHUF,D,19951027,000000,28.994,28.994,28.994,28.994,0,0
RUBHUF,D,19951030,000000,29.108,29.108,29.108,29.108,0,0
RUBHUF,D,19951031,000000,29.155,29.155,29.155,29.155,0,0
RUBHUF,D,19951102,000000,29.222,29.222,29.222,29.222,0,0
RUBHUF,D,19951103,000000,29.262,29.262,29.262,29.262,0,0
RUBHUF,D,19951106,000000,29.224,29.224,29.224,29.224,0,0
RUBHUF,D,19951107,000000,29.216,29.216,29.216,29.216,0,0
RUBHUF,D,19951108,000000,29.27,29.27,29.27,29.27,0,0
RUBHUF,D,19951109,000000,29.352,29.352,29.352,29.352,0,0
RUBHUF,D,19951110,000000,29.288,29.288,29.288,29.288,0,0
RUBHUF,D,19951113,000000,29.283,29.283,29.283,29.283,0,0
RUBHUF,D,19951114,000000,29.277,29.277,29.277,29.277,0,0
RUBHUF,D,19951115,000000,29.112,29.112,29.112,29.112,0,0
RUBHUF,D,19951116,000000,29.267,29.267,29.267,29.267,0,0
RUBHUF,D,19951117,000000,29.063,29.063,29.063,29.063,0,0
RUBHUF,D,19951120,000000,29.148,29.148,29.148,29.148,0,0
RUBHUF,D,19951121,000000,29.178,29.178,29.178,29.178,0,0
RUBHUF,D,19951122,000000,29.007,29.007,29.007,29.007,0,0
RUBHUF,D,19951123,000000,29.035,29.035,29.035,29.035,0,0
RUBHUF,D,19951124,000000,29.092,29.092,29.092,29.092,0,0
RUBHUF,D,19951127,000000,29.121,29.121,29.121,29.121,0,0
RUBHUF,D,19951128,000000,29.206,29.206,29.206,29.206,0,0
RUBHUF,D,19951129,000000,29.294,29.294,29.294,29.294,0,0
RUBHUF,D,19951130,000000,29.615,29.615,29.615,29.615,0,0
RUBHUF,D,19951201,000000,29.552,29.552,29.552,29.552,0,0
RUBHUF,D,19951204,000000,29.568,29.568,29.568,29.568,0,0
RUBHUF,D,19951205,000000,29.351,29.351,29.351,29.351,0,0
RUBHUF,D,19951206,000000,29.438,29.438,29.438,29.438,0,0
RUBHUF,D,19951207,000000,29.408,29.408,29.408,29.408,0,0
RUBHUF,D,19951208,000000,29.672,29.672,29.672,29.672,0,0
RUBHUF,D,19951211,000000,29.585,29.585,29.585,29.585,0,0
RUBHUF,D,19951212,000000,29.735,29.735,29.735,29.735,0,0
RUBHUF,D,19951213,000000,29.583,29.583,29.583,29.583,0,0
RUBHUF,D,19951214,000000,29.467,29.467,29.467,29.467,0,0
RUBHUF,D,19951215,000000,29.438,29.438,29.438,29.438,0,0
RUBHUF,D,19951218,000000,29.264,29.264,29.264,29.264,0,0
RUBHUF,D,19951219,000000,29.294,29.294,29.294,29.294,0,0
RUBHUF,D,19951220,000000,29.309,29.309,29.309,29.309,0,0
RUBHUF,D,19951221,000000,29.324,29.324,29.324,29.324,0,0
RUBHUF,D,19951222,000000,29.337,29.337,29.337,29.337,0,0
RUBHUF,D,19951227,000000,29.619,29.619,29.619,29.619,0,0
RUBHUF,D,19951228,000000,29.618,29.618,29.618,29.618,0,0
RUBHUF,D,19951229,000000,29.718,29.718,29.718,29.718,0,0
RUBHUF,D,19960102,000000,29.539,29.539,29.539,29.539,0,0
RUBHUF,D,19960103,000000,29.554,29.554,29.554,29.554,0,0
RUBHUF,D,19960104,000000,29.569,29.569,29.569,29.569,0,0
RUBHUF,D,19960105,000000,29.246,29.246,29.246,29.246,0,0
RUBHUF,D,19960108,000000,29.325,29.325,29.325,29.325,0,0
RUBHUF,D,19960109,000000,29.239,29.239,29.239,29.239,0,0
RUBHUF,D,19960110,000000,29.152,29.152,29.152,29.152,0,0
RUBHUF,D,19960111,000000,29.167,29.167,29.167,29.167,0,0
RUBHUF,D,19960112,000000,29.532,29.532,29.532,29.532,0,0
RUBHUF,D,19960115,000000,29.531,29.531,29.531,29.531,0,0
RUBHUF,D,19960116,000000,29.533,29.533,29.533,29.533,0,0
RUBHUF,D,19960117,000000,29.548,29.548,29.548,29.548,0,0
RUBHUF,D,19960118,000000,29.651,29.651,29.651,29.651,0,0
RUBHUF,D,19960119,000000,29.943,29.943,29.943,29.943,0,0
RUBHUF,D,19960122,000000,29.825,29.825,29.825,29.825,0,0
RUBHUF,D,19960123,000000,29.84,29.84,29.84,29.84,0,0
RUBHUF,D,19960124,000000,29.942,29.942,29.942,29.942,0,0
RUBHUF,D,19960125,000000,29.823,29.823,29.823,29.823,0,0
RUBHUF,D,19960126,000000,30.206,30.206,30.206,30.206,0,0
RUBHUF,D,19960129,000000,30.116,30.116,30.116,30.116,0,0
RUBHUF,D,19960130,000000,29.941,29.941,29.941,29.941,0,0
RUBHUF,D,19960131,000000,29.854,29.854,29.854,29.854,0,0
RUBHUF,D,19960201,000000,29.855,29.855,29.855,29.855,0,0
RUBHUF,D,19960202,000000,29.854,29.854,29.854,29.854,0,0
RUBHUF,D,19960205,000000,29.652,29.652,29.652,29.652,0,0
RUBHUF,D,19960206,000000,29.855,29.855,29.855,29.855,0,0
RUBHUF,D,19960207,000000,29.97,29.97,29.97,29.97,0,0
RUBHUF,D,19960208,000000,30.058,30.058,30.058,30.058,0,0
RUBHUF,D,19960209,000000,29.856,29.856,29.856,29.856,0,0
RUBHUF,D,19960212,000000,29.769,29.769,29.769,29.769,0,0
RUBHUF,D,19960213,000000,29.77,29.77,29.77,29.77,0,0
RUBHUF,D,19960214,000000,29.856,29.856,29.856,29.856,0,0
RUBHUF,D,19960215,000000,29.566,29.566,29.566,29.566,0,0
RUBHUF,D,19960216,000000,29.651,29.651,29.651,29.651,0,0
RUBHUF,D,19960219,000000,29.651,29.651,29.651,29.651,0,0
RUBHUF,D,19960220,000000,29.565,29.565,29.565,29.565,0,0
RUBHUF,D,19960221,000000,29.481,29.481,29.481,29.481,0,0
RUBHUF,D,19960222,000000,29.684,29.684,29.684,29.684,0,0
RUBHUF,D,19960223,000000,29.682,29.682,29.682,29.682,0,0
RUBHUF,D,19960226,000000,29.395,29.395,29.395,29.395,0,0
RUBHUF,D,19960227,000000,29.597,29.597,29.597,29.597,0,0
RUBHUF,D,19960228,000000,29.344,29.344,29.344,29.344,0,0
RUBHUF,D,19960229,000000,29.63,29.63,29.63,29.63,0,0
RUBHUF,D,19960301,000000,29.546,29.546,29.546,29.546,0,0
RUBHUF,D,19960304,000000,29.629,29.629,29.629,29.629,0,0
RUBHUF,D,19960305,000000,29.63,29.63,29.63,29.63,0,0
RUBHUF,D,19960306,000000,29.547,29.547,29.547,29.547,0,0
RUBHUF,D,19960307,000000,29.545,29.545,29.545,29.545,0,0
RUBHUF,D,19960308,000000,29.456,29.456,29.456,29.456,0,0
RUBHUF,D,19960311,000000,29.463,29.463,29.463,29.463,0,0
RUBHUF,D,19960312,000000,29.545,29.545,29.545,29.545,0,0
RUBHUF,D,19960313,000000,29.462,29.462,29.462,29.462,0,0
RUBHUF,D,19960314,000000,29.462,29.462,29.462,29.462,0,0
RUBHUF,D,19960315,000000,29.746,29.746,29.746,29.746,0,0
RUBHUF,D,19960318,000000,29.578,29.578,29.578,29.578,0,0
RUBHUF,D,19960319,000000,29.577,29.577,29.577,29.577,0,0
RUBHUF,D,19960320,000000,29.578,29.578,29.578,29.578,0,0
RUBHUF,D,19960321,000000,29.578,29.578,29.578,29.578,0,0
RUBHUF,D,19960322,000000,29.577,29.577,29.577,29.577,0,0
RUBHUF,D,19960325,000000,29.577,29.577,29.577,29.577,0,0
RUBHUF,D,19960326,000000,29.496,29.496,29.496,29.496,0,0
RUBHUF,D,19960327,000000,29.495,29.495,29.495,29.495,0,0
RUBHUF,D,19960328,000000,29.495,29.495,29.495,29.495,0,0
RUBHUF,D,19960329,000000,29.495,29.495,29.495,29.495,0,0
RUBHUF,D,19960401,000000,29.61,29.61,29.61,29.61,0,0
RUBHUF,D,19960402,000000,29.608,29.608,29.608,29.608,0,0
RUBHUF,D,19960403,000000,29.609,29.609,29.609,29.609,0,0
RUBHUF,D,19960404,000000,29.61,29.61,29.61,29.61,0,0
RUBHUF,D,19960405,000000,29.624,29.624,29.624,29.624,0,0
RUBHUF,D,19960409,000000,29.444,29.444,29.444,29.444,0,0
RUBHUF,D,19960410,000000,29.641,29.641,29.641,29.641,0,0
RUBHUF,D,19960411,000000,29.655,29.655,29.655,29.655,0,0
RUBHUF,D,19960412,000000,29.641,29.641,29.641,29.641,0,0
RUBHUF,D,19960415,000000,29.917,29.917,29.917,29.917,0,0
RUBHUF,D,19960416,000000,29.558,29.558,29.558,29.558,0,0
RUBHUF,D,19960417,000000,29.558,29.558,29.558,29.558,0,0
RUBHUF,D,19960418,000000,29.64,29.64,29.64,29.64,0,0
RUBHUF,D,19960419,000000,29.64,29.64,29.64,29.64,0,0
RUBHUF,D,19960422,000000,29.917,29.917,29.917,29.917,0,0
RUBHUF,D,19960423,000000,29.917,29.917,29.917,29.917,0,0
RUBHUF,D,19960424,000000,29.833,29.833,29.833,29.833,0,0
RUBHUF,D,19960425,000000,29.916,29.916,29.916,29.916,0,0
