<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBJPY,D,19951023,000000,22.169,22.169,22.169,22.169,0,0
RUBJPY,D,19951024,000000,22.238,22.238,22.238,22.238,0,0
RUBJPY,D,19951025,000000,22.538,22.538,22.538,22.538,0,0
RUBJPY,D,19951026,000000,22.505,22.505,22.505,22.505,0,0
RUBJPY,D,19951027,000000,22.347,22.347,22.347,22.347,0,0
RUBJPY,D,19951030,000000,22.619,22.619,22.619,22.619,0,0
RUBJPY,D,19951031,000000,22.657,22.657,22.657,22.657,0,0
RUBJPY,D,19951102,000000,22.946,22.946,22.946,22.946,0,0
RUBJPY,D,19951103,000000,22.945,22.945,22.945,22.945,0,0
RUBJPY,D,19951106,000000,22.772,22.772,22.772,22.772,0,0
RUBJPY,D,19951107,000000,22.786,22.786,22.786,22.786,0,0
RUBJPY,D,19951108,000000,22.6,22.6,22.6,22.6,0,0
RUBJPY,D,19951109,000000,22.582,22.582,22.582,22.582,0,0
RUBJPY,D,19951110,000000,22.246,22.246,22.246,22.246,0,0
RUBJPY,D,19951113,000000,22.169,22.169,22.169,22.169,0,0
RUBJPY,D,19951114,000000,22.445,22.445,22.445,22.445,0,0
RUBJPY,D,19951115,000000,22.3,22.3,22.3,22.3,0,0
RUBJPY,D,19951116,000000,22.409,22.409,22.409,22.409,0,0
RUBJPY,D,19951117,000000,22.381,22.381,22.381,22.381,0,0
RUBJPY,D,19951120,000000,22.372,22.372,22.372,22.372,0,0
RUBJPY,D,19951121,000000,22.288,22.288,22.288,22.288,0,0
RUBJPY,D,19951122,000000,22.167,22.167,22.167,22.167,0,0
RUBJPY,D,19951123,000000,21.992,21.992,21.992,21.992,0,0
RUBJPY,D,19951124,000000,22.182,22.182,22.182,22.182,0,0
RUBJPY,D,19951127,000000,22.174,22.174,22.174,22.174,0,0
RUBJPY,D,19951128,000000,22.055,22.055,22.055,22.055,0,0
RUBJPY,D,19951129,000000,22.174,22.174,22.174,22.174,0,0
RUBJPY,D,19951130,000000,22.122,22.122,22.122,22.122,0,0
RUBJPY,D,19951201,000000,22.106,22.106,22.106,22.106,0,0
RUBJPY,D,19951204,000000,21.966,21.966,21.966,21.966,0,0
RUBJPY,D,19951205,000000,22.038,22.038,22.038,22.038,0,0
RUBJPY,D,19951206,000000,22.125,22.125,22.125,22.125,0,0
RUBJPY,D,19951207,000000,22.027,22.027,22.027,22.027,0,0
RUBJPY,D,19951208,000000,22.144,22.144,22.144,22.144,0,0
RUBJPY,D,19951211,000000,22.037,22.037,22.037,22.037,0,0
RUBJPY,D,19951212,000000,22.172,22.172,22.172,22.172,0,0
RUBJPY,D,19951213,000000,22.002,22.002,22.002,22.002,0,0
RUBJPY,D,19951214,000000,21.945,21.945,21.945,21.945,0,0
RUBJPY,D,19951215,000000,22.014,22.014,22.014,22.014,0,0
RUBJPY,D,19951218,000000,21.924,21.924,21.924,21.924,0,0
RUBJPY,D,19951219,000000,21.91,21.91,21.91,21.91,0,0
RUBJPY,D,19951220,000000,21.986,21.986,21.986,21.986,0,0
RUBJPY,D,19951221,000000,21.978,21.978,21.978,21.978,0,0
RUBJPY,D,19951222,000000,22.125,22.125,22.125,22.125,0,0
RUBJPY,D,19951227,000000,22.176,22.176,22.176,22.176,0,0
RUBJPY,D,19951228,000000,22.106,22.106,22.106,22.106,0,0
RUBJPY,D,19951229,000000,22.232,22.232,22.232,22.232,0,0
RUBJPY,D,19960102,000000,22.35,22.35,22.35,22.35,0,0
RUBJPY,D,19960103,000000,22.51,22.51,22.51,22.51,0,0
RUBJPY,D,19960104,000000,22.851,22.851,22.851,22.851,0,0
RUBJPY,D,19960105,000000,22.614,22.614,22.614,22.614,0,0
RUBJPY,D,19960108,000000,22.726,22.726,22.726,22.726,0,0
