<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBNOK,D,19951023,000000,1.368,1.368,1.368,1.368,0,0
RUBNOK,D,19951024,000000,1.3694,1.3694,1.3694,1.3694,0,0
RUBNOK,D,19951025,000000,1.3721,1.3721,1.3721,1.3721,0,0
RUBNOK,D,19951026,000000,1.3774,1.3774,1.3774,1.3774,0,0
RUBNOK,D,19951027,000000,1.3669,1.3669,1.3669,1.3669,0,0
RUBNOK,D,19951030,000000,1.3819,1.3819,1.3819,1.3819,0,0
RUBNOK,D,19951031,000000,1.3843,1.3843,1.3843,1.3843,0,0
RUBNOK,D,19951102,000000,1.3849,1.3849,1.3849,1.3849,0,0
RUBNOK,D,19951103,000000,1.3842,1.3842,1.3842,1.3842,0,0
RUBNOK,D,19951106,000000,1.3778,1.3778,1.3778,1.3778,0,0
RUBNOK,D,19951107,000000,1.3812,1.3812,1.3812,1.3812,0,0
RUBNOK,D,19951108,000000,1.3801,1.3801,1.3801,1.3801,0,0
RUBNOK,D,19951109,000000,1.3857,1.3857,1.3857,1.3857,0,0
RUBNOK,D,19951110,000000,1.3796,1.3796,1.3796,1.3796,0,0
RUBNOK,D,19951113,000000,1.3734,1.3734,1.3734,1.3734,0,0
RUBNOK,D,19951114,000000,1.3789,1.3789,1.3789,1.3789,0,0
RUBNOK,D,19951115,000000,1.366,1.366,1.366,1.366,0,0
RUBNOK,D,19951116,000000,1.37,1.37,1.37,1.37,0,0
RUBNOK,D,19951117,000000,1.3597,1.3597,1.3597,1.3597,0,0
RUBNOK,D,19951120,000000,1.3658,1.3658,1.3658,1.3658,0,0
RUBNOK,D,19951121,000000,1.3659,1.3659,1.3659,1.3659,0,0
RUBNOK,D,19951122,000000,1.3604,1.3604,1.3604,1.3604,0,0
RUBNOK,D,19951123,000000,1.3607,1.3607,1.3607,1.3607,0,0
RUBNOK,D,19951124,000000,1.3635,1.3635,1.3635,1.3635,0,0
RUBNOK,D,19951127,000000,1.3731,1.3731,1.3731,1.3731,0,0
RUBNOK,D,19951128,000000,1.378,1.378,1.378,1.378,0,0
RUBNOK,D,19951129,000000,1.3831,1.3831,1.3831,1.3831,0,0
RUBNOK,D,19951130,000000,1.3857,1.3857,1.3857,1.3857,0,0
RUBNOK,D,19951201,000000,1.3907,1.3907,1.3907,1.3907,0,0
RUBNOK,D,19951204,000000,1.3787,1.3787,1.3787,1.3787,0,0
RUBNOK,D,19951205,000000,1.3767,1.3767,1.3767,1.3767,0,0
RUBNOK,D,19951206,000000,1.3838,1.3838,1.3838,1.3838,0,0
RUBNOK,D,19951207,000000,1.3766,1.3766,1.3766,1.3766,0,0
RUBNOK,D,19951208,000000,1.3897,1.3897,1.3897,1.3897,0,0
RUBNOK,D,19951211,000000,1.391,1.391,1.391,1.391,0,0
RUBNOK,D,19951212,000000,1.3931,1.3931,1.3931,1.3931,0,0
RUBNOK,D,19951213,000000,1.3871,1.3871,1.3871,1.3871,0,0
RUBNOK,D,19951214,000000,1.3813,1.3813,1.3813,1.3813,0,0
RUBNOK,D,19951215,000000,1.3762,1.3762,1.3762,1.3762,0,0
RUBNOK,D,19951218,000000,1.3694,1.3694,1.3694,1.3694,0,0
RUBNOK,D,19951219,000000,1.3678,1.3678,1.3678,1.3678,0,0
RUBNOK,D,19951220,000000,1.3736,1.3736,1.3736,1.3736,0,0
RUBNOK,D,19951221,000000,1.3724,1.3724,1.3724,1.3724,0,0
RUBNOK,D,19951222,000000,1.3728,1.3728,1.3728,1.3728,0,0
RUBNOK,D,19951227,000000,1.3671,1.3671,1.3671,1.3671,0,0
RUBNOK,D,19951228,000000,1.3634,1.3634,1.3634,1.3634,0,0
RUBNOK,D,19951229,000000,1.3628,1.3628,1.3628,1.3628,0,0
RUBNOK,D,19960102,000000,1.3604,1.3604,1.3604,1.3604,0,0
RUBNOK,D,19960103,000000,1.3662,1.3662,1.3662,1.3662,0,0
RUBNOK,D,19960104,000000,1.3765,1.3765,1.3765,1.3765,0,0
RUBNOK,D,19960105,000000,1.3698,1.3698,1.3698,1.3698,0,0
RUBNOK,D,19960108,000000,1.3676,1.3676,1.3676,1.3676,0,0
RUBNOK,D,19960109,000000,1.3654,1.3654,1.3654,1.3654,0,0
RUBNOK,D,19960110,000000,1.3559,1.3559,1.3559,1.3559,0,0
RUBNOK,D,19960111,000000,1.3534,1.3534,1.3534,1.3534,0,0
RUBNOK,D,19960112,000000,1.362,1.362,1.362,1.362,0,0
RUBNOK,D,19960115,000000,1.3587,1.3587,1.3587,1.3587,0,0
RUBNOK,D,19960116,000000,1.3668,1.3668,1.3668,1.3668,0,0
RUBNOK,D,19960117,000000,1.3724,1.3724,1.3724,1.3724,0,0
RUBNOK,D,19960118,000000,1.3728,1.3728,1.3728,1.3728,0,0
RUBNOK,D,19960119,000000,1.3768,1.3768,1.3768,1.3768,0,0
RUBNOK,D,19960122,000000,1.3856,1.3856,1.3856,1.3856,0,0
RUBNOK,D,19960123,000000,1.3809,1.3809,1.3809,1.3809,0,0
RUBNOK,D,19960124,000000,1.3801,1.3801,1.3801,1.3801,0,0
RUBNOK,D,19960125,000000,1.3749,1.3749,1.3749,1.3749,0,0
RUBNOK,D,19960126,000000,1.3817,1.3817,1.3817,1.3817,0,0
RUBNOK,D,19960129,000000,1.3831,1.3831,1.3831,1.3831,0,0
RUBNOK,D,19960130,000000,1.3767,1.3767,1.3767,1.3767,0,0
RUBNOK,D,19960131,000000,1.3745,1.3745,1.3745,1.3745,0,0
RUBNOK,D,19960201,000000,1.3709,1.3709,1.3709,1.3709,0,0
RUBNOK,D,19960202,000000,1.3706,1.3706,1.3706,1.3706,0,0
RUBNOK,D,19960205,000000,1.3598,1.3598,1.3598,1.3598,0,0
RUBNOK,D,19960206,000000,1.3555,1.3555,1.3555,1.3555,0,0
RUBNOK,D,19960207,000000,1.361,1.361,1.361,1.361,0,0
RUBNOK,D,19960208,000000,1.3603,1.3603,1.3603,1.3603,0,0
RUBNOK,D,19960209,000000,1.3579,1.3579,1.3579,1.3579,0,0
RUBNOK,D,19960212,000000,1.3565,1.3565,1.3565,1.3565,0,0
RUBNOK,D,19960213,000000,1.3582,1.3582,1.3582,1.3582,0,0
RUBNOK,D,19960214,000000,1.3505,1.3505,1.3505,1.3505,0,0
RUBNOK,D,19960215,000000,1.3486,1.3486,1.3486,1.3486,0,0
RUBNOK,D,19960216,000000,1.3467,1.3467,1.3467,1.3467,0,0
RUBNOK,D,19960219,000000,1.3247,1.3247,1.3247,1.3247,0,0
RUBNOK,D,19960220,000000,1.3322,1.3322,1.3322,1.3322,0,0
RUBNOK,D,19960221,000000,1.334,1.334,1.334,1.334,0,0
RUBNOK,D,19960222,000000,1.3297,1.3297,1.3297,1.3297,0,0
RUBNOK,D,19960223,000000,1.3307,1.3307,1.3307,1.3307,0,0
RUBNOK,D,19960226,000000,1.3243,1.3243,1.3243,1.3243,0,0
RUBNOK,D,19960227,000000,1.3247,1.3247,1.3247,1.3247,0,0
RUBNOK,D,19960228,000000,1.317,1.317,1.317,1.317,0,0
RUBNOK,D,19960229,000000,1.3302,1.3302,1.3302,1.3302,0,0
RUBNOK,D,19960301,000000,1.3348,1.3348,1.3348,1.3348,0,0
RUBNOK,D,19960304,000000,1.3317,1.3317,1.3317,1.3317,0,0
RUBNOK,D,19960305,000000,1.3379,1.3379,1.3379,1.3379,0,0
RUBNOK,D,19960306,000000,1.3325,1.3325,1.3325,1.3325,0,0
RUBNOK,D,19960307,000000,1.3379,1.3379,1.3379,1.3379,0,0
RUBNOK,D,19960308,000000,1.3337,1.3337,1.3337,1.3337,0,0
RUBNOK,D,19960311,000000,1.3354,1.3354,1.3354,1.3354,0,0
RUBNOK,D,19960312,000000,1.3404,1.3404,1.3404,1.3404,0,0
RUBNOK,D,19960313,000000,1.3269,1.3269,1.3269,1.3269,0,0
RUBNOK,D,19960314,000000,1.3272,1.3272,1.3272,1.3272,0,0
RUBNOK,D,19960315,000000,1.3334,1.3334,1.3334,1.3334,0,0
RUBNOK,D,19960318,000000,1.3294,1.3294,1.3294,1.3294,0,0
RUBNOK,D,19960319,000000,1.3342,1.3342,1.3342,1.3342,0,0
RUBNOK,D,19960320,000000,1.327,1.327,1.327,1.327,0,0
RUBNOK,D,19960321,000000,1.3291,1.3291,1.3291,1.3291,0,0
RUBNOK,D,19960322,000000,1.3314,1.3314,1.3314,1.3314,0,0
RUBNOK,D,19960325,000000,1.3273,1.3273,1.3273,1.3273,0,0
RUBNOK,D,19960326,000000,1.3228,1.3228,1.3228,1.3228,0,0
RUBNOK,D,19960327,000000,1.3311,1.3311,1.3311,1.3311,0,0
RUBNOK,D,19960328,000000,1.324,1.324,1.324,1.324,0,0
RUBNOK,D,19960329,000000,1.3207,1.3207,1.3207,1.3207,0,0
RUBNOK,D,19960401,000000,1.3249,1.3249,1.3249,1.3249,0,0
RUBNOK,D,19960402,000000,1.3231,1.3231,1.3231,1.3231,0,0
RUBNOK,D,19960403,000000,1.3205,1.3205,1.3205,1.3205,0,0
RUBNOK,D,19960404,000000,1.3207,1.3207,1.3207,1.3207,0,0
RUBNOK,D,19960405,000000,1.3175,1.3175,1.3175,1.3175,0,0
RUBNOK,D,19960409,000000,1.3187,1.3187,1.3187,1.3187,0,0
RUBNOK,D,19960410,000000,1.3227,1.3227,1.3227,1.3227,0,0
RUBNOK,D,19960411,000000,1.326,1.326,1.326,1.326,0,0
RUBNOK,D,19960412,000000,1.3253,1.3253,1.3253,1.3253,0,0
RUBNOK,D,19960415,000000,1.3313,1.3313,1.3313,1.3313,0,0
RUBNOK,D,19960416,000000,1.3245,1.3245,1.3245,1.3245,0,0
RUBNOK,D,19960417,000000,1.3245,1.3245,1.3245,1.3245,0,0
RUBNOK,D,19960418,000000,1.3249,1.3249,1.3249,1.3249,0,0
RUBNOK,D,19960419,000000,1.3176,1.3176,1.3176,1.3176,0,0
RUBNOK,D,19960422,000000,1.3271,1.3271,1.3271,1.3271,0,0
RUBNOK,D,19960423,000000,1.3293,1.3293,1.3293,1.3293,0,0
RUBNOK,D,19960424,000000,1.3266,1.3266,1.3266,1.3266,0,0
RUBNOK,D,19960425,000000,1.3318,1.3318,1.3318,1.3318,0,0
RUBNOK,D,19960426,000000,1.3342,1.3342,1.3342,1.3342,0,0
RUBNOK,D,19960429,000000,1.3232,1.3232,1.3232,1.3232,0,0
RUBNOK,D,19960430,000000,1.3323,1.3323,1.3323,1.3323,0,0
RUBNOK,D,19960506,000000,1.326,1.326,1.326,1.326,0,0
RUBNOK,D,19960507,000000,1.319,1.319,1.319,1.319,0,0
RUBNOK,D,19960508,000000,1.3233,1.3233,1.3233,1.3233,0,0
RUBNOK,D,19960509,000000,1.3181,1.3181,1.3181,1.3181,0,0
RUBNOK,D,19960510,000000,1.3158,1.3158,1.3158,1.3158,0,0
RUBNOK,D,19960513,000000,1.329,1.329,1.329,1.329,0,0
RUBNOK,D,19960514,000000,1.3271,1.3271,1.3271,1.3271,0,0
RUBNOK,D,19960515,000000,1.3217,1.3217,1.3217,1.3217,0,0
RUBNOK,D,19960516,000000,1.3226,1.3226,1.3226,1.3226,0,0
RUBNOK,D,19960517,000000,1.3207,1.3207,1.3207,1.3207,0,0
RUBNOK,D,19960520,000000,1.3231,1.3231,1.3231,1.3231,0,0
RUBNOK,D,19960521,000000,1.3227,1.3227,1.3227,1.3227,0,0
RUBNOK,D,19960522,000000,1.3196,1.3196,1.3196,1.3196,0,0
RUBNOK,D,19960523,000000,1.3177,1.3177,1.3177,1.3177,0,0
RUBNOK,D,19960524,000000,1.3203,1.3203,1.3203,1.3203,0,0
RUBNOK,D,19960527,000000,1.3168,1.3168,1.3168,1.3168,0,0
RUBNOK,D,19960528,000000,1.3171,1.3171,1.3171,1.3171,0,0
RUBNOK,D,19960529,000000,1.3165,1.3165,1.3165,1.3165,0,0
RUBNOK,D,19960530,000000,1.3054,1.3054,1.3054,1.3054,0,0
RUBNOK,D,19960531,000000,1.3,1.3,1.3,1.3,0,0
RUBNOK,D,19960603,000000,1.2942,1.2942,1.2942,1.2942,0,0
RUBNOK,D,19960604,000000,1.2966,1.2966,1.2966,1.2966,0,0
RUBNOK,D,19960605,000000,1.2998,1.2998,1.2998,1.2998,0,0
RUBNOK,D,19960607,000000,1.2916,1.2916,1.2916,1.2916,0,0
RUBNOK,D,19960610,000000,1.3017,1.3017,1.3017,1.3017,0,0
RUBNOK,D,19960611,000000,1.2906,1.2906,1.2906,1.2906,0,0
RUBNOK,D,19960612,000000,1.2922,1.2922,1.2922,1.2922,0,0
RUBNOK,D,19960613,000000,1.3031,1.3031,1.3031,1.3031,0,0
RUBNOK,D,19960614,000000,1.283,1.283,1.283,1.283,0,0
RUBNOK,D,19960617,000000,1.2889,1.2889,1.2889,1.2889,0,0
RUBNOK,D,19960618,000000,1.2913,1.2913,1.2913,1.2913,0,0
RUBNOK,D,19960619,000000,1.2897,1.2897,1.2897,1.2897,0,0
RUBNOK,D,19960620,000000,1.2887,1.2887,1.2887,1.2887,0,0
RUBNOK,D,19960621,000000,1.2865,1.2865,1.2865,1.2865,0,0
RUBNOK,D,19960624,000000,1.2902,1.2902,1.2902,1.2902,0,0
RUBNOK,D,19960625,000000,1.285,1.285,1.285,1.285,0,0
RUBNOK,D,19960626,000000,1.2801,1.2801,1.2801,1.2801,0,0
RUBNOK,D,19960627,000000,1.2728,1.2728,1.2728,1.2728,0,0
RUBNOK,D,19960628,000000,1.2702,1.2702,1.2702,1.2702,0,0
RUBNOK,D,19960701,000000,1.2695,1.2695,1.2695,1.2695,0,0
RUBNOK,D,19960702,000000,1.2664,1.2664,1.2664,1.2664,0,0
RUBNOK,D,19960703,000000,1.2681,1.2681,1.2681,1.2681,0,0
RUBNOK,D,19960704,000000,1.2654,1.2654,1.2654,1.2654,0,0
RUBNOK,D,19960705,000000,1.2689,1.2689,1.2689,1.2689,0,0
RUBNOK,D,19960708,000000,1.2772,1.2772,1.2772,1.2772,0,0
RUBNOK,D,19960709,000000,1.2694,1.2694,1.2694,1.2694,0,0
RUBNOK,D,19960710,000000,1.2773,1.2773,1.2773,1.2773,0,0
RUBNOK,D,19960711,000000,1.2684,1.2684,1.2684,1.2684,0,0
RUBNOK,D,19960712,000000,1.2643,1.2643,1.2643,1.2643,0,0
RUBNOK,D,19960715,000000,1.2675,1.2675,1.2675,1.2675,0,0
RUBNOK,D,19960716,000000,1.255,1.255,1.255,1.255,0,0
