<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBRON,D,19951023,000000,4.924,4.924,4.924,4.924,0,0
RUBRON,D,19951024,000000,4.9301,4.9301,4.9301,4.9301,0,0
RUBRON,D,19951025,000000,4.9601,4.9601,4.9601,4.9601,0,0
RUBRON,D,19951026,000000,4.9568,4.9568,4.9568,4.9568,0,0
RUBRON,D,19951027,000000,4.9524,4.9524,4.9524,4.9524,0,0
RUBRON,D,19951030,000000,4.969,4.969,4.969,4.969,0,0
RUBRON,D,19951031,000000,4.9689,4.9689,4.9689,4.9689,0,0
RUBRON,D,19951102,000000,5.0177,5.0177,5.0177,5.0177,0,0
RUBRON,D,19951103,000000,5.0785,5.0785,5.0785,5.0785,0,0
RUBRON,D,19951106,000000,5.0795,5.0795,5.0795,5.0795,0,0
RUBRON,D,19951107,000000,5.1867,5.1867,5.1867,5.1867,0,0
RUBRON,D,19951108,000000,5.1549,5.1549,5.1549,5.1549,0,0
RUBRON,D,19951109,000000,5.1947,5.1947,5.1947,5.1947,0,0
RUBRON,D,19951110,000000,5.2434,5.2434,5.2434,5.2434,0,0
RUBRON,D,19951113,000000,5.2417,5.2417,5.2417,5.2417,0,0
RUBRON,D,19951114,000000,5.2345,5.2345,5.2345,5.2345,0,0
RUBRON,D,19951115,000000,5.2458,5.2458,5.2458,5.2458,0,0
RUBRON,D,19951116,000000,5.4218,5.4218,5.4218,5.4218,0,0
RUBRON,D,19951117,000000,5.598,5.598,5.598,5.598,0,0
RUBRON,D,19951120,000000,5.5831,5.5831,5.5831,5.5831,0,0
RUBRON,D,19951121,000000,5.5938,5.5938,5.5938,5.5938,0,0
RUBRON,D,19951122,000000,5.5765,5.5765,5.5765,5.5765,0,0
RUBRON,D,19951123,000000,5.5726,5.5726,5.5726,5.5726,0,0
RUBRON,D,19951124,000000,5.5732,5.5732,5.5732,5.5732,0,0
RUBRON,D,19951127,000000,5.5485,5.5485,5.5485,5.5485,0,0
RUBRON,D,19951128,000000,5.6292,5.6292,5.6292,5.6292,0,0
RUBRON,D,19951129,000000,5.5591,5.5591,5.5591,5.5591,0,0
RUBRON,D,19951130,000000,5.5485,5.5485,5.5485,5.5485,0,0
RUBRON,D,19951201,000000,5.5348,5.5348,5.5348,5.5348,0,0
RUBRON,D,19951204,000000,5.622,5.622,5.622,5.622,0,0
RUBRON,D,19951205,000000,5.6498,5.6498,5.6498,5.6498,0,0
RUBRON,D,19951206,000000,5.602,5.602,5.602,5.602,0,0
RUBRON,D,19951207,000000,5.681,5.681,5.681,5.681,0,0
RUBRON,D,19951208,000000,5.6864,5.6864,5.6864,5.6864,0,0
RUBRON,D,19951211,000000,5.6919,5.6919,5.6919,5.6919,0,0
RUBRON,D,19951212,000000,5.6482,5.6482,5.6482,5.6482,0,0
RUBRON,D,19951213,000000,5.6229,5.6229,5.6229,5.6229,0,0
RUBRON,D,19951214,000000,5.5927,5.5927,5.5927,5.5927,0,0
RUBRON,D,19951215,000000,5.6355,5.6355,5.6355,5.6355,0,0
RUBRON,D,19951218,000000,5.6289,5.6289,5.6289,5.6289,0,0
RUBRON,D,19951219,000000,5.6256,5.6256,5.6256,5.6256,0,0
RUBRON,D,19951220,000000,5.6256,5.6256,5.6256,5.6256,0,0
RUBRON,D,19951221,000000,5.6256,5.6256,5.6256,5.6256,0,0
RUBRON,D,19951222,000000,5.6256,5.6256,5.6256,5.6256,0,0
RUBRON,D,19951227,000000,5.6299,5.6299,5.6299,5.6299,0,0
RUBRON,D,19951228,000000,5.625,5.625,5.625,5.625,0,0
RUBRON,D,19951229,000000,5.6638,5.6638,5.6638,5.6638,0,0
RUBRON,D,19960102,000000,5.6638,5.6638,5.6638,5.6638,0,0
RUBRON,D,19960103,000000,5.6616,5.6616,5.6616,5.6616,0,0
RUBRON,D,19960104,000000,5.6562,5.6562,5.6562,5.6562,0,0
RUBRON,D,19960105,000000,5.6745,5.6745,5.6745,5.6745,0,0
RUBRON,D,19960108,000000,5.6573,5.6573,5.6573,5.6573,0,0
RUBRON,D,19960109,000000,5.6608,5.6608,5.6608,5.6608,0,0
RUBRON,D,19960110,000000,5.6992,5.6992,5.6992,5.6992,0,0
RUBRON,D,19960111,000000,5.6136,5.6136,5.6136,5.6136,0,0
RUBRON,D,19960112,000000,5.6713,5.6713,5.6713,5.6713,0,0
RUBRON,D,19960115,000000,5.7343,5.7343,5.7343,5.7343,0,0
RUBRON,D,19960116,000000,5.7448,5.7448,5.7448,5.7448,0,0
RUBRON,D,19960117,000000,5.6977,5.6977,5.6977,5.6977,0,0
RUBRON,D,19960118,000000,5.7378,5.7378,5.7378,5.7378,0,0
RUBRON,D,19960119,000000,5.7203,5.7203,5.7203,5.7203,0,0
RUBRON,D,19960122,000000,5.7252,5.7252,5.7252,5.7252,0,0
RUBRON,D,19960123,000000,5.6399,5.6399,5.6399,5.6399,0,0
RUBRON,D,19960124,000000,5.8343,5.8343,5.8343,5.8343,0,0
RUBRON,D,19960125,000000,5.9889,5.9889,5.9889,5.9889,0,0
RUBRON,D,19960126,000000,5.9942,5.9942,5.9942,5.9942,0,0
RUBRON,D,19960129,000000,6.0007,6.0007,6.0007,6.0007,0,0
RUBRON,D,19960130,000000,5.868,5.868,5.868,5.868,0,0
RUBRON,D,19960131,000000,5.8211,5.8211,5.8211,5.8211,0,0
RUBRON,D,19960201,000000,5.8342,5.8342,5.8342,5.8342,0,0
RUBRON,D,19960202,000000,5.8251,5.8251,5.8251,5.8251,0,0
RUBRON,D,19960205,000000,5.8557,5.8557,5.8557,5.8557,0,0
RUBRON,D,19960206,000000,5.8561,5.8561,5.8561,5.8561,0,0
RUBRON,D,19960207,000000,5.8548,5.8548,5.8548,5.8548,0,0
RUBRON,D,19960208,000000,5.8563,5.8563,5.8563,5.8563,0,0
RUBRON,D,19960209,000000,5.989,5.989,5.989,5.989,0,0
RUBRON,D,19960212,000000,5.9168,5.9168,5.9168,5.9168,0,0
RUBRON,D,19960213,000000,6.0511,6.0511,6.0511,6.0511,0,0
RUBRON,D,19960214,000000,6.057,6.057,6.057,6.057,0,0
RUBRON,D,19960215,000000,6.097,6.097,6.097,6.097,0,0
RUBRON,D,19960216,000000,6.1014,6.1014,6.1014,6.1014,0,0
RUBRON,D,19960219,000000,6.1664,6.1664,6.1664,6.1664,0,0
RUBRON,D,19960220,000000,6.1429,6.1429,6.1429,6.1429,0,0
RUBRON,D,19960221,000000,6.0802,6.0802,6.0802,6.0802,0,0
RUBRON,D,19960222,000000,6.0727,6.0727,6.0727,6.0727,0,0
RUBRON,D,19960223,000000,6.0289,6.0289,6.0289,6.0289,0,0
RUBRON,D,19960226,000000,6.0354,6.0354,6.0354,6.0354,0,0
RUBRON,D,19960227,000000,6.0211,6.0211,6.0211,6.0211,0,0
RUBRON,D,19960228,000000,6.072,6.072,6.072,6.072,0,0
RUBRON,D,19960229,000000,5.9381,5.9381,5.9381,5.9381,0,0
RUBRON,D,19960301,000000,6.0767,6.0767,6.0767,6.0767,0,0
RUBRON,D,19960304,000000,6.0303,6.0303,6.0303,6.0303,0,0
RUBRON,D,19960305,000000,6.1621,6.1621,6.1621,6.1621,0,0
RUBRON,D,19960306,000000,6.0284,6.0284,6.0284,6.0284,0,0
RUBRON,D,19960307,000000,6.0495,6.0495,6.0495,6.0495,0,0
RUBRON,D,19960308,000000,6.1894,6.1894,6.1894,6.1894,0,0
RUBRON,D,19960311,000000,6.1101,6.1101,6.1101,6.1101,0,0
RUBRON,D,19960312,000000,6.1297,6.1297,6.1297,6.1297,0,0
RUBRON,D,19960313,000000,6.2748,6.2748,6.2748,6.2748,0,0
RUBRON,D,19960314,000000,5.9139,5.9139,5.9139,5.9139,0,0
RUBRON,D,19960315,000000,6.0144,6.0144,6.0144,6.0144,0,0
RUBRON,D,19960318,000000,6.1496,6.1496,6.1496,6.1496,0,0
RUBRON,D,19960319,000000,6.1161,6.1161,6.1161,6.1161,0,0
RUBRON,D,19960320,000000,6.2566,6.2566,6.2566,6.2566,0,0
RUBRON,D,19960321,000000,6.1471,6.1471,6.1471,6.1471,0,0
RUBRON,D,19960322,000000,6.1167,6.1167,6.1167,6.1167,0,0
RUBRON,D,19960325,000000,5.996,5.996,5.996,5.996,0,0
RUBRON,D,19960326,000000,6.0002,6.0002,6.0002,6.0002,0,0
RUBRON,D,19960327,000000,5.9752,5.9752,5.9752,5.9752,0,0
RUBRON,D,19960328,000000,5.986,5.986,5.986,5.986,0,0
RUBRON,D,19960329,000000,5.986,5.986,5.986,5.986,0,0
RUBRON,D,19960401,000000,5.99,5.99,5.99,5.99,0,0
RUBRON,D,19960402,000000,5.99,5.99,5.99,5.99,0,0
RUBRON,D,19960403,000000,5.972,5.972,5.972,5.972,0,0
RUBRON,D,19960404,000000,5.9682,5.9682,5.9682,5.9682,0,0
RUBRON,D,19960405,000000,5.9703,5.9703,5.9703,5.9703,0,0
RUBRON,D,19960409,000000,5.9288,5.9288,5.9288,5.9288,0,0
RUBRON,D,19960410,000000,5.9208,5.9208,5.9208,5.9208,0,0
RUBRON,D,19960411,000000,5.931,5.931,5.931,5.931,0,0
RUBRON,D,19960412,000000,5.9424,5.9424,5.9424,5.9424,0,0
RUBRON,D,19960415,000000,5.9446,5.9446,5.9446,5.9446,0,0
RUBRON,D,19960416,000000,5.9244,5.9244,5.9244,5.9244,0,0
RUBRON,D,19960417,000000,5.9266,5.9266,5.9266,5.9266,0,0
RUBRON,D,19960418,000000,5.9211,5.9211,5.9211,5.9211,0,0
RUBRON,D,19960419,000000,5.9246,5.9246,5.9246,5.9246,0,0
RUBRON,D,19960422,000000,5.9131,5.9131,5.9131,5.9131,0,0
RUBRON,D,19960423,000000,5.918,5.918,5.918,5.918,0,0
RUBRON,D,19960424,000000,5.905,5.905,5.905,5.905,0,0
RUBRON,D,19960425,000000,5.9126,5.9126,5.9126,5.9126,0,0
RUBRON,D,19960426,000000,5.9056,5.9056,5.9056,5.9056,0,0
RUBRON,D,19960429,000000,5.9036,5.9036,5.9036,5.9036,0,0
RUBRON,D,19960430,000000,5.9168,5.9168,5.9168,5.9168,0,0
RUBRON,D,19960506,000000,5.9032,5.9032,5.9032,5.9032,0,0
RUBRON,D,19960507,000000,5.8649,5.8649,5.8649,5.8649,0,0
RUBRON,D,19960508,000000,5.888,5.888,5.888,5.888,0,0
RUBRON,D,19960509,000000,5.8889,5.8889,5.8889,5.8889,0,0
RUBRON,D,19960510,000000,5.891,5.891,5.891,5.891,0,0
RUBRON,D,19960513,000000,5.891,5.891,5.891,5.891,0,0
RUBRON,D,19960514,000000,5.8939,5.8939,5.8939,5.8939,0,0
RUBRON,D,19960515,000000,5.8829,5.8829,5.8829,5.8829,0,0
RUBRON,D,19960516,000000,5.8841,5.8841,5.8841,5.8841,0,0
RUBRON,D,19960517,000000,5.8852,5.8852,5.8852,5.8852,0,0
RUBRON,D,19960520,000000,5.8942,5.8942,5.8942,5.8942,0,0
RUBRON,D,19960521,000000,5.8856,5.8856,5.8856,5.8856,0,0
RUBRON,D,19960522,000000,5.88,5.88,5.88,5.88,0,0
RUBRON,D,19960523,000000,5.8656,5.8656,5.8656,5.8656,0,0
RUBRON,D,19960524,000000,5.885,5.885,5.885,5.885,0,0
RUBRON,D,19960527,000000,5.8812,5.8812,5.8812,5.8812,0,0
RUBRON,D,19960528,000000,5.868,5.868,5.868,5.868,0,0
RUBRON,D,19960529,000000,5.8709,5.8709,5.8709,5.8709,0,0
RUBRON,D,19960530,000000,5.8974,5.8974,5.8974,5.8974,0,0
RUBRON,D,19960531,000000,5.8579,5.8579,5.8579,5.8579,0,0
RUBRON,D,19960603,000000,5.8639,5.8639,5.8639,5.8639,0,0
RUBRON,D,19960604,000000,5.8755,5.8755,5.8755,5.8755,0,0
RUBRON,D,19960605,000000,5.8896,5.8896,5.8896,5.8896,0,0
RUBRON,D,19960607,000000,5.8773,5.8773,5.8773,5.8773,0,0
RUBRON,D,19960610,000000,5.8938,5.8938,5.8938,5.8938,0,0
RUBRON,D,19960611,000000,5.8576,5.8576,5.8576,5.8576,0,0
RUBRON,D,19960612,000000,5.8773,5.8773,5.8773,5.8773,0,0
RUBRON,D,19960613,000000,5.9264,5.9264,5.9264,5.9264,0,0
RUBRON,D,19960614,000000,5.8836,5.8836,5.8836,5.8836,0,0
RUBRON,D,19960617,000000,5.9344,5.9344,5.9344,5.9344,0,0
RUBRON,D,19960618,000000,5.9626,5.9626,5.9626,5.9626,0,0
RUBRON,D,19960619,000000,5.9431,5.9431,5.9431,5.9431,0,0
RUBRON,D,19960620,000000,5.9304,5.9304,5.9304,5.9304,0,0
RUBRON,D,19960621,000000,5.913,5.913,5.913,5.913,0,0
RUBRON,D,19960624,000000,5.9229,5.9229,5.9229,5.9229,0,0
RUBRON,D,19960625,000000,5.9138,5.9138,5.9138,5.9138,0,0
RUBRON,D,19960626,000000,5.9176,5.9176,5.9176,5.9176,0,0
