<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBUSD,D,19951023,000000,22.19,22.19,22.19,22.19,0,0
RUBUSD,D,19951024,000000,22.193,22.193,22.193,22.193,0,0
RUBUSD,D,19951025,000000,22.193,22.193,22.193,22.193,0,0
RUBUSD,D,19951026,000000,22.178,22.178,22.178,22.178,0,0
RUBUSD,D,19951027,000000,22.158,22.158,22.158,22.158,0,0
RUBUSD,D,19951030,000000,22.183,22.183,22.183,22.183,0,0
RUBUSD,D,19951031,000000,22.183,22.183,22.183,22.183,0,0
RUBUSD,D,19951102,000000,22.104,22.104,22.104,22.104,0,0
RUBUSD,D,19951103,000000,22.104,22.104,22.104,22.104,0,0
RUBUSD,D,19951106,000000,22.095,22.095,22.095,22.095,0,0
RUBUSD,D,19951107,000000,22.095,22.095,22.095,22.095,0,0
RUBUSD,D,19951108,000000,22.124,22.124,22.124,22.124,0,0
RUBUSD,D,19951109,000000,22.129,22.129,22.129,22.129,0,0
RUBUSD,D,19951110,000000,22.124,22.124,22.124,22.124,0,0
RUBUSD,D,19951113,000000,22.07,22.07,22.07,22.07,0,0
RUBUSD,D,19951114,000000,22.026,22.026,22.026,22.026,0,0
RUBUSD,D,19951115,000000,22.041,22.041,22.041,22.041,0,0
RUBUSD,D,19951116,000000,22.085,22.085,22.085,22.085,0,0
RUBUSD,D,19951117,000000,21.953,21.953,21.953,21.953,0,0
RUBUSD,D,19951120,000000,21.894,21.894,21.894,21.894,0,0
RUBUSD,D,19951121,000000,21.937,21.937,21.937,21.937,0,0
RUBUSD,D,19951122,000000,21.869,21.869,21.869,21.869,0,0
RUBUSD,D,19951123,000000,21.854,21.854,21.854,21.854,0,0
RUBUSD,D,19951124,000000,21.856,21.856,21.856,21.856,0,0
RUBUSD,D,19951127,000000,21.823,21.823,21.823,21.823,0,0
RUBUSD,D,19951128,000000,21.819,21.819,21.819,21.819,0,0
RUBUSD,D,19951129,000000,21.843,21.843,21.843,21.843,0,0
RUBUSD,D,19951130,000000,21.845,21.845,21.845,21.845,0,0
RUBUSD,D,19951201,000000,21.791,21.791,21.791,21.791,0,0
RUBUSD,D,19951204,000000,21.791,21.791,21.791,21.791,0,0
RUBUSD,D,19951205,000000,21.772,21.772,21.772,21.772,0,0
RUBUSD,D,19951206,000000,21.798,21.798,21.798,21.798,0,0
RUBUSD,D,19951207,000000,21.75,21.75,21.75,21.75,0,0
RUBUSD,D,19951208,000000,21.829,21.829,21.829,21.829,0,0
RUBUSD,D,19951211,000000,21.829,21.829,21.829,21.829,0,0
RUBUSD,D,19951212,000000,21.829,21.829,21.829,21.829,0,0
RUBUSD,D,19951213,000000,21.627,21.627,21.627,21.627,0,0
RUBUSD,D,19951214,000000,21.594,21.594,21.594,21.594,0,0
RUBUSD,D,19951215,000000,21.592,21.592,21.592,21.592,0,0
RUBUSD,D,19951218,000000,21.567,21.567,21.567,21.567,0,0
RUBUSD,D,19951219,000000,21.554,21.554,21.554,21.554,0,0
RUBUSD,D,19951220,000000,21.554,21.554,21.554,21.554,0,0
RUBUSD,D,19951221,000000,21.554,21.554,21.554,21.554,0,0
RUBUSD,D,19951222,000000,21.554,21.554,21.554,21.554,0,0
RUBUSD,D,19951227,000000,21.571,21.571,21.571,21.571,0,0
RUBUSD,D,19951228,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19951229,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960102,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960103,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960104,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960105,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960108,000000,21.552,21.552,21.552,21.552,0,0
RUBUSD,D,19960109,000000,21.479,21.479,21.479,21.479,0,0
RUBUSD,D,19960110,000000,21.426,21.426,21.426,21.426,0,0
RUBUSD,D,19960111,000000,21.426,21.426,21.426,21.426,0,0
RUBUSD,D,19960112,000000,21.462,21.462,21.462,21.462,0,0
RUBUSD,D,19960115,000000,21.437,21.437,21.437,21.437,0,0
RUBUSD,D,19960116,000000,21.396,21.396,21.396,21.396,0,0
RUBUSD,D,19960117,000000,21.396,21.396,21.396,21.396,0,0
RUBUSD,D,19960118,000000,21.318,21.318,21.318,21.318,0,0
RUBUSD,D,19960119,000000,21.297,21.297,21.297,21.297,0,0
RUBUSD,D,19960122,000000,21.363,21.363,21.363,21.363,0,0
RUBUSD,D,19960123,000000,21.363,21.363,21.363,21.363,0,0
RUBUSD,D,19960124,000000,21.216,21.216,21.216,21.216,0,0
RUBUSD,D,19960125,000000,21.237,21.237,21.237,21.237,0,0
RUBUSD,D,19960126,000000,21.218,21.218,21.218,21.218,0,0
RUBUSD,D,19960129,000000,21.167,21.167,21.167,21.167,0,0
RUBUSD,D,19960130,000000,21.108,21.108,21.108,21.108,0,0
RUBUSD,D,19960131,000000,21.091,21.091,21.091,21.091,0,0
RUBUSD,D,19960201,000000,21.1,21.1,21.1,21.1,0,0
RUBUSD,D,19960202,000000,21.087,21.087,21.087,21.087,0,0
RUBUSD,D,19960205,000000,21.102,21.102,21.102,21.102,0,0
RUBUSD,D,19960206,000000,21.103,21.103,21.103,21.103,0,0
RUBUSD,D,19960207,000000,21.098,21.098,21.098,21.098,0,0
RUBUSD,D,19960208,000000,21.104,21.104,21.104,21.104,0,0
RUBUSD,D,19960209,000000,21.125,21.125,21.125,21.125,0,0
RUBUSD,D,19960212,000000,21.056,21.056,21.056,21.056,0,0
RUBUSD,D,19960213,000000,21.066,21.066,21.066,21.066,0,0
RUBUSD,D,19960214,000000,21.024,21.024,21.024,21.024,0,0
RUBUSD,D,19960215,000000,21.024,21.024,21.024,21.024,0,0
RUBUSD,D,19960216,000000,21.039,21.039,21.039,21.039,0,0
RUBUSD,D,19960219,000000,20.974,20.974,20.974,20.974,0,0
RUBUSD,D,19960220,000000,20.987,20.987,20.987,20.987,0,0
RUBUSD,D,19960221,000000,20.966,20.966,20.966,20.966,0,0
RUBUSD,D,19960222,000000,20.951,20.951,20.951,20.951,0,0
RUBUSD,D,19960223,000000,20.927,20.927,20.927,20.927,0,0
RUBUSD,D,19960226,000000,20.956,20.956,20.956,20.956,0,0
RUBUSD,D,19960227,000000,20.906,20.906,20.906,20.906,0,0
RUBUSD,D,19960228,000000,20.723,20.723,20.723,20.723,0,0
RUBUSD,D,19960229,000000,20.762,20.762,20.762,20.762,0,0
RUBUSD,D,19960301,000000,20.732,20.732,20.732,20.732,0,0
RUBUSD,D,19960304,000000,20.776,20.776,20.776,20.776,0,0
RUBUSD,D,19960305,000000,20.765,20.765,20.765,20.765,0,0
RUBUSD,D,19960306,000000,20.713,20.713,20.713,20.713,0,0
RUBUSD,D,19960307,000000,20.725,20.725,20.725,20.725,0,0
RUBUSD,D,19960308,000000,20.725,20.725,20.725,20.725,0,0
RUBUSD,D,19960311,000000,20.726,20.726,20.726,20.726,0,0
RUBUSD,D,19960312,000000,20.772,20.772,20.772,20.772,0,0
RUBUSD,D,19960313,000000,20.716,20.716,20.716,20.716,0,0
RUBUSD,D,19960314,000000,20.714,20.714,20.714,20.714,0,0
RUBUSD,D,19960315,000000,20.775,20.775,20.775,20.775,0,0
RUBUSD,D,19960318,000000,20.723,20.723,20.723,20.723,0,0
RUBUSD,D,19960319,000000,20.732,20.732,20.732,20.732,0,0
RUBUSD,D,19960320,000000,20.717,20.717,20.717,20.717,0,0
RUBUSD,D,19960321,000000,20.697,20.697,20.697,20.697,0,0
RUBUSD,D,19960322,000000,20.682,20.682,20.682,20.682,0,0
RUBUSD,D,19960325,000000,20.676,20.676,20.676,20.676,0,0
RUBUSD,D,19960326,000000,20.602,20.602,20.602,20.602,0,0
RUBUSD,D,19960327,000000,20.604,20.604,20.604,20.604,0,0
RUBUSD,D,19960328,000000,20.606,20.606,20.606,20.606,0,0
RUBUSD,D,19960329,000000,20.606,20.606,20.606,20.606,0,0
RUBUSD,D,19960401,000000,20.62,20.62,20.62,20.62,0,0
RUBUSD,D,19960402,000000,20.605,20.605,20.605,20.605,0,0
RUBUSD,D,19960403,000000,20.586,20.586,20.586,20.586,0,0
RUBUSD,D,19960404,000000,20.569,20.569,20.569,20.569,0,0
RUBUSD,D,19960405,000000,20.569,20.569,20.569,20.569,0,0
RUBUSD,D,19960409,000000,20.444,20.444,20.444,20.444,0,0
RUBUSD,D,19960410,000000,20.417,20.417,20.417,20.417,0,0
RUBUSD,D,19960411,000000,20.416,20.416,20.416,20.416,0,0
RUBUSD,D,19960412,000000,20.421,20.421,20.421,20.421,0,0
RUBUSD,D,19960415,000000,20.428,20.428,20.428,20.428,0,0
RUBUSD,D,19960416,000000,20.355,20.355,20.355,20.355,0,0
RUBUSD,D,19960417,000000,20.366,20.366,20.366,20.366,0,0
RUBUSD,D,19960418,000000,20.348,20.348,20.348,20.348,0,0
RUBUSD,D,19960419,000000,20.349,20.349,20.349,20.349,0,0
RUBUSD,D,19960422,000000,20.334,20.334,20.334,20.334,0,0
RUBUSD,D,19960423,000000,20.337,20.337,20.337,20.337,0,0
RUBUSD,D,19960424,000000,20.285,20.285,20.285,20.285,0,0
RUBUSD,D,19960425,000000,20.304,20.304,20.304,20.304,0,0
RUBUSD,D,19960426,000000,20.273,20.273,20.273,20.273,0,0
RUBUSD,D,19960429,000000,20.273,20.273,20.273,20.273,0,0
RUBUSD,D,19960430,000000,20.291,20.291,20.291,20.291,0,0
RUBUSD,D,19960506,000000,20.23,20.23,20.23,20.23,0,0
RUBUSD,D,19960507,000000,20.106,20.106,20.106,20.106,0,0
RUBUSD,D,19960508,000000,20.192,20.192,20.192,20.192,0,0
RUBUSD,D,19960509,000000,20.192,20.192,20.192,20.192,0,0
RUBUSD,D,19960510,000000,20.192,20.192,20.192,20.192,0,0
RUBUSD,D,19960513,000000,20.189,20.189,20.189,20.189,0,0
RUBUSD,D,19960514,000000,20.164,20.164,20.164,20.164,0,0
RUBUSD,D,19960515,000000,20.078,20.078,20.078,20.078,0,0
RUBUSD,D,19960516,000000,20.082,20.082,20.082,20.082,0,0
RUBUSD,D,19960517,000000,20.083,20.083,20.083,20.083,0,0
RUBUSD,D,19960520,000000,20.082,20.082,20.082,20.082,0,0
RUBUSD,D,19960521,000000,20.019,20.019,20.019,20.019,0,0
RUBUSD,D,19960522,000000,19.966,19.966,19.966,19.966,0,0
RUBUSD,D,19960523,000000,19.924,19.924,19.924,19.924,0,0
RUBUSD,D,19960524,000000,19.99,19.99,19.99,19.99,0,0
RUBUSD,D,19960527,000000,19.95,19.95,19.95,19.95,0,0
RUBUSD,D,19960528,000000,19.905,19.905,19.905,19.905,0,0
RUBUSD,D,19960529,000000,19.922,19.922,19.922,19.922,0,0
RUBUSD,D,19960530,000000,19.971,19.971,19.971,19.971,0,0
RUBUSD,D,19960531,000000,19.831,19.831,19.831,19.831,0,0
RUBUSD,D,19960603,000000,19.851,19.851,19.851,19.851,0,0
RUBUSD,D,19960604,000000,19.85,19.85,19.85,19.85,0,0
RUBUSD,D,19960605,000000,19.844,19.844,19.844,19.844,0,0
RUBUSD,D,19960607,000000,19.776,19.776,19.776,19.776,0,0
RUBUSD,D,19960610,000000,19.818,19.818,19.818,19.818,0,0
RUBUSD,D,19960611,000000,19.689,19.689,19.689,19.689,0,0
RUBUSD,D,19960612,000000,19.689,19.689,19.689,19.689,0,0
RUBUSD,D,19960613,000000,19.854,19.854,19.854,19.854,0,0
RUBUSD,D,19960614,000000,19.678,19.678,19.678,19.678,0,0
RUBUSD,D,19960617,000000,19.781,19.781,19.781,19.781,0,0
RUBUSD,D,19960618,000000,19.852,19.852,19.852,19.852,0,0
RUBUSD,D,19960619,000000,19.81,19.81,19.81,19.81,0,0
RUBUSD,D,19960620,000000,19.768,19.768,19.768,19.768,0,0
RUBUSD,D,19960621,000000,19.69,19.69,19.69,19.69,0,0
RUBUSD,D,19960624,000000,19.697,19.697,19.697,19.697,0,0
RUBUSD,D,19960625,000000,19.615,19.615,19.615,19.615,0,0
RUBUSD,D,19960626,000000,19.595,19.595,19.595,19.595,0,0
RUBUSD,D,19960627,000000,19.568,19.568,19.568,19.568,0,0
RUBUSD,D,19960628,000000,19.535,19.535,19.535,19.535,0,0
RUBUSD,D,19960701,000000,19.535,19.535,19.535,19.535,0,0
RUBUSD,D,19960702,000000,19.456,19.456,19.456,19.456,0,0
RUBUSD,D,19960703,000000,19.456,19.456,19.456,19.456,0,0
RUBUSD,D,19960704,000000,19.515,19.515,19.515,19.515,0,0
RUBUSD,D,19960705,000000,19.495,19.495,19.495,19.495,0,0
RUBUSD,D,19960708,000000,19.558,19.558,19.558,19.558,0,0
RUBUSD,D,19960709,000000,19.474,19.474,19.474,19.474,0,0
RUBUSD,D,19960710,000000,19.585,19.585,19.585,19.585,0,0
RUBUSD,D,19960711,000000,19.461,19.461,19.461,19.461,0,0
RUBUSD,D,19960712,000000,19.475,19.475,19.475,19.475,0,0
RUBUSD,D,19960715,000000,19.472,19.472,19.472,19.472,0,0
RUBUSD,D,19960716,000000,19.445,19.445,19.445,19.445,0,0
RUBUSD,D,19960717,000000,19.429,19.429,19.429,19.429,0,0
RUBUSD,D,19960718,000000,19.404,19.404,19.404,19.404,0,0
RUBUSD,D,19960719,000000,19.4,19.4,19.4,19.4,0,0
RUBUSD,D,19960722,000000,19.398,19.398,19.398,19.398,0,0
RUBUSD,D,19960723,000000,19.392,19.392,19.392,19.392,0,0
RUBUSD,D,19960724,000000,19.338,19.338,19.338,19.338,0,0
RUBUSD,D,19960725,000000,19.326,19.326,19.326,19.326,0,0
RUBUSD,D,19960726,000000,19.299,19.299,19.299,19.299,0,0
RUBUSD,D,19960729,000000,19.33,19.33,19.33,19.33,0,0
RUBUSD,D,19960730,000000,19.209,19.209,19.209,19.209,0,0
RUBUSD,D,19960731,000000,19.192,19.192,19.192,19.192,0,0
RUBUSD,D,19960801,000000,19.091,19.091,19.091,19.091,0,0
RUBUSD,D,19960802,000000,19.139,19.139,19.139,19.139,0,0
RUBUSD,D,19960805,000000,19.139,19.139,19.139,19.139,0,0
RUBUSD,D,19960806,000000,19.05,19.05,19.05,19.05,0,0
RUBUSD,D,19960807,000000,19.03,19.03,19.03,19.03,0,0
RUBUSD,D,19960808,000000,18.93,18.93,18.93,18.93,0,0
RUBUSD,D,19960809,000000,18.941,18.941,18.941,18.941,0,0
RUBUSD,D,19960812,000000,18.894,18.894,18.894,18.894,0,0
RUBUSD,D,19960813,000000,18.896,18.896,18.896,18.896,0,0
RUBUSD,D,19960814,000000,18.897,18.897,18.897,18.897,0,0
RUBUSD,D,19960816,000000,18.858,18.858,18.858,18.858,0,0
RUBUSD,D,19960819,000000,18.862,18.862,18.862,18.862,0,0
RUBUSD,D,19960820,000000,18.864,18.864,18.864,18.864,0,0
RUBUSD,D,19960821,000000,18.758,18.758,18.758,18.758,0,0
RUBUSD,D,19960822,000000,18.745,18.745,18.745,18.745,0,0
RUBUSD,D,19960823,000000,18.768,18.768,18.768,18.768,0,0
RUBUSD,D,19960826,000000,18.756,18.756,18.756,18.756,0,0
RUBUSD,D,19960827,000000,18.655,18.655,18.655,18.655,0,0
RUBUSD,D,19960828,000000,18.672,18.672,18.672,18.672,0,0
RUBUSD,D,19960829,000000,18.667,18.667,18.667,18.667,0,0
RUBUSD,D,19960830,000000,18.643,18.643,18.643,18.643,0,0
RUBUSD,D,19960902,000000,18.642,18.642,18.642,18.642,0,0
RUBUSD,D,19960903,000000,18.624,18.624,18.624,18.624,0,0
RUBUSD,D,19960904,000000,18.622,18.622,18.622,18.622,0,0
RUBUSD,D,19960905,000000,18.621,18.621,18.621,18.621,0,0
RUBUSD,D,19960906,000000,18.621,18.621,18.621,18.621,0,0
RUBUSD,D,19960909,000000,18.587,18.587,18.587,18.587,0,0
RUBUSD,D,19960910,000000,18.61,18.61,18.61,18.61,0,0
RUBUSD,D,19960911,000000,18.599,18.599,18.599,18.599,0,0
RUBUSD,D,19960912,000000,18.603,18.603,18.603,18.603,0,0
RUBUSD,D,19960913,000000,18.522,18.522,18.522,18.522,0,0
RUBUSD,D,19960916,000000,18.615,18.615,18.615,18.615,0,0
RUBUSD,D,19960917,000000,18.514,18.514,18.514,18.514,0,0
RUBUSD,D,19960918,000000,18.502,18.502,18.502,18.502,0,0
RUBUSD,D,19960919,000000,18.513,18.513,18.513,18.513,0,0
RUBUSD,D,19960920,000000,18.509,18.509,18.509,18.509,0,0
RUBUSD,D,19960923,000000,18.531,18.531,18.531,18.531,0,0
RUBUSD,D,19960924,000000,18.513,18.513,18.513,18.513,0,0
RUBUSD,D,19960925,000000,18.527,18.527,18.527,18.527,0,0
RUBUSD,D,19960926,000000,18.512,18.512,18.512,18.512,0,0
RUBUSD,D,19960927,000000,18.57,18.57,18.57,18.57,0,0
RUBUSD,D,19960930,000000,18.492,18.492,18.492,18.492,0,0
RUBUSD,D,19961001,000000,18.494,18.494,18.494,18.494,0,0
RUBUSD,D,19961002,000000,18.452,18.452,18.452,18.452,0,0
RUBUSD,D,19961003,000000,18.464,18.464,18.464,18.464,0,0
RUBUSD,D,19961004,000000,18.446,18.446,18.446,18.446,0,0
RUBUSD,D,19961007,000000,18.471,18.471,18.471,18.471,0,0
RUBUSD,D,19961008,000000,18.454,18.454,18.454,18.454,0,0
RUBUSD,D,19961009,000000,18.457,18.457,18.457,18.457,0,0
RUBUSD,D,19961010,000000,18.41,18.41,18.41,18.41,0,0
RUBUSD,D,19961011,000000,18.391,18.391,18.391,18.391,0,0
RUBUSD,D,19961014,000000,18.391,18.391,18.391,18.391,0,0
