<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBXAG,D,19951023,000000,414.77,414.77,414.77,414.77,0,0
RUBXAG,D,19951024,000000,414.82,414.82,414.82,414.82,0,0
RUBXAG,D,19951025,000000,408.71,408.71,408.71,408.71,0,0
RUBXAG,D,19951026,000000,409.19,409.19,409.19,409.19,0,0
RUBXAG,D,19951027,000000,417.29,417.29,417.29,417.29,0,0
RUBXAG,D,19951030,000000,416.19,416.19,416.19,416.19,0,0
RUBXAG,D,19951031,000000,415.4,415.4,415.4,415.4,0,0
RUBXAG,D,19951102,000000,414.72,414.72,414.72,414.72,0,0
RUBXAG,D,19951103,000000,417.85,417.85,417.85,417.85,0,0
RUBXAG,D,19951106,000000,418.46,418.46,418.46,418.46,0,0
RUBXAG,D,19951107,000000,412.21,412.21,412.21,412.21,0,0
RUBXAG,D,19951108,000000,412.76,412.76,412.76,412.76,0,0
RUBXAG,D,19951109,000000,411.31,411.31,411.31,411.31,0,0
RUBXAG,D,19951110,000000,406.69,406.69,406.69,406.69,0,0
RUBXAG,D,19951113,000000,414.85,414.85,414.85,414.85,0,0
RUBXAG,D,19951114,000000,414.03,414.03,414.03,414.03,0,0
RUBXAG,D,19951115,000000,412.76,412.76,412.76,412.76,0,0
RUBXAG,D,19951116,000000,415.13,415.13,415.13,415.13,0,0
RUBXAG,D,19951117,000000,409.57,409.57,409.57,409.57,0,0
RUBXAG,D,19951120,000000,409.24,409.24,409.24,409.24,0,0
RUBXAG,D,19951121,000000,414.68,414.68,414.68,414.68,0,0
RUBXAG,D,19951122,000000,421.36,421.36,421.36,421.36,0,0
RUBXAG,D,19951123,000000,419.45,419.45,419.45,419.45,0,0
RUBXAG,D,19951124,000000,417.09,417.09,417.09,417.09,0,0
RUBXAG,D,19951127,000000,418.07,418.07,418.07,418.07,0,0
RUBXAG,D,19951128,000000,417.18,417.18,417.18,417.18,0,0
RUBXAG,D,19951129,000000,421.68,421.68,421.68,421.68,0,0
RUBXAG,D,19951130,000000,417.68,417.68,417.68,417.68,0,0
RUBXAG,D,19951201,000000,419.05,419.05,419.05,419.05,0,0
RUBXAG,D,19951204,000000,419.06,419.06,419.06,419.06,0,0
RUBXAG,D,19951205,000000,415.5,415.5,415.5,415.5,0,0
RUBXAG,D,19951206,000000,415.19,415.19,415.19,415.19,0,0
RUBXAG,D,19951207,000000,415.07,415.07,415.07,415.07,0,0
RUBXAG,D,19951208,000000,418.18,418.18,418.18,418.18,0,0
RUBXAG,D,19951211,000000,418.98,418.98,418.98,418.98,0,0
RUBXAG,D,19951212,000000,422.22,422.22,422.22,422.22,0,0
RUBXAG,D,19951213,000000,422.39,422.39,422.39,422.39,0,0
RUBXAG,D,19951214,000000,420.11,420.11,420.11,420.11,0,0
RUBXAG,D,19951215,000000,420.9,420.9,420.9,420.9,0,0
RUBXAG,D,19951218,000000,417.15,417.15,417.15,417.15,0,0
RUBXAG,D,19951219,000000,419.34,419.34,419.34,419.34,0,0
RUBXAG,D,19951220,000000,416.91,416.91,416.91,416.91,0,0
RUBXAG,D,19951221,000000,418.53,418.53,418.53,418.53,0,0
