<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEKNOK,D,19840102,000000,0.9621,0.9621,0.9621,0.9621,0,0
SEKNOK,D,19840109,000000,0.9611,0.9611,0.9611,0.9611,0,0
SEKNOK,D,19840116,000000,0.9672,0.9672,0.9672,0.9672,0,0
SEKNOK,D,19840123,000000,0.9604,0.9604,0.9604,0.9604,0,0
SEKNOK,D,19840130,000000,0.965,0.965,0.965,0.965,0,0
SEKNOK,D,19840206,000000,0.9627,0.9627,0.9627,0.9627,0,0
SEKNOK,D,19840213,000000,0.9611,0.9611,0.9611,0.9611,0,0
SEKNOK,D,19840220,000000,0.9581,0.9581,0.9581,0.9581,0,0
SEKNOK,D,19840301,000000,0.9631,0.9631,0.9631,0.9631,0,0
SEKNOK,D,19840305,000000,0.9649,0.9649,0.9649,0.9649,0,0
SEKNOK,D,19840312,000000,0.9651,0.9651,0.9651,0.9651,0,0
SEKNOK,D,19840319,000000,0.9699,0.9699,0.9699,0.9699,0,0
SEKNOK,D,19840326,000000,0.9703,0.9703,0.9703,0.9703,0,0
SEKNOK,D,19840402,000000,0.9732,0.9732,0.9732,0.9732,0,0
SEKNOK,D,19840409,000000,0.9731,0.9731,0.9731,0.9731,0,0
SEKNOK,D,19840416,000000,0.9696,0.9696,0.9696,0.9696,0,0
SEKNOK,D,19840424,000000,0.9689,0.9689,0.9689,0.9689,0,0
SEKNOK,D,19840502,000000,0.9666,0.9666,0.9666,0.9666,0,0
SEKNOK,D,19840507,000000,0.9678,0.9678,0.9678,0.9678,0,0
SEKNOK,D,19840514,000000,0.9648,0.9648,0.9648,0.9648,0,0
SEKNOK,D,19840521,000000,0.9682,0.9682,0.9682,0.9682,0,0
SEKNOK,D,19840528,000000,0.967,0.967,0.967,0.967,0,0
SEKNOK,D,19840604,000000,0.9662,0.9662,0.9662,0.9662,0,0
SEKNOK,D,19840611,000000,0.9631,0.9631,0.9631,0.9631,0,0
SEKNOK,D,19840618,000000,0.9628,0.9628,0.9628,0.9628,0,0
SEKNOK,D,19840625,000000,0.9627,0.9627,0.9627,0.9627,0,0
SEKNOK,D,19840702,000000,0.9715,0.9715,0.9715,0.9715,0,0
SEKNOK,D,19840709,000000,0.9799,0.9799,0.9799,0.9799,0,0
SEKNOK,D,19840716,000000,0.9869,0.9869,0.9869,0.9869,0,0
SEKNOK,D,19840723,000000,0.9905,0.9905,0.9905,0.9905,0,0
SEKNOK,D,19840730,000000,0.9941,0.9941,0.9941,0.9941,0,0
SEKNOK,D,19840806,000000,0.9927,0.9927,0.9927,0.9927,0,0
SEKNOK,D,19840813,000000,0.9934,0.9934,0.9934,0.9934,0,0
SEKNOK,D,19840820,000000,0.9905,0.9905,0.9905,0.9905,0,0
SEKNOK,D,19840827,000000,0.9912,0.9912,0.9912,0.9912,0,0
SEKNOK,D,19840901,000000,0.9953,0.9953,0.9953,0.9953,0,0
SEKNOK,D,19840910,000000,0.9966,0.9966,0.9966,0.9966,0,0
SEKNOK,D,19840917,000000,0.998,0.998,0.998,0.998,0,0
SEKNOK,D,19840924,000000,1.0014,1.0014,1.0014,1.0014,0,0
SEKNOK,D,19841001,000000,1.0175,1.0175,1.0175,1.0175,0,0
SEKNOK,D,19841008,000000,1.0225,1.0225,1.0225,1.0225,0,0
SEKNOK,D,19841015,000000,1.0204,1.0204,1.0204,1.0204,0,0
SEKNOK,D,19841022,000000,1.0227,1.0227,1.0227,1.0227,0,0
SEKNOK,D,19841029,000000,1.0233,1.0233,1.0233,1.0233,0,0
SEKNOK,D,19841105,000000,1.019,1.019,1.019,1.019,0,0
SEKNOK,D,19841112,000000,1.0152,1.0152,1.0152,1.0152,0,0
SEKNOK,D,19841119,000000,1.0138,1.0138,1.0138,1.0138,0,0
SEKNOK,D,19841126,000000,1.0132,1.0132,1.0132,1.0132,0,0
SEKNOK,D,19841201,000000,1.0162,1.0162,1.0162,1.0162,0,0
SEKNOK,D,19841210,000000,1.0149,1.0149,1.0149,1.0149,0,0
SEKNOK,D,19841217,000000,1.0127,1.0127,1.0127,1.0127,0,0
SEKNOK,D,19841224,000000,1.012,1.012,1.012,1.012,0,0
SEKNOK,D,19850101,000000,1.0117,1.0117,1.0117,1.0117,0,0
SEKNOK,D,19850107,000000,1.0118,1.0118,1.0118,1.0118,0,0
SEKNOK,D,19850114,000000,1.0098,1.0098,1.0098,1.0098,0,0
SEKNOK,D,19850121,000000,1.0099,1.0099,1.0099,1.0099,0,0
SEKNOK,D,19850128,000000,1.0099,1.0099,1.0099,1.0099,0,0
SEKNOK,D,19850204,000000,1.0138,1.0138,1.0138,1.0138,0,0
SEKNOK,D,19850211,000000,1.0133,1.0133,1.0133,1.0133,0,0
SEKNOK,D,19850218,000000,1.014,1.014,1.014,1.014,0,0
SEKNOK,D,19850225,000000,1.0148,1.0148,1.0148,1.0148,0,0
SEKNOK,D,19850304,000000,1.0014,1.0014,1.0014,1.0014,0,0
SEKNOK,D,19850311,000000,1.011,1.011,1.011,1.011,0,0
SEKNOK,D,19850318,000000,1.0034,1.0034,1.0034,1.0034,0,0
SEKNOK,D,19850325,000000,1.0047,1.0047,1.0047,1.0047,0,0
SEKNOK,D,19850329,000000,0.9987,0.9987,0.9987,0.9987,0,0
SEKNOK,D,19850401,000000,0.9967,0.9967,0.9967,0.9967,0,0
SEKNOK,D,19850409,000000,0.9961,0.9961,0.9961,0.9961,0,0
SEKNOK,D,19850415,000000,0.9954,0.9954,0.9954,0.9954,0,0
SEKNOK,D,19850422,000000,0.9897,0.9897,0.9897,0.9897,0,0
SEKNOK,D,19850429,000000,0.9935,0.9935,0.9935,0.9935,0,0
SEKNOK,D,19850506,000000,0.9922,0.9922,0.9922,0.9922,0,0
SEKNOK,D,19850513,000000,0.9974,0.9974,0.9974,0.9974,0,0
SEKNOK,D,19850520,000000,0.9974,0.9974,0.9974,0.9974,0,0
SEKNOK,D,19850527,000000,0.9923,0.9923,0.9923,0.9923,0,0
SEKNOK,D,19850601,000000,0.9955,0.9955,0.9955,0.9955,0,0
SEKNOK,D,19850610,000000,0.9928,0.9928,0.9928,0.9928,0,0
SEKNOK,D,19850617,000000,0.995,0.995,0.995,0.995,0,0
SEKNOK,D,19850624,000000,0.9945,0.9945,0.9945,0.9945,0,0
SEKNOK,D,19850701,000000,0.9989,0.9989,0.9989,0.9989,0,0
SEKNOK,D,19850708,000000,1,1,1,1,0,0
SEKNOK,D,19850715,000000,0.9989,0.9989,0.9989,0.9989,0,0
SEKNOK,D,19850723,000000,0.9941,0.9941,0.9941,0.9941,0,0
SEKNOK,D,19850729,000000,0.9925,0.9925,0.9925,0.9925,0,0
SEKNOK,D,19850805,000000,0.992,0.992,0.992,0.992,0,0
SEKNOK,D,19850812,000000,0.994,0.994,0.994,0.994,0,0
SEKNOK,D,19850819,000000,0.992,0.992,0.992,0.992,0,0
SEKNOK,D,19850826,000000,0.9904,0.9904,0.9904,0.9904,0,0
SEKNOK,D,19850902,000000,0.9935,0.9935,0.9935,0.9935,0,0
SEKNOK,D,19850909,000000,0.9924,0.9924,0.9924,0.9924,0,0
SEKNOK,D,19850916,000000,0.9945,0.9945,0.9945,0.9945,0,0
SEKNOK,D,19850923,000000,0.9924,0.9924,0.9924,0.9924,0,0
SEKNOK,D,19850930,000000,0.9905,0.9905,0.9905,0.9905,0,0
SEKNOK,D,19851007,000000,0.9884,0.9884,0.9884,0.9884,0,0
SEKNOK,D,19851014,000000,0.9885,0.9885,0.9885,0.9885,0,0
SEKNOK,D,19851021,000000,0.9916,0.9916,0.9916,0.9916,0,0
SEKNOK,D,19851028,000000,0.9958,0.9958,0.9958,0.9958,0,0
SEKNOK,D,19851104,000000,0.9995,0.9995,0.9995,0.9995,0,0
SEKNOK,D,19851111,000000,1,1,1,1,0,0
SEKNOK,D,19851118,000000,1.0011,1.0011,1.0011,1.0011,0,0
SEKNOK,D,19851125,000000,1.0005,1.0005,1.0005,1.0005,0,0
SEKNOK,D,19851202,000000,0.9974,0.9974,0.9974,0.9974,0,0
SEKNOK,D,19851209,000000,0.9923,0.9923,0.9923,0.9923,0,0
SEKNOK,D,19851216,000000,0.9979,0.9979,0.9979,0.9979,0,0
SEKNOK,D,19851223,000000,0.9943,0.9943,0.9943,0.9943,0,0
SEKNOK,D,19860101,000000,0.9974,0.9974,0.9974,0.9974,0,0
SEKNOK,D,19860106,000000,0.9974,0.9974,0.9974,0.9974,0,0
SEKNOK,D,19860113,000000,0.9954,0.9954,0.9954,0.9954,0,0
SEKNOK,D,19860120,000000,0.9959,0.9959,0.9959,0.9959,0,0
SEKNOK,D,19860127,000000,0.9933,0.9933,0.9933,0.9933,0,0
SEKNOK,D,19860201,000000,0.9916,0.9916,0.9916,0.9916,0,0
SEKNOK,D,19860210,000000,0.9907,0.9907,0.9907,0.9907,0,0
SEKNOK,D,19860217,000000,0.9852,0.9852,0.9852,0.9852,0,0
SEKNOK,D,19860224,000000,0.9861,0.9861,0.9861,0.9861,0,0
SEKNOK,D,19860301,000000,0.9783,0.9783,0.9783,0.9783,0,0
SEKNOK,D,19860303,000000,0.9783,0.9783,0.9783,0.9783,0,0
SEKNOK,D,19860310,000000,0.9772,0.9772,0.9772,0.9772,0,0
SEKNOK,D,19860317,000000,0.9875,0.9875,0.9875,0.9875,0,0
SEKNOK,D,19860318,000000,0.9875,0.9875,0.9875,0.9875,0,0
SEKNOK,D,19860324,000000,0.9851,0.9851,0.9851,0.9851,0,0
SEKNOK,D,19860401,000000,0.9909,0.9909,0.9909,0.9909,0,0
SEKNOK,D,19860407,000000,0.9896,0.9896,0.9896,0.9896,0,0
SEKNOK,D,19860409,000000,0.9896,0.9896,0.9896,0.9896,0,0
SEKNOK,D,19860414,000000,0.9895,0.9895,0.9895,0.9895,0,0
SEKNOK,D,19860421,000000,0.9883,0.9883,0.9883,0.9883,0,0
SEKNOK,D,19860428,000000,0.9868,0.9868,0.9868,0.9868,0,0
SEKNOK,D,19860505,000000,0.9865,0.9865,0.9865,0.9865,0,0
SEKNOK,D,19860512,000000,0.9898,0.9898,0.9898,0.9898,0,0
SEKNOK,D,19860519,000000,1.0572,1.0572,1.0572,1.0572,0,0
SEKNOK,D,19860526,000000,1.0582,1.0582,1.0582,1.0582,0,0
SEKNOK,D,19860602,000000,1.0603,1.0603,1.0603,1.0603,0,0
SEKNOK,D,19860609,000000,1.0594,1.0594,1.0594,1.0594,0,0
SEKNOK,D,19860616,000000,1.0567,1.0567,1.0567,1.0567,0,0
SEKNOK,D,19860623,000000,1.0553,1.0553,1.0553,1.0553,0,0
SEKNOK,D,19860630,000000,1.0556,1.0556,1.0556,1.0556,0,0
SEKNOK,D,19860707,000000,1.0533,1.0533,1.0533,1.0533,0,0
SEKNOK,D,19860714,000000,1.052,1.052,1.052,1.052,0,0
SEKNOK,D,19860721,000000,1.0623,1.0623,1.0623,1.0623,0,0
SEKNOK,D,19860728,000000,1.0565,1.0565,1.0565,1.0565,0,0
SEKNOK,D,19860804,000000,1.0629,1.0629,1.0629,1.0629,0,0
SEKNOK,D,19860811,000000,1.0609,1.0609,1.0609,1.0609,0,0
SEKNOK,D,19860818,000000,1.0622,1.0622,1.0622,1.0622,0,0
SEKNOK,D,19860825,000000,1.0608,1.0608,1.0608,1.0608,0,0
SEKNOK,D,19860901,000000,1.0604,1.0604,1.0604,1.0604,0,0
SEKNOK,D,19860908,000000,1.0602,1.0602,1.0602,1.0602,0,0
SEKNOK,D,19860915,000000,1.0591,1.0591,1.0591,1.0591,0,0
SEKNOK,D,19860922,000000,1.0585,1.0585,1.0585,1.0585,0,0
SEKNOK,D,19860929,000000,1.0634,1.0634,1.0634,1.0634,0,0
SEKNOK,D,19861006,000000,1.0652,1.0652,1.0652,1.0652,0,0
SEKNOK,D,19861013,000000,1.069,1.069,1.069,1.069,0,0
SEKNOK,D,19861020,000000,1.0671,1.0671,1.0671,1.0671,0,0
SEKNOK,D,19861027,000000,1.0671,1.0671,1.0671,1.0671,0,0
SEKNOK,D,19861101,000000,1.0657,1.0657,1.0657,1.0657,0,0
SEKNOK,D,19861110,000000,1.0708,1.0708,1.0708,1.0708,0,0
SEKNOK,D,19861117,000000,1.0749,1.0749,1.0749,1.0749,0,0
SEKNOK,D,19861124,000000,1.083,1.083,1.083,1.083,0,0
SEKNOK,D,19861201,000000,1.0955,1.0955,1.0955,1.0955,0,0
SEKNOK,D,19861208,000000,1.0912,1.0912,1.0912,1.0912,0,0
SEKNOK,D,19861215,000000,1.0876,1.0876,1.0876,1.0876,0,0
SEKNOK,D,19861222,000000,1.0903,1.0903,1.0903,1.0903,0,0
SEKNOK,D,19861231,000000,1.0898,1.0898,1.0898,1.0898,0,0
SEKNOK,D,19870112,000000,1.0903,1.0903,1.0903,1.0903,0,0
SEKNOK,D,19870119,000000,1.0871,1.0871,1.0871,1.0871,0,0
SEKNOK,D,19870126,000000,1.0837,1.0837,1.0837,1.0837,0,0
SEKNOK,D,19870201,000000,1.0829,1.0829,1.0829,1.0829,0,0
SEKNOK,D,19870209,000000,1.0764,1.0764,1.0764,1.0764,0,0
SEKNOK,D,19870216,000000,1.0765,1.0765,1.0765,1.0765,0,0
SEKNOK,D,19870223,000000,1.0765,1.0765,1.0765,1.0765,0,0
SEKNOK,D,19870302,000000,1.0817,1.0817,1.0817,1.0817,0,0
SEKNOK,D,19870309,000000,1.0816,1.0816,1.0816,1.0816,0,0
SEKNOK,D,19870316,000000,1.0801,1.0801,1.0801,1.0801,0,0
SEKNOK,D,19870323,000000,1.0829,1.0829,1.0829,1.0829,0,0
SEKNOK,D,19870330,000000,1.081,1.081,1.081,1.081,0,0
SEKNOK,D,19870406,000000,1.0788,1.0788,1.0788,1.0788,0,0
SEKNOK,D,19870413,000000,1.0754,1.0754,1.0754,1.0754,0,0
SEKNOK,D,19870421,000000,1.0742,1.0742,1.0742,1.0742,0,0
SEKNOK,D,19870427,000000,1.0714,1.0714,1.0714,1.0714,0,0
SEKNOK,D,19870504,000000,1.0665,1.0665,1.0665,1.0665,0,0
SEKNOK,D,19870511,000000,1.0668,1.0668,1.0668,1.0668,0,0
SEKNOK,D,19870518,000000,1.0649,1.0649,1.0649,1.0649,0,0
SEKNOK,D,19870525,000000,1.0607,1.0607,1.0607,1.0607,0,0
SEKNOK,D,19870601,000000,1.062,1.062,1.062,1.062,0,0
SEKNOK,D,19870608,000000,1.0651,1.0651,1.0651,1.0651,0,0
SEKNOK,D,19870615,000000,1.0664,1.0664,1.0664,1.0664,0,0
SEKNOK,D,19870622,000000,1.0615,1.0615,1.0615,1.0615,0,0
SEKNOK,D,19870629,000000,1.0529,1.0529,1.0529,1.0529,0,0
SEKNOK,D,19870706,000000,1.0499,1.0499,1.0499,1.0499,0,0
SEKNOK,D,19870713,000000,1.0486,1.0486,1.0486,1.0486,0,0
SEKNOK,D,19870720,000000,1.0492,1.0492,1.0492,1.0492,0,0
SEKNOK,D,19870727,000000,1.0487,1.0487,1.0487,1.0487,0,0
SEKNOK,D,19870803,000000,1.0561,1.0561,1.0561,1.0561,0,0
SEKNOK,D,19870810,000000,1.0467,1.0467,1.0467,1.0467,0,0
SEKNOK,D,19870817,000000,1.0472,1.0472,1.0472,1.0472,0,0
SEKNOK,D,19870824,000000,1.0463,1.0463,1.0463,1.0463,0,0
SEKNOK,D,19870831,000000,1.0512,1.0512,1.0512,1.0512,0,0
SEKNOK,D,19870907,000000,1.0443,1.0443,1.0443,1.0443,0,0
SEKNOK,D,19870914,000000,1.0429,1.0429,1.0429,1.0429,0,0
SEKNOK,D,19870921,000000,1.0413,1.0413,1.0413,1.0413,0,0
SEKNOK,D,19870928,000000,1.0407,1.0407,1.0407,1.0407,0,0
SEKNOK,D,19871005,000000,1.0421,1.0421,1.0421,1.0421,0,0
SEKNOK,D,19871012,000000,1.0434,1.0434,1.0434,1.0434,0,0
SEKNOK,D,19871019,000000,1.0409,1.0409,1.0409,1.0409,0,0
SEKNOK,D,19871026,000000,1.0395,1.0395,1.0395,1.0395,0,0
SEKNOK,D,19871102,000000,1.0449,1.0449,1.0449,1.0449,0,0
SEKNOK,D,19871109,000000,1.0571,1.0571,1.0571,1.0571,0,0
SEKNOK,D,19871116,000000,1.055,1.055,1.055,1.055,0,0
SEKNOK,D,19871123,000000,1.0512,1.0512,1.0512,1.0512,0,0
SEKNOK,D,19871130,000000,1.0662,1.0662,1.0662,1.0662,0,0
SEKNOK,D,19871207,000000,1.0746,1.0746,1.0746,1.0746,0,0
SEKNOK,D,19871214,000000,1.0729,1.0729,1.0729,1.0729,0,0
SEKNOK,D,19871221,000000,1.0731,1.0731,1.0731,1.0731,0,0
SEKNOK,D,19871228,000000,1.0749,1.0749,1.0749,1.0749,0,0
SEKNOK,D,19880104,000000,1.0721,1.0721,1.0721,1.0721,0,0
SEKNOK,D,19880111,000000,1.0687,1.0687,1.0687,1.0687,0,0
SEKNOK,D,19880118,000000,1.0686,1.0686,1.0686,1.0686,0,0
SEKNOK,D,19880125,000000,1.0621,1.0621,1.0621,1.0621,0,0
SEKNOK,D,19880201,000000,1.0603,1.0603,1.0603,1.0603,0,0
SEKNOK,D,19880208,000000,1.0575,1.0575,1.0575,1.0575,0,0
SEKNOK,D,19880215,000000,1.0575,1.0575,1.0575,1.0575,0,0
SEKNOK,D,19880222,000000,1.0604,1.0604,1.0604,1.0604,0,0
SEKNOK,D,19880229,000000,1.0597,1.0597,1.0597,1.0597,0,0
SEKNOK,D,19880307,000000,1.0584,1.0584,1.0584,1.0584,0,0
SEKNOK,D,19880314,000000,1.0614,1.0614,1.0614,1.0614,0,0
SEKNOK,D,19880321,000000,1.0687,1.0687,1.0687,1.0687,0,0
SEKNOK,D,19880328,000000,1.0641,1.0641,1.0641,1.0641,0,0
SEKNOK,D,19880405,000000,1.0633,1.0633,1.0633,1.0633,0,0
SEKNOK,D,19880411,000000,1.0612,1.0612,1.0612,1.0612,0,0
SEKNOK,D,19880418,000000,1.0596,1.0596,1.0596,1.0596,0,0
SEKNOK,D,19880425,000000,1.0515,1.0515,1.0515,1.0515,0,0
SEKNOK,D,19880502,000000,1.0518,1.0518,1.0518,1.0518,0,0
SEKNOK,D,19880509,000000,1.0495,1.0495,1.0495,1.0495,0,0
SEKNOK,D,19880516,000000,1.0484,1.0484,1.0484,1.0484,0,0
SEKNOK,D,19880523,000000,1.0465,1.0465,1.0465,1.0465,0,0
