<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEKRUB,D,19951023,000000,0.6724,0.6724,0.6724,0.6724,0,0
SEKRUB,D,19951024,000000,0.6742,0.6742,0.6742,0.6742,0,0
SEKRUB,D,19951025,000000,0.6824,0.6824,0.6824,0.6824,0,0
SEKRUB,D,19951026,000000,0.6796,0.6796,0.6796,0.6796,0,0
SEKRUB,D,19951027,000000,0.6872,0.6872,0.6872,0.6872,0,0
SEKRUB,D,19951030,000000,0.6806,0.6806,0.6806,0.6806,0,0
SEKRUB,D,19951031,000000,0.6755,0.6755,0.6755,0.6755,0,0
SEKRUB,D,19951102,000000,0.6802,0.6802,0.6802,0.6802,0,0
SEKRUB,D,19951103,000000,0.6775,0.6775,0.6775,0.6775,0,0
SEKRUB,D,19951106,000000,0.6775,0.6775,0.6775,0.6775,0,0
SEKRUB,D,19951107,000000,0.6767,0.6767,0.6767,0.6767,0,0
SEKRUB,D,19951108,000000,0.6794,0.6794,0.6794,0.6794,0,0
SEKRUB,D,19951109,000000,0.6759,0.6759,0.6759,0.6759,0,0
SEKRUB,D,19951110,000000,0.6795,0.6795,0.6795,0.6795,0,0
SEKRUB,D,19951113,000000,0.6814,0.6814,0.6814,0.6814,0,0
SEKRUB,D,19951114,000000,0.6803,0.6803,0.6803,0.6803,0,0
SEKRUB,D,19951115,000000,0.6854,0.6854,0.6854,0.6854,0,0
SEKRUB,D,19951116,000000,0.6842,0.6842,0.6842,0.6842,0,0
SEKRUB,D,19951117,000000,0.6946,0.6946,0.6946,0.6946,0,0
SEKRUB,D,19951120,000000,0.6955,0.6955,0.6955,0.6955,0,0
SEKRUB,D,19951121,000000,0.6955,0.6955,0.6955,0.6955,0,0
SEKRUB,D,19951122,000000,0.7024,0.7024,0.7024,0.7024,0,0
SEKRUB,D,19951123,000000,0.702,0.702,0.702,0.702,0,0
SEKRUB,D,19951124,000000,0.7024,0.7024,0.7024,0.7024,0,0
SEKRUB,D,19951127,000000,0.7073,0.7073,0.7073,0.7073,0,0
SEKRUB,D,19951128,000000,0.7017,0.7017,0.7017,0.7017,0,0
SEKRUB,D,19951129,000000,0.7055,0.7055,0.7055,0.7055,0,0
SEKRUB,D,19951130,000000,0.7009,0.7009,0.7009,0.7009,0,0
SEKRUB,D,19951201,000000,0.6995,0.6995,0.6995,0.6995,0,0
SEKRUB,D,19951204,000000,0.7012,0.7012,0.7012,0.7012,0,0
SEKRUB,D,19951205,000000,0.7036,0.7036,0.7036,0.7036,0,0
SEKRUB,D,19951206,000000,0.6986,0.6986,0.6986,0.6986,0,0
SEKRUB,D,19951207,000000,0.6963,0.6963,0.6963,0.6963,0,0
SEKRUB,D,19951208,000000,0.6877,0.6877,0.6877,0.6877,0,0
SEKRUB,D,19951211,000000,0.6821,0.6821,0.6821,0.6821,0,0
SEKRUB,D,19951212,000000,0.6836,0.6836,0.6836,0.6836,0,0
SEKRUB,D,19951213,000000,0.688,0.688,0.688,0.688,0,0
SEKRUB,D,19951214,000000,0.6951,0.6951,0.6951,0.6951,0,0
SEKRUB,D,19951215,000000,0.6968,0.6968,0.6968,0.6968,0,0
SEKRUB,D,19951218,000000,0.7036,0.7036,0.7036,0.7036,0,0
SEKRUB,D,19951219,000000,0.7019,0.7019,0.7019,0.7019,0,0
SEKRUB,D,19951220,000000,0.6963,0.6963,0.6963,0.6963,0,0
SEKRUB,D,19951221,000000,0.6985,0.6985,0.6985,0.6985,0,0
SEKRUB,D,19951222,000000,0.6975,0.6975,0.6975,0.6975,0,0
SEKRUB,D,19951227,000000,0.6969,0.6969,0.6969,0.6969,0,0
SEKRUB,D,19951228,000000,0.6977,0.6977,0.6977,0.6977,0,0
SEKRUB,D,19951229,000000,0.7013,0.7013,0.7013,0.7013,0,0
SEKRUB,D,19960102,000000,0.7033,0.7033,0.7033,0.7033,0,0
SEKRUB,D,19960103,000000,0.7033,0.7033,0.7033,0.7033,0,0
SEKRUB,D,19960104,000000,0.7008,0.7008,0.7008,0.7008,0,0
SEKRUB,D,19960105,000000,0.7028,0.7028,0.7028,0.7028,0,0
SEKRUB,D,19960108,000000,0.701,0.701,0.701,0.701,0,0
SEKRUB,D,19960109,000000,0.7039,0.7039,0.7039,0.7039,0,0
SEKRUB,D,19960110,000000,0.7097,0.7097,0.7097,0.7097,0,0
SEKRUB,D,19960111,000000,0.7107,0.7107,0.7107,0.7107,0,0
SEKRUB,D,19960112,000000,0.7056,0.7056,0.7056,0.7056,0,0
SEKRUB,D,19960115,000000,0.7091,0.7091,0.7091,0.7091,0,0
SEKRUB,D,19960116,000000,0.7054,0.7054,0.7054,0.7054,0,0
SEKRUB,D,19960117,000000,0.7019,0.7019,0.7019,0.7019,0,0
SEKRUB,D,19960118,000000,0.7006,0.7006,0.7006,0.7006,0,0
SEKRUB,D,19960119,000000,0.7009,0.7009,0.7009,0.7009,0,0
SEKRUB,D,19960122,000000,0.6878,0.6878,0.6878,0.6878,0,0
SEKRUB,D,19960123,000000,0.6831,0.6831,0.6831,0.6831,0,0
SEKRUB,D,19960124,000000,0.6856,0.6856,0.6856,0.6856,0,0
SEKRUB,D,19960125,000000,0.6807,0.6807,0.6807,0.6807,0,0
SEKRUB,D,19960126,000000,0.6782,0.6782,0.6782,0.6782,0,0
SEKRUB,D,19960129,000000,0.6721,0.6721,0.6721,0.6721,0,0
SEKRUB,D,19960130,000000,0.6803,0.6803,0.6803,0.6803,0,0
SEKRUB,D,19960131,000000,0.683,0.683,0.683,0.683,0,0
SEKRUB,D,19960201,000000,0.683,0.683,0.683,0.683,0,0
