<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEKTHB,D,19930104,000000,3.9668,3.9668,3.9668,3.9668,0,0
SEKTHB,D,19930105,000000,3.9493,3.9493,3.9493,3.9493,0,0
SEKTHB,D,19930106,000000,3.9276,3.9276,3.9276,3.9276,0,0
SEKTHB,D,19930107,000000,3.8792,3.8792,3.8792,3.8792,0,0
SEKTHB,D,19930108,000000,3.8398,3.8398,3.8398,3.8398,0,0
SEKTHB,D,19930111,000000,3.882,3.882,3.882,3.882,0,0
SEKTHB,D,19930112,000000,3.8104,3.8104,3.8104,3.8104,0,0
SEKTHB,D,19930113,000000,3.8335,3.8335,3.8335,3.8335,0,0
SEKTHB,D,19930114,000000,3.9463,3.9463,3.9463,3.9463,0,0
SEKTHB,D,19930115,000000,3.9222,3.9222,3.9222,3.9222,0,0
SEKTHB,D,19930118,000000,3.9437,3.9437,3.9437,3.9437,0,0
SEKTHB,D,19930119,000000,3.9535,3.9535,3.9535,3.9535,0,0
SEKTHB,D,19930120,000000,3.9714,3.9714,3.9714,3.9714,0,0
SEKTHB,D,19930121,000000,3.9411,3.9411,3.9411,3.9411,0,0
SEKTHB,D,19930122,000000,3.9928,3.9928,3.9928,3.9928,0,0
SEKTHB,D,19930125,000000,4.021,4.021,4.021,4.021,0,0
SEKTHB,D,19930126,000000,4.0201,4.0201,4.0201,4.0201,0,0
SEKTHB,D,19930127,000000,4.0025,4.0025,4.0025,4.0025,0,0
SEKTHB,D,19930128,000000,3.9483,3.9483,3.9483,3.9483,0,0
SEKTHB,D,19930129,000000,3.9008,3.9008,3.9008,3.9008,0,0
SEKTHB,D,19930201,000000,3.8211,3.8211,3.8211,3.8211,0,0
SEKTHB,D,19930202,000000,3.8379,3.8379,3.8379,3.8379,0,0
SEKTHB,D,19930203,000000,3.7842,3.7842,3.7842,3.7842,0,0
SEKTHB,D,19930204,000000,3.8205,3.8205,3.8205,3.8205,0,0
SEKTHB,D,19930205,000000,3.8443,3.8443,3.8443,3.8443,0,0
SEKTHB,D,19930208,000000,3.826,3.826,3.826,3.826,0,0
SEKTHB,D,19930209,000000,3.8505,3.8505,3.8505,3.8505,0,0
SEKTHB,D,19930210,000000,3.8185,3.8185,3.8185,3.8185,0,0
SEKTHB,D,19930211,000000,3.8155,3.8155,3.8155,3.8155,0,0
SEKTHB,D,19930212,000000,3.7875,3.7875,3.7875,3.7875,0,0
SEKTHB,D,19930215,000000,3.7847,3.7847,3.7847,3.7847,0,0
SEKTHB,D,19930216,000000,3.8318,3.8318,3.8318,3.8318,0,0
SEKTHB,D,19930217,000000,3.8152,3.8152,3.8152,3.8152,0,0
