<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDHKD,D,19840109,000000,3.6535,3.6535,3.6535,3.6535,0,0
SGDHKD,D,19840116,000000,3.6614,3.6614,3.6614,3.6614,0,0
SGDHKD,D,19840123,000000,3.6614,3.6614,3.6614,3.6614,0,0
SGDHKD,D,19840130,000000,3.6614,3.6614,3.6614,3.6614,0,0
SGDHKD,D,19840206,000000,3.6614,3.6614,3.6614,3.6614,0,0
SGDHKD,D,19840213,000000,3.6614,3.6614,3.6614,3.6614,0,0
SGDHKD,D,19840220,000000,3.6508,3.6508,3.6508,3.6508,0,0
SGDHKD,D,19840301,000000,3.6738,3.6738,3.6738,3.6738,0,0
SGDHKD,D,19840305,000000,3.75,3.75,3.75,3.75,0,0
SGDHKD,D,19840312,000000,3.7194,3.7194,3.7194,3.7194,0,0
SGDHKD,D,19840319,000000,3.7391,3.7391,3.7391,3.7391,0,0
SGDHKD,D,19840326,000000,3.7357,3.7357,3.7357,3.7357,0,0
SGDHKD,D,19840402,000000,3.7357,3.7357,3.7357,3.7357,0,0
SGDHKD,D,19840409,000000,3.7214,3.7214,3.7214,3.7214,0,0
SGDHKD,D,19840416,000000,3.7357,3.7357,3.7357,3.7357,0,0
SGDHKD,D,19840424,000000,3.7376,3.7376,3.7376,3.7376,0,0
SGDHKD,D,19840502,000000,3.7376,3.7376,3.7376,3.7376,0,0
SGDHKD,D,19840507,000000,3.7324,3.7324,3.7324,3.7324,0,0
SGDHKD,D,19840514,000000,3.7183,3.7183,3.7183,3.7183,0,0
SGDHKD,D,19840521,000000,3.6972,3.6972,3.6972,3.6972,0,0
SGDHKD,D,19840528,000000,3.6972,3.6972,3.6972,3.6972,0,0
SGDHKD,D,19840604,000000,3.7324,3.7324,3.7324,3.7324,0,0
SGDHKD,D,19840611,000000,3.7021,3.7021,3.7021,3.7021,0,0
SGDHKD,D,19840618,000000,3.6901,3.6901,3.6901,3.6901,0,0
SGDHKD,D,19840625,000000,3.669,3.669,3.669,3.669,0,0
SGDHKD,D,19840702,000000,3.6643,3.6643,3.6643,3.6643,0,0
SGDHKD,D,19840709,000000,3.669,3.669,3.669,3.669,0,0
SGDHKD,D,19840716,000000,3.6643,3.6643,3.6643,3.6643,0,0
SGDHKD,D,19840723,000000,3.6389,3.6389,3.6389,3.6389,0,0
SGDHKD,D,19840730,000000,3.6458,3.6458,3.6458,3.6458,0,0
SGDHKD,D,19840806,000000,3.6597,3.6597,3.6597,3.6597,0,0
SGDHKD,D,19840813,000000,3.6528,3.6528,3.6528,3.6528,0,0
SGDHKD,D,19840820,000000,3.6597,3.6597,3.6597,3.6597,0,0
SGDHKD,D,19840827,000000,3.6597,3.6597,3.6597,3.6597,0,0
SGDHKD,D,19840901,000000,3.6561,3.6561,3.6561,3.6561,0,0
SGDHKD,D,19840910,000000,3.6329,3.6329,3.6329,3.6329,0,0
SGDHKD,D,19840917,000000,3.6226,3.6226,3.6226,3.6226,0,0
SGDHKD,D,19840924,000000,3.6273,3.6273,3.6273,3.6273,0,0
SGDHKD,D,19841001,000000,3.6087,3.6087,3.6087,3.6087,0,0
SGDHKD,D,19841008,000000,3.6063,3.6063,3.6063,3.6063,0,0
SGDHKD,D,19841015,000000,3.6025,3.6025,3.6025,3.6025,0,0
