<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDHRK,D,19951023,000000,3.7321,3.7321,3.7321,3.7321,0,0
SGDHRK,D,19951024,000000,3.7315,3.7315,3.7315,3.7315,0,0
SGDHRK,D,19951025,000000,3.6173,3.6173,3.6173,3.6173,0,0
SGDHRK,D,19951026,000000,3.6295,3.6295,3.6295,3.6295,0,0
SGDHRK,D,19951027,000000,3.6553,3.6553,3.6553,3.6553,0,0
SGDHRK,D,19951030,000000,3.6321,3.6321,3.6321,3.6321,0,0
SGDHRK,D,19951031,000000,3.6584,3.6584,3.6584,3.6584,0,0
SGDHRK,D,19951102,000000,3.6764,3.6764,3.6764,3.6764,0,0
SGDHRK,D,19951103,000000,3.7244,3.7244,3.7244,3.7244,0,0
SGDHRK,D,19951106,000000,3.7239,3.7239,3.7239,3.7239,0,0
SGDHRK,D,19951107,000000,3.708,3.708,3.708,3.708,0,0
SGDHRK,D,19951108,000000,3.7074,3.7074,3.7074,3.7074,0,0
SGDHRK,D,19951109,000000,3.7308,3.7308,3.7308,3.7308,0,0
SGDHRK,D,19951110,000000,3.7313,3.7313,3.7313,3.7313,0,0
SGDHRK,D,19951113,000000,3.7297,3.7297,3.7297,3.7297,0,0
SGDHRK,D,19951114,000000,3.7305,3.7305,3.7305,3.7305,0,0
SGDHRK,D,19951115,000000,3.7305,3.7305,3.7305,3.7305,0,0
SGDHRK,D,19951116,000000,3.7229,3.7229,3.7229,3.7229,0,0
SGDHRK,D,19951117,000000,3.7266,3.7266,3.7266,3.7266,0,0
SGDHRK,D,19951120,000000,3.7242,3.7242,3.7242,3.7242,0,0
SGDHRK,D,19951121,000000,3.7202,3.7202,3.7202,3.7202,0,0
SGDHRK,D,19951122,000000,3.7305,3.7305,3.7305,3.7305,0,0
SGDHRK,D,19951123,000000,3.7244,3.7244,3.7244,3.7244,0,0
SGDHRK,D,19951124,000000,3.7213,3.7213,3.7213,3.7213,0,0
SGDHRK,D,19951127,000000,3.7231,3.7231,3.7231,3.7231,0,0
SGDHRK,D,19951128,000000,3.7255,3.7255,3.7255,3.7255,0,0
SGDHRK,D,19951129,000000,3.7257,3.7257,3.7257,3.7257,0,0
SGDHRK,D,19951130,000000,3.7602,3.7602,3.7602,3.7602,0,0
SGDHRK,D,19951201,000000,3.7469,3.7469,3.7469,3.7469,0,0
SGDHRK,D,19951204,000000,3.7864,3.7864,3.7864,3.7864,0,0
SGDHRK,D,19951205,000000,3.7568,3.7568,3.7568,3.7568,0,0
SGDHRK,D,19951206,000000,3.7577,3.7577,3.7577,3.7577,0,0
SGDHRK,D,19951207,000000,3.7566,3.7566,3.7566,3.7566,0,0
SGDHRK,D,19951208,000000,3.755,3.755,3.755,3.755,0,0
SGDHRK,D,19951211,000000,3.783,3.783,3.783,3.783,0,0
SGDHRK,D,19951212,000000,3.7787,3.7787,3.7787,3.7787,0,0
SGDHRK,D,19951213,000000,3.7779,3.7779,3.7779,3.7779,0,0
SGDHRK,D,19951214,000000,3.7798,3.7798,3.7798,3.7798,0,0
SGDHRK,D,19951215,000000,3.7864,3.7864,3.7864,3.7864,0,0
SGDHRK,D,19951218,000000,3.7969,3.7969,3.7969,3.7969,0,0
SGDHRK,D,19951219,000000,3.7944,3.7944,3.7944,3.7944,0,0
SGDHRK,D,19951220,000000,3.7944,3.7944,3.7944,3.7944,0,0
SGDHRK,D,19951221,000000,3.7944,3.7944,3.7944,3.7944,0,0
SGDHRK,D,19951222,000000,3.7944,3.7944,3.7944,3.7944,0,0
SGDHRK,D,19951227,000000,3.7909,3.7909,3.7909,3.7909,0,0
SGDHRK,D,19951228,000000,3.7517,3.7517,3.7517,3.7517,0,0
SGDHRK,D,19951229,000000,3.7467,3.7467,3.7467,3.7467,0,0
SGDHRK,D,19960102,000000,3.755,3.755,3.755,3.755,0,0
SGDHRK,D,19960103,000000,3.7476,3.7476,3.7476,3.7476,0,0
SGDHRK,D,19960104,000000,3.7578,3.7578,3.7578,3.7578,0,0
SGDHRK,D,19960105,000000,3.7523,3.7523,3.7523,3.7523,0,0
SGDHRK,D,19960108,000000,3.7464,3.7464,3.7464,3.7464,0,0
SGDHRK,D,19960109,000000,3.7281,3.7281,3.7281,3.7281,0,0
SGDHRK,D,19960110,000000,3.7402,3.7402,3.7402,3.7402,0,0
SGDHRK,D,19960111,000000,3.73,3.73,3.73,3.73,0,0
SGDHRK,D,19960112,000000,3.7364,3.7364,3.7364,3.7364,0,0
SGDHRK,D,19960115,000000,3.7353,3.7353,3.7353,3.7353,0,0
SGDHRK,D,19960116,000000,3.7413,3.7413,3.7413,3.7413,0,0
SGDHRK,D,19960117,000000,3.7413,3.7413,3.7413,3.7413,0,0
SGDHRK,D,19960118,000000,3.8073,3.8073,3.8073,3.8073,0,0
SGDHRK,D,19960119,000000,3.7998,3.7998,3.7998,3.7998,0,0
SGDHRK,D,19960122,000000,3.8227,3.8227,3.8227,3.8227,0,0
SGDHRK,D,19960123,000000,3.8228,3.8228,3.8228,3.8228,0,0
SGDHRK,D,19960124,000000,3.8244,3.8244,3.8244,3.8244,0,0
SGDHRK,D,19960125,000000,3.8589,3.8589,3.8589,3.8589,0,0
SGDHRK,D,19960126,000000,3.863,3.863,3.863,3.863,0,0
SGDHRK,D,19960129,000000,3.8826,3.8826,3.8826,3.8826,0,0
SGDHRK,D,19960130,000000,3.8706,3.8706,3.8706,3.8706,0,0
SGDHRK,D,19960131,000000,3.8574,3.8574,3.8574,3.8574,0,0
SGDHRK,D,19960201,000000,3.8594,3.8594,3.8594,3.8594,0,0
SGDHRK,D,19960202,000000,3.8642,3.8642,3.8642,3.8642,0,0
SGDHRK,D,19960205,000000,3.8833,3.8833,3.8833,3.8833,0,0
SGDHRK,D,19960206,000000,3.8836,3.8836,3.8836,3.8836,0,0
SGDHRK,D,19960207,000000,3.8527,3.8527,3.8527,3.8527,0,0
SGDHRK,D,19960208,000000,3.8456,3.8456,3.8456,3.8456,0,0
SGDHRK,D,19960209,000000,3.8579,3.8579,3.8579,3.8579,0,0
SGDHRK,D,19960212,000000,3.8677,3.8677,3.8677,3.8677,0,0
SGDHRK,D,19960213,000000,3.8492,3.8492,3.8492,3.8492,0,0
SGDHRK,D,19960214,000000,3.8442,3.8442,3.8442,3.8442,0,0
SGDHRK,D,19960215,000000,3.8477,3.8477,3.8477,3.8477,0,0
SGDHRK,D,19960216,000000,3.8451,3.8451,3.8451,3.8451,0,0
SGDHRK,D,19960219,000000,3.8864,3.8864,3.8864,3.8864,0,0
SGDHRK,D,19960220,000000,3.8656,3.8656,3.8656,3.8656,0,0
SGDHRK,D,19960221,000000,3.8123,3.8123,3.8123,3.8123,0,0
SGDHRK,D,19960222,000000,3.8037,3.8037,3.8037,3.8037,0,0
SGDHRK,D,19960223,000000,3.8017,3.8017,3.8017,3.8017,0,0
SGDHRK,D,19960226,000000,3.817,3.817,3.817,3.817,0,0
SGDHRK,D,19960227,000000,3.7887,3.7887,3.7887,3.7887,0,0
SGDHRK,D,19960228,000000,3.7904,3.7904,3.7904,3.7904,0,0
SGDHRK,D,19960229,000000,3.7902,3.7902,3.7902,3.7902,0,0
SGDHRK,D,19960301,000000,3.8231,3.8231,3.8231,3.8231,0,0
SGDHRK,D,19960304,000000,3.824,3.824,3.824,3.824,0,0
SGDHRK,D,19960305,000000,3.8388,3.8388,3.8388,3.8388,0,0
SGDHRK,D,19960306,000000,3.8573,3.8573,3.8573,3.8573,0,0
