<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDRUB,D,19951023,000000,3.1965,3.1965,3.1965,3.1965,0,0
SGDRUB,D,19951024,000000,3.1957,3.1957,3.1957,3.1957,0,0
SGDRUB,D,19951025,000000,3.1732,3.1732,3.1732,3.1732,0,0
SGDRUB,D,19951026,000000,3.1763,3.1763,3.1763,3.1763,0,0
SGDRUB,D,19951027,000000,3.2016,3.2016,3.2016,3.2016,0,0
SGDRUB,D,19951030,000000,3.1755,3.1755,3.1755,3.1755,0,0
SGDRUB,D,19951031,000000,3.1985,3.1985,3.1985,3.1985,0,0
SGDRUB,D,19951102,000000,3.1868,3.1868,3.1868,3.1868,0,0
SGDRUB,D,19951103,000000,3.2096,3.2096,3.2096,3.2096,0,0
SGDRUB,D,19951106,000000,3.2106,3.2106,3.2106,3.2106,0,0
SGDRUB,D,19951107,000000,3.211,3.211,3.211,3.211,0,0
SGDRUB,D,19951108,000000,3.2064,3.2064,3.2064,3.2064,0,0
SGDRUB,D,19951109,000000,3.2059,3.2059,3.2059,3.2059,0,0
SGDRUB,D,19951110,000000,3.2071,3.2071,3.2071,3.2071,0,0
SGDRUB,D,19951113,000000,3.2135,3.2135,3.2135,3.2135,0,0
SGDRUB,D,19951114,000000,3.2206,3.2206,3.2206,3.2206,0,0
SGDRUB,D,19951115,000000,3.2184,3.2184,3.2184,3.2184,0,0
SGDRUB,D,19951116,000000,3.2054,3.2054,3.2054,3.2054,0,0
SGDRUB,D,19951117,000000,3.2279,3.2279,3.2279,3.2279,0,0
SGDRUB,D,19951120,000000,3.2345,3.2345,3.2345,3.2345,0,0
SGDRUB,D,19951121,000000,3.2248,3.2248,3.2248,3.2248,0,0
SGDRUB,D,19951122,000000,3.2438,3.2438,3.2438,3.2438,0,0
SGDRUB,D,19951123,000000,3.2407,3.2407,3.2407,3.2407,0,0
SGDRUB,D,19951124,000000,3.2377,3.2377,3.2377,3.2377,0,0
SGDRUB,D,19951127,000000,3.2441,3.2441,3.2441,3.2441,0,0
SGDRUB,D,19951128,000000,3.2439,3.2439,3.2439,3.2439,0,0
SGDRUB,D,19951129,000000,3.2404,3.2404,3.2404,3.2404,0,0
SGDRUB,D,19951130,000000,3.2466,3.2466,3.2466,3.2466,0,0
SGDRUB,D,19951201,000000,3.2432,3.2432,3.2432,3.2432,0,0
SGDRUB,D,19951204,000000,3.2432,3.2432,3.2432,3.2432,0,0
SGDRUB,D,19951205,000000,3.2494,3.2494,3.2494,3.2494,0,0
SGDRUB,D,19951206,000000,3.2463,3.2463,3.2463,3.2463,0,0
SGDRUB,D,19951207,000000,3.2525,3.2525,3.2525,3.2525,0,0
SGDRUB,D,19951208,000000,3.2394,3.2394,3.2394,3.2394,0,0
SGDRUB,D,19951211,000000,3.2393,3.2393,3.2393,3.2393,0,0
SGDRUB,D,19951212,000000,3.2357,3.2357,3.2357,3.2357,0,0
SGDRUB,D,19951213,000000,3.2653,3.2653,3.2653,3.2653,0,0
SGDRUB,D,19951214,000000,3.2719,3.2719,3.2719,3.2719,0,0
SGDRUB,D,19951215,000000,3.2687,3.2687,3.2687,3.2687,0,0
SGDRUB,D,19951218,000000,3.2816,3.2816,3.2816,3.2816,0,0
SGDRUB,D,19951219,000000,3.2814,3.2814,3.2814,3.2814,0,0
SGDRUB,D,19951220,000000,3.2813,3.2813,3.2813,3.2813,0,0
SGDRUB,D,19951221,000000,3.2814,3.2814,3.2814,3.2814,0,0
SGDRUB,D,19951222,000000,3.2814,3.2814,3.2814,3.2814,0,0
SGDRUB,D,19951227,000000,3.2758,3.2758,3.2758,3.2758,0,0
SGDRUB,D,19951228,000000,3.2852,3.2852,3.2852,3.2852,0,0
SGDRUB,D,19951229,000000,3.2807,3.2807,3.2807,3.2807,0,0
SGDRUB,D,19960102,000000,3.2784,3.2784,3.2784,3.2784,0,0
SGDRUB,D,19960103,000000,3.2785,3.2785,3.2785,3.2785,0,0
SGDRUB,D,19960104,000000,3.2785,3.2785,3.2785,3.2785,0,0
SGDRUB,D,19960105,000000,3.2596,3.2596,3.2596,3.2596,0,0
SGDRUB,D,19960108,000000,3.2571,3.2571,3.2571,3.2571,0,0
SGDRUB,D,19960109,000000,3.2697,3.2697,3.2697,3.2697,0,0
SGDRUB,D,19960110,000000,3.276,3.276,3.276,3.276,0,0
SGDRUB,D,19960111,000000,3.276,3.276,3.276,3.276,0,0
SGDRUB,D,19960112,000000,3.276,3.276,3.276,3.276,0,0
SGDRUB,D,19960115,000000,3.2789,3.2789,3.2789,3.2789,0,0
SGDRUB,D,19960116,000000,3.2789,3.2789,3.2789,3.2789,0,0
SGDRUB,D,19960117,000000,3.2789,3.2789,3.2789,3.2789,0,0
SGDRUB,D,19960118,000000,3.3046,3.3046,3.3046,3.3046,0,0
SGDRUB,D,19960119,000000,3.3014,3.3014,3.3014,3.3014,0,0
SGDRUB,D,19960122,000000,3.2886,3.2886,3.2886,3.2886,0,0
SGDRUB,D,19960123,000000,3.2886,3.2886,3.2886,3.2886,0,0
SGDRUB,D,19960124,000000,3.3173,3.3173,3.3173,3.3173,0,0
SGDRUB,D,19960125,000000,3.3172,3.3172,3.3172,3.3172,0,0
SGDRUB,D,19960126,000000,3.3236,3.3236,3.3236,3.3236,0,0
SGDRUB,D,19960129,000000,3.3301,3.3301,3.3301,3.3301,0,0
SGDRUB,D,19960130,000000,3.3366,3.3366,3.3366,3.3366,0,0
SGDRUB,D,19960131,000000,3.3397,3.3397,3.3397,3.3397,0,0
SGDRUB,D,19960201,000000,3.3399,3.3399,3.3399,3.3399,0,0
SGDRUB,D,19960202,000000,3.3463,3.3463,3.3463,3.3463,0,0
SGDRUB,D,19960205,000000,3.3495,3.3495,3.3495,3.3495,0,0
SGDRUB,D,19960206,000000,3.3496,3.3496,3.3496,3.3496,0,0
SGDRUB,D,19960207,000000,3.3494,3.3494,3.3494,3.3494,0,0
SGDRUB,D,19960208,000000,3.3462,3.3462,3.3462,3.3462,0,0
SGDRUB,D,19960209,000000,3.343,3.343,3.343,3.343,0,0
SGDRUB,D,19960212,000000,3.3625,3.3625,3.3625,3.3625,0,0
SGDRUB,D,19960213,000000,3.3527,3.3527,3.3527,3.3527,0,0
