<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDSEK,D,19840109,000000,3.8284,3.8284,3.8284,3.8284,0,0
SGDSEK,D,19840116,000000,3.8462,3.8462,3.8462,3.8462,0,0
SGDSEK,D,19840123,000000,3.8335,3.8335,3.8335,3.8335,0,0
SGDSEK,D,19840130,000000,3.8335,3.8335,3.8335,3.8335,0,0
SGDSEK,D,19840206,000000,3.8366,3.8366,3.8366,3.8366,0,0
SGDSEK,D,19840213,000000,3.8398,3.8398,3.8398,3.8398,0,0
SGDSEK,D,19840220,000000,3.7954,3.7954,3.7954,3.7954,0,0
SGDSEK,D,19840301,000000,3.7428,3.7428,3.7428,3.7428,0,0
SGDSEK,D,19840305,000000,3.7473,3.7473,3.7473,3.7473,0,0
SGDSEK,D,19840312,000000,3.6641,3.6641,3.6641,3.6641,0,0
SGDSEK,D,19840319,000000,3.6389,3.6389,3.6389,3.6389,0,0
SGDSEK,D,19840326,000000,3.7224,3.7224,3.7224,3.7224,0,0
SGDSEK,D,19840402,000000,3.6909,3.6909,3.6909,3.6909,0,0
SGDSEK,D,19840409,000000,3.6977,3.6977,3.6977,3.6977,0,0
SGDSEK,D,19840416,000000,3.7304,3.7304,3.7304,3.7304,0,0
SGDSEK,D,19840424,000000,3.7616,3.7616,3.7616,3.7616,0,0
SGDSEK,D,19840502,000000,3.7886,3.7886,3.7886,3.7886,0,0
SGDSEK,D,19840507,000000,3.835,3.835,3.835,3.835,0,0
SGDSEK,D,19840514,000000,3.8484,3.8484,3.8484,3.8484,0,0
SGDSEK,D,19840521,000000,3.8321,3.8321,3.8321,3.8321,0,0
SGDSEK,D,19840528,000000,3.8182,3.8182,3.8182,3.8182,0,0
SGDSEK,D,19840604,000000,3.8574,3.8574,3.8574,3.8574,0,0
SGDSEK,D,19840611,000000,3.7771,3.7771,3.7771,3.7771,0,0
SGDSEK,D,19840618,000000,3.8165,3.8165,3.8165,3.8165,0,0
SGDSEK,D,19840625,000000,3.8057,3.8057,3.8057,3.8057,0,0
SGDSEK,D,19840702,000000,3.8501,3.8501,3.8501,3.8501,0,0
SGDSEK,D,19840709,000000,3.8253,3.8253,3.8253,3.8253,0,0
SGDSEK,D,19840716,000000,3.8529,3.8529,3.8529,3.8529,0,0
