<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDUSD,D,19840109,000000,0.47083,0.47083,0.47083,0.47083,0,0
SGDUSD,D,19840116,000000,0.46809,0.46809,0.46809,0.46809,0,0
SGDUSD,D,19840123,000000,0.4716,0.4716,0.4716,0.4716,0,0
SGDUSD,D,19840130,000000,0.46884,0.46884,0.46884,0.46884,0,0
SGDUSD,D,19840206,000000,0.4696,0.4696,0.4696,0.4696,0,0
SGDUSD,D,19840213,000000,0.47199,0.47199,0.47199,0.47199,0,0
SGDUSD,D,19840220,000000,0.46805,0.46805,0.46805,0.46805,0,0
SGDUSD,D,19840301,000000,0.47091,0.47091,0.47091,0.47091,0,0
SGDUSD,D,19840305,000000,0.48165,0.48165,0.48165,0.48165,0,0
SGDUSD,D,19840312,000000,0.47703,0.47703,0.47703,0.47703,0,0
SGDUSD,D,19840319,000000,0.47619,0.47619,0.47619,0.47619,0,0
SGDUSD,D,19840326,000000,0.47815,0.47815,0.47815,0.47815,0,0
SGDUSD,D,19840402,000000,0.4803,0.4803,0.4803,0.4803,0,0
SGDUSD,D,19840409,000000,0.4765,0.4765,0.4765,0.4765,0,0
SGDUSD,D,19840416,000000,0.47767,0.47767,0.47767,0.47767,0,0
SGDUSD,D,19840424,000000,0.48071,0.48071,0.48071,0.48071,0,0
SGDUSD,D,19840502,000000,0.47805,0.47805,0.47805,0.47805,0,0
SGDUSD,D,19840507,000000,0.47799,0.47799,0.47799,0.47799,0,0
SGDUSD,D,19840514,000000,0.4738,0.4738,0.4738,0.4738,0,0
SGDUSD,D,19840521,000000,0.47221,0.47221,0.47221,0.47221,0,0
SGDUSD,D,19840528,000000,0.47285,0.47285,0.47285,0.47285,0,0
SGDUSD,D,19840604,000000,0.47765,0.47765,0.47765,0.47765,0,0
SGDUSD,D,19840611,000000,0.47429,0.47429,0.47429,0.47429,0,0
SGDUSD,D,19840618,000000,0.47322,0.47322,0.47322,0.47322,0,0
SGDUSD,D,19840625,000000,0.46848,0.46848,0.46848,0.46848,0,0
SGDUSD,D,19840702,000000,0.46966,0.46966,0.46966,0.46966,0,0
SGDUSD,D,19840709,000000,0.46501,0.46501,0.46501,0.46501,0,0
SGDUSD,D,19840716,000000,0.46615,0.46615,0.46615,0.46615,0,0
SGDUSD,D,19840723,000000,0.46561,0.46561,0.46561,0.46561,0,0
SGDUSD,D,19840730,000000,0.46444,0.46444,0.46444,0.46444,0,0
SGDUSD,D,19840806,000000,0.4651,0.4651,0.4651,0.4651,0,0
SGDUSD,D,19840813,000000,0.46413,0.46413,0.46413,0.46413,0,0
SGDUSD,D,19840820,000000,0.46538,0.46538,0.46538,0.46538,0,0
SGDUSD,D,19840827,000000,0.46596,0.46596,0.46596,0.46596,0,0
SGDUSD,D,19840901,000000,0.46667,0.46667,0.46667,0.46667,0,0
SGDUSD,D,19840910,000000,0.4641,0.4641,0.4641,0.4641,0,0
SGDUSD,D,19840917,000000,0.46154,0.46154,0.46154,0.46154,0,0
SGDUSD,D,19840924,000000,0.46331,0.46331,0.46331,0.46331,0,0
SGDUSD,D,19841001,000000,0.46243,0.46243,0.46243,0.46243,0,0
SGDUSD,D,19841008,000000,0.46013,0.46013,0.46013,0.46013,0,0
SGDUSD,D,19841015,000000,0.46098,0.46098,0.46098,0.46098,0,0
SGDUSD,D,19841022,000000,0.46215,0.46215,0.46215,0.46215,0,0
SGDUSD,D,19841029,000000,0.46264,0.46264,0.46264,0.46264,0,0
SGDUSD,D,19841105,000000,0.46543,0.46543,0.46543,0.46543,0,0
SGDUSD,D,19841112,000000,0.46512,0.46512,0.46512,0.46512,0,0
SGDUSD,D,19841119,000000,0.46542,0.46542,0.46542,0.46542,0,0
SGDUSD,D,19841126,000000,0.46213,0.46213,0.46213,0.46213,0,0
SGDUSD,D,19841201,000000,0.46262,0.46262,0.46262,0.46262,0,0
SGDUSD,D,19841210,000000,0.46031,0.46031,0.46031,0.46031,0,0
SGDUSD,D,19841217,000000,0.45923,0.45923,0.45923,0.45923,0,0
SGDUSD,D,19841224,000000,0.45865,0.45865,0.45865,0.45865,0,0
SGDUSD,D,19850101,000000,0.45942,0.45942,0.45942,0.45942,0,0
SGDUSD,D,19850107,000000,0.45369,0.45369,0.45369,0.45369,0,0
SGDUSD,D,19850114,000000,0.45205,0.45205,0.45205,0.45205,0,0
SGDUSD,D,19850121,000000,0.45249,0.45249,0.45249,0.45249,0,0
SGDUSD,D,19850128,000000,0.45216,0.45216,0.45216,0.45216,0,0
SGDUSD,D,19850204,000000,0.44804,0.44804,0.44804,0.44804,0,0
SGDUSD,D,19850211,000000,0.44184,0.44184,0.44184,0.44184,0,0
SGDUSD,D,19850218,000000,0.44198,0.44198,0.44198,0.44198,0,0
SGDUSD,D,19850225,000000,0.43848,0.43848,0.43848,0.43848,0,0
SGDUSD,D,19850304,000000,0.43844,0.43844,0.43844,0.43844,0,0
SGDUSD,D,19850311,000000,0.44278,0.44278,0.44278,0.44278,0,0
SGDUSD,D,19850318,000000,0.44021,0.44021,0.44021,0.44021,0,0
SGDUSD,D,19850325,000000,0.44274,0.44274,0.44274,0.44274,0,0
SGDUSD,D,19850329,000000,0.45316,0.45316,0.45316,0.45316,0,0
SGDUSD,D,19850401,000000,0.4497,0.4497,0.4497,0.4497,0,0
SGDUSD,D,19850409,000000,0.4459,0.4459,0.4459,0.4459,0,0
SGDUSD,D,19850415,000000,0.45501,0.45501,0.45501,0.45501,0,0
SGDUSD,D,19850422,000000,0.45508,0.45508,0.45508,0.45508,0,0
SGDUSD,D,19850429,000000,0.44946,0.44946,0.44946,0.44946,0,0
SGDUSD,D,19850506,000000,0.4473,0.4473,0.4473,0.4473,0,0
SGDUSD,D,19850513,000000,0.45192,0.45192,0.45192,0.45192,0,0
SGDUSD,D,19850520,000000,0.45298,0.45298,0.45298,0.45298,0,0
SGDUSD,D,19850527,000000,0.45391,0.45391,0.45391,0.45391,0,0
SGDUSD,D,19850601,000000,0.45409,0.45409,0.45409,0.45409,0,0
SGDUSD,D,19850610,000000,0.44899,0.44899,0.44899,0.44899,0,0
SGDUSD,D,19850617,000000,0.44917,0.44917,0.44917,0.44917,0,0
SGDUSD,D,19850624,000000,0.446,0.446,0.446,0.446,0,0
SGDUSD,D,19850701,000000,0.44808,0.44808,0.44808,0.44808,0,0
SGDUSD,D,19850708,000000,0.44854,0.44854,0.44854,0.44854,0,0
SGDUSD,D,19850715,000000,0.45373,0.45373,0.45373,0.45373,0,0
SGDUSD,D,19850723,000000,0.45496,0.45496,0.45496,0.45496,0,0
