<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBBRL,D,19950103,000000,3.0139,3.0139,3.0139,3.0139,0,0
THBBRL,D,19950104,000000,3.0125,3.0125,3.0125,3.0125,0,0
THBBRL,D,19950105,000000,3.0045,3.0045,3.0045,3.0045,0,0
THBBRL,D,19950106,000000,2.9963,2.9963,2.9963,2.9963,0,0
THBBRL,D,19950109,000000,3.0078,3.0078,3.0078,3.0078,0,0
THBBRL,D,19950110,000000,3.0204,3.0204,3.0204,3.0204,0,0
THBBRL,D,19950111,000000,3.0351,3.0351,3.0351,3.0351,0,0
THBBRL,D,19950112,000000,2.9451,2.9451,2.9451,2.9451,0,0
THBBRL,D,19950113,000000,3.0069,3.0069,3.0069,3.0069,0,0
THBBRL,D,19950116,000000,3.0052,3.0052,3.0052,3.0052,0,0
THBBRL,D,19950117,000000,3.0266,3.0266,3.0266,3.0266,0,0
THBBRL,D,19950118,000000,3.0245,3.0245,3.0245,3.0245,0,0
THBBRL,D,19950119,000000,3.0347,3.0347,3.0347,3.0347,0,0
THBBRL,D,19950120,000000,3.0283,3.0283,3.0283,3.0283,0,0
THBBRL,D,19950123,000000,3.0382,3.0382,3.0382,3.0382,0,0
THBBRL,D,19950124,000000,3.0432,3.0432,3.0432,3.0432,0,0
THBBRL,D,19950125,000000,3.0379,3.0379,3.0379,3.0379,0,0
THBBRL,D,19950126,000000,3.0172,3.0172,3.0172,3.0172,0,0
THBBRL,D,19950127,000000,3.0166,3.0166,3.0166,3.0166,0,0
THBBRL,D,19950130,000000,3.027,3.027,3.027,3.027,0,0
THBBRL,D,19950131,000000,3.0013,3.0013,3.0013,3.0013,0,0
THBBRL,D,19950201,000000,3.0087,3.0087,3.0087,3.0087,0,0
THBBRL,D,19950202,000000,2.9999,2.9999,2.9999,2.9999,0,0
THBBRL,D,19950203,000000,2.9962,2.9962,2.9962,2.9962,0,0
THBBRL,D,19950206,000000,2.9867,2.9867,2.9867,2.9867,0,0
THBBRL,D,19950207,000000,2.9879,2.9879,2.9879,2.9879,0,0
THBBRL,D,19950208,000000,2.9837,2.9837,2.9837,2.9837,0,0
THBBRL,D,19950209,000000,2.9767,2.9767,2.9767,2.9767,0,0
THBBRL,D,19950210,000000,2.9814,2.9814,2.9814,2.9814,0,0
THBBRL,D,19950213,000000,2.9783,2.9783,2.9783,2.9783,0,0
THBBRL,D,19950214,000000,2.9827,2.9827,2.9827,2.9827,0,0
THBBRL,D,19950215,000000,2.9925,2.9925,2.9925,2.9925,0,0
THBBRL,D,19950216,000000,3.0239,3.0239,3.0239,3.0239,0,0
THBBRL,D,19950217,000000,3.046,3.046,3.046,3.046,0,0
THBBRL,D,19950220,000000,3.0137,3.0137,3.0137,3.0137,0,0
THBBRL,D,19950221,000000,3.0204,3.0204,3.0204,3.0204,0,0
THBBRL,D,19950222,000000,3.048,3.048,3.048,3.048,0,0
THBBRL,D,19950223,000000,3.0446,3.0446,3.0446,3.0446,0,0
THBBRL,D,19950224,000000,3.0633,3.0633,3.0633,3.0633,0,0
THBBRL,D,19950227,000000,3.0565,3.0565,3.0565,3.0565,0,0
THBBRL,D,19950228,000000,3.0566,3.0566,3.0566,3.0566,0,0
THBBRL,D,19950301,000000,3.0595,3.0595,3.0595,3.0595,0,0
THBBRL,D,19950302,000000,3.0631,3.0631,3.0631,3.0631,0,0
THBBRL,D,19950303,000000,3.0953,3.0953,3.0953,3.0953,0,0
THBBRL,D,19950306,000000,3.1236,3.1236,3.1236,3.1236,0,0
THBBRL,D,19950307,000000,3.2059,3.2059,3.2059,3.2059,0,0
THBBRL,D,19950308,000000,3.216,3.216,3.216,3.216,0,0
THBBRL,D,19950309,000000,3.2198,3.2198,3.2198,3.2198,0,0
THBBRL,D,19950310,000000,3.1899,3.1899,3.1899,3.1899,0,0
THBBRL,D,19950313,000000,3.1893,3.1893,3.1893,3.1893,0,0
THBBRL,D,19950314,000000,3.1839,3.1839,3.1839,3.1839,0,0
THBBRL,D,19950315,000000,3.2069,3.2069,3.2069,3.2069,0,0
THBBRL,D,19950316,000000,3.2557,3.2557,3.2557,3.2557,0,0
THBBRL,D,19950317,000000,3.254,3.254,3.254,3.254,0,0
THBBRL,D,19950320,000000,3.3096,3.3096,3.3096,3.3096,0,0
THBBRL,D,19950321,000000,3.2565,3.2565,3.2565,3.2565,0,0
THBBRL,D,19950322,000000,3.2829,3.2829,3.2829,3.2829,0,0
THBBRL,D,19950323,000000,3.2932,3.2932,3.2932,3.2932,0,0
THBBRL,D,19950324,000000,3.2955,3.2955,3.2955,3.2955,0,0
THBBRL,D,19950327,000000,3.2951,3.2951,3.2951,3.2951,0,0
THBBRL,D,19950328,000000,3.3017,3.3017,3.3017,3.3017,0,0
THBBRL,D,19950329,000000,3.2893,3.2893,3.2893,3.2893,0,0
THBBRL,D,19950330,000000,3.2641,3.2641,3.2641,3.2641,0,0
THBBRL,D,19950331,000000,3.2725,3.2725,3.2725,3.2725,0,0
THBBRL,D,19950403,000000,3.2898,3.2898,3.2898,3.2898,0,0
THBBRL,D,19950404,000000,3.2715,3.2715,3.2715,3.2715,0,0
THBBRL,D,19950405,000000,3.2646,3.2646,3.2646,3.2646,0,0
THBBRL,D,19950406,000000,3.2829,3.2829,3.2829,3.2829,0,0
THBBRL,D,19950407,000000,3.275,3.275,3.275,3.275,0,0
THBBRL,D,19950410,000000,3.2763,3.2763,3.2763,3.2763,0,0
THBBRL,D,19950411,000000,3.2793,3.2793,3.2793,3.2793,0,0
THBBRL,D,19950412,000000,3.3032,3.3032,3.3032,3.3032,0,0
THBBRL,D,19950413,000000,3.3134,3.3134,3.3134,3.3134,0,0
THBBRL,D,19950414,000000,3.316,3.316,3.316,3.316,0,0
THBBRL,D,19950418,000000,3.3164,3.3164,3.3164,3.3164,0,0
THBBRL,D,19950419,000000,3.3443,3.3443,3.3443,3.3443,0,0
THBBRL,D,19950420,000000,3.3512,3.3512,3.3512,3.3512,0,0
THBBRL,D,19950421,000000,3.3135,3.3135,3.3135,3.3135,0,0
THBBRL,D,19950424,000000,3.3312,3.3312,3.3312,3.3312,0,0
THBBRL,D,19950425,000000,3.3631,3.3631,3.3631,3.3631,0,0
THBBRL,D,19950426,000000,3.3441,3.3441,3.3441,3.3441,0,0
THBBRL,D,19950427,000000,3.3422,3.3422,3.3422,3.3422,0,0
THBBRL,D,19950428,000000,3.3232,3.3232,3.3232,3.3232,0,0
THBBRL,D,19950504,000000,3.2959,3.2959,3.2959,3.2959,0,0
THBBRL,D,19950505,000000,3.2828,3.2828,3.2828,3.2828,0,0
THBBRL,D,19950509,000000,3.2741,3.2741,3.2741,3.2741,0,0
THBBRL,D,19950510,000000,3.2587,3.2587,3.2587,3.2587,0,0
THBBRL,D,19950511,000000,3.2539,3.2539,3.2539,3.2539,0,0
THBBRL,D,19950512,000000,3.2447,3.2447,3.2447,3.2447,0,0
THBBRL,D,19950515,000000,3.2213,3.2213,3.2213,3.2213,0,0
THBBRL,D,19950516,000000,3.2266,3.2266,3.2266,3.2266,0,0
THBBRL,D,19950517,000000,3.2253,3.2253,3.2253,3.2253,0,0
THBBRL,D,19950518,000000,3.214,3.214,3.214,3.214,0,0
THBBRL,D,19950519,000000,3.225,3.225,3.225,3.225,0,0
THBBRL,D,19950522,000000,3.2157,3.2157,3.2157,3.2157,0,0
THBBRL,D,19950523,000000,3.2185,3.2185,3.2185,3.2185,0,0
THBBRL,D,19950524,000000,3.2165,3.2165,3.2165,3.2165,0,0
THBBRL,D,19950525,000000,3.2443,3.2443,3.2443,3.2443,0,0
THBBRL,D,19950526,000000,3.2672,3.2672,3.2672,3.2672,0,0
THBBRL,D,19950529,000000,3.2678,3.2678,3.2678,3.2678,0,0
THBBRL,D,19950530,000000,3.3034,3.3034,3.3034,3.3034,0,0
THBBRL,D,19950531,000000,3.2929,3.2929,3.2929,3.2929,0,0
THBBRL,D,19950601,000000,3.2949,3.2949,3.2949,3.2949,0,0
THBBRL,D,19950602,000000,3.2811,3.2811,3.2811,3.2811,0,0
THBBRL,D,19950605,000000,3.2805,3.2805,3.2805,3.2805,0,0
THBBRL,D,19950606,000000,3.295,3.295,3.295,3.295,0,0
THBBRL,D,19950607,000000,3.3109,3.3109,3.3109,3.3109,0,0
THBBRL,D,19950608,000000,3.3038,3.3038,3.3038,3.3038,0,0
THBBRL,D,19950609,000000,3.3357,3.3357,3.3357,3.3357,0,0
THBBRL,D,19950612,000000,3.3421,3.3421,3.3421,3.3421,0,0
THBBRL,D,19950613,000000,3.3357,3.3357,3.3357,3.3357,0,0
THBBRL,D,19950614,000000,3.297,3.297,3.297,3.297,0,0
THBBRL,D,19950616,000000,3.3029,3.3029,3.3029,3.3029,0,0
THBBRL,D,19950619,000000,3.3132,3.3132,3.3132,3.3132,0,0
THBBRL,D,19950620,000000,3.3262,3.3262,3.3262,3.3262,0,0
THBBRL,D,19950621,000000,3.3386,3.3386,3.3386,3.3386,0,0
THBBRL,D,19950622,000000,3.3362,3.3362,3.3362,3.3362,0,0
THBBRL,D,19950623,000000,3.3386,3.3386,3.3386,3.3386,0,0
THBBRL,D,19950626,000000,3.3362,3.3362,3.3362,3.3362,0,0
THBBRL,D,19950627,000000,3.3414,3.3414,3.3414,3.3414,0,0
THBBRL,D,19950628,000000,3.3329,3.3329,3.3329,3.3329,0,0
THBBRL,D,19950629,000000,3.335,3.335,3.335,3.335,0,0
THBBRL,D,19950630,000000,3.343,3.343,3.343,3.343,0,0
THBBRL,D,19950703,000000,3.3381,3.3381,3.3381,3.3381,0,0
THBBRL,D,19950704,000000,3.3408,3.3408,3.3408,3.3408,0,0
THBBRL,D,19950705,000000,3.3482,3.3482,3.3482,3.3482,0,0
THBBRL,D,19950706,000000,3.3539,3.3539,3.3539,3.3539,0,0
THBBRL,D,19950707,000000,3.3474,3.3474,3.3474,3.3474,0,0
THBBRL,D,19950710,000000,3.3488,3.3488,3.3488,3.3488,0,0
THBBRL,D,19950711,000000,3.3427,3.3427,3.3427,3.3427,0,0
THBBRL,D,19950712,000000,3.3399,3.3399,3.3399,3.3399,0,0
THBBRL,D,19950713,000000,3.3537,3.3537,3.3537,3.3537,0,0
THBBRL,D,19950714,000000,3.3513,3.3513,3.3513,3.3513,0,0
THBBRL,D,19950717,000000,3.359,3.359,3.359,3.359,0,0
THBBRL,D,19950718,000000,3.3568,3.3568,3.3568,3.3568,0,0
THBBRL,D,19950719,000000,3.3605,3.3605,3.3605,3.3605,0,0
THBBRL,D,19950720,000000,3.3559,3.3559,3.3559,3.3559,0,0
THBBRL,D,19950721,000000,3.3739,3.3739,3.3739,3.3739,0,0
THBBRL,D,19950724,000000,3.3806,3.3806,3.3806,3.3806,0,0
THBBRL,D,19950725,000000,3.3822,3.3822,3.3822,3.3822,0,0
THBBRL,D,19950726,000000,3.3842,3.3842,3.3842,3.3842,0,0
THBBRL,D,19950727,000000,3.3858,3.3858,3.3858,3.3858,0,0
THBBRL,D,19950728,000000,3.3875,3.3875,3.3875,3.3875,0,0
THBBRL,D,19950731,000000,3.3819,3.3819,3.3819,3.3819,0,0
THBBRL,D,19950801,000000,3.3847,3.3847,3.3847,3.3847,0,0
THBBRL,D,19950802,000000,3.3767,3.3767,3.3767,3.3767,0,0
THBBRL,D,19950803,000000,3.3803,3.3803,3.3803,3.3803,0,0
THBBRL,D,19950804,000000,3.3779,3.3779,3.3779,3.3779,0,0
THBBRL,D,19950807,000000,3.3726,3.3726,3.3726,3.3726,0,0
THBBRL,D,19950808,000000,3.3726,3.3726,3.3726,3.3726,0,0
THBBRL,D,19950809,000000,3.3765,3.3765,3.3765,3.3765,0,0
THBBRL,D,19950810,000000,3.3673,3.3673,3.3673,3.3673,0,0
THBBRL,D,19950811,000000,3.3656,3.3656,3.3656,3.3656,0,0
THBBRL,D,19950816,000000,3.3645,3.3645,3.3645,3.3645,0,0
THBBRL,D,19950817,000000,3.3594,3.3594,3.3594,3.3594,0,0
THBBRL,D,19950818,000000,3.3767,3.3767,3.3767,3.3767,0,0
THBBRL,D,19950821,000000,3.3669,3.3669,3.3669,3.3669,0,0
THBBRL,D,19950822,000000,3.3709,3.3709,3.3709,3.3709,0,0
THBBRL,D,19950823,000000,3.3862,3.3862,3.3862,3.3862,0,0
THBBRL,D,19950824,000000,3.3856,3.3856,3.3856,3.3856,0,0
THBBRL,D,19950825,000000,3.3961,3.3961,3.3961,3.3961,0,0
THBBRL,D,19950828,000000,3.3956,3.3956,3.3956,3.3956,0,0
THBBRL,D,19950829,000000,3.3978,3.3978,3.3978,3.3978,0,0
THBBRL,D,19950830,000000,3.388,3.388,3.388,3.388,0,0
THBBRL,D,19950831,000000,3.398,3.398,3.398,3.398,0,0
THBBRL,D,19950901,000000,3.3973,3.3973,3.3973,3.3973,0,0
THBBRL,D,19950904,000000,3.3966,3.3966,3.3966,3.3966,0,0
THBBRL,D,19950905,000000,3.392,3.392,3.392,3.392,0,0
THBBRL,D,19950906,000000,3.3877,3.3877,3.3877,3.3877,0,0
THBBRL,D,19950907,000000,3.3869,3.3869,3.3869,3.3869,0,0
THBBRL,D,19950908,000000,3.3926,3.3926,3.3926,3.3926,0,0
THBBRL,D,19950911,000000,3.3956,3.3956,3.3956,3.3956,0,0
THBBRL,D,19950912,000000,3.3919,3.3919,3.3919,3.3919,0,0
THBBRL,D,19950913,000000,3.3899,3.3899,3.3899,3.3899,0,0
THBBRL,D,19950914,000000,3.3908,3.3908,3.3908,3.3908,0,0
THBBRL,D,19950915,000000,3.381,3.381,3.381,3.381,0,0
THBBRL,D,19950918,000000,3.382,3.382,3.382,3.382,0,0
THBBRL,D,19950919,000000,3.3808,3.3808,3.3808,3.3808,0,0
THBBRL,D,19950920,000000,3.3908,3.3908,3.3908,3.3908,0,0
THBBRL,D,19950921,000000,3.398,3.398,3.398,3.398,0,0
THBBRL,D,19950922,000000,3.408,3.408,3.408,3.408,0,0
THBBRL,D,19950925,000000,3.4,3.4,3.4,3.4,0,0
THBBRL,D,19950926,000000,3.4023,3.4023,3.4023,3.4023,0,0
THBBRL,D,19950927,000000,3.4079,3.4079,3.4079,3.4079,0,0
THBBRL,D,19950928,000000,3.4054,3.4054,3.4054,3.4054,0,0
THBBRL,D,19950929,000000,3.4042,3.4042,3.4042,3.4042,0,0
THBBRL,D,19951002,000000,3.3967,3.3967,3.3967,3.3967,0,0
THBBRL,D,19951003,000000,3.4121,3.4121,3.4121,3.4121,0,0
THBBRL,D,19951004,000000,3.4148,3.4148,3.4148,3.4148,0,0
THBBRL,D,19951005,000000,3.4194,3.4194,3.4194,3.4194,0,0
THBBRL,D,19951006,000000,3.4196,3.4196,3.4196,3.4196,0,0
THBBRL,D,19951009,000000,3.4203,3.4203,3.4203,3.4203,0,0
THBBRL,D,19951010,000000,3.4214,3.4214,3.4214,3.4214,0,0
THBBRL,D,19951011,000000,3.4201,3.4201,3.4201,3.4201,0,0
THBBRL,D,19951012,000000,3.4229,3.4229,3.4229,3.4229,0,0
THBBRL,D,19951013,000000,3.4212,3.4212,3.4212,3.4212,0,0
THBBRL,D,19951016,000000,3.4219,3.4219,3.4219,3.4219,0,0
THBBRL,D,19951017,000000,3.422,3.422,3.422,3.422,0,0
THBBRL,D,19951018,000000,3.4188,3.4188,3.4188,3.4188,0,0
THBBRL,D,19951019,000000,3.4223,3.4223,3.4223,3.4223,0,0
THBBRL,D,19951020,000000,3.4311,3.4311,3.4311,3.4311,0,0
THBBRL,D,19951023,000000,3.4352,3.4352,3.4352,3.4352,0,0
THBBRL,D,19951024,000000,3.4385,3.4385,3.4385,3.4385,0,0
THBBRL,D,19951025,000000,3.4336,3.4336,3.4336,3.4336,0,0
THBBRL,D,19951026,000000,3.429,3.429,3.429,3.429,0,0
THBBRL,D,19951027,000000,3.4267,3.4267,3.4267,3.4267,0,0
THBBRL,D,19951030,000000,3.4235,3.4235,3.4235,3.4235,0,0
THBBRL,D,19951031,000000,3.4259,3.4259,3.4259,3.4259,0,0
THBBRL,D,19951102,000000,3.4159,3.4159,3.4159,3.4159,0,0
THBBRL,D,19951103,000000,3.4146,3.4146,3.4146,3.4146,0,0
THBBRL,D,19951106,000000,3.4182,3.4182,3.4182,3.4182,0,0
THBBRL,D,19951107,000000,3.4197,3.4197,3.4197,3.4197,0,0
THBBRL,D,19951108,000000,3.4219,3.4219,3.4219,3.4219,0,0
THBBRL,D,19951109,000000,3.422,3.422,3.422,3.422,0,0
THBBRL,D,19951110,000000,3.4268,3.4268,3.4268,3.4268,0,0
THBBRL,D,19951113,000000,3.425,3.425,3.425,3.425,0,0
THBBRL,D,19951114,000000,3.4312,3.4312,3.4312,3.4312,0,0
THBBRL,D,19951115,000000,3.4299,3.4299,3.4299,3.4299,0,0
THBBRL,D,19951116,000000,3.43,3.43,3.43,3.43,0,0
THBBRL,D,19951117,000000,3.4292,3.4292,3.4292,3.4292,0,0
THBBRL,D,19951120,000000,3.433,3.433,3.433,3.433,0,0
THBBRL,D,19951121,000000,3.4376,3.4376,3.4376,3.4376,0,0
