<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBBTC,D,20100719,000000,3831.21,3831.21,3831.21,3831.21,0,0
THBBTC,D,20100720,000000,4130.81,4130.81,4130.81,4130.81,0,0
THBBTC,D,20100721,000000,3910.81,3910.81,3910.81,3910.81,0,0
THBBTC,D,20100722,000000,6181.25,6181.25,6181.25,6181.25,0,0
THBBTC,D,20100723,000000,4918.7,4918.7,4918.7,4918.7,0,0
THBBTC,D,20100726,000000,5618.04,5618.04,5618.04,5618.04,0,0
THBBTC,D,20100727,000000,5179.78,5179.78,5179.78,5179.78,0,0
THBBTC,D,20100728,000000,5260.83,5260.83,5260.83,5260.83,0,0
THBBTC,D,20100729,000000,4432.51,4432.51,4432.51,4432.51,0,0
THBBTC,D,20100730,000000,4950.08,4950.08,4950.08,4950.08,0,0
THBBTC,D,20100802,000000,5226.27,5226.27,5226.27,5226.27,0,0
THBBTC,D,20100803,000000,5171.46,5171.46,5171.46,5171.46,0,0
THBBTC,D,20100804,000000,5490.49,5490.49,5490.49,5490.49,0,0
THBBTC,D,20100805,000000,5105.3,5105.3,5105.3,5105.3,0,0
THBBTC,D,20100806,000000,5034.17,5034.17,5034.17,5034.17,0,0
THBBTC,D,20100809,000000,4420.41,4420.41,4420.41,4420.41,0,0
THBBTC,D,20100810,000000,4432.22,4432.22,4432.22,4432.22,0,0
THBBTC,D,20100811,000000,4609.03,4609.03,4609.03,4609.03,0,0
THBBTC,D,20100812,000000,4486.59,4486.59,4486.59,4486.59,0,0
THBBTC,D,20100813,000000,4844.72,4844.72,4844.72,4844.72,0,0
THBBTC,D,20100816,000000,4847.86,4847.86,4847.86,4847.86,0,0
THBBTC,D,20100817,000000,4528.07,4528.07,4528.07,4528.07,0,0
THBBTC,D,20100818,000000,4678.39,4678.39,4678.39,4678.39,0,0
THBBTC,D,20100819,000000,4741.57,4741.57,4741.57,4741.57,0,0
THBBTC,D,20100820,000000,4835.87,4835.87,4835.87,4835.87,0,0
THBBTC,D,20100823,000000,4849.78,4849.78,4849.78,4849.78,0,0
THBBTC,D,20100824,000000,4895.38,4895.38,4895.38,4895.38,0,0
THBBTC,D,20100825,000000,4882.7,4882.7,4882.7,4882.7,0,0
THBBTC,D,20100826,000000,5001,5001,5001,5001,0,0
THBBTC,D,20100827,000000,4943.4,4943.4,4943.4,4943.4,0,0
THBBTC,D,20100830,000000,4884.37,4884.37,4884.37,4884.37,0,0
THBBTC,D,20100831,000000,5340.4,5340.4,5340.4,5340.4,0,0
THBBTC,D,20100901,000000,5144.65,5144.65,5144.65,5144.65,0,0
THBBTC,D,20100902,000000,5063.74,5063.74,5063.74,5063.74,0,0
THBBTC,D,20100903,000000,5335.42,5335.42,5335.42,5335.42,0,0
THBBTC,D,20100906,000000,5217.16,5217.16,5217.16,5217.16,0,0
THBBTC,D,20100907,000000,5253.12,5253.12,5253.12,5253.12,0,0
THBBTC,D,20100908,000000,5249.96,5249.96,5249.96,5249.96,0,0
THBBTC,D,20100909,000000,5290.64,5290.64,5290.64,5290.64,0,0
THBBTC,D,20100910,000000,5235.38,5235.38,5235.38,5235.38,0,0
THBBTC,D,20100913,000000,5261.77,5261.77,5261.77,5261.77,0,0
THBBTC,D,20100914,000000,5334.97,5334.97,5334.97,5334.97,0,0
THBBTC,D,20100915,000000,5372.76,5372.76,5372.76,5372.76,0,0
THBBTC,D,20100916,000000,5224.6,5224.6,5224.6,5224.6,0,0
THBBTC,D,20100917,000000,5473.55,5473.55,5473.55,5473.55,0,0
THBBTC,D,20100920,000000,5245.71,5245.71,5245.71,5245.71,0,0
THBBTC,D,20100921,000000,5181.37,5181.37,5181.37,5181.37,0,0
THBBTC,D,20100922,000000,5266.88,5266.88,5266.88,5266.88,0,0
THBBTC,D,20100923,000000,5261.17,5261.17,5261.17,5261.17,0,0
THBBTC,D,20100924,000000,5306.44,5306.44,5306.44,5306.44,0,0
THBBTC,D,20100927,000000,5282.5,5282.5,5282.5,5282.5,0,0
THBBTC,D,20100928,000000,5367.9,5367.9,5367.9,5367.9,0,0
THBBTC,D,20100929,000000,5315.38,5315.38,5315.38,5315.38,0,0
THBBTC,D,20100930,000000,5339.62,5339.62,5339.62,5339.62,0,0
THBBTC,D,20101001,000000,5371.44,5371.44,5371.44,5371.44,0,0
THBBTC,D,20101004,000000,5403.12,5403.12,5403.12,5403.12,0,0
THBBTC,D,20101005,000000,5460.15,5460.15,5460.15,5460.15,0,0
THBBTC,D,20101006,000000,5318.55,5318.55,5318.55,5318.55,0,0
THBBTC,D,20101007,000000,4955.75,4955.75,4955.75,4955.75,0,0
THBBTC,D,20101008,000000,3855.65,3855.65,3855.65,3855.65,0,0
THBBTC,D,20101011,000000,3510.52,3510.52,3510.52,3510.52,0,0
THBBTC,D,20101012,000000,3546.62,3546.62,3546.62,3546.62,0,0
THBBTC,D,20101013,000000,3231.63,3231.63,3231.63,3231.63,0,0
THBBTC,D,20101014,000000,3278.86,3278.86,3278.86,3278.86,0,0
THBBTC,D,20101015,000000,3178.57,3178.57,3178.57,3178.57,0,0
THBBTC,D,20101018,000000,3299.42,3299.42,3299.42,3299.42,0,0
THBBTC,D,20101019,000000,3397.33,3397.33,3397.33,3397.33,0,0
THBBTC,D,20101020,000000,3426.12,3426.12,3426.12,3426.12,0,0
THBBTC,D,20101021,000000,3106.63,3106.63,3106.63,3106.63,0,0
THBBTC,D,20101022,000000,3280.77,3280.77,3280.77,3280.77,0,0
THBBTC,D,20101025,000000,2537.88,2537.88,2537.88,2537.88,0,0
THBBTC,D,20101026,000000,2215.96,2215.96,2215.96,2215.96,0,0
THBBTC,D,20101027,000000,1763.97,1763.97,1763.97,1763.97,0,0
THBBTC,D,20101028,000000,1942.53,1942.53,1942.53,1942.53,0,0
THBBTC,D,20101029,000000,1782.61,1782.61,1782.61,1782.61,0,0
THBBTC,D,20101102,000000,1740.79,1740.79,1740.79,1740.79,0,0
THBBTC,D,20101103,000000,1747.11,1747.11,1747.11,1747.11,0,0
THBBTC,D,20101104,000000,1463.92,1463.92,1463.92,1463.92,0,0
THBBTC,D,20101105,000000,1290.74,1290.74,1290.74,1290.74,0,0
THBBTC,D,20101108,000000,1387.94,1387.94,1387.94,1387.94,0,0
THBBTC,D,20101109,000000,1625.37,1625.37,1625.37,1625.37,0,0
THBBTC,D,20101110,000000,1402.86,1402.86,1402.86,1402.86,0,0
THBBTC,D,20101112,000000,1252.25,1252.25,1252.25,1252.25,0,0
THBBTC,D,20101115,000000,1251.52,1251.52,1251.52,1251.52,0,0
THBBTC,D,20101116,000000,1475.1,1475.1,1475.1,1475.1,0,0
THBBTC,D,20101117,000000,1452.99,1452.99,1452.99,1452.99,0,0
THBBTC,D,20101118,000000,1245.19,1245.19,1245.19,1245.19,0,0
THBBTC,D,20101119,000000,1189.86,1189.86,1189.86,1189.86,0,0
THBBTC,D,20101122,000000,1141.14,1141.14,1141.14,1141.14,0,0
THBBTC,D,20101123,000000,1152.91,1152.91,1152.91,1152.91,0,0
THBBTC,D,20101124,000000,1185.1,1185.1,1185.1,1185.1,0,0
THBBTC,D,20101125,000000,1193.84,1193.84,1193.84,1193.84,0,0
THBBTC,D,20101126,000000,1163.31,1163.31,1163.31,1163.31,0,0
THBBTC,D,20101129,000000,1400.81,1400.81,1400.81,1400.81,0,0
THBBTC,D,20101130,000000,1616.55,1616.55,1616.55,1616.55,0,0
