<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBEUR,D,19930104,000000,2.9452,2.9452,2.9452,2.9452,0,0
THBEUR,D,19930105,000000,2.9068,2.9068,2.9068,2.9068,0,0
THBEUR,D,19930106,000000,2.9295,2.9295,2.9295,2.9295,0,0
THBEUR,D,19930107,000000,2.9254,2.9254,2.9254,2.9254,0,0
THBEUR,D,19930108,000000,2.9307,2.9307,2.9307,2.9307,0,0
THBEUR,D,19930111,000000,2.9099,2.9099,2.9099,2.9099,0,0
THBEUR,D,19930112,000000,2.918,2.918,2.918,2.918,0,0
THBEUR,D,19930113,000000,2.918,2.918,2.918,2.918,0,0
THBEUR,D,19930114,000000,2.8941,2.8941,2.8941,2.8941,0,0
THBEUR,D,19930115,000000,2.9173,2.9173,2.9173,2.9173,0,0
THBEUR,D,19930118,000000,2.9163,2.9163,2.9163,2.9163,0,0
THBEUR,D,19930119,000000,2.8791,2.8791,2.8791,2.8791,0,0
THBEUR,D,19930120,000000,2.8712,2.8712,2.8712,2.8712,0,0
THBEUR,D,19930121,000000,2.8918,2.8918,2.8918,2.8918,0,0
THBEUR,D,19930122,000000,2.8605,2.8605,2.8605,2.8605,0,0
THBEUR,D,19930125,000000,2.8205,2.8205,2.8205,2.8205,0,0
THBEUR,D,19930126,000000,2.8349,2.8349,2.8349,2.8349,0,0
THBEUR,D,19930127,000000,2.8551,2.8551,2.8551,2.8551,0,0
THBEUR,D,19930128,000000,2.8574,2.8574,2.8574,2.8574,0,0
THBEUR,D,19930129,000000,2.898,2.898,2.898,2.898,0,0
THBEUR,D,19930201,000000,2.9382,2.9382,2.9382,2.9382,0,0
THBEUR,D,19930202,000000,2.9505,2.9505,2.9505,2.9505,0,0
THBEUR,D,19930203,000000,2.9699,2.9699,2.9699,2.9699,0,0
THBEUR,D,19930204,000000,2.974,2.974,2.974,2.974,0,0
THBEUR,D,19930205,000000,2.9639,2.9639,2.9639,2.9639,0,0
THBEUR,D,19930208,000000,2.9683,2.9683,2.9683,2.9683,0,0
THBEUR,D,19930209,000000,2.9684,2.9684,2.9684,2.9684,0,0
THBEUR,D,19930210,000000,2.9854,2.9854,2.9854,2.9854,0,0
THBEUR,D,19930211,000000,2.9836,2.9836,2.9836,2.9836,0,0
THBEUR,D,19930212,000000,2.9975,2.9975,2.9975,2.9975,0,0
THBEUR,D,19930215,000000,3.0017,3.0017,3.0017,3.0017,0,0
THBEUR,D,19930216,000000,2.9463,2.9463,2.9463,2.9463,0,0
THBEUR,D,19930217,000000,2.9523,2.9523,2.9523,2.9523,0,0
THBEUR,D,19930218,000000,2.9553,2.9553,2.9553,2.9553,0,0
