<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBMXN,D,19930104,000000,0.10941,0.10941,0.10941,0.10941,0,0
THBMXN,D,19930105,000000,0.10912,0.10912,0.10912,0.10912,0,0
THBMXN,D,19930106,000000,0.10911,0.10911,0.10911,0.10911,0,0
THBMXN,D,19930107,000000,0.10886,0.10886,0.10886,0.10886,0,0
THBMXN,D,19930108,000000,0.10924,0.10924,0.10924,0.10924,0,0
THBMXN,D,19930111,000000,0.10923,0.10923,0.10923,0.10923,0,0
THBMXN,D,19930112,000000,0.10914,0.10914,0.10914,0.10914,0,0
THBMXN,D,19930113,000000,0.10908,0.10908,0.10908,0.10908,0,0
THBMXN,D,19930114,000000,0.10909,0.10909,0.10909,0.10909,0,0
THBMXN,D,19930115,000000,0.109,0.109,0.109,0.109,0,0
THBMXN,D,19930118,000000,0.10888,0.10888,0.10888,0.10888,0,0
THBMXN,D,19930119,000000,0.10897,0.10897,0.10897,0.10897,0,0
THBMXN,D,19930120,000000,0.10897,0.10897,0.10897,0.10897,0,0
THBMXN,D,19930121,000000,0.109,0.109,0.109,0.109,0,0
THBMXN,D,19930122,000000,0.10888,0.10888,0.10888,0.10888,0,0
THBMXN,D,19930125,000000,0.10915,0.10915,0.10915,0.10915,0,0
THBMXN,D,19930126,000000,0.10908,0.10908,0.10908,0.10908,0,0
THBMXN,D,19930127,000000,0.10877,0.10877,0.10877,0.10877,0,0
THBMXN,D,19930128,000000,0.10915,0.10915,0.10915,0.10915,0,0
THBMXN,D,19930129,000000,0.10946,0.10946,0.10946,0.10946,0,0
THBMXN,D,19930201,000000,0.10873,0.10873,0.10873,0.10873,0,0
THBMXN,D,19930202,000000,0.10859,0.10859,0.10859,0.10859,0,0
THBMXN,D,19930203,000000,0.1087,0.1087,0.1087,0.1087,0,0
THBMXN,D,19930204,000000,0.10862,0.10862,0.10862,0.10862,0,0
THBMXN,D,19930205,000000,0.10836,0.10836,0.10836,0.10836,0,0
THBMXN,D,19930208,000000,0.10843,0.10843,0.10843,0.10843,0,0
THBMXN,D,19930209,000000,0.10839,0.10839,0.10839,0.10839,0,0
THBMXN,D,19930210,000000,0.10857,0.10857,0.10857,0.10857,0,0
THBMXN,D,19930211,000000,0.10866,0.10866,0.10866,0.10866,0,0
THBMXN,D,19930212,000000,0.10864,0.10864,0.10864,0.10864,0,0
THBMXN,D,19930215,000000,0.10882,0.10882,0.10882,0.10882,0,0
THBMXN,D,19930216,000000,0.10861,0.10861,0.10861,0.10861,0,0
THBMXN,D,19930217,000000,0.10908,0.10908,0.10908,0.10908,0,0
THBMXN,D,19930218,000000,0.10874,0.10874,0.10874,0.10874,0,0
THBMXN,D,19930219,000000,0.10893,0.10893,0.10893,0.10893,0,0
THBMXN,D,19930222,000000,0.10899,0.10899,0.10899,0.10899,0,0
THBMXN,D,19930223,000000,0.10922,0.10922,0.10922,0.10922,0,0
THBMXN,D,19930224,000000,0.10907,0.10907,0.10907,0.10907,0,0
THBMXN,D,19930225,000000,0.10896,0.10896,0.10896,0.10896,0,0
THBMXN,D,19930226,000000,0.10916,0.10916,0.10916,0.10916,0,0
