<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBXDR,D,19930104,000000,2.5454,2.5454,2.5454,2.5454,0,0
THBXDR,D,19930105,000000,2.5465,2.5465,2.5465,2.5465,0,0
THBXDR,D,19930106,000000,2.5619,2.5619,2.5619,2.5619,0,0
THBXDR,D,19930107,000000,2.5623,2.5623,2.5623,2.5623,0,0
THBXDR,D,19930108,000000,2.5554,2.5554,2.5554,2.5554,0,0
THBXDR,D,19930111,000000,2.5561,2.5561,2.5561,2.5561,0,0
THBXDR,D,19930112,000000,2.5696,2.5696,2.5696,2.5696,0,0
THBXDR,D,19930113,000000,2.5543,2.5543,2.5543,2.5543,0,0
THBXDR,D,19930114,000000,2.5502,2.5502,2.5502,2.5502,0,0
THBXDR,D,19930115,000000,2.5563,2.5563,2.5563,2.5563,0,0
THBXDR,D,19930118,000000,2.55,2.55,2.55,2.55,0,0
THBXDR,D,19930119,000000,2.5544,2.5544,2.5544,2.5544,0,0
THBXDR,D,19930120,000000,2.5571,2.5571,2.5571,2.5571,0,0
THBXDR,D,19930121,000000,2.5514,2.5514,2.5514,2.5514,0,0
THBXDR,D,19930122,000000,2.5487,2.5487,2.5487,2.5487,0,0
THBXDR,D,19930125,000000,2.553,2.553,2.553,2.553,0,0
THBXDR,D,19930126,000000,2.5568,2.5568,2.5568,2.5568,0,0
THBXDR,D,19930127,000000,2.5363,2.5363,2.5363,2.5363,0,0
THBXDR,D,19930128,000000,2.5258,2.5258,2.5258,2.5258,0,0
THBXDR,D,19930129,000000,2.5323,2.5323,2.5323,2.5323,0,0
THBXDR,D,19930201,000000,2.5261,2.5261,2.5261,2.5261,0,0
THBXDR,D,19930202,000000,2.537,2.537,2.537,2.537,0,0
THBXDR,D,19930203,000000,2.5625,2.5625,2.5625,2.5625,0,0
THBXDR,D,19930204,000000,2.561,2.561,2.561,2.561,0,0
THBXDR,D,19930205,000000,2.5644,2.5644,2.5644,2.5644,0,0
THBXDR,D,19930208,000000,2.5699,2.5699,2.5699,2.5699,0,0
THBXDR,D,19930209,000000,2.5731,2.5731,2.5731,2.5731,0,0
THBXDR,D,19930210,000000,2.5771,2.5771,2.5771,2.5771,0,0
THBXDR,D,19930211,000000,2.5717,2.5717,2.5717,2.5717,0,0
THBXDR,D,19930212,000000,2.5597,2.5597,2.5597,2.5597,0,0
THBXDR,D,19930215,000000,2.5683,2.5683,2.5683,2.5683,0,0
THBXDR,D,19930216,000000,2.5625,2.5625,2.5625,2.5625,0,0
THBXDR,D,19930217,000000,2.5706,2.5706,2.5706,2.5706,0,0
THBXDR,D,19930218,000000,2.5621,2.5621,2.5621,2.5621,0,0
THBXDR,D,19930219,000000,2.5538,2.5538,2.5538,2.5538,0,0
THBXDR,D,19930222,000000,2.5742,2.5742,2.5742,2.5742,0,0
THBXDR,D,19930223,000000,2.565,2.565,2.565,2.565,0,0
THBXDR,D,19930224,000000,2.5486,2.5486,2.5486,2.5486,0,0
THBXDR,D,19930225,000000,2.5394,2.5394,2.5394,2.5394,0,0
THBXDR,D,19930226,000000,2.5382,2.5382,2.5382,2.5382,0,0
THBXDR,D,19930301,000000,2.5486,2.5486,2.5486,2.5486,0,0
THBXDR,D,19930302,000000,2.5556,2.5556,2.5556,2.5556,0,0
THBXDR,D,19930303,000000,2.5645,2.5645,2.5645,2.5645,0,0
THBXDR,D,19930304,000000,2.5636,2.5636,2.5636,2.5636,0,0
THBXDR,D,19930305,000000,2.5525,2.5525,2.5525,2.5525,0,0
THBXDR,D,19930308,000000,2.5453,2.5453,2.5453,2.5453,0,0
THBXDR,D,19930309,000000,2.5541,2.5541,2.5541,2.5541,0,0
THBXDR,D,19930310,000000,2.5568,2.5568,2.5568,2.5568,0,0
THBXDR,D,19930311,000000,2.5564,2.5564,2.5564,2.5564,0,0
THBXDR,D,19930312,000000,2.5676,2.5676,2.5676,2.5676,0,0
THBXDR,D,19930315,000000,2.5651,2.5651,2.5651,2.5651,0,0
THBXDR,D,19930316,000000,2.5653,2.5653,2.5653,2.5653,0,0
THBXDR,D,19930317,000000,2.5695,2.5695,2.5695,2.5695,0,0
THBXDR,D,19930318,000000,2.5631,2.5631,2.5631,2.5631,0,0
THBXDR,D,19930319,000000,2.5645,2.5645,2.5645,2.5645,0,0
THBXDR,D,19930322,000000,2.5675,2.5675,2.5675,2.5675,0,0
THBXDR,D,19930323,000000,2.5464,2.5464,2.5464,2.5464,0,0
THBXDR,D,19930324,000000,2.5441,2.5441,2.5441,2.5441,0,0
THBXDR,D,19930325,000000,2.5402,2.5402,2.5402,2.5402,0,0
THBXDR,D,19930326,000000,2.539,2.539,2.539,2.539,0,0
THBXDR,D,19930329,000000,2.5518,2.5518,2.5518,2.5518,0,0
THBXDR,D,19930330,000000,2.5437,2.5437,2.5437,2.5437,0,0
THBXDR,D,19930331,000000,2.5426,2.5426,2.5426,2.5426,0,0
THBXDR,D,19930401,000000,2.5472,2.5472,2.5472,2.5472,0,0
THBXDR,D,19930402,000000,2.5317,2.5317,2.5317,2.5317,0,0
THBXDR,D,19930405,000000,2.5249,2.5249,2.5249,2.5249,0,0
THBXDR,D,19930406,000000,2.5178,2.5178,2.5178,2.5178,0,0
THBXDR,D,19930407,000000,2.5208,2.5208,2.5208,2.5208,0,0
THBXDR,D,19930408,000000,2.5238,2.5238,2.5238,2.5238,0,0
THBXDR,D,19930409,000000,2.5242,2.5242,2.5242,2.5242,0,0
THBXDR,D,19930413,000000,2.5222,2.5222,2.5222,2.5222,0,0
THBXDR,D,19930414,000000,2.5222,2.5222,2.5222,2.5222,0,0
THBXDR,D,19930415,000000,2.5089,2.5089,2.5089,2.5089,0,0
THBXDR,D,19930416,000000,2.509,2.509,2.509,2.509,0,0
THBXDR,D,19930419,000000,2.5166,2.5166,2.5166,2.5166,0,0
THBXDR,D,19930420,000000,2.5153,2.5153,2.5153,2.5153,0,0
THBXDR,D,19930421,000000,2.5261,2.5261,2.5261,2.5261,0,0
THBXDR,D,19930422,000000,2.5015,2.5015,2.5015,2.5015,0,0
THBXDR,D,19930423,000000,2.5199,2.5199,2.5199,2.5199,0,0
THBXDR,D,19930426,000000,2.5125,2.5125,2.5125,2.5125,0,0
THBXDR,D,19930427,000000,2.5102,2.5102,2.5102,2.5102,0,0
THBXDR,D,19930428,000000,2.4849,2.4849,2.4849,2.4849,0,0
THBXDR,D,19930429,000000,2.4879,2.4879,2.4879,2.4879,0,0
THBXDR,D,19930430,000000,2.5078,2.5078,2.5078,2.5078,0,0
THBXDR,D,19930504,000000,2.5048,2.5048,2.5048,2.5048,0,0
THBXDR,D,19930505,000000,2.5012,2.5012,2.5012,2.5012,0,0
THBXDR,D,19930506,000000,2.4918,2.4918,2.4918,2.4918,0,0
THBXDR,D,19930507,000000,2.4912,2.4912,2.4912,2.4912,0,0
THBXDR,D,19930510,000000,2.4971,2.4971,2.4971,2.4971,0,0
THBXDR,D,19930511,000000,2.4865,2.4865,2.4865,2.4865,0,0
THBXDR,D,19930512,000000,2.503,2.503,2.503,2.503,0,0
THBXDR,D,19930513,000000,2.5143,2.5143,2.5143,2.5143,0,0
THBXDR,D,19930514,000000,2.5137,2.5137,2.5137,2.5137,0,0
THBXDR,D,19930517,000000,2.5183,2.5183,2.5183,2.5183,0,0
THBXDR,D,19930518,000000,2.5118,2.5118,2.5118,2.5118,0,0
THBXDR,D,19930519,000000,2.5027,2.5027,2.5027,2.5027,0,0
THBXDR,D,19930520,000000,2.5221,2.5221,2.5221,2.5221,0,0
THBXDR,D,19930521,000000,2.5179,2.5179,2.5179,2.5179,0,0
THBXDR,D,19930524,000000,2.5118,2.5118,2.5118,2.5118,0,0
THBXDR,D,19930525,000000,2.5141,2.5141,2.5141,2.5141,0,0
THBXDR,D,19930526,000000,2.5333,2.5333,2.5333,2.5333,0,0
THBXDR,D,19930527,000000,2.5277,2.5277,2.5277,2.5277,0,0
THBXDR,D,19930528,000000,2.5217,2.5217,2.5217,2.5217,0,0
THBXDR,D,19930531,000000,2.516,2.516,2.516,2.516,0,0
THBXDR,D,19930601,000000,2.4954,2.4954,2.4954,2.4954,0,0
THBXDR,D,19930602,000000,2.4954,2.4954,2.4954,2.4954,0,0
THBXDR,D,19930603,000000,2.4908,2.4908,2.4908,2.4908,0,0
THBXDR,D,19930604,000000,2.4965,2.4965,2.4965,2.4965,0,0
THBXDR,D,19930607,000000,2.4974,2.4974,2.4974,2.4974,0,0
THBXDR,D,19930608,000000,2.4964,2.4964,2.4964,2.4964,0,0
