<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBXPT,D,19930104,000000,1.008,1.008,1.008,1.008,0,0
THBXPT,D,19930105,000000,0.997,0.997,0.997,0.997,0,0
THBXPT,D,19930106,000000,0.9911,0.9911,0.9911,0.9911,0,0
THBXPT,D,19930107,000000,0.9927,0.9927,0.9927,0.9927,0,0
THBXPT,D,19930108,000000,0.9939,0.9939,0.9939,0.9939,0,0
THBXPT,D,19930111,000000,0.9996,0.9996,0.9996,0.9996,0,0
THBXPT,D,19930112,000000,0.9972,0.9972,0.9972,0.9972,0,0
THBXPT,D,19930113,000000,0.9984,0.9984,0.9984,0.9984,0,0
THBXPT,D,19930114,000000,1,1,1,1,0,0
THBXPT,D,19930115,000000,0.9984,0.9984,0.9984,0.9984,0,0
THBXPT,D,19930118,000000,0.9964,0.9964,0.9964,0.9964,0,0
THBXPT,D,19930119,000000,0.9948,0.9948,0.9948,0.9948,0,0
THBXPT,D,19930120,000000,0.9788,0.9788,0.9788,0.9788,0,0
THBXPT,D,19930121,000000,0.9839,0.9839,0.9839,0.9839,0,0
THBXPT,D,19930122,000000,0.9823,0.9823,0.9823,0.9823,0,0
THBXPT,D,19930125,000000,0.9797,0.9797,0.9797,0.9797,0,0
THBXPT,D,19930126,000000,0.9772,0.9772,0.9772,0.9772,0,0
THBXPT,D,19930127,000000,0.9835,0.9835,0.9835,0.9835,0,0
THBXPT,D,19930128,000000,0.9812,0.9812,0.9812,0.9812,0,0
THBXPT,D,19930129,000000,0.9815,0.9815,0.9815,0.9815,0,0
THBXPT,D,19930201,000000,0.9814,0.9814,0.9814,0.9814,0,0
THBXPT,D,19930202,000000,0.9857,0.9857,0.9857,0.9857,0,0
THBXPT,D,19930203,000000,0.9864,0.9864,0.9864,0.9864,0,0
THBXPT,D,19930204,000000,0.9838,0.9838,0.9838,0.9838,0,0
THBXPT,D,19930205,000000,0.9808,0.9808,0.9808,0.9808,0,0
THBXPT,D,19930208,000000,0.9806,0.9806,0.9806,0.9806,0,0
THBXPT,D,19930209,000000,0.9646,0.9646,0.9646,0.9646,0,0
THBXPT,D,19930210,000000,0.9587,0.9587,0.9587,0.9587,0,0
THBXPT,D,19930211,000000,0.9562,0.9562,0.9562,0.9562,0,0
THBXPT,D,19930212,000000,0.9649,0.9649,0.9649,0.9649,0,0
THBXPT,D,19930216,000000,0.9584,0.9584,0.9584,0.9584,0,0
THBXPT,D,19930217,000000,0.973,0.973,0.973,0.973,0,0
THBXPT,D,19930218,000000,0.9802,0.9802,0.9802,0.9802,0,0
THBXPT,D,19930219,000000,0.9981,0.9981,0.9981,0.9981,0,0
THBXPT,D,19930222,000000,1.0558,1.0558,1.0558,1.0558,0,0
THBXPT,D,19930223,000000,1.0323,1.0323,1.0323,1.0323,0,0
THBXPT,D,19930224,000000,1.0414,1.0414,1.0414,1.0414,0,0
THBXPT,D,19930225,000000,1.0339,1.0339,1.0339,1.0339,0,0
THBXPT,D,19930226,000000,1.032,1.032,1.032,1.032,0,0
THBXPT,D,19930302,000000,1.0451,1.0451,1.0451,1.0451,0,0
THBXPT,D,19930303,000000,1.0457,1.0457,1.0457,1.0457,0,0
THBXPT,D,19930304,000000,1.0472,1.0472,1.0472,1.0472,0,0
THBXPT,D,19930305,000000,1.0409,1.0409,1.0409,1.0409,0,0
THBXPT,D,19930308,000000,1.0408,1.0408,1.0408,1.0408,0,0
THBXPT,D,19930309,000000,1.0357,1.0357,1.0357,1.0357,0,0
THBXPT,D,19930310,000000,1.0307,1.0307,1.0307,1.0307,0,0
THBXPT,D,19930311,000000,1.0203,1.0203,1.0203,1.0203,0,0
THBXPT,D,19930312,000000,1.0129,1.0129,1.0129,1.0129,0,0
THBXPT,D,19930315,000000,1.0081,1.0081,1.0081,1.0081,0,0
THBXPT,D,19930316,000000,1.0221,1.0221,1.0221,1.0221,0,0
THBXPT,D,19930317,000000,1.0249,1.0249,1.0249,1.0249,0,0
THBXPT,D,19930318,000000,1.0199,1.0199,1.0199,1.0199,0,0
THBXPT,D,19930319,000000,1.0085,1.0085,1.0085,1.0085,0,0
THBXPT,D,19930322,000000,1.0045,1.0045,1.0045,1.0045,0,0
THBXPT,D,19930323,000000,1.0002,1.0002,1.0002,1.0002,0,0
THBXPT,D,19930324,000000,0.9995,0.9995,0.9995,0.9995,0,0
THBXPT,D,19930325,000000,1.0041,1.0041,1.0041,1.0041,0,0
THBXPT,D,19930326,000000,1.0048,1.0048,1.0048,1.0048,0,0
THBXPT,D,19930329,000000,1.001,1.001,1.001,1.001,0,0
THBXPT,D,19930330,000000,0.9862,0.9862,0.9862,0.9862,0,0
THBXPT,D,19930331,000000,0.9841,0.9841,0.9841,0.9841,0,0
THBXPT,D,19930401,000000,0.9847,0.9847,0.9847,0.9847,0,0
THBXPT,D,19930402,000000,0.9786,0.9786,0.9786,0.9786,0,0
THBXPT,D,19930405,000000,0.9813,0.9813,0.9813,0.9813,0,0
THBXPT,D,19930406,000000,0.9927,0.9927,0.9927,0.9927,0,0
THBXPT,D,19930407,000000,0.9998,0.9998,0.9998,0.9998,0,0
THBXPT,D,19930408,000000,0.9997,0.9997,0.9997,0.9997,0,0
THBXPT,D,19930413,000000,0.9901,0.9901,0.9901,0.9901,0,0
THBXPT,D,19930414,000000,0.9735,0.9735,0.9735,0.9735,0,0
THBXPT,D,19930415,000000,0.9753,0.9753,0.9753,0.9753,0,0
THBXPT,D,19930416,000000,0.9672,0.9672,0.9672,0.9672,0,0
THBXPT,D,19930419,000000,0.9679,0.9679,0.9679,0.9679,0,0
THBXPT,D,19930420,000000,0.9672,0.9672,0.9672,0.9672,0,0
THBXPT,D,19930421,000000,0.979,0.979,0.979,0.979,0,0
THBXPT,D,19930422,000000,0.9735,0.9735,0.9735,0.9735,0,0
THBXPT,D,19930423,000000,0.9563,0.9563,0.9563,0.9563,0,0
THBXPT,D,19930426,000000,0.9564,0.9564,0.9564,0.9564,0,0
THBXPT,D,19930427,000000,0.9582,0.9582,0.9582,0.9582,0,0
THBXPT,D,19930428,000000,0.9428,0.9428,0.9428,0.9428,0,0
THBXPT,D,19930429,000000,0.9223,0.9223,0.9223,0.9223,0,0
THBXPT,D,19930430,000000,0.9233,0.9233,0.9233,0.9233,0,0
THBXPT,D,19930504,000000,0.9555,0.9555,0.9555,0.9555,0,0
THBXPT,D,19930505,000000,0.9481,0.9481,0.9481,0.9481,0,0
THBXPT,D,19930506,000000,0.9295,0.9295,0.9295,0.9295,0,0
THBXPT,D,19930507,000000,0.9368,0.9368,0.9368,0.9368,0,0
THBXPT,D,19930510,000000,0.9494,0.9494,0.9494,0.9494,0,0
THBXPT,D,19930511,000000,0.9409,0.9409,0.9409,0.9409,0,0
THBXPT,D,19930512,000000,0.9332,0.9332,0.9332,0.9332,0,0
THBXPT,D,19930513,000000,0.9171,0.9171,0.9171,0.9171,0,0
THBXPT,D,19930514,000000,0.9304,0.9304,0.9304,0.9304,0,0
THBXPT,D,19930517,000000,0.9329,0.9329,0.9329,0.9329,0,0
THBXPT,D,19930518,000000,0.9183,0.9183,0.9183,0.9183,0,0
THBXPT,D,19930519,000000,0.9295,0.9295,0.9295,0.9295,0,0
THBXPT,D,19930520,000000,0.92,0.92,0.92,0.92,0,0
THBXPT,D,19930521,000000,0.9145,0.9145,0.9145,0.9145,0,0
THBXPT,D,19930524,000000,0.9309,0.9309,0.9309,0.9309,0,0
THBXPT,D,19930525,000000,0.9199,0.9199,0.9199,0.9199,0,0
THBXPT,D,19930526,000000,0.9273,0.9273,0.9273,0.9273,0,0
THBXPT,D,19930527,000000,0.9025,0.9025,0.9025,0.9025,0,0
THBXPT,D,19930528,000000,0.9043,0.9043,0.9043,0.9043,0,0
THBXPT,D,19930601,000000,0.9212,0.9212,0.9212,0.9212,0,0
THBXPT,D,19930602,000000,0.9414,0.9414,0.9414,0.9414,0,0
THBXPT,D,19930603,000000,0.9199,0.9199,0.9199,0.9199,0,0
THBXPT,D,19930604,000000,0.9241,0.9241,0.9241,0.9241,0,0
THBXPT,D,19930607,000000,0.9337,0.9337,0.9337,0.9337,0,0
THBXPT,D,19930608,000000,0.9332,0.9332,0.9332,0.9332,0,0
THBXPT,D,19930609,000000,0.9283,0.9283,0.9283,0.9283,0,0
THBXPT,D,19930611,000000,0.9375,0.9375,0.9375,0.9375,0,0
THBXPT,D,19930614,000000,0.951,0.951,0.951,0.951,0,0
THBXPT,D,19930615,000000,0.9494,0.9494,0.9494,0.9494,0,0
THBXPT,D,19930616,000000,0.9411,0.9411,0.9411,0.9411,0,0
THBXPT,D,19930617,000000,0.9443,0.9443,0.9443,0.9443,0,0
THBXPT,D,19930618,000000,0.9488,0.9488,0.9488,0.9488,0,0
THBXPT,D,19930621,000000,0.9472,0.9472,0.9472,0.9472,0,0
THBXPT,D,19930622,000000,0.953,0.953,0.953,0.953,0,0
THBXPT,D,19930623,000000,0.9423,0.9423,0.9423,0.9423,0,0
THBXPT,D,19930624,000000,0.9373,0.9373,0.9373,0.9373,0,0
THBXPT,D,19930625,000000,0.9301,0.9301,0.9301,0.9301,0,0
THBXPT,D,19930628,000000,0.9344,0.9344,0.9344,0.9344,0,0
THBXPT,D,19930629,000000,0.9271,0.9271,0.9271,0.9271,0,0
THBXPT,D,19930630,000000,0.924,0.924,0.924,0.924,0,0
THBXPT,D,19930701,000000,0.9032,0.9032,0.9032,0.9032,0,0
THBXPT,D,19930702,000000,0.912,0.912,0.912,0.912,0,0
THBXPT,D,19930706,000000,0.8755,0.8755,0.8755,0.8755,0,0
THBXPT,D,19930707,000000,0.87,0.87,0.87,0.87,0,0
THBXPT,D,19930708,000000,0.8755,0.8755,0.8755,0.8755,0,0
THBXPT,D,19930709,000000,0.8804,0.8804,0.8804,0.8804,0,0
THBXPT,D,19930712,000000,0.8695,0.8695,0.8695,0.8695,0,0
THBXPT,D,19930713,000000,0.8771,0.8771,0.8771,0.8771,0,0
THBXPT,D,19930714,000000,0.8835,0.8835,0.8835,0.8835,0,0
THBXPT,D,19930715,000000,0.8758,0.8758,0.8758,0.8758,0,0
THBXPT,D,19930716,000000,0.8785,0.8785,0.8785,0.8785,0,0
THBXPT,D,19930719,000000,0.8785,0.8785,0.8785,0.8785,0,0
THBXPT,D,19930720,000000,0.8793,0.8793,0.8793,0.8793,0,0
THBXPT,D,19930721,000000,0.8895,0.8895,0.8895,0.8895,0,0
THBXPT,D,19930722,000000,0.8832,0.8832,0.8832,0.8832,0,0
THBXPT,D,19930723,000000,0.8838,0.8838,0.8838,0.8838,0,0
THBXPT,D,19930726,000000,0.8777,0.8777,0.8777,0.8777,0,0
THBXPT,D,19930727,000000,0.8786,0.8786,0.8786,0.8786,0,0
THBXPT,D,19930728,000000,0.8706,0.8706,0.8706,0.8706,0,0
THBXPT,D,19930729,000000,0.8655,0.8655,0.8655,0.8655,0,0
THBXPT,D,19930730,000000,0.8569,0.8569,0.8569,0.8569,0,0
THBXPT,D,19930802,000000,0.8494,0.8494,0.8494,0.8494,0,0
THBXPT,D,19930803,000000,0.8481,0.8481,0.8481,0.8481,0,0
THBXPT,D,19930804,000000,0.858,0.858,0.858,0.858,0,0
THBXPT,D,19930805,000000,0.9115,0.9115,0.9115,0.9115,0,0
THBXPT,D,19930806,000000,0.929,0.929,0.929,0.929,0,0
THBXPT,D,19930809,000000,0.907,0.907,0.907,0.907,0,0
THBXPT,D,19930810,000000,0.9089,0.9089,0.9089,0.9089,0,0
THBXPT,D,19930811,000000,0.9191,0.9191,0.9191,0.9191,0,0
THBXPT,D,19930812,000000,0.9293,0.9293,0.9293,0.9293,0,0
THBXPT,D,19930813,000000,0.9322,0.9322,0.9322,0.9322,0,0
THBXPT,D,19930816,000000,0.9255,0.9255,0.9255,0.9255,0,0
THBXPT,D,19930817,000000,0.9296,0.9296,0.9296,0.9296,0,0
THBXPT,D,19930818,000000,0.9225,0.9225,0.9225,0.9225,0,0
THBXPT,D,19930819,000000,0.936,0.936,0.936,0.936,0,0
THBXPT,D,19930820,000000,0.9289,0.9289,0.9289,0.9289,0,0
THBXPT,D,19930823,000000,0.9292,0.9292,0.9292,0.9292,0,0
THBXPT,D,19930824,000000,0.9291,0.9291,0.9291,0.9291,0,0
THBXPT,D,19930825,000000,0.9302,0.9302,0.9302,0.9302,0,0
THBXPT,D,19930826,000000,0.9445,0.9445,0.9445,0.9445,0,0
THBXPT,D,19930827,000000,0.944,0.944,0.944,0.944,0,0
THBXPT,D,19930830,000000,0.9404,0.9404,0.9404,0.9404,0,0
THBXPT,D,19930831,000000,0.9392,0.9392,0.9392,0.9392,0,0
THBXPT,D,19930901,000000,0.9457,0.9457,0.9457,0.9457,0,0
THBXPT,D,19930902,000000,0.9661,0.9661,0.9661,0.9661,0,0
THBXPT,D,19930903,000000,0.9688,0.9688,0.9688,0.9688,0,0
THBXPT,D,19930907,000000,1.0025,1.0025,1.0025,1.0025,0,0
THBXPT,D,19930908,000000,1.0103,1.0103,1.0103,1.0103,0,0
THBXPT,D,19930909,000000,1.0026,1.0026,1.0026,1.0026,0,0
THBXPT,D,19930910,000000,1.0143,1.0143,1.0143,1.0143,0,0
THBXPT,D,19930913,000000,1.0228,1.0228,1.0228,1.0228,0,0
THBXPT,D,19930914,000000,1.0224,1.0224,1.0224,1.0224,0,0
THBXPT,D,19930915,000000,1.0091,1.0091,1.0091,1.0091,0,0
THBXPT,D,19930916,000000,0.9966,0.9966,0.9966,0.9966,0,0
THBXPT,D,19930917,000000,0.9993,0.9993,0.9993,0.9993,0,0
THBXPT,D,19930920,000000,0.9933,0.9933,0.9933,0.9933,0,0
