<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYGBP,D,19840102,000000,2071.14,2071.14,2071.14,2071.14,0,0
TRYGBP,D,19840109,000000,2083.81,2083.81,2083.81,2083.81,0,0
TRYGBP,D,19840116,000000,2128.84,2128.84,2128.84,2128.84,0,0
TRYGBP,D,19840123,000000,2086.39,2086.39,2086.39,2086.39,0,0
TRYGBP,D,19840130,000000,2100.1,2100.1,2100.1,2100.1,0,0
TRYGBP,D,19840206,000000,2060.49,2060.49,2060.49,2060.49,0,0
TRYGBP,D,19840213,000000,1933.75,1933.75,1933.75,1933.75,0,0
TRYGBP,D,19840220,000000,1902.18,1902.18,1902.18,1902.18,0,0
TRYGBP,D,19840301,000000,1880.52,1880.52,1880.52,1880.52,0,0
TRYGBP,D,19840305,000000,1836.13,1836.13,1836.13,1836.13,0,0
TRYGBP,D,19840312,000000,1830.38,1830.38,1830.38,1830.38,0,0
TRYGBP,D,19840319,000000,1897.05,1897.05,1897.05,1897.05,0,0
TRYGBP,D,19840326,000000,1931.1,1931.1,1931.1,1931.1,0,0
TRYGBP,D,19840402,000000,2120,2120,2120,2120,0,0
TRYGBP,D,19840409,000000,2168.57,2168.57,2168.57,2168.57,0,0
TRYGBP,D,19840416,000000,2218.74,2218.74,2218.74,2218.74,0,0
TRYGBP,D,19840424,000000,2026.69,2026.69,2026.69,2026.69,0,0
TRYGBP,D,19840502,000000,2064.37,2064.37,2064.37,2064.37,0,0
TRYGBP,D,19840507,000000,1992.25,1992.25,1992.25,1992.25,0,0
TRYGBP,D,19840514,000000,1970.41,1970.41,1970.41,1970.41,0,0
TRYGBP,D,19840521,000000,1961.98,1961.98,1961.98,1961.98,0,0
TRYGBP,D,19840528,000000,1962.75,1962.75,1962.75,1962.75,0,0
TRYGBP,D,19840604,000000,1986.97,1986.97,1986.97,1986.97,0,0
TRYGBP,D,19840611,000000,1991.31,1991.31,1991.31,1991.31,0,0
TRYGBP,D,19840618,000000,1976.39,1976.39,1976.39,1976.39,0,0
TRYGBP,D,19840625,000000,1966.07,1966.07,1966.07,1966.07,0,0
TRYGBP,D,19840702,000000,1990.74,1990.74,1990.74,1990.74,0,0
TRYGBP,D,19840709,000000,1980.28,1980.28,1980.28,1980.28,0,0
TRYGBP,D,19840716,000000,2051.79,2051.79,2051.79,2051.79,0,0
TRYGBP,D,19840723,000000,2042.13,2042.13,2042.13,2042.13,0,0
TRYGBP,D,19840730,000000,2024.94,2024.94,2024.94,2024.94,0,0
TRYGBP,D,19840806,000000,2035.95,2035.95,2035.95,2035.95,0,0
TRYGBP,D,19840813,000000,2041.15,2041.15,2041.15,2041.15,0,0
TRYGBP,D,19840820,000000,2044.87,2044.87,2044.87,2044.87,0,0
TRYGBP,D,19840827,000000,2066.99,2066.99,2066.99,2066.99,0,0
TRYGBP,D,19840901,000000,2097.56,2097.56,2097.56,2097.56,0,0
TRYGBP,D,19840910,000000,1946.33,1946.33,1946.33,1946.33,0,0
TRYGBP,D,19840917,000000,1964.06,1964.06,1964.06,1964.06,0,0
TRYGBP,D,19840924,000000,2001.94,2001.94,2001.94,2001.94,0,0
TRYGBP,D,19841001,000000,1968.91,1968.91,1968.91,1968.91,0,0
TRYGBP,D,19841008,000000,2023.01,2023.01,2023.01,2023.01,0,0
TRYGBP,D,19841015,000000,2020.51,2020.51,2020.51,2020.51,0,0
TRYGBP,D,19841022,000000,2069.58,2069.58,2069.58,2069.58,0,0
TRYGBP,D,19841029,000000,2108.01,2108.01,2108.01,2108.01,0,0
TRYGBP,D,19841105,000000,2056.46,2056.46,2056.46,2056.46,0,0
TRYGBP,D,19841112,000000,2036.85,2036.85,2036.85,2036.85,0,0
TRYGBP,D,19841119,000000,2033.31,2033.31,2033.31,2033.31,0,0
TRYGBP,D,19841126,000000,2026.05,2026.05,2026.05,2026.05,0,0
TRYGBP,D,19841201,000000,2066.35,2066.35,2066.35,2066.35,0,0
TRYGBP,D,19841210,000000,2009.9,2009.9,2009.9,2009.9,0,0
TRYGBP,D,19841217,000000,2005.53,2005.53,2005.53,2005.53,0,0
TRYGBP,D,19841224,000000,2030.84,2030.84,2030.84,2030.84,0,0
TRYGBP,D,19850101,000000,2062.47,2062.47,2062.47,2062.47,0,0
TRYGBP,D,19850107,000000,2052.18,2052.18,2052.18,2052.18,0,0
TRYGBP,D,19850114,000000,2026.12,2026.12,2026.12,2026.12,0,0
TRYGBP,D,19850121,000000,2090.34,2090.34,2090.34,2090.34,0,0
TRYGBP,D,19850128,000000,2084.67,2084.67,2084.67,2084.67,0,0
TRYGBP,D,19850204,000000,2082.45,2082.45,2082.45,2082.45,0,0
TRYGBP,D,19850211,000000,2073.62,2073.62,2073.62,2073.62,0,0
TRYGBP,D,19850218,000000,2077.28,2077.28,2077.28,2077.28,0,0
TRYGBP,D,19850225,000000,2064.87,2064.87,2064.87,2064.87,0,0
TRYGBP,D,19850304,000000,2001.97,2001.97,2001.97,2001.97,0,0
TRYGBP,D,19850311,000000,2031.18,2031.18,2031.18,2031.18,0,0
TRYGBP,D,19850318,000000,1982.15,1982.15,1982.15,1982.15,0,0
TRYGBP,D,19850325,000000,1894.44,1894.44,1894.44,1894.44,0,0
TRYGBP,D,19850329,000000,1756,1756,1756,1756,0,0
TRYGBP,D,19850401,000000,1745.11,1745.11,1745.11,1745.11,0,0
TRYGBP,D,19850409,000000,1721.56,1721.56,1721.56,1721.56,0,0
TRYGBP,D,19850415,000000,1652.97,1652.97,1652.97,1652.97,0,0
TRYGBP,D,19850422,000000,1582.8,1582.8,1582.8,1582.8,0,0
TRYGBP,D,19850429,000000,1664.84,1664.84,1664.84,1664.84,0,0
TRYGBP,D,19850506,000000,1656.47,1656.47,1656.47,1656.47,0,0
TRYGBP,D,19850513,000000,1668.28,1668.28,1668.28,1668.28,0,0
TRYGBP,D,19850520,000000,1539,1539,1539,1539,0,0
TRYGBP,D,19850527,000000,1584.57,1584.57,1584.57,1584.57,0,0
TRYGBP,D,19850601,000000,1589.07,1589.07,1589.07,1589.07,0,0
TRYGBP,D,19850610,000000,1535.79,1535.79,1535.79,1535.79,0,0
TRYGBP,D,19850617,000000,1563.54,1563.54,1563.54,1563.54,0,0
TRYGBP,D,19850624,000000,1536.99,1536.99,1536.99,1536.99,0,0
