<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYJPY,D,19840102,000000,694524,694524,694524,694524,0,0
TRYJPY,D,19840109,000000,692362,692362,692362,692362,0,0
TRYJPY,D,19840116,000000,695662,695662,695662,695662,0,0
TRYJPY,D,19840123,000000,694129,694129,694129,694129,0,0
TRYJPY,D,19840130,000000,688091,688091,688091,688091,0,0
TRYJPY,D,19840206,000000,679943,679943,679943,679943,0,0
TRYJPY,D,19840213,000000,638283,638283,638283,638283,0,0
TRYJPY,D,19840220,000000,628251,628251,628251,628251,0,0
TRYJPY,D,19840301,000000,637039,637039,637039,637039,0,0
TRYJPY,D,19840305,000000,636033,636033,636033,636033,0,0
TRYJPY,D,19840312,000000,606547,606547,606547,606547,0,0
TRYJPY,D,19840319,000000,627301,627301,627301,627301,0,0
TRYJPY,D,19840326,000000,627241,627241,627241,627241,0,0
TRYJPY,D,19840402,000000,688053,688053,688053,688053,0,0
TRYJPY,D,19840409,000000,697425,697425,697425,697425,0,0
TRYJPY,D,19840416,000000,713933,713933,713933,713933,0,0
TRYJPY,D,19840424,000000,647071,647071,647071,647071,0,0
TRYJPY,D,19840502,000000,655828,655828,655828,655828,0,0
TRYJPY,D,19840507,000000,631471,631471,631471,631471,0,0
TRYJPY,D,19840514,000000,626669,626669,626669,626669,0,0
TRYJPY,D,19840521,000000,628429,628429,628429,628429,0,0
TRYJPY,D,19840528,000000,637203,637203,637203,637203,0,0
TRYJPY,D,19840604,000000,637200,637200,637200,637200,0,0
TRYJPY,D,19840611,000000,638386,638386,638386,638386,0,0
TRYJPY,D,19840618,000000,634688,634688,634688,634688,0,0
TRYJPY,D,19840625,000000,631524,631524,631524,631524,0,0
TRYJPY,D,19840702,000000,638718,638718,638718,638718,0,0
TRYJPY,D,19840709,000000,635586,635586,635586,635586,0,0
TRYJPY,D,19840716,000000,648550,648550,648550,648550,0,0
TRYJPY,D,19840723,000000,654202,654202,654202,654202,0,0
TRYJPY,D,19840730,000000,659101,659101,659101,659101,0,0
TRYJPY,D,19840806,000000,652306,652306,652306,652306,0,0
TRYJPY,D,19840813,000000,653325,653325,653325,653325,0,0
TRYJPY,D,19840820,000000,652659,652659,652659,652659,0,0
TRYJPY,D,19840827,000000,656905,656905,656905,656905,0,0
TRYJPY,D,19840901,000000,659291,659291,659291,659291,0,0
TRYJPY,D,19840910,000000,613132,613132,613132,613132,0,0
TRYJPY,D,19840917,000000,613784,613784,613784,613784,0,0
TRYJPY,D,19840924,000000,607248,607248,607248,607248,0,0
TRYJPY,D,19841001,000000,599452,599452,599452,599452,0,0
TRYJPY,D,19841008,000000,617059,617059,617059,617059,0,0
TRYJPY,D,19841015,000000,615808,615808,615808,615808,0,0
TRYJPY,D,19841022,000000,619328,619328,619328,619328,0,0
TRYJPY,D,19841029,000000,622417,622417,622417,622417,0,0
TRYJPY,D,19841105,000000,610590,610590,610590,610590,0,0
TRYJPY,D,19841112,000000,626907,626907,626907,626907,0,0
TRYJPY,D,19841119,000000,622528,622528,622528,622528,0,0
TRYJPY,D,19841126,000000,616797,616797,616797,616797,0,0
TRYJPY,D,19841201,000000,611937,611937,611937,611937,0,0
TRYJPY,D,19841210,000000,596512,596512,596512,596512,0,0
TRYJPY,D,19841217,000000,595462,595462,595462,595462,0,0
TRYJPY,D,19841224,000000,595303,595303,595303,595303,0,0
TRYJPY,D,19850101,000000,597487,597487,597487,597487,0,0
TRYJPY,D,19850107,000000,594742,594742,594742,594742,0,0
TRYJPY,D,19850114,000000,593956,593956,593956,593956,0,0
TRYJPY,D,19850121,000000,596376,596376,596376,596376,0,0
TRYJPY,D,19850128,000000,592478,592478,592478,592478,0,0
TRYJPY,D,19850204,000000,590718,590718,590718,590718,0,0
TRYJPY,D,19850211,000000,599777,599777,599777,599777,0,0
TRYJPY,D,19850218,000000,596759,596759,596759,596759,0,0
TRYJPY,D,19850225,000000,588246,588246,588246,588246,0,0
TRYJPY,D,19850304,000000,556897,556897,556897,556897,0,0
TRYJPY,D,19850311,000000,560272,560272,560272,560272,0,0
TRYJPY,D,19850318,000000,555249,555249,555249,555249,0,0
TRYJPY,D,19850325,000000,549428,549428,549428,549428,0,0
TRYJPY,D,19850329,000000,536643,536643,536643,536643,0,0
TRYJPY,D,19850401,000000,536884,536884,536884,536884,0,0
TRYJPY,D,19850409,000000,534648,534648,534648,534648,0,0
TRYJPY,D,19850415,000000,509430,509430,509430,509430,0,0
TRYJPY,D,19850422,000000,505703,505703,505703,505703,0,0
TRYJPY,D,19850429,000000,527286,527286,527286,527286,0,0
TRYJPY,D,19850506,000000,518212,518212,518212,518212,0,0
TRYJPY,D,19850513,000000,505207,505207,505207,505207,0,0
TRYJPY,D,19850520,000000,487599,487599,487599,487599,0,0
TRYJPY,D,19850527,000000,506608,506608,506608,506608,0,0
TRYJPY,D,19850601,000000,502448,502448,502448,502448,0,0
TRYJPY,D,19850610,000000,498177,498177,498177,498177,0,0
TRYJPY,D,19850617,000000,493004,493004,493004,493004,0,0
TRYJPY,D,19850624,000000,489806,489806,489806,489806,0,0
TRYJPY,D,19850701,000000,488924,488924,488924,488924,0,0
TRYJPY,D,19850708,000000,466604,466604,466604,466604,0,0
TRYJPY,D,19850715,000000,462021,462021,462021,462021,0,0
TRYJPY,D,19850723,000000,452505,452505,452505,452505,0,0
TRYJPY,D,19850729,000000,448201,448201,448201,448201,0,0
TRYJPY,D,19850805,000000,448377,448377,448377,448377,0,0
TRYJPY,D,19850812,000000,443792,443792,443792,443792,0,0
TRYJPY,D,19850819,000000,445528,445528,445528,445528,0,0
TRYJPY,D,19850826,000000,447430,447430,447430,447430,0,0
TRYJPY,D,19850902,000000,444548,444548,444548,444548,0,0
TRYJPY,D,19850909,000000,440589,440589,440589,440589,0,0
TRYJPY,D,19850916,000000,437510,437510,437510,437510,0,0
TRYJPY,D,19850923,000000,435806,435806,435806,435806,0,0
TRYJPY,D,19850930,000000,424127,424127,424127,424127,0,0
TRYJPY,D,19851007,000000,399426,399426,399426,399426,0,0
TRYJPY,D,19851014,000000,397044,397044,397044,397044,0,0
TRYJPY,D,19851021,000000,394703,394703,394703,394703,0,0
TRYJPY,D,19851028,000000,393400,393400,393400,393400,0,0
TRYJPY,D,19851104,000000,386338,386338,386338,386338,0,0
TRYJPY,D,19851111,000000,379258,379258,379258,379258,0,0
