<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYNZD,D,19840109,000000,4546.73,4546.73,4546.73,4546.73,0,0
TRYNZD,D,19840116,000000,4589.42,4589.42,4589.42,4589.42,0,0
TRYNZD,D,19840123,000000,4566.98,4566.98,4566.98,4566.98,0,0
TRYNZD,D,19840130,000000,4528.77,4528.77,4528.77,4528.77,0,0
TRYNZD,D,19840206,000000,4425.93,4425.93,4425.93,4425.93,0,0
TRYNZD,D,19840213,000000,4152.78,4152.78,4152.78,4152.78,0,0
TRYNZD,D,19840220,000000,4107.64,4107.64,4107.64,4107.64,0,0
TRYNZD,D,19840301,000000,4108.07,4108.07,4108.07,4108.07,0,0
TRYNZD,D,19840305,000000,4121.88,4121.88,4121.88,4121.88,0,0
TRYNZD,D,19840312,000000,4085.99,4085.99,4085.99,4085.99,0,0
TRYNZD,D,19840319,000000,4212.5,4212.5,4212.5,4212.5,0,0
TRYNZD,D,19840326,000000,4192.84,4192.84,4192.84,4192.84,0,0
TRYNZD,D,19840402,000000,4621.55,4621.55,4621.55,4621.55,0,0
TRYNZD,D,19840409,000000,4715.88,4715.88,4715.88,4715.88,0,0
TRYNZD,D,19840416,000000,4838.21,4838.21,4838.21,4838.21,0,0
TRYNZD,D,19840424,000000,4375.35,4375.35,4375.35,4375.35,0,0
TRYNZD,D,19840502,000000,4447.99,4447.99,4447.99,4447.99,0,0
TRYNZD,D,19840507,000000,4274.24,4274.24,4274.24,4274.24,0,0
TRYNZD,D,19840514,000000,4247.91,4247.91,4247.91,4247.91,0,0
TRYNZD,D,19840521,000000,4211.7,4211.7,4211.7,4211.7,0,0
TRYNZD,D,19840528,000000,4227.02,4227.02,4227.02,4227.02,0,0
TRYNZD,D,19840604,000000,4217.15,4217.15,4217.15,4217.15,0,0
TRYNZD,D,19840611,000000,4311.8,4311.8,4311.8,4311.8,0,0
TRYNZD,D,19840618,000000,4255.62,4255.62,4255.62,4255.62,0,0
TRYNZD,D,19840625,000000,4298.15,4298.15,4298.15,4298.15,0,0
TRYNZD,D,19840702,000000,4250,4250,4250,4250,0,0
TRYNZD,D,19840709,000000,4282.42,4282.42,4282.42,4282.42,0,0
TRYNZD,D,19840716,000000,4350.14,4350.14,4350.14,4350.14,0,0
TRYNZD,D,19840723,000000,5455.2,5455.2,5455.2,5455.2,0,0
TRYNZD,D,19840730,000000,5402.5,5402.5,5402.5,5402.5,0,0
TRYNZD,D,19840806,000000,5342.2,5342.2,5342.2,5342.2,0,0
TRYNZD,D,19840813,000000,5402.14,5402.14,5402.14,5402.14,0,0
TRYNZD,D,19840820,000000,5378.09,5378.09,5378.09,5378.09,0,0
TRYNZD,D,19840827,000000,5429.33,5429.33,5429.33,5429.33,0,0
TRYNZD,D,19840901,000000,5465.91,5465.91,5465.91,5465.91,0,0
TRYNZD,D,19840910,000000,5121.51,5121.51,5121.51,5121.51,0,0
TRYNZD,D,19840917,000000,5133,5133,5133,5133,0,0
TRYNZD,D,19840924,000000,5024.31,5024.31,5024.31,5024.31,0,0
TRYNZD,D,19841001,000000,4991.86,4991.86,4991.86,4991.86,0,0
TRYNZD,D,19841008,000000,5167.49,5167.49,5167.49,5167.49,0,0
TRYNZD,D,19841015,000000,5151.32,5151.32,5151.32,5151.32,0,0
TRYNZD,D,19841022,000000,5135.18,5135.18,5135.18,5135.18,0,0
TRYNZD,D,19841029,000000,5217.32,5217.32,5217.32,5217.32,0,0
TRYNZD,D,19841105,000000,5008.01,5008.01,5008.01,5008.01,0,0
TRYNZD,D,19841112,000000,5221.5,5221.5,5221.5,5221.5,0,0
TRYNZD,D,19841119,000000,5246.73,5246.73,5246.73,5246.73,0,0
TRYNZD,D,19841126,000000,5185.55,5185.55,5185.55,5185.55,0,0
TRYNZD,D,19841201,000000,5092.83,5092.83,5092.83,5092.83,0,0
TRYNZD,D,19841210,000000,4982,4982,4982,4982,0,0
TRYNZD,D,19841217,000000,4998.36,4998.36,4998.36,4998.36,0,0
TRYNZD,D,19841224,000000,5028.1,5028.1,5028.1,5028.1,0,0
TRYNZD,D,19850101,000000,5027.19,5027.19,5027.19,5027.19,0,0
TRYNZD,D,19850107,000000,5022.97,5022.97,5022.97,5022.97,0,0
TRYNZD,D,19850114,000000,5012.36,5012.36,5012.36,5012.36,0,0
TRYNZD,D,19850121,000000,4996.93,4996.93,4996.93,4996.93,0,0
TRYNZD,D,19850128,000000,4984.64,4984.64,4984.64,4984.64,0,0
TRYNZD,D,19850204,000000,5012.4,5012.4,5012.4,5012.4,0,0
TRYNZD,D,19850211,000000,5059.56,5059.56,5059.56,5059.56,0,0
TRYNZD,D,19850218,000000,4982.89,4982.89,4982.89,4982.89,0,0
TRYNZD,D,19850225,000000,5125.6,5125.6,5125.6,5125.6,0,0
TRYNZD,D,19850304,000000,4982,4982,4982,4982,0,0
TRYNZD,D,19850311,000000,4503.69,4503.69,4503.69,4503.69,0,0
TRYNZD,D,19850318,000000,4793.65,4793.65,4793.65,4793.65,0,0
TRYNZD,D,19850325,000000,4669.28,4669.28,4669.28,4669.28,0,0
TRYNZD,D,19850329,000000,4583.72,4583.72,4583.72,4583.72,0,0
TRYNZD,D,19850401,000000,4611.64,4611.64,4611.64,4611.64,0,0
TRYNZD,D,19850409,000000,4701.78,4701.78,4701.78,4701.78,0,0
TRYNZD,D,19850415,000000,4373.02,4373.02,4373.02,4373.02,0,0
TRYNZD,D,19850422,000000,4441.03,4441.03,4441.03,4441.03,0,0
TRYNZD,D,19850429,000000,4674.76,4674.76,4674.76,4674.76,0,0
TRYNZD,D,19850506,000000,4543.55,4543.55,4543.55,4543.55,0,0
TRYNZD,D,19850513,000000,4381.93,4381.93,4381.93,4381.93,0,0
TRYNZD,D,19850520,000000,4315.45,4315.45,4315.45,4315.45,0,0
TRYNZD,D,19850527,000000,4487.8,4487.8,4487.8,4487.8,0,0
TRYNZD,D,19850601,000000,4424.2,4424.2,4424.2,4424.2,0,0
TRYNZD,D,19850610,000000,4439.27,4439.27,4439.27,4439.27,0,0
TRYNZD,D,19850617,000000,4313.62,4313.62,4313.62,4313.62,0,0
TRYNZD,D,19850624,000000,4214.57,4214.57,4214.57,4214.57,0,0
TRYNZD,D,19850701,000000,4041.56,4041.56,4041.56,4041.56,0,0
TRYNZD,D,19850708,000000,3969.25,3969.25,3969.25,3969.25,0,0
TRYNZD,D,19850715,000000,3813.47,3813.47,3813.47,3813.47,0,0
TRYNZD,D,19850723,000000,3689.22,3689.22,3689.22,3689.22,0,0
TRYNZD,D,19850729,000000,3610.7,3610.7,3610.7,3610.7,0,0
TRYNZD,D,19850805,000000,3555.15,3555.15,3555.15,3555.15,0,0
TRYNZD,D,19850812,000000,3405.21,3405.21,3405.21,3405.21,0,0
TRYNZD,D,19850819,000000,3589.78,3589.78,3589.78,3589.78,0,0
TRYNZD,D,19850826,000000,3534.97,3534.97,3534.97,3534.97,0,0
TRYNZD,D,19850902,000000,3521.47,3521.47,3521.47,3521.47,0,0
TRYNZD,D,19850909,000000,3472.53,3472.53,3472.53,3472.53,0,0
TRYNZD,D,19850916,000000,3432.23,3432.23,3432.23,3432.23,0,0
TRYNZD,D,19850923,000000,3317.91,3317.91,3317.91,3317.91,0,0
TRYNZD,D,19850930,000000,3359.38,3359.38,3359.38,3359.38,0,0
TRYNZD,D,19851007,000000,3261.43,3261.43,3261.43,3261.43,0,0
TRYNZD,D,19851014,000000,3262.97,3262.97,3262.97,3262.97,0,0
TRYNZD,D,19851021,000000,3140.09,3140.09,3140.09,3140.09,0,0
TRYNZD,D,19851028,000000,3256.53,3256.53,3256.53,3256.53,0,0
TRYNZD,D,19851104,000000,3118.99,3118.99,3118.99,3118.99,0,0
TRYNZD,D,19851111,000000,3121.28,3121.28,3121.28,3121.28,0,0
TRYNZD,D,19851118,000000,3242.79,3242.79,3242.79,3242.79,0,0
TRYNZD,D,19851125,000000,3113.69,3113.69,3113.69,3113.69,0,0
TRYNZD,D,19851202,000000,3132.63,3132.63,3132.63,3132.63,0,0
TRYNZD,D,19851209,000000,3167.46,3167.46,3167.46,3167.46,0,0
TRYNZD,D,19851216,000000,3707.04,3707.04,3707.04,3707.04,0,0
TRYNZD,D,19851223,000000,3508.11,3508.11,3508.11,3508.11,0,0
TRYNZD,D,19860101,000000,3491.89,3491.89,3491.89,3491.89,0,0
TRYNZD,D,19860106,000000,3325.97,3325.97,3325.97,3325.97,0,0
TRYNZD,D,19860113,000000,3434.37,3434.37,3434.37,3434.37,0,0
TRYNZD,D,19860120,000000,3401.89,3401.89,3401.89,3401.89,0,0
TRYNZD,D,19860127,000000,3188.22,3188.22,3188.22,3188.22,0,0
TRYNZD,D,19860201,000000,3201.33,3201.33,3201.33,3201.33,0,0
TRYNZD,D,19860210,000000,3134.64,3134.64,3134.64,3134.64,0,0
TRYNZD,D,19860217,000000,3121.31,3121.31,3121.31,3121.31,0,0
TRYNZD,D,19860224,000000,3246.9,3246.9,3246.9,3246.9,0,0
TRYNZD,D,19860301,000000,3242.25,3242.25,3242.25,3242.25,0,0
TRYNZD,D,19860303,000000,3260.97,3260.97,3260.97,3260.97,0,0
TRYNZD,D,19860310,000000,3201.16,3201.16,3201.16,3201.16,0,0
TRYNZD,D,19860317,000000,3057.5,3057.5,3057.5,3057.5,0,0
TRYNZD,D,19860318,000000,3071.35,3071.35,3071.35,3071.35,0,0
TRYNZD,D,19860324,000000,2884.75,2884.75,2884.75,2884.75,0,0
TRYNZD,D,19860401,000000,2814.36,2814.36,2814.36,2814.36,0,0
TRYNZD,D,19860407,000000,2711.97,2711.97,2711.97,2711.97,0,0
TRYNZD,D,19860409,000000,2720.78,2720.78,2720.78,2720.78,0,0
TRYNZD,D,19860414,000000,2660.6,2660.6,2660.6,2660.6,0,0
TRYNZD,D,19860421,000000,2615.78,2615.78,2615.78,2615.78,0,0
TRYNZD,D,19860428,000000,2616.27,2616.27,2616.27,2616.27,0,0
