<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYRUB,D,19951023,000000,89.95,89.95,89.95,89.95,0,0
TRYRUB,D,19951024,000000,89.405,89.405,89.405,89.405,0,0
TRYRUB,D,19951025,000000,89.582,89.582,89.582,89.582,0,0
TRYRUB,D,19951026,000000,89.465,89.465,89.465,89.465,0,0
TRYRUB,D,19951027,000000,88.839,88.839,88.839,88.839,0,0
TRYRUB,D,19951030,000000,88.392,88.392,88.392,88.392,0,0
TRYRUB,D,19951031,000000,88.566,88.566,88.566,88.566,0,0
TRYRUB,D,19951102,000000,88.187,88.187,88.187,88.187,0,0
TRYRUB,D,19951103,000000,87.674,87.674,87.674,87.674,0,0
TRYRUB,D,19951106,000000,87.884,87.884,87.884,87.884,0,0
TRYRUB,D,19951107,000000,87.713,87.713,87.713,87.713,0,0
TRYRUB,D,19951108,000000,87.427,87.427,87.427,87.427,0,0
TRYRUB,D,19951109,000000,87.24,87.24,87.24,87.24,0,0
TRYRUB,D,19951110,000000,87.428,87.428,87.428,87.428,0,0
TRYRUB,D,19951113,000000,87.302,87.302,87.302,87.302,0,0
TRYRUB,D,19951114,000000,86.974,86.974,86.974,86.974,0,0
TRYRUB,D,19951115,000000,86.916,86.916,86.916,86.916,0,0
TRYRUB,D,19951116,000000,86.413,86.413,86.413,86.413,0,0
TRYRUB,D,19951117,000000,86.931,86.931,86.931,86.931,0,0
TRYRUB,D,19951120,000000,86.34,86.34,86.34,86.34,0,0
TRYRUB,D,19951121,000000,86.174,86.174,86.174,86.174,0,0
TRYRUB,D,19951122,000000,86.278,86.278,86.278,86.278,0,0
TRYRUB,D,19951123,000000,86.338,86.338,86.338,86.338,0,0
TRYRUB,D,19951124,000000,85.204,85.204,85.204,85.204,0,0
TRYRUB,D,19951127,000000,84.857,84.857,84.857,84.857,0,0
TRYRUB,D,19951128,000000,84.406,84.406,84.406,84.406,0,0
TRYRUB,D,19951129,000000,84.156,84.156,84.156,84.156,0,0
TRYRUB,D,19951130,000000,83.996,83.996,83.996,83.996,0,0
TRYRUB,D,19951201,000000,83.591,83.591,83.591,83.591,0,0
TRYRUB,D,19951204,000000,83.742,83.742,83.742,83.742,0,0
TRYRUB,D,19951205,000000,83.511,83.511,83.511,83.511,0,0
TRYRUB,D,19951206,000000,83.11,83.11,83.11,83.11,0,0
TRYRUB,D,19951207,000000,82.992,82.992,82.992,82.992,0,0
TRYRUB,D,19951208,000000,82.691,82.691,82.691,82.691,0,0
TRYRUB,D,19951211,000000,82.245,82.245,82.245,82.245,0,0
TRYRUB,D,19951212,000000,81.805,81.805,81.805,81.805,0,0
TRYRUB,D,19951213,000000,82.277,82.277,82.277,82.277,0,0
TRYRUB,D,19951214,000000,82.11,82.11,82.11,82.11,0,0
TRYRUB,D,19951215,000000,81.971,81.971,81.971,81.971,0,0
TRYRUB,D,19951218,000000,81.634,81.634,81.634,81.634,0,0
TRYRUB,D,19951219,000000,81.681,81.681,81.681,81.681,0,0
TRYRUB,D,19951220,000000,81.394,81.394,81.394,81.394,0,0
TRYRUB,D,19951221,000000,80.828,80.828,80.828,80.828,0,0
TRYRUB,D,19951222,000000,80.828,80.828,80.828,80.828,0,0
TRYRUB,D,19951227,000000,75.875,75.875,75.875,75.875,0,0
TRYRUB,D,19951228,000000,75.818,75.818,75.818,75.818,0,0
TRYRUB,D,19951229,000000,77.721,77.721,77.721,77.721,0,0
TRYRUB,D,19960102,000000,76.441,76.441,76.441,76.441,0,0
TRYRUB,D,19960103,000000,77.334,77.334,77.334,77.334,0,0
TRYRUB,D,19960104,000000,78.379,78.379,78.379,78.379,0,0
TRYRUB,D,19960105,000000,78.912,78.912,78.912,78.912,0,0
TRYRUB,D,19960108,000000,78.511,78.511,78.511,78.511,0,0
