<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYUAH,D,19960902,000000,20.477,20.477,20.477,20.477,0,0
TRYUAH,D,19960903,000000,20.3,20.3,20.3,20.3,0,0
TRYUAH,D,19960904,000000,20.253,20.253,20.253,20.253,0,0
TRYUAH,D,19960905,000000,20.3,20.3,20.3,20.3,0,0
TRYUAH,D,19960906,000000,20.184,20.184,20.184,20.184,0,0
TRYUAH,D,19960909,000000,20.023,20.023,20.023,20.023,0,0
TRYUAH,D,19960910,000000,19.955,19.955,19.955,19.955,0,0
TRYUAH,D,19960911,000000,19.865,19.865,19.865,19.865,0,0
TRYUAH,D,19960912,000000,19.82,19.82,19.82,19.82,0,0
TRYUAH,D,19960913,000000,19.775,19.775,19.775,19.775,0,0
TRYUAH,D,19960916,000000,19.665,19.665,19.665,19.665,0,0
TRYUAH,D,19960917,000000,19.621,19.621,19.621,19.621,0,0
TRYUAH,D,19960918,000000,19.577,19.577,19.577,19.577,0,0
TRYUAH,D,19960919,000000,19.556,19.556,19.556,19.556,0,0
TRYUAH,D,19960920,000000,19.599,19.599,19.599,19.599,0,0
TRYUAH,D,19960923,000000,19.448,19.448,19.448,19.448,0,0
TRYUAH,D,19960924,000000,19.426,19.426,19.426,19.426,0,0
TRYUAH,D,19960925,000000,19.448,19.448,19.448,19.448,0,0
TRYUAH,D,19960926,000000,19.32,19.32,19.32,19.32,0,0
TRYUAH,D,19960927,000000,19.298,19.298,19.298,19.298,0,0
TRYUAH,D,19960930,000000,19.214,19.214,19.214,19.214,0,0
TRYUAH,D,19961001,000000,19.172,19.172,19.172,19.172,0,0
TRYUAH,D,19961002,000000,19.131,19.131,19.131,19.131,0,0
TRYUAH,D,19961003,000000,19.089,19.089,19.089,19.089,0,0
TRYUAH,D,19961004,000000,19.068,19.068,19.068,19.068,0,0
TRYUAH,D,19961007,000000,18.986,18.986,18.986,18.986,0,0
TRYUAH,D,19961008,000000,19.083,19.083,19.083,19.083,0,0
TRYUAH,D,19961009,000000,19.022,19.022,19.022,19.022,0,0
TRYUAH,D,19961010,000000,18.99,18.99,18.99,18.99,0,0
TRYUAH,D,19961011,000000,18.991,18.991,18.991,18.991,0,0
TRYUAH,D,19961014,000000,18.991,18.991,18.991,18.991,0,0
TRYUAH,D,19961015,000000,18.79,18.79,18.79,18.79,0,0
TRYUAH,D,19961016,000000,18.773,18.773,18.773,18.773,0,0
TRYUAH,D,19961017,000000,18.771,18.771,18.771,18.771,0,0
TRYUAH,D,19961018,000000,18.765,18.765,18.765,18.765,0,0
TRYUAH,D,19961021,000000,18.686,18.686,18.686,18.686,0,0
TRYUAH,D,19961022,000000,18.717,18.717,18.717,18.717,0,0
TRYUAH,D,19961023,000000,18.658,18.658,18.658,18.658,0,0
TRYUAH,D,19961024,000000,18.738,18.738,18.738,18.738,0,0
TRYUAH,D,19961025,000000,18.75,18.75,18.75,18.75,0,0
TRYUAH,D,19961028,000000,18.73,18.73,18.73,18.73,0,0
TRYUAH,D,19961029,000000,18.814,18.814,18.814,18.814,0,0
TRYUAH,D,19961030,000000,18.829,18.829,18.829,18.829,0,0
TRYUAH,D,19961031,000000,18.835,18.835,18.835,18.835,0,0
TRYUAH,D,19961104,000000,18.737,18.737,18.737,18.737,0,0
TRYUAH,D,19961105,000000,18.849,18.849,18.849,18.849,0,0
TRYUAH,D,19961106,000000,18.932,18.932,18.932,18.932,0,0
TRYUAH,D,19961107,000000,19.035,19.035,19.035,19.035,0,0
TRYUAH,D,19961108,000000,19.035,19.035,19.035,19.035,0,0
TRYUAH,D,19961112,000000,18.999,18.999,18.999,18.999,0,0
TRYUAH,D,19961113,000000,19.043,19.043,19.043,19.043,0,0
TRYUAH,D,19961114,000000,19.062,19.062,19.062,19.062,0,0
TRYUAH,D,19961115,000000,19.004,19.004,19.004,19.004,0,0
TRYUAH,D,19961118,000000,18.908,18.908,18.908,18.908,0,0
TRYUAH,D,19961119,000000,18.86,18.86,18.86,18.86,0,0
TRYUAH,D,19961120,000000,18.746,18.746,18.746,18.746,0,0
TRYUAH,D,19961121,000000,18.832,18.832,18.832,18.832,0,0
TRYUAH,D,19961122,000000,18.842,18.842,18.842,18.842,0,0
TRYUAH,D,19961125,000000,18.691,18.691,18.691,18.691,0,0
TRYUAH,D,19961126,000000,18.59,18.59,18.59,18.59,0,0
TRYUAH,D,19961127,000000,18.553,18.553,18.553,18.553,0,0
TRYUAH,D,19961128,000000,18.573,18.573,18.573,18.573,0,0
TRYUAH,D,19961129,000000,18.463,18.463,18.463,18.463,0,0
TRYUAH,D,19961202,000000,18.337,18.337,18.337,18.337,0,0
TRYUAH,D,19961203,000000,18.252,18.252,18.252,18.252,0,0
TRYUAH,D,19961204,000000,18.244,18.244,18.244,18.244,0,0
TRYUAH,D,19961205,000000,18.184,18.184,18.184,18.184,0,0
TRYUAH,D,19961206,000000,18.343,18.343,18.343,18.343,0,0
TRYUAH,D,19961209,000000,18.027,18.027,18.027,18.027,0,0
TRYUAH,D,19961210,000000,18.168,18.168,18.168,18.168,0,0
TRYUAH,D,19961211,000000,18.177,18.177,18.177,18.177,0,0
TRYUAH,D,19961212,000000,18.16,18.16,18.16,18.16,0,0
TRYUAH,D,19961213,000000,18.142,18.142,18.142,18.142,0,0
TRYUAH,D,19961216,000000,17.952,17.952,17.952,17.952,0,0
TRYUAH,D,19961217,000000,17.935,17.935,17.935,17.935,0,0
TRYUAH,D,19961218,000000,17.901,17.901,17.901,17.901,0,0
TRYUAH,D,19961219,000000,17.834,17.834,17.834,17.834,0,0
TRYUAH,D,19961220,000000,17.834,17.834,17.834,17.834,0,0
TRYUAH,D,19961223,000000,17.733,17.733,17.733,17.733,0,0
TRYUAH,D,19961224,000000,17.709,17.709,17.709,17.709,0,0
TRYUAH,D,19961230,000000,17.431,17.431,17.431,17.431,0,0
TRYUAH,D,19961231,000000,17.54,17.54,17.54,17.54,0,0
TRYUAH,D,19970102,000000,17.523,17.523,17.523,17.523,0,0
TRYUAH,D,19970103,000000,17.442,17.442,17.442,17.442,0,0
TRYUAH,D,19970106,000000,17.251,17.251,17.251,17.251,0,0
TRYUAH,D,19970107,000000,17.299,17.299,17.299,17.299,0,0
TRYUAH,D,19970108,000000,17.188,17.188,17.188,17.188,0,0
TRYUAH,D,19970109,000000,17.142,17.142,17.142,17.142,0,0
TRYUAH,D,19970110,000000,17.162,17.162,17.162,17.162,0,0
TRYUAH,D,19970113,000000,16.993,16.993,16.993,16.993,0,0
