<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRYXPT,D,19840109,000000,79581,79581,79581,79581,0,0
TRYXPT,D,19840116,000000,80065,80065,80065,80065,0,0
TRYXPT,D,19840123,000000,80152,80152,80152,80152,0,0
TRYXPT,D,19840130,000000,76719,76719,76719,76719,0,0
TRYXPT,D,19840206,000000,75168,75168,75168,75168,0,0
TRYXPT,D,19840213,000000,71720,71720,71720,71720,0,0
TRYXPT,D,19840220,000000,70890,70890,70890,70890,0,0
TRYXPT,D,19840301,000000,68370,68370,68370,68370,0,0
TRYXPT,D,19840305,000000,66820,66820,66820,66820,0,0
TRYXPT,D,19840312,000000,68762,68762,68762,68762,0,0
TRYXPT,D,19840319,000000,71061,71061,71061,71061,0,0
TRYXPT,D,19840326,000000,70115,70115,70115,70115,0,0
TRYXPT,D,19840402,000000,78913,78913,78913,78913,0,0
TRYXPT,D,19840409,000000,78703,78703,78703,78703,0,0
TRYXPT,D,19840416,000000,81043,81043,81043,81043,0,0
TRYXPT,D,19840424,000000,70927,70927,70927,70927,0,0
TRYXPT,D,19840502,000000,75083,75083,75083,75083,0,0
TRYXPT,D,19840507,000000,72684,72684,72684,72684,0,0
TRYXPT,D,19840514,000000,71020,71020,71020,71020,0,0
TRYXPT,D,19840521,000000,69286,69286,69286,69286,0,0
TRYXPT,D,19840528,000000,69538,69538,69538,69538,0,0
TRYXPT,D,19840604,000000,69382,69382,69382,69382,0,0
TRYXPT,D,19840611,000000,74010,74010,74010,74010,0,0
TRYXPT,D,19840618,000000,70957,70957,70957,70957,0,0
TRYXPT,D,19840625,000000,72058,72058,72058,72058,0,0
TRYXPT,D,19840702,000000,71834,71834,71834,71834,0,0
TRYXPT,D,19840709,000000,74434,74434,74434,74434,0,0
TRYXPT,D,19840716,000000,76752,76752,76752,76752,0,0
TRYXPT,D,19840723,000000,80822,80822,80822,80822,0,0
TRYXPT,D,19840730,000000,80791,80791,80791,80791,0,0
TRYXPT,D,19840806,000000,79356,79356,79356,79356,0,0
TRYXPT,D,19840813,000000,79962,79962,79962,79962,0,0
TRYXPT,D,19840820,000000,80197,80197,80197,80197,0,0
TRYXPT,D,19840827,000000,80149,80149,80149,80149,0,0
TRYXPT,D,19840901,000000,80678,80678,80678,80678,0,0
TRYXPT,D,19840910,000000,77802,77802,77802,77802,0,0
TRYXPT,D,19840917,000000,79593,79593,79593,79593,0,0
TRYXPT,D,19840924,000000,75170,75170,75170,75170,0,0
TRYXPT,D,19841001,000000,74870,74870,74870,74870,0,0
TRYXPT,D,19841008,000000,78017,78017,78017,78017,0,0
TRYXPT,D,19841015,000000,75577,75577,75577,75577,0,0
TRYXPT,D,19841022,000000,76531,76531,76531,76531,0,0
TRYXPT,D,19841029,000000,79941,79941,79941,79941,0,0
TRYXPT,D,19841105,000000,73946,73946,73946,73946,0,0
TRYXPT,D,19841112,000000,77596,77596,77596,77596,0,0
TRYXPT,D,19841119,000000,80395,80395,80395,80395,0,0
TRYXPT,D,19841126,000000,80127,80127,80127,80127,0,0
TRYXPT,D,19841201,000000,78711,78711,78711,78711,0,0
TRYXPT,D,19841210,000000,77308,77308,77308,77308,0,0
TRYXPT,D,19841217,000000,81343,81343,81343,81343,0,0
TRYXPT,D,19841224,000000,81289,81289,81289,81289,0,0
TRYXPT,D,19850101,000000,81198,81198,81198,81198,0,0
TRYXPT,D,19850107,000000,85590,85590,85590,85590,0,0
TRYXPT,D,19850114,000000,87426,87426,87426,87426,0,0
TRYXPT,D,19850121,000000,84647,84647,84647,84647,0,0
TRYXPT,D,19850128,000000,85702,85702,85702,85702,0,0
TRYXPT,D,19850204,000000,84763,84763,84763,84763,0,0
TRYXPT,D,19850211,000000,83997,83997,83997,83997,0,0
TRYXPT,D,19850218,000000,82781,82781,82781,82781,0,0
TRYXPT,D,19850225,000000,92823,92823,92823,92823,0,0
TRYXPT,D,19850304,000000,85703,85703,85703,85703,0,0
TRYXPT,D,19850311,000000,88952,88952,88952,88952,0,0
TRYXPT,D,19850318,000000,83405,83405,83405,83405,0,0
TRYXPT,D,19850325,000000,79965,79965,79965,79965,0,0
TRYXPT,D,19850329,000000,74893,74893,74893,74893,0,0
TRYXPT,D,19850401,000000,79453,79453,79453,79453,0,0
TRYXPT,D,19850409,000000,73833,73833,73833,73833,0,0
TRYXPT,D,19850415,000000,67354,67354,67354,67354,0,0
TRYXPT,D,19850422,000000,71198,71198,71198,71198,0,0
TRYXPT,D,19850429,000000,74588,74588,74588,74588,0,0
TRYXPT,D,19850506,000000,79760,79760,79760,79760,0,0
TRYXPT,D,19850513,000000,70315,70315,70315,70315,0,0
TRYXPT,D,19850520,000000,72925,72925,72925,72925,0,0
TRYXPT,D,19850527,000000,75838,75838,75838,75838,0,0
TRYXPT,D,19850601,000000,74762,74762,74762,74762,0,0
TRYXPT,D,19850610,000000,76450,76450,76450,76450,0,0
TRYXPT,D,19850617,000000,74343,74343,74343,74343,0,0
TRYXPT,D,19850624,000000,73588,73588,73588,73588,0,0
TRYXPT,D,19850701,000000,79452,79452,79452,79452,0,0
TRYXPT,D,19850708,000000,71395,71395,71395,71395,0,0
TRYXPT,D,19850715,000000,70336,70336,70336,70336,0,0
TRYXPT,D,19850723,000000,70661,70661,70661,70661,0,0
TRYXPT,D,19850729,000000,67832,67832,67832,67832,0,0
TRYXPT,D,19850805,000000,67205,67205,67205,67205,0,0
TRYXPT,D,19850812,000000,63784,63784,63784,63784,0,0
TRYXPT,D,19850819,000000,56355,56355,56355,56355,0,0
TRYXPT,D,19850826,000000,57321,57321,57321,57321,0,0
TRYXPT,D,19850902,000000,57102,57102,57102,57102,0,0
TRYXPT,D,19850909,000000,59286,59286,59286,59286,0,0
TRYXPT,D,19850916,000000,58886,58886,58886,58886,0,0
TRYXPT,D,19850923,000000,57304,57304,57304,57304,0,0
TRYXPT,D,19850930,000000,60888,60888,60888,60888,0,0
TRYXPT,D,19851007,000000,57918,57918,57918,57918,0,0
TRYXPT,D,19851014,000000,57323,57323,57323,57323,0,0
TRYXPT,D,19851021,000000,56145,56145,56145,56145,0,0
TRYXPT,D,19851028,000000,54747,54747,54747,54747,0,0
TRYXPT,D,19851104,000000,56108,56108,56108,56108,0,0
TRYXPT,D,19851111,000000,55959,55959,55959,55959,0,0
TRYXPT,D,19851118,000000,54456,54456,54456,54456,0,0
TRYXPT,D,19851125,000000,50848,50848,50848,50848,0,0
TRYXPT,D,19851202,000000,51681,51681,51681,51681,0,0
TRYXPT,D,19851209,000000,55982,55982,55982,55982,0,0
TRYXPT,D,19851216,000000,53086,53086,53086,53086,0,0
TRYXPT,D,19851223,000000,52422,52422,52422,52422,0,0
TRYXPT,D,19860101,000000,52180,52180,52180,52180,0,0
TRYXPT,D,19860106,000000,48610,48610,48610,48610,0,0
TRYXPT,D,19860113,000000,47840,47840,47840,47840,0,0
TRYXPT,D,19860120,000000,46023,46023,46023,46023,0,0
TRYXPT,D,19860127,000000,45267,45267,45267,45267,0,0
TRYXPT,D,19860201,000000,45493,45493,45493,45493,0,0
TRYXPT,D,19860210,000000,47570,47570,47570,47570,0,0
TRYXPT,D,19860217,000000,47337,47337,47337,47337,0,0
TRYXPT,D,19860224,000000,41283,41283,41283,41283,0,0
TRYXPT,D,19860301,000000,41211,41211,41211,41211,0,0
TRYXPT,D,19860303,000000,42992,42992,42992,42992,0,0
TRYXPT,D,19860310,000000,42262,42262,42262,42262,0,0
TRYXPT,D,19860317,000000,39169,39169,39169,39169,0,0
TRYXPT,D,19860318,000000,38878,38878,38878,38878,0,0
TRYXPT,D,19860324,000000,36196,36196,36196,36196,0,0
TRYXPT,D,19860401,000000,38465,38465,38465,38465,0,0
TRYXPT,D,19860407,000000,35680,35680,35680,35680,0,0
TRYXPT,D,19860409,000000,35185,35185,35185,35185,0,0
TRYXPT,D,19860414,000000,34968,34968,34968,34968,0,0
TRYXPT,D,19860421,000000,36491,36491,36491,36491,0,0
TRYXPT,D,19860428,000000,36417,36417,36417,36417,0,0
TRYXPT,D,19860505,000000,37405,37405,37405,37405,0,0
TRYXPT,D,19860512,000000,36056,36056,36056,36056,0,0
TRYXPT,D,19860519,000000,37526,37526,37526,37526,0,0
TRYXPT,D,19860526,000000,37162,37162,37162,37162,0,0
TRYXPT,D,19860602,000000,35284,35284,35284,35284,0,0
TRYXPT,D,19860609,000000,32833,32833,32833,32833,0,0
TRYXPT,D,19860616,000000,34808,34808,34808,34808,0,0
TRYXPT,D,19860623,000000,34092,34092,34092,34092,0,0
TRYXPT,D,19860630,000000,33811,33811,33811,33811,0,0
TRYXPT,D,19860707,000000,33946,33946,33946,33946,0,0
TRYXPT,D,19860714,000000,34239,34239,34239,34239,0,0
TRYXPT,D,19860721,000000,32754,32754,32754,32754,0,0
TRYXPT,D,19860728,000000,33189,33189,33189,33189,0,0
TRYXPT,D,19860804,000000,31431,31431,31431,31431,0,0
TRYXPT,D,19860811,000000,27321,27321,27321,27321,0,0
TRYXPT,D,19860818,000000,27757,27757,27757,27757,0,0
