<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDCHF,D,19840102,000000,5.4178,5.4178,5.4178,5.4178,0,0
TWDCHF,D,19840109,000000,5.5977,5.5977,5.5977,5.5977,0,0
TWDCHF,D,19840116,000000,5.5977,5.5977,5.5977,5.5977,0,0
TWDCHF,D,19840123,000000,5.5977,5.5977,5.5977,5.5977,0,0
TWDCHF,D,19840130,000000,5.5932,5.5932,5.5932,5.5932,0,0
TWDCHF,D,19840206,000000,5.5932,5.5932,5.5932,5.5932,0,0
TWDCHF,D,19840213,000000,5.5932,5.5932,5.5932,5.5932,0,0
TWDCHF,D,19840220,000000,5.5364,5.5364,5.5364,5.5364,0,0
TWDCHF,D,19840301,000000,5.472,5.472,5.472,5.472,0,0
TWDCHF,D,19840305,000000,5.426,5.426,5.426,5.426,0,0
TWDCHF,D,19840312,000000,5.2804,5.2804,5.2804,5.2804,0,0
TWDCHF,D,19840319,000000,5.2882,5.2882,5.2882,5.2882,0,0
TWDCHF,D,19840326,000000,5.349,5.349,5.349,5.349,0,0
TWDCHF,D,19840402,000000,5.349,5.349,5.349,5.349,0,0
TWDCHF,D,19840409,000000,5.349,5.349,5.349,5.349,0,0
TWDCHF,D,19840416,000000,5.48,5.48,5.48,5.48,0,0
TWDCHF,D,19840424,000000,5.542,5.542,5.542,5.542,0,0
TWDCHF,D,19840502,000000,5.546,5.546,5.546,5.546,0,0
TWDCHF,D,19840507,000000,5.7143,5.7143,5.7143,5.7143,0,0
TWDCHF,D,19840514,000000,5.7143,5.7143,5.7143,5.7143,0,0
TWDCHF,D,19840521,000000,5.698,5.698,5.698,5.698,0,0
TWDCHF,D,19840528,000000,5.698,5.698,5.698,5.698,0,0
TWDCHF,D,19840604,000000,5.6633,5.6633,5.6633,5.6633,0,0
TWDCHF,D,19840611,000000,5.52,5.52,5.52,5.52,0,0
TWDCHF,D,19840618,000000,5.6898,5.6898,5.6898,5.6898,0,0
TWDCHF,D,19840625,000000,5.6918,5.6918,5.6918,5.6918,0,0
TWDCHF,D,19840702,000000,5.8813,5.8813,5.8813,5.8813,0,0
TWDCHF,D,19840709,000000,5.8979,5.8979,5.8979,5.8979,0,0
TWDCHF,D,19840716,000000,6.0319,6.0319,6.0319,6.0319,0,0
TWDCHF,D,19840723,000000,6.0851,6.0851,6.0851,6.0851,0,0
TWDCHF,D,19840730,000000,6.2565,6.2565,6.2565,6.2565,0,0
TWDCHF,D,19840806,000000,6.2804,6.2804,6.2804,6.2804,0,0
TWDCHF,D,19840813,000000,6.2804,6.2804,6.2804,6.2804,0,0
TWDCHF,D,19840820,000000,6.287,6.287,6.287,6.287,0,0
TWDCHF,D,19840827,000000,6.1511,6.1511,6.1511,6.1511,0,0
TWDCHF,D,19840901,000000,6.1706,6.1706,6.1706,6.1706,0,0
TWDCHF,D,19840910,000000,6.2216,6.2216,6.2216,6.2216,0,0
TWDCHF,D,19840917,000000,6.388,6.388,6.388,6.388,0,0
TWDCHF,D,19840924,000000,6.42,6.42,6.42,6.42,0,0
TWDCHF,D,19841001,000000,6.426,6.426,6.426,6.426,0,0
TWDCHF,D,19841008,000000,6.376,6.376,6.376,6.376,0,0
TWDCHF,D,19841015,000000,6.432,6.432,6.432,6.432,0,0
TWDCHF,D,19841022,000000,6.5959,6.5959,6.5959,6.5959,0,0
TWDCHF,D,19841029,000000,6.404,6.404,6.404,6.404,0,0
TWDCHF,D,19841105,000000,6.422,6.422,6.422,6.422,0,0
TWDCHF,D,19841112,000000,6.1961,6.1961,6.1961,6.1961,0,0
TWDCHF,D,19841119,000000,6.1569,6.1569,6.1569,6.1569,0,0
TWDCHF,D,19841126,000000,6.2039,6.2039,6.2039,6.2039,0,0
TWDCHF,D,19841201,000000,6.38,6.38,6.38,6.38,0,0
TWDCHF,D,19841210,000000,6.376,6.376,6.376,6.376,0,0
TWDCHF,D,19841217,000000,6.5041,6.5041,6.5041,6.5041,0,0
TWDCHF,D,19841224,000000,6.5082,6.5082,6.5082,6.5082,0,0
TWDCHF,D,19850101,000000,6.4685,6.4685,6.4685,6.4685,0,0
TWDCHF,D,19850107,000000,6.6434,6.6434,6.6434,6.6434,0,0
TWDCHF,D,19850114,000000,6.6113,6.6113,6.6113,6.6113,0,0
TWDCHF,D,19850121,000000,6.7885,6.7885,6.7885,6.7885,0,0
TWDCHF,D,19850128,000000,6.8231,6.8231,6.8231,6.8231,0,0
TWDCHF,D,19850204,000000,6.8212,6.8212,6.8212,6.8212,0,0
TWDCHF,D,19850211,000000,7.0059,7.0059,7.0059,7.0059,0,0
TWDCHF,D,19850218,000000,7.198,7.198,7.198,7.198,0,0
TWDCHF,D,19850225,000000,7.18,7.18,7.18,7.18,0,0
TWDCHF,D,19850304,000000,7.302,7.302,7.302,7.302,0,0
TWDCHF,D,19850311,000000,7.4,7.4,7.4,7.4,0,0
TWDCHF,D,19850318,000000,7.126,7.126,7.126,7.126,0,0
TWDCHF,D,19850325,000000,7.052,7.052,7.052,7.052,0,0
TWDCHF,D,19850329,000000,6.7039,6.7039,6.7039,6.7039,0,0
TWDCHF,D,19850401,000000,6.7039,6.7039,6.7039,6.7039,0,0
