<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDJPY,D,19840102,000000,5.8048,5.8048,5.8048,5.8048,0,0
TWDJPY,D,19840109,000000,5.8643,5.8643,5.8643,5.8643,0,0
TWDJPY,D,19840116,000000,5.8643,5.8643,5.8643,5.8643,0,0
TWDJPY,D,19840123,000000,5.8643,5.8643,5.8643,5.8643,0,0
TWDJPY,D,19840130,000000,5.8595,5.8595,5.8595,5.8595,0,0
TWDJPY,D,19840206,000000,5.8595,5.8595,5.8595,5.8595,0,0
TWDJPY,D,19840213,000000,5.8595,5.8595,5.8595,5.8595,0,0
TWDJPY,D,19840220,000000,5.8,5.8,5.8,5.8,0,0
TWDJPY,D,19840301,000000,5.8213,5.8213,5.8213,5.8213,0,0
TWDJPY,D,19840305,000000,5.7723,5.7723,5.7723,5.7723,0,0
TWDJPY,D,19840312,000000,5.4959,5.4959,5.4959,5.4959,0,0
TWDJPY,D,19840319,000000,5.6188,5.6188,5.6188,5.6188,0,0
TWDJPY,D,19840326,000000,5.5674,5.5674,5.5674,5.5674,0,0
TWDJPY,D,19840402,000000,5.5674,5.5674,5.5674,5.5674,0,0
TWDJPY,D,19840409,000000,5.5674,5.5674,5.5674,5.5674,0,0
TWDJPY,D,19840416,000000,5.5918,5.5918,5.5918,5.5918,0,0
TWDJPY,D,19840424,000000,5.6551,5.6551,5.6551,5.6551,0,0
TWDJPY,D,19840502,000000,5.6592,5.6592,5.6592,5.6592,0,0
TWDJPY,D,19840507,000000,5.7143,5.7143,5.7143,5.7143,0,0
TWDJPY,D,19840514,000000,5.7143,5.7143,5.7143,5.7143,0,0
TWDJPY,D,19840521,000000,5.8167,5.8167,5.8167,5.8167,0,0
TWDJPY,D,19840528,000000,5.8167,5.8167,5.8167,5.8167,0,0
TWDJPY,D,19840604,000000,5.7813,5.7813,5.7813,5.7813,0,0
TWDJPY,D,19840611,000000,5.75,5.75,5.75,5.75,0,0
TWDJPY,D,19840618,000000,5.8083,5.8083,5.8083,5.8083,0,0
TWDJPY,D,19840625,000000,5.8104,5.8104,5.8104,5.8104,0,0
TWDJPY,D,19840702,000000,6.0064,6.0064,6.0064,6.0064,0,0
TWDJPY,D,19840709,000000,6.0234,6.0234,6.0234,6.0234,0,0
TWDJPY,D,19840716,000000,6.0319,6.0319,6.0319,6.0319,0,0
TWDJPY,D,19840723,000000,6.0851,6.0851,6.0851,6.0851,0,0
TWDJPY,D,19840730,000000,6.2565,6.2565,6.2565,6.2565,0,0
TWDJPY,D,19840806,000000,6.2804,6.2804,6.2804,6.2804,0,0
TWDJPY,D,19840813,000000,6.2804,6.2804,6.2804,6.2804,0,0
TWDJPY,D,19840820,000000,6.1532,6.1532,6.1532,6.1532,0,0
TWDJPY,D,19840827,000000,6.1511,6.1511,6.1511,6.1511,0,0
TWDJPY,D,19840901,000000,6.1706,6.1706,6.1706,6.1706,0,0
TWDJPY,D,19840910,000000,6.2216,6.2216,6.2216,6.2216,0,0
TWDJPY,D,19840917,000000,6.2628,6.2628,6.2628,6.2628,0,0
TWDJPY,D,19840924,000000,6.2941,6.2941,6.2941,6.2941,0,0
TWDJPY,D,19841001,000000,6.3,6.3,6.3,6.3,0,0
TWDJPY,D,19841008,000000,6.251,6.251,6.251,6.251,0,0
TWDJPY,D,19841015,000000,6.3059,6.3059,6.3059,6.3059,0,0
TWDJPY,D,19841022,000000,6.3373,6.3373,6.3373,6.3373,0,0
TWDJPY,D,19841029,000000,6.2784,6.2784,6.2784,6.2784,0,0
TWDJPY,D,19841105,000000,6.2961,6.2961,6.2961,6.2961,0,0
TWDJPY,D,19841112,000000,6.1961,6.1961,6.1961,6.1961,0,0
TWDJPY,D,19841119,000000,6.0385,6.0385,6.0385,6.0385,0,0
TWDJPY,D,19841126,000000,6.2039,6.2039,6.2039,6.2039,0,0
TWDJPY,D,19841201,000000,6.2549,6.2549,6.2549,6.2549,0,0
TWDJPY,D,19841210,000000,6.251,6.251,6.251,6.251,0,0
TWDJPY,D,19841217,000000,6.249,6.249,6.249,6.249,0,0
TWDJPY,D,19841224,000000,6.2529,6.2529,6.2529,6.2529,0,0
TWDJPY,D,19850101,000000,6.2375,6.2375,6.2375,6.2375,0,0
TWDJPY,D,19850107,000000,6.4018,6.4018,6.4018,6.4018,0,0
TWDJPY,D,19850114,000000,6.3709,6.3709,6.3709,6.3709,0,0
TWDJPY,D,19850121,000000,6.4182,6.4182,6.4182,6.4182,0,0
TWDJPY,D,19850128,000000,6.4509,6.4509,6.4509,6.4509,0,0
TWDJPY,D,19850204,000000,6.4491,6.4491,6.4491,6.4491,0,0
TWDJPY,D,19850211,000000,6.6167,6.6167,6.6167,6.6167,0,0
