<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDNZD,D,19840109,000000,3.8484,3.8484,3.8484,3.8484,0,0
TWDNZD,D,19840116,000000,3.8484,3.8484,3.8484,3.8484,0,0
TWDNZD,D,19840123,000000,3.8484,3.8484,3.8484,3.8484,0,0
TWDNZD,D,19840130,000000,3.8453,3.8453,3.8453,3.8453,0,0
TWDNZD,D,19840206,000000,3.7862,3.7862,3.7862,3.7862,0,0
TWDNZD,D,19840213,000000,3.7862,3.7862,3.7862,3.7862,0,0
TWDNZD,D,19840220,000000,3.8063,3.8063,3.8063,3.8063,0,0
TWDNZD,D,19840301,000000,3.748,3.748,3.748,3.748,0,0
TWDNZD,D,19840305,000000,3.7681,3.7681,3.7681,3.7681,0,0
TWDNZD,D,19840312,000000,3.7403,3.7403,3.7403,3.7403,0,0
TWDNZD,D,19840319,000000,3.7458,3.7458,3.7458,3.7458,0,0
TWDNZD,D,19840326,000000,3.737,3.737,3.737,3.737,0,0
TWDNZD,D,19840402,000000,3.7889,3.7889,3.7889,3.7889,0,0
TWDNZD,D,19840409,000000,3.7889,3.7889,3.7889,3.7889,0,0
TWDNZD,D,19840416,000000,3.8056,3.8056,3.8056,3.8056,0,0
TWDNZD,D,19840424,000000,3.8486,3.8486,3.8486,3.8486,0,0
TWDNZD,D,19840502,000000,3.8514,3.8514,3.8514,3.8514,0,0
TWDNZD,D,19840507,000000,3.8889,3.8889,3.8889,3.8889,0,0
TWDNZD,D,19840514,000000,3.8889,3.8889,3.8889,3.8889,0,0
TWDNZD,D,19840521,000000,3.8778,3.8778,3.8778,3.8778,0,0
TWDNZD,D,19840528,000000,3.8778,3.8778,3.8778,3.8778,0,0
TWDNZD,D,19840604,000000,3.8542,3.8542,3.8542,3.8542,0,0
TWDNZD,D,19840611,000000,3.8873,3.8873,3.8873,3.8873,0,0
TWDNZD,D,19840618,000000,3.9268,3.9268,3.9268,3.9268,0,0
TWDNZD,D,19840625,000000,3.9843,3.9843,3.9843,3.9843,0,0
TWDNZD,D,19840702,000000,3.9761,3.9761,3.9761,3.9761,0,0
TWDNZD,D,19840709,000000,4.1029,4.1029,4.1029,4.1029,0,0
TWDNZD,D,19840716,000000,4.1087,4.1087,4.1087,4.1087,0,0
TWDNZD,D,19840723,000000,5.1071,5.1071,5.1071,5.1071,0,0
TWDNZD,D,19840730,000000,5.1393,5.1393,5.1393,5.1393,0,0
TWDNZD,D,19840806,000000,5.1589,5.1589,5.1589,5.1589,0,0
TWDNZD,D,19840813,000000,5.1589,5.1589,5.1589,5.1589,0,0
TWDNZD,D,19840820,000000,5.0737,5.0737,5.0737,5.0737,0,0
TWDNZD,D,19840827,000000,5.0719,5.0719,5.0719,5.0719,0,0
TWDNZD,D,19840901,000000,5.0758,5.0758,5.0758,5.0758,0,0
TWDNZD,D,19840910,000000,5.2016,5.2016,5.2016,5.2016,0,0
TWDNZD,D,19840917,000000,5.2361,5.2361,5.2361,5.2361,0,0
TWDNZD,D,19840924,000000,5.1774,5.1774,5.1774,5.1774,0,0
TWDNZD,D,19841001,000000,5.2672,5.2672,5.2672,5.2672,0,0
TWDNZD,D,19841008,000000,5.2262,5.2262,5.2262,5.2262,0,0
TWDNZD,D,19841015,000000,5.2721,5.2721,5.2721,5.2721,0,0
TWDNZD,D,19841022,000000,5.2984,5.2984,5.2984,5.2984,0,0
TWDNZD,D,19841029,000000,5.2492,5.2492,5.2492,5.2492,0,0
TWDNZD,D,19841105,000000,5.179,5.179,5.179,5.179,0,0
TWDNZD,D,19841112,000000,5.1803,5.1803,5.1803,5.1803,0,0
TWDNZD,D,19841119,000000,5.1475,5.1475,5.1475,5.1475,0,0
TWDNZD,D,19841126,000000,5.1869,5.1869,5.1869,5.1869,0,0
TWDNZD,D,19841201,000000,5.2295,5.2295,5.2295,5.2295,0,0
TWDNZD,D,19841210,000000,5.2262,5.2262,5.2262,5.2262,0,0
TWDNZD,D,19841217,000000,5.2246,5.2246,5.2246,5.2246,0,0
TWDNZD,D,19841224,000000,5.315,5.315,5.315,5.315,0,0
TWDNZD,D,19850101,000000,5.2924,5.2924,5.2924,5.2924,0,0
TWDNZD,D,19850107,000000,5.4169,5.4169,5.4169,5.4169,0,0
