<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDUSD,D,19840102,000000,2.4878,2.4878,2.4878,2.4878,0,0
TWDUSD,D,19840109,000000,2.4879,2.4879,2.4879,2.4879,0,0
TWDUSD,D,19840116,000000,2.4879,2.4879,2.4879,2.4879,0,0
TWDUSD,D,19840123,000000,2.4879,2.4879,2.4879,2.4879,0,0
TWDUSD,D,19840130,000000,2.4859,2.4859,2.4859,2.4859,0,0
TWDUSD,D,19840206,000000,2.4859,2.4859,2.4859,2.4859,0,0
TWDUSD,D,19840213,000000,2.4859,2.4859,2.4859,2.4859,0,0
TWDUSD,D,19840220,000000,2.4857,2.4857,2.4857,2.4857,0,0
TWDUSD,D,19840301,000000,2.4873,2.4873,2.4873,2.4873,0,0
TWDUSD,D,19840305,000000,2.489,2.489,2.489,2.489,0,0
TWDUSD,D,19840312,000000,2.4935,2.4935,2.4935,2.4935,0,0
TWDUSD,D,19840319,000000,2.4972,2.4972,2.4972,2.4972,0,0
TWDUSD,D,19840326,000000,2.5028,2.5028,2.5028,2.5028,0,0
TWDUSD,D,19840402,000000,2.5028,2.5028,2.5028,2.5028,0,0
TWDUSD,D,19840409,000000,2.5028,2.5028,2.5028,2.5028,0,0
TWDUSD,D,19840416,000000,2.5138,2.5138,2.5138,2.5138,0,0
TWDUSD,D,19840424,000000,2.5191,2.5191,2.5191,2.5191,0,0
TWDUSD,D,19840502,000000,2.5209,2.5209,2.5209,2.5209,0,0
TWDUSD,D,19840507,000000,2.5225,2.5225,2.5225,2.5225,0,0
TWDUSD,D,19840514,000000,2.5225,2.5225,2.5225,2.5225,0,0
TWDUSD,D,19840521,000000,2.5153,2.5153,2.5153,2.5153,0,0
TWDUSD,D,19840528,000000,2.5153,2.5153,2.5153,2.5153,0,0
TWDUSD,D,19840604,000000,2.5,2.5,2.5,2.5,0,0
TWDUSD,D,19840611,000000,2.5091,2.5091,2.5091,2.5091,0,0
TWDUSD,D,19840618,000000,2.5117,2.5117,2.5117,2.5117,0,0
TWDUSD,D,19840625,000000,2.5126,2.5126,2.5126,2.5126,0,0
TWDUSD,D,19840702,000000,2.5205,2.5205,2.5205,2.5205,0,0
TWDUSD,D,19840709,000000,2.5277,2.5277,2.5277,2.5277,0,0
TWDUSD,D,19840716,000000,2.5313,2.5313,2.5313,2.5313,0,0
TWDUSD,D,19840723,000000,2.531,2.531,2.531,2.531,0,0
TWDUSD,D,19840730,000000,2.5469,2.5469,2.5469,2.5469,0,0
TWDUSD,D,19840806,000000,2.5566,2.5566,2.5566,2.5566,0,0
TWDUSD,D,19840813,000000,2.5566,2.5566,2.5566,2.5566,0,0
TWDUSD,D,19840820,000000,2.5593,2.5593,2.5593,2.5593,0,0
TWDUSD,D,19840827,000000,2.5584,2.5584,2.5584,2.5584,0,0
TWDUSD,D,19840901,000000,2.5585,2.5585,2.5585,2.5585,0,0
TWDUSD,D,19840910,000000,2.5589,2.5589,2.5589,2.5589,0,0
TWDUSD,D,19840917,000000,2.5552,2.5552,2.5552,2.5552,0,0
TWDUSD,D,19840924,000000,2.5476,2.5476,2.5476,2.5476,0,0
TWDUSD,D,19841001,000000,2.55,2.55,2.55,2.55,0,0
TWDUSD,D,19841008,000000,2.5504,2.5504,2.5504,2.5504,0,0
TWDUSD,D,19841015,000000,2.5524,2.5524,2.5524,2.5524,0,0
TWDUSD,D,19841022,000000,2.5449,2.5449,2.5449,2.5449,0,0
TWDUSD,D,19841029,000000,2.5413,2.5413,2.5413,2.5413,0,0
TWDUSD,D,19841105,000000,2.5484,2.5484,2.5484,2.5484,0,0
TWDUSD,D,19841112,000000,2.5484,2.5484,2.5484,2.5484,0,0
TWDUSD,D,19841119,000000,2.5323,2.5323,2.5323,2.5323,0,0
TWDUSD,D,19841126,000000,2.5312,2.5312,2.5312,2.5312,0,0
TWDUSD,D,19841201,000000,2.5318,2.5318,2.5318,2.5318,0,0
TWDUSD,D,19841210,000000,2.5302,2.5302,2.5302,2.5302,0,0
TWDUSD,D,19841217,000000,2.5294,2.5294,2.5294,2.5294,0,0
TWDUSD,D,19841224,000000,2.531,2.531,2.531,2.531,0,0
TWDUSD,D,19850101,000000,2.5312,2.5312,2.5312,2.5312,0,0
TWDUSD,D,19850107,000000,2.5331,2.5331,2.5331,2.5331,0,0
TWDUSD,D,19850114,000000,2.5391,2.5391,2.5391,2.5391,0,0
TWDUSD,D,19850121,000000,2.5396,2.5396,2.5396,2.5396,0,0
TWDUSD,D,19850128,000000,2.5525,2.5525,2.5525,2.5525,0,0
TWDUSD,D,19850204,000000,2.5518,2.5518,2.5518,2.5518,0,0
TWDUSD,D,19850211,000000,2.5521,2.5521,2.5521,2.5521,0,0
TWDUSD,D,19850218,000000,2.5525,2.5525,2.5525,2.5525,0,0
TWDUSD,D,19850225,000000,2.5461,2.5461,2.5461,2.5461,0,0
TWDUSD,D,19850304,000000,2.5376,2.5376,2.5376,2.5376,0,0
TWDUSD,D,19850311,000000,2.5357,2.5357,2.5357,2.5357,0,0
TWDUSD,D,19850318,000000,2.527,2.527,2.527,2.527,0,0
TWDUSD,D,19850325,000000,2.5186,2.5186,2.5186,2.5186,0,0
TWDUSD,D,19850329,000000,2.5261,2.5261,2.5261,2.5261,0,0
TWDUSD,D,19850401,000000,2.5261,2.5261,2.5261,2.5261,0,0
TWDUSD,D,19850409,000000,2.5234,2.5234,2.5234,2.5234,0,0
TWDUSD,D,19850415,000000,2.5232,2.5232,2.5232,2.5232,0,0
TWDUSD,D,19850422,000000,2.5118,2.5118,2.5118,2.5118,0,0
TWDUSD,D,19850429,000000,2.5022,2.5022,2.5022,2.5022,0,0
TWDUSD,D,19850506,000000,2.5029,2.5029,2.5029,2.5029,0,0
TWDUSD,D,19850513,000000,2.5022,2.5022,2.5022,2.5022,0,0
TWDUSD,D,19850520,000000,2.5059,2.5059,2.5059,2.5059,0,0
TWDUSD,D,19850527,000000,2.5059,2.5059,2.5059,2.5059,0,0
TWDUSD,D,19850601,000000,2.5057,2.5057,2.5057,2.5057,0,0
TWDUSD,D,19850610,000000,2.5114,2.5114,2.5114,2.5114,0,0
TWDUSD,D,19850617,000000,2.5113,2.5113,2.5113,2.5113,0,0
TWDUSD,D,19850624,000000,2.5057,2.5057,2.5057,2.5057,0,0
TWDUSD,D,19850701,000000,2.5032,2.5032,2.5032,2.5032,0,0
TWDUSD,D,19850708,000000,2.4968,2.4968,2.4968,2.4968,0,0
TWDUSD,D,19850715,000000,2.4968,2.4968,2.4968,2.4968,0,0
TWDUSD,D,19850723,000000,2.4852,2.4852,2.4852,2.4852,0,0
TWDUSD,D,19850729,000000,2.4753,2.4753,2.4753,2.4753,0,0
TWDUSD,D,19850805,000000,2.4727,2.4727,2.4727,2.4727,0,0
TWDUSD,D,19850812,000000,2.4652,2.4652,2.4652,2.4652,0,0
TWDUSD,D,19850819,000000,2.4647,2.4647,2.4647,2.4647,0,0
TWDUSD,D,19850826,000000,2.4719,2.4719,2.4719,2.4719,0,0
TWDUSD,D,19850902,000000,2.4719,2.4719,2.4719,2.4719,0,0
TWDUSD,D,19850909,000000,2.476,2.476,2.476,2.476,0,0
TWDUSD,D,19850916,000000,2.4731,2.4731,2.4731,2.4731,0,0
TWDUSD,D,19850923,000000,2.4652,2.4652,2.4652,2.4652,0,0
TWDUSD,D,19850930,000000,2.4651,2.4651,2.4651,2.4651,0,0
TWDUSD,D,19851007,000000,2.4854,2.4854,2.4854,2.4854,0,0
TWDUSD,D,19851014,000000,2.486,2.486,2.486,2.486,0,0
TWDUSD,D,19851021,000000,2.4921,2.4921,2.4921,2.4921,0,0
TWDUSD,D,19851028,000000,2.492,2.492,2.492,2.492,0,0
TWDUSD,D,19851104,000000,2.494,2.494,2.494,2.494,0,0
TWDUSD,D,19851111,000000,2.494,2.494,2.494,2.494,0,0
TWDUSD,D,19851118,000000,2.502,2.502,2.502,2.502,0,0
TWDUSD,D,19851125,000000,2.506,2.506,2.506,2.506,0,0
TWDUSD,D,19851202,000000,2.5114,2.5114,2.5114,2.5114,0,0
TWDUSD,D,19851209,000000,2.5061,2.5061,2.5061,2.5061,0,0
TWDUSD,D,19851216,000000,2.5047,2.5047,2.5047,2.5047,0,0
TWDUSD,D,19851223,000000,2.5047,2.5047,2.5047,2.5047,0,0
TWDUSD,D,19860101,000000,2.5047,2.5047,2.5047,2.5047,0,0
TWDUSD,D,19860106,000000,2.5082,2.5082,2.5082,2.5082,0,0
TWDUSD,D,19860113,000000,2.5225,2.5225,2.5225,2.5225,0,0
TWDUSD,D,19860120,000000,2.5225,2.5225,2.5225,2.5225,0,0
TWDUSD,D,19860127,000000,2.534,2.534,2.534,2.534,0,0
TWDUSD,D,19860201,000000,2.5341,2.5341,2.5341,2.5341,0,0
TWDUSD,D,19860210,000000,2.5424,2.5424,2.5424,2.5424,0,0
TWDUSD,D,19860217,000000,2.5426,2.5426,2.5426,2.5426,0,0
TWDUSD,D,19860224,000000,2.5645,2.5645,2.5645,2.5645,0,0
TWDUSD,D,19860301,000000,2.5645,2.5645,2.5645,2.5645,0,0
TWDUSD,D,19860303,000000,2.5602,2.5602,2.5602,2.5602,0,0
TWDUSD,D,19860310,000000,2.5558,2.5558,2.5558,2.5558,0,0
TWDUSD,D,19860317,000000,2.5575,2.5575,2.5575,2.5575,0,0
TWDUSD,D,19860318,000000,2.5617,2.5617,2.5617,2.5617,0,0
TWDUSD,D,19860324,000000,2.5741,2.5741,2.5741,2.5741,0,0
TWDUSD,D,19860401,000000,2.5761,2.5761,2.5761,2.5761,0,0
TWDUSD,D,19860407,000000,2.5786,2.5786,2.5786,2.5786,0,0
TWDUSD,D,19860409,000000,2.5798,2.5798,2.5798,2.5798,0,0
TWDUSD,D,19860414,000000,2.5852,2.5852,2.5852,2.5852,0,0
TWDUSD,D,19860421,000000,2.5893,2.5893,2.5893,2.5893,0,0
TWDUSD,D,19860428,000000,2.5896,2.5896,2.5896,2.5896,0,0
TWDUSD,D,19860505,000000,2.5933,2.5933,2.5933,2.5933,0,0
TWDUSD,D,19860512,000000,2.5982,2.5982,2.5982,2.5982,0,0
TWDUSD,D,19860519,000000,2.6037,2.6037,2.6037,2.6037,0,0
TWDUSD,D,19860526,000000,2.6036,2.6036,2.6036,2.6036,0,0
TWDUSD,D,19860602,000000,2.6175,2.6175,2.6175,2.6175,0,0
TWDUSD,D,19860609,000000,2.6205,2.6205,2.6205,2.6205,0,0
TWDUSD,D,19860616,000000,2.6212,2.6212,2.6212,2.6212,0,0
TWDUSD,D,19860623,000000,2.6212,2.6212,2.6212,2.6212,0,0
TWDUSD,D,19860630,000000,2.6212,2.6212,2.6212,2.6212,0,0
TWDUSD,D,19860707,000000,2.6232,2.6232,2.6232,2.6232,0,0
TWDUSD,D,19860714,000000,2.6232,2.6232,2.6232,2.6232,0,0
TWDUSD,D,19860721,000000,2.6232,2.6232,2.6232,2.6232,0,0
TWDUSD,D,19860728,000000,2.6233,2.6233,2.6233,2.6233,0,0
TWDUSD,D,19860804,000000,2.6327,2.6327,2.6327,2.6327,0,0
TWDUSD,D,19860811,000000,2.6636,2.6636,2.6636,2.6636,0,0
TWDUSD,D,19860818,000000,2.6857,2.6857,2.6857,2.6857,0,0
TWDUSD,D,19860825,000000,2.6975,2.6975,2.6975,2.6975,0,0
TWDUSD,D,19860901,000000,2.6975,2.6975,2.6975,2.6975,0,0
TWDUSD,D,19860908,000000,2.707,2.707,2.707,2.707,0,0
TWDUSD,D,19860915,000000,2.7115,2.7115,2.7115,2.7115,0,0
TWDUSD,D,19860922,000000,2.7145,2.7145,2.7145,2.7145,0,0
TWDUSD,D,19860929,000000,2.7145,2.7145,2.7145,2.7145,0,0
TWDUSD,D,19861006,000000,2.7235,2.7235,2.7235,2.7235,0,0
TWDUSD,D,19861013,000000,2.7236,2.7236,2.7236,2.7236,0,0
TWDUSD,D,19861020,000000,2.7297,2.7297,2.7297,2.7297,0,0
TWDUSD,D,19861027,000000,2.7349,2.7349,2.7349,2.7349,0,0
TWDUSD,D,19861101,000000,2.7345,2.7345,2.7345,2.7345,0,0
TWDUSD,D,19861110,000000,2.7398,2.7398,2.7398,2.7398,0,0
TWDUSD,D,19861117,000000,2.7455,2.7455,2.7455,2.7455,0,0
TWDUSD,D,19861124,000000,2.7505,2.7505,2.7505,2.7505,0,0
TWDUSD,D,19861201,000000,2.7623,2.7623,2.7623,2.7623,0,0
TWDUSD,D,19861208,000000,2.7586,2.7586,2.7586,2.7586,0,0
TWDUSD,D,19861215,000000,2.7699,2.7699,2.7699,2.7699,0,0
TWDUSD,D,19861222,000000,2.7865,2.7865,2.7865,2.7865,0,0
TWDUSD,D,19861231,000000,2.8131,2.8131,2.8131,2.8131,0,0
TWDUSD,D,19870112,000000,2.8244,2.8244,2.8244,2.8244,0,0
TWDUSD,D,19870119,000000,2.8241,2.8241,2.8241,2.8241,0,0
TWDUSD,D,19870126,000000,2.8466,2.8466,2.8466,2.8466,0,0
TWDUSD,D,19870201,000000,2.8467,2.8467,2.8467,2.8467,0,0
TWDUSD,D,19870209,000000,2.8523,2.8523,2.8523,2.8523,0,0
TWDUSD,D,19870216,000000,2.8521,2.8521,2.8521,2.8521,0,0
TWDUSD,D,19870223,000000,2.8554,2.8554,2.8554,2.8554,0,0
TWDUSD,D,19870302,000000,2.8539,2.8539,2.8539,2.8539,0,0
TWDUSD,D,19870309,000000,2.8613,2.8613,2.8613,2.8613,0,0
TWDUSD,D,19870316,000000,2.8867,2.8867,2.8867,2.8867,0,0
TWDUSD,D,19870323,000000,2.9025,2.9025,2.9025,2.9025,0,0
TWDUSD,D,19870330,000000,2.9025,2.9025,2.9025,2.9025,0,0
TWDUSD,D,19870406,000000,2.9025,2.9025,2.9025,2.9025,0,0
TWDUSD,D,19870413,000000,2.9307,2.9307,2.9307,2.9307,0,0
TWDUSD,D,19870421,000000,2.9716,2.9716,2.9716,2.9716,0,0
TWDUSD,D,19870427,000000,2.9952,2.9952,2.9952,2.9952,0,0
TWDUSD,D,19870504,000000,3.0398,3.0398,3.0398,3.0398,0,0
TWDUSD,D,19870511,000000,3.0725,3.0725,3.0725,3.0725,0,0
TWDUSD,D,19870518,000000,3.0948,3.0948,3.0948,3.0948,0,0
TWDUSD,D,19870525,000000,3.0949,3.0949,3.0949,3.0949,0,0
TWDUSD,D,19870601,000000,3.1709,3.1709,3.1709,3.1709,0,0
TWDUSD,D,19870608,000000,3.1957,3.1957,3.1957,3.1957,0,0
TWDUSD,D,19870615,000000,3.2114,3.2114,3.2114,3.2114,0,0
TWDUSD,D,19870622,000000,3.2125,3.2125,3.2125,3.2125,0,0
TWDUSD,D,19870629,000000,3.2133,3.2133,3.2133,3.2133,0,0
TWDUSD,D,19870706,000000,3.2115,3.2115,3.2115,3.2115,0,0
TWDUSD,D,19870713,000000,3.2122,3.2122,3.2122,3.2122,0,0
TWDUSD,D,19870720,000000,3.2122,3.2122,3.2122,3.2122,0,0
TWDUSD,D,19870727,000000,3.2115,3.2115,3.2115,3.2115,0,0
TWDUSD,D,19870803,000000,3.2489,3.2489,3.2489,3.2489,0,0
TWDUSD,D,19870810,000000,3.295,3.295,3.295,3.295,0,0
TWDUSD,D,19870817,000000,3.3158,3.3158,3.3158,3.3158,0,0
TWDUSD,D,19870824,000000,3.3166,3.3166,3.3166,3.3166,0,0
TWDUSD,D,19870831,000000,3.3156,3.3156,3.3156,3.3156,0,0
TWDUSD,D,19870907,000000,3.3156,3.3156,3.3156,3.3156,0,0
TWDUSD,D,19870914,000000,3.3178,3.3178,3.3178,3.3178,0,0
TWDUSD,D,19870921,000000,3.3179,3.3179,3.3179,3.3179,0,0
TWDUSD,D,19870928,000000,3.3155,3.3155,3.3155,3.3155,0,0
TWDUSD,D,19871005,000000,3.331,3.331,3.331,3.331,0,0
TWDUSD,D,19871012,000000,3.331,3.331,3.331,3.331,0,0
TWDUSD,D,19871019,000000,3.3297,3.3297,3.3297,3.3297,0,0
TWDUSD,D,19871026,000000,3.3297,3.3297,3.3297,3.3297,0,0
TWDUSD,D,19871102,000000,3.3319,3.3319,3.3319,3.3319,0,0
TWDUSD,D,19871109,000000,3.3432,3.3432,3.3432,3.3432,0,0
TWDUSD,D,19871116,000000,3.3535,3.3535,3.3535,3.3535,0,0
TWDUSD,D,19871123,000000,3.3671,3.3671,3.3671,3.3671,0,0
TWDUSD,D,19871130,000000,3.3891,3.3891,3.3891,3.3891,0,0
TWDUSD,D,19871207,000000,3.405,3.405,3.405,3.405,0,0
TWDUSD,D,19871214,000000,3.4401,3.4401,3.4401,3.4401,0,0
TWDUSD,D,19871221,000000,3.4953,3.4953,3.4953,3.4953,0,0
TWDUSD,D,19871228,000000,3.4962,3.4962,3.4962,3.4962,0,0
