<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHAUD,D,19960902,000000,71.873,71.873,71.873,71.873,0,0
UAHAUD,D,19960903,000000,71.82,71.82,71.82,71.82,0,0
UAHAUD,D,19960904,000000,71.694,71.694,71.694,71.694,0,0
UAHAUD,D,19960905,000000,71.579,71.579,71.579,71.579,0,0
UAHAUD,D,19960906,000000,71.533,71.533,71.533,71.533,0,0
UAHAUD,D,19960909,000000,70.936,70.936,70.936,70.936,0,0
UAHAUD,D,19960910,000000,71.035,71.035,71.035,71.035,0,0
UAHAUD,D,19960911,000000,70.956,70.956,70.956,70.956,0,0
UAHAUD,D,19960912,000000,71.141,71.141,71.141,71.141,0,0
UAHAUD,D,19960913,000000,71.362,71.362,71.362,71.362,0,0
UAHAUD,D,19960916,000000,71.927,71.927,71.927,71.927,0,0
UAHAUD,D,19960917,000000,72.035,72.035,72.035,72.035,0,0
UAHAUD,D,19960918,000000,72.125,72.125,72.125,72.125,0,0
UAHAUD,D,19960919,000000,71.897,71.897,71.897,71.897,0,0
UAHAUD,D,19960920,000000,71.693,71.693,71.693,71.693,0,0
UAHAUD,D,19960923,000000,71.755,71.755,71.755,71.755,0,0
UAHAUD,D,19960924,000000,71.987,71.987,71.987,71.987,0,0
UAHAUD,D,19960925,000000,71.882,71.882,71.882,71.882,0,0
UAHAUD,D,19960926,000000,71.671,71.671,71.671,71.671,0,0
UAHAUD,D,19960927,000000,71.711,71.711,71.711,71.711,0,0
UAHAUD,D,19960930,000000,71.692,71.692,71.692,71.692,0,0
UAHAUD,D,19961001,000000,71.871,71.871,71.871,71.871,0,0
UAHAUD,D,19961002,000000,71.432,71.432,71.432,71.432,0,0
UAHAUD,D,19961003,000000,71.898,71.898,71.898,71.898,0,0
UAHAUD,D,19961004,000000,71.898,71.898,71.898,71.898,0,0
UAHAUD,D,19961007,000000,72.246,72.246,72.246,72.246,0,0
UAHAUD,D,19961008,000000,71.725,71.725,71.725,71.725,0,0
UAHAUD,D,19961009,000000,71.617,71.617,71.617,71.617,0,0
UAHAUD,D,19961010,000000,71.777,71.777,71.777,71.777,0,0
UAHAUD,D,19961011,000000,71.402,71.402,71.402,71.402,0,0
UAHAUD,D,19961014,000000,71.379,71.379,71.379,71.379,0,0
UAHAUD,D,19961015,000000,71.368,71.368,71.368,71.368,0,0
UAHAUD,D,19961016,000000,71.233,71.233,71.233,71.233,0,0
UAHAUD,D,19961017,000000,71.288,71.288,71.288,71.288,0,0
UAHAUD,D,19961018,000000,70.812,70.812,70.812,70.812,0,0
UAHAUD,D,19961021,000000,70.518,70.518,70.518,70.518,0,0
UAHAUD,D,19961022,000000,70.555,70.555,70.555,70.555,0,0
UAHAUD,D,19961023,000000,70.67,70.67,70.67,70.67,0,0
UAHAUD,D,19961024,000000,70.823,70.823,70.823,70.823,0,0
UAHAUD,D,19961025,000000,70.666,70.666,70.666,70.666,0,0
UAHAUD,D,19961028,000000,70.829,70.829,70.829,70.829,0,0
UAHAUD,D,19961029,000000,70.592,70.592,70.592,70.592,0,0
UAHAUD,D,19961030,000000,70.033,70.033,70.033,70.033,0,0
UAHAUD,D,19961031,000000,69.746,69.746,69.746,69.746,0,0
UAHAUD,D,19961104,000000,70.216,70.216,70.216,70.216,0,0
UAHAUD,D,19961105,000000,69.257,69.257,69.257,69.257,0,0
UAHAUD,D,19961106,000000,68.52,68.52,68.52,68.52,0,0
UAHAUD,D,19961107,000000,68.855,68.855,68.855,68.855,0,0
UAHAUD,D,19961108,000000,68.495,68.495,68.495,68.495,0,0
UAHAUD,D,19961112,000000,68.291,68.291,68.291,68.291,0,0
UAHAUD,D,19961113,000000,67.883,67.883,67.883,67.883,0,0
UAHAUD,D,19961114,000000,67.579,67.579,67.579,67.579,0,0
UAHAUD,D,19961115,000000,67.733,67.733,67.733,67.733,0,0
UAHAUD,D,19961118,000000,67.541,67.541,67.541,67.541,0,0
UAHAUD,D,19961119,000000,67.385,67.385,67.385,67.385,0,0
UAHAUD,D,19961120,000000,67.105,67.105,67.105,67.105,0,0
UAHAUD,D,19961121,000000,66.076,66.076,66.076,66.076,0,0
UAHAUD,D,19961122,000000,65.886,65.886,65.886,65.886,0,0
UAHAUD,D,19961125,000000,65.762,65.762,65.762,65.762,0,0
UAHAUD,D,19961126,000000,65.806,65.806,65.806,65.806,0,0
UAHAUD,D,19961127,000000,65.824,65.824,65.824,65.824,0,0
UAHAUD,D,19961128,000000,65.839,65.839,65.839,65.839,0,0
UAHAUD,D,19961129,000000,65.753,65.753,65.753,65.753,0,0
UAHAUD,D,19961202,000000,65.005,65.005,65.005,65.005,0,0
UAHAUD,D,19961203,000000,65.706,65.706,65.706,65.706,0,0
UAHAUD,D,19961204,000000,66.71,66.71,66.71,66.71,0,0
UAHAUD,D,19961205,000000,66.561,66.561,66.561,66.561,0,0
UAHAUD,D,19961206,000000,66.689,66.689,66.689,66.689,0,0
UAHAUD,D,19961209,000000,66.439,66.439,66.439,66.439,0,0
UAHAUD,D,19961210,000000,66.302,66.302,66.302,66.302,0,0
UAHAUD,D,19961211,000000,67.188,67.188,67.188,67.188,0,0
UAHAUD,D,19961212,000000,66.875,66.875,66.875,66.875,0,0
UAHAUD,D,19961213,000000,66.944,66.944,66.944,66.944,0,0
UAHAUD,D,19961216,000000,66.871,66.871,66.871,66.871,0,0
UAHAUD,D,19961217,000000,66.843,66.843,66.843,66.843,0,0
UAHAUD,D,19961218,000000,66.961,66.961,66.961,66.961,0,0
UAHAUD,D,19961219,000000,66.76,66.76,66.76,66.76,0,0
UAHAUD,D,19961220,000000,66.733,66.733,66.733,66.733,0,0
UAHAUD,D,19961223,000000,66.642,66.642,66.642,66.642,0,0
UAHAUD,D,19961224,000000,66.501,66.501,66.501,66.501,0,0
UAHAUD,D,19961230,000000,66.564,66.564,66.564,66.564,0,0
UAHAUD,D,19961231,000000,66.47,66.47,66.47,66.47,0,0
UAHAUD,D,19970102,000000,66.817,66.817,66.817,66.817,0,0
UAHAUD,D,19970103,000000,66.719,66.719,66.719,66.719,0,0
UAHAUD,D,19970106,000000,67.114,67.114,67.114,67.114,0,0
UAHAUD,D,19970107,000000,67.126,67.126,67.126,67.126,0,0
UAHAUD,D,19970108,000000,67.654,67.654,67.654,67.654,0,0
UAHAUD,D,19970109,000000,67.908,67.908,67.908,67.908,0,0
UAHAUD,D,19970110,000000,67.94,67.94,67.94,67.94,0,0
UAHAUD,D,19970113,000000,67.753,67.753,67.753,67.753,0,0
