<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHEGP,D,19960902,000000,1.9253,1.9253,1.9253,1.9253,0,0
UAHEGP,D,19960903,000000,1.9323,1.9323,1.9323,1.9323,0,0
UAHEGP,D,19960904,000000,1.9309,1.9309,1.9309,1.9309,0,0
UAHEGP,D,19960905,000000,1.9241,1.9241,1.9241,1.9241,0,0
UAHEGP,D,19960906,000000,1.9218,1.9218,1.9218,1.9218,0,0
UAHEGP,D,19960909,000000,1.9239,1.9239,1.9239,1.9239,0,0
UAHEGP,D,19960910,000000,1.9282,1.9282,1.9282,1.9282,0,0
UAHEGP,D,19960911,000000,1.9283,1.9283,1.9283,1.9283,0,0
UAHEGP,D,19960912,000000,1.9294,1.9294,1.9294,1.9294,0,0
UAHEGP,D,19960913,000000,1.9277,1.9277,1.9277,1.9277,0,0
UAHEGP,D,19960916,000000,1.9304,1.9304,1.9304,1.9304,0,0
UAHEGP,D,19960917,000000,1.9275,1.9275,1.9275,1.9275,0,0
UAHEGP,D,19960918,000000,1.9327,1.9327,1.9327,1.9327,0,0
UAHEGP,D,19960919,000000,1.9275,1.9275,1.9275,1.9275,0,0
UAHEGP,D,19960920,000000,1.9314,1.9314,1.9314,1.9314,0,0
UAHEGP,D,19960923,000000,1.9328,1.9328,1.9328,1.9328,0,0
UAHEGP,D,19960924,000000,1.9376,1.9376,1.9376,1.9376,0,0
UAHEGP,D,19960925,000000,1.9251,1.9251,1.9251,1.9251,0,0
UAHEGP,D,19960926,000000,1.9299,1.9299,1.9299,1.9299,0,0
UAHEGP,D,19960927,000000,1.93,1.93,1.93,1.93,0,0
UAHEGP,D,19960930,000000,1.9337,1.9337,1.9337,1.9337,0,0
UAHEGP,D,19961001,000000,1.9305,1.9305,1.9305,1.9305,0,0
UAHEGP,D,19961002,000000,1.9237,1.9237,1.9237,1.9237,0,0
UAHEGP,D,19961003,000000,1.9285,1.9285,1.9285,1.9285,0,0
UAHEGP,D,19961004,000000,1.9255,1.9255,1.9255,1.9255,0,0
UAHEGP,D,19961007,000000,1.9314,1.9314,1.9314,1.9314,0,0
UAHEGP,D,19961008,000000,1.9171,1.9171,1.9171,1.9171,0,0
UAHEGP,D,19961009,000000,1.9216,1.9216,1.9216,1.9216,0,0
UAHEGP,D,19961010,000000,1.924,1.924,1.924,1.924,0,0
UAHEGP,D,19961011,000000,1.9187,1.9187,1.9187,1.9187,0,0
UAHEGP,D,19961014,000000,1.9184,1.9184,1.9184,1.9184,0,0
UAHEGP,D,19961015,000000,1.9154,1.9154,1.9154,1.9154,0,0
UAHEGP,D,19961016,000000,1.9153,1.9153,1.9153,1.9153,0,0
UAHEGP,D,19961017,000000,1.9158,1.9158,1.9158,1.9158,0,0
UAHEGP,D,19961018,000000,1.909,1.909,1.909,1.909,0,0
UAHEGP,D,19961021,000000,1.9119,1.9119,1.9119,1.9119,0,0
UAHEGP,D,19961022,000000,1.914,1.914,1.914,1.914,0,0
UAHEGP,D,19961023,000000,1.9104,1.9104,1.9104,1.9104,0,0
UAHEGP,D,19961024,000000,1.909,1.909,1.909,1.909,0,0
UAHEGP,D,19961025,000000,1.9059,1.9059,1.9059,1.9059,0,0
UAHEGP,D,19961028,000000,1.9055,1.9055,1.9055,1.9055,0,0
UAHEGP,D,19961029,000000,1.8944,1.8944,1.8944,1.8944,0,0
UAHEGP,D,19961030,000000,1.886,1.886,1.886,1.886,0,0
UAHEGP,D,19961031,000000,1.8736,1.8736,1.8736,1.8736,0,0
UAHEGP,D,19961104,000000,1.8795,1.8795,1.8795,1.8795,0,0
UAHEGP,D,19961105,000000,1.8462,1.8462,1.8462,1.8462,0,0
UAHEGP,D,19961106,000000,1.8428,1.8428,1.8428,1.8428,0,0
UAHEGP,D,19961107,000000,1.8315,1.8315,1.8315,1.8315,0,0
UAHEGP,D,19961108,000000,1.8368,1.8368,1.8368,1.8368,0,0
UAHEGP,D,19961112,000000,1.8197,1.8197,1.8197,1.8197,0,0
UAHEGP,D,19961113,000000,1.8145,1.8145,1.8145,1.8145,0,0
UAHEGP,D,19961114,000000,1.8155,1.8155,1.8155,1.8155,0,0
UAHEGP,D,19961115,000000,1.8165,1.8165,1.8165,1.8165,0,0
UAHEGP,D,19961118,000000,1.8191,1.8191,1.8191,1.8191,0,0
UAHEGP,D,19961119,000000,1.8119,1.8119,1.8119,1.8119,0,0
UAHEGP,D,19961120,000000,1.8173,1.8173,1.8173,1.8173,0,0
UAHEGP,D,19961121,000000,1.8187,1.8187,1.8187,1.8187,0,0
UAHEGP,D,19961122,000000,1.8126,1.8126,1.8126,1.8126,0,0
UAHEGP,D,19961125,000000,1.8101,1.8101,1.8101,1.8101,0,0
UAHEGP,D,19961126,000000,1.8124,1.8124,1.8124,1.8124,0,0
UAHEGP,D,19961127,000000,1.8129,1.8129,1.8129,1.8129,0,0
UAHEGP,D,19961128,000000,1.8119,1.8119,1.8119,1.8119,0,0
UAHEGP,D,19961129,000000,1.8093,1.8093,1.8093,1.8093,0,0
UAHEGP,D,19961202,000000,1.8118,1.8118,1.8118,1.8118,0,0
UAHEGP,D,19961203,000000,1.8041,1.8041,1.8041,1.8041,0,0
UAHEGP,D,19961204,000000,1.8062,1.8062,1.8062,1.8062,0,0
UAHEGP,D,19961205,000000,1.809,1.809,1.809,1.809,0,0
UAHEGP,D,19961206,000000,1.7995,1.7995,1.7995,1.7995,0,0
UAHEGP,D,19961209,000000,1.8022,1.8022,1.8022,1.8022,0,0
UAHEGP,D,19961210,000000,1.8034,1.8034,1.8034,1.8034,0,0
UAHEGP,D,19961211,000000,1.8048,1.8048,1.8048,1.8048,0,0
UAHEGP,D,19961212,000000,1.8033,1.8033,1.8033,1.8033,0,0
UAHEGP,D,19961213,000000,1.7989,1.7989,1.7989,1.7989,0,0
UAHEGP,D,19961216,000000,1.8035,1.8035,1.8035,1.8035,0,0
UAHEGP,D,19961217,000000,1.8031,1.8031,1.8031,1.8031,0,0
UAHEGP,D,19961218,000000,1.7985,1.7985,1.7985,1.7985,0,0
UAHEGP,D,19961219,000000,1.7998,1.7998,1.7998,1.7998,0,0
UAHEGP,D,19961220,000000,1.8033,1.8033,1.8033,1.8033,0,0
UAHEGP,D,19961223,000000,1.8022,1.8022,1.8022,1.8022,0,0
