<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHGBP,D,19960902,000000,36.348,36.348,36.348,36.348,0,0
UAHGBP,D,19960903,000000,36.392,36.392,36.392,36.392,0,0
UAHGBP,D,19960904,000000,36.279,36.279,36.279,36.279,0,0
UAHGBP,D,19960905,000000,36.176,36.176,36.176,36.176,0,0
UAHGBP,D,19960906,000000,36.284,36.284,36.284,36.284,0,0
UAHGBP,D,19960909,000000,36.398,36.398,36.398,36.398,0,0
UAHGBP,D,19960910,000000,36.5,36.5,36.5,36.5,0,0
UAHGBP,D,19960911,000000,36.54,36.54,36.54,36.54,0,0
UAHGBP,D,19960912,000000,36.54,36.54,36.54,36.54,0,0
UAHGBP,D,19960913,000000,36.546,36.546,36.546,36.546,0,0
UAHGBP,D,19960916,000000,36.614,36.614,36.614,36.614,0,0
UAHGBP,D,19960917,000000,36.557,36.557,36.557,36.557,0,0
UAHGBP,D,19960918,000000,36.438,36.438,36.438,36.438,0,0
UAHGBP,D,19960919,000000,36.449,36.449,36.449,36.449,0,0
UAHGBP,D,19960920,000000,36.551,36.551,36.551,36.551,0,0
UAHGBP,D,19960923,000000,36.58,36.58,36.58,36.58,0,0
UAHGBP,D,19960924,000000,36.483,36.483,36.483,36.483,0,0
UAHGBP,D,19960925,000000,36.335,36.335,36.335,36.335,0,0
UAHGBP,D,19960926,000000,36.381,36.381,36.381,36.381,0,0
UAHGBP,D,19960927,000000,36.393,36.393,36.393,36.393,0,0
UAHGBP,D,19960930,000000,36.375,36.375,36.375,36.375,0,0
UAHGBP,D,19961001,000000,36.329,36.329,36.329,36.329,0,0
UAHGBP,D,19961002,000000,36.256,36.256,36.256,36.256,0,0
UAHGBP,D,19961003,000000,36.284,36.284,36.284,36.284,0,0
UAHGBP,D,19961004,000000,36.347,36.347,36.347,36.347,0,0
UAHGBP,D,19961007,000000,36.358,36.358,36.358,36.358,0,0
UAHGBP,D,19961008,000000,36.195,36.195,36.195,36.195,0,0
UAHGBP,D,19961009,000000,36.122,36.122,36.122,36.122,0,0
UAHGBP,D,19961010,000000,36.131,36.131,36.131,36.131,0,0
UAHGBP,D,19961011,000000,35.836,35.836,35.836,35.836,0,0
UAHGBP,D,19961014,000000,35.808,35.808,35.808,35.808,0,0
UAHGBP,D,19961015,000000,35.678,35.678,35.678,35.678,0,0
UAHGBP,D,19961016,000000,35.552,35.552,35.552,35.552,0,0
UAHGBP,D,19961017,000000,35.547,35.547,35.547,35.547,0,0
UAHGBP,D,19961018,000000,35.476,35.476,35.476,35.476,0,0
UAHGBP,D,19961021,000000,35.312,35.312,35.312,35.312,0,0
UAHGBP,D,19961022,000000,35.214,35.214,35.214,35.214,0,0
UAHGBP,D,19961023,000000,35.135,35.135,35.135,35.135,0,0
UAHGBP,D,19961024,000000,35.258,35.258,35.258,35.258,0,0
UAHGBP,D,19961025,000000,35.064,35.064,35.064,35.064,0,0
UAHGBP,D,19961028,000000,34.751,34.751,34.751,34.751,0,0
UAHGBP,D,19961029,000000,34.719,34.719,34.719,34.719,0,0
UAHGBP,D,19961030,000000,34.039,34.039,34.039,34.039,0,0
UAHGBP,D,19961031,000000,33.956,33.956,33.956,33.956,0,0
UAHGBP,D,19961104,000000,33.724,33.724,33.724,33.724,0,0
UAHGBP,D,19961105,000000,33.01,33.01,33.01,33.01,0,0
UAHGBP,D,19961106,000000,33.048,33.048,33.048,33.048,0,0
UAHGBP,D,19961107,000000,32.816,32.816,32.816,32.816,0,0
UAHGBP,D,19961108,000000,32.719,32.719,32.719,32.719,0,0
UAHGBP,D,19961112,000000,32.613,32.613,32.613,32.613,0,0
UAHGBP,D,19961113,000000,32.342,32.342,32.342,32.342,0,0
UAHGBP,D,19961114,000000,32.107,32.107,32.107,32.107,0,0
UAHGBP,D,19961115,000000,32.112,32.112,32.112,32.112,0,0
UAHGBP,D,19961118,000000,32.064,32.064,32.064,32.064,0,0
UAHGBP,D,19961119,000000,31.937,31.937,31.937,31.937,0,0
UAHGBP,D,19961120,000000,31.894,31.894,31.894,31.894,0,0
UAHGBP,D,19961121,000000,31.77,31.77,31.77,31.77,0,0
UAHGBP,D,19961122,000000,31.716,31.716,31.716,31.716,0,0
UAHGBP,D,19961125,000000,31.806,31.806,31.806,31.806,0,0
UAHGBP,D,19961126,000000,32.014,32.014,32.014,32.014,0,0
UAHGBP,D,19961127,000000,31.827,31.827,31.827,31.827,0,0
UAHGBP,D,19961128,000000,31.804,31.804,31.804,31.804,0,0
UAHGBP,D,19961129,000000,31.718,31.718,31.718,31.718,0,0
UAHGBP,D,19961202,000000,31.67,31.67,31.67,31.67,0,0
UAHGBP,D,19961203,000000,31.878,31.878,31.878,31.878,0,0
UAHGBP,D,19961204,000000,32.393,32.393,32.393,32.393,0,0
UAHGBP,D,19961205,000000,32.827,32.827,32.827,32.827,0,0
UAHGBP,D,19961206,000000,32.279,32.279,32.279,32.279,0,0
UAHGBP,D,19961209,000000,32.28,32.28,32.28,32.28,0,0
UAHGBP,D,19961210,000000,32.182,32.182,32.182,32.182,0,0
UAHGBP,D,19961211,000000,32.048,32.048,32.048,32.048,0,0
UAHGBP,D,19961212,000000,32.096,32.096,32.096,32.096,0,0
UAHGBP,D,19961213,000000,31.989,31.989,31.989,31.989,0,0
UAHGBP,D,19961216,000000,31.974,31.974,31.974,31.974,0,0
UAHGBP,D,19961217,000000,31.804,31.804,31.804,31.804,0,0
UAHGBP,D,19961218,000000,31.714,31.714,31.714,31.714,0,0
UAHGBP,D,19961219,000000,31.83,31.83,31.83,31.83,0,0
UAHGBP,D,19961220,000000,31.904,31.904,31.904,31.904,0,0
UAHGBP,D,19961223,000000,31.666,31.666,31.666,31.666,0,0
UAHGBP,D,19961224,000000,31.676,31.676,31.676,31.676,0,0
UAHGBP,D,19961230,000000,31.389,31.389,31.389,31.389,0,0
UAHGBP,D,19961231,000000,31.181,31.181,31.181,31.181,0,0
UAHGBP,D,19970102,000000,31.075,31.075,31.075,31.075,0,0
UAHGBP,D,19970103,000000,31.239,31.239,31.239,31.239,0,0
UAHGBP,D,19970106,000000,31.318,31.318,31.318,31.318,0,0
UAHGBP,D,19970107,000000,31.249,31.249,31.249,31.249,0,0
UAHGBP,D,19970108,000000,31.35,31.35,31.35,31.35,0,0
UAHGBP,D,19970109,000000,31.265,31.265,31.265,31.265,0,0
UAHGBP,D,19970110,000000,31.332,31.332,31.332,31.332,0,0
UAHGBP,D,19970113,000000,31.611,31.611,31.611,31.611,0,0
UAHGBP,D,19970114,000000,31.601,31.601,31.601,31.601,0,0
UAHGBP,D,19970115,000000,31.558,31.558,31.558,31.558,0,0
UAHGBP,D,19970116,000000,31.539,31.539,31.539,31.539,0,0
UAHGBP,D,19970117,000000,31.582,31.582,31.582,31.582,0,0
UAHGBP,D,19970120,000000,31.804,31.804,31.804,31.804,0,0
UAHGBP,D,19970121,000000,31.761,31.761,31.761,31.761,0,0
UAHGBP,D,19970122,000000,31.886,31.886,31.886,31.886,0,0
UAHGBP,D,19970123,000000,32.364,32.364,32.364,32.364,0,0
UAHGBP,D,19970124,000000,32.427,32.427,32.427,32.427,0,0
UAHGBP,D,19970127,000000,32.559,32.559,32.559,32.559,0,0
UAHGBP,D,19970128,000000,32.949,32.949,32.949,32.949,0,0
UAHGBP,D,19970129,000000,32.754,32.754,32.754,32.754,0,0
UAHGBP,D,19970130,000000,32.77,32.77,32.77,32.77,0,0
UAHGBP,D,19970131,000000,33.166,33.166,33.166,33.166,0,0
UAHGBP,D,19970203,000000,33.012,33.012,33.012,33.012,0,0
UAHGBP,D,19970204,000000,32.872,32.872,32.872,32.872,0,0
UAHGBP,D,19970205,000000,32.739,32.739,32.739,32.739,0,0
