<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHRUB,D,19960902,000000,3.0461,3.0461,3.0461,3.0461,0,0
UAHRUB,D,19960903,000000,3.0509,3.0509,3.0509,3.0509,0,0
UAHRUB,D,19960904,000000,3.0511,3.0511,3.0511,3.0511,0,0
UAHRUB,D,19960905,000000,3.0514,3.0514,3.0514,3.0514,0,0
UAHRUB,D,19960906,000000,3.0513,3.0513,3.0513,3.0513,0,0
UAHRUB,D,19960909,000000,3.057,3.057,3.057,3.057,0,0
UAHRUB,D,19960910,000000,3.0531,3.0531,3.0531,3.0531,0,0
UAHRUB,D,19960911,000000,3.0549,3.0549,3.0549,3.0549,0,0
UAHRUB,D,19960912,000000,3.0542,3.0542,3.0542,3.0542,0,0
UAHRUB,D,19960913,000000,3.0676,3.0676,3.0676,3.0676,0,0
UAHRUB,D,19960916,000000,3.0523,3.0523,3.0523,3.0523,0,0
UAHRUB,D,19960917,000000,3.0689,3.0689,3.0689,3.0689,0,0
UAHRUB,D,19960918,000000,3.071,3.071,3.071,3.071,0,0
UAHRUB,D,19960919,000000,3.0692,3.0692,3.0692,3.0692,0,0
UAHRUB,D,19960920,000000,3.0698,3.0698,3.0698,3.0698,0,0
UAHRUB,D,19960923,000000,3.0662,3.0662,3.0662,3.0662,0,0
UAHRUB,D,19960924,000000,3.0691,3.0691,3.0691,3.0691,0,0
UAHRUB,D,19960925,000000,3.0668,3.0668,3.0668,3.0668,0,0
UAHRUB,D,19960926,000000,3.0693,3.0693,3.0693,3.0693,0,0
UAHRUB,D,19960927,000000,3.0597,3.0597,3.0597,3.0597,0,0
UAHRUB,D,19960930,000000,3.0726,3.0726,3.0726,3.0726,0,0
UAHRUB,D,19961001,000000,3.0723,3.0723,3.0723,3.0723,0,0
UAHRUB,D,19961002,000000,3.0793,3.0793,3.0793,3.0793,0,0
UAHRUB,D,19961003,000000,3.0773,3.0773,3.0773,3.0773,0,0
UAHRUB,D,19961004,000000,3.0802,3.0802,3.0802,3.0802,0,0
UAHRUB,D,19961007,000000,3.0761,3.0761,3.0761,3.0761,0,0
UAHRUB,D,19961008,000000,3.0632,3.0632,3.0632,3.0632,0,0
UAHRUB,D,19961009,000000,3.0628,3.0628,3.0628,3.0628,0,0
UAHRUB,D,19961010,000000,3.0723,3.0723,3.0723,3.0723,0,0
UAHRUB,D,19961011,000000,3.072,3.072,3.072,3.072,0,0
UAHRUB,D,19961014,000000,3.072,3.072,3.072,3.072,0,0
UAHRUB,D,19961015,000000,3.075,3.075,3.075,3.075,0,0
UAHRUB,D,19961016,000000,3.0714,3.0714,3.0714,3.0714,0,0
UAHRUB,D,19961017,000000,3.0676,3.0676,3.0676,3.0676,0,0
UAHRUB,D,19961018,000000,3.0596,3.0596,3.0596,3.0596,0,0
UAHRUB,D,19961021,000000,3.0551,3.0551,3.0551,3.0551,0,0
UAHRUB,D,19961022,000000,3.0594,3.0594,3.0594,3.0594,0,0
UAHRUB,D,19961023,000000,3.0575,3.0575,3.0575,3.0575,0,0
UAHRUB,D,19961024,000000,3.0582,3.0582,3.0582,3.0582,0,0
UAHRUB,D,19961025,000000,3.0649,3.0649,3.0649,3.0649,0,0
UAHRUB,D,19961028,000000,3.0512,3.0512,3.0512,3.0512,0,0
UAHRUB,D,19961029,000000,3.0383,3.0383,3.0383,3.0383,0,0
UAHRUB,D,19961030,000000,3.0324,3.0324,3.0324,3.0324,0,0
UAHRUB,D,19961031,000000,3.015,3.015,3.015,3.015,0,0
UAHRUB,D,19961104,000000,3.0256,3.0256,3.0256,3.0256,0,0
UAHRUB,D,19961105,000000,2.9795,2.9795,2.9795,2.9795,0,0
UAHRUB,D,19961106,000000,2.9729,2.9729,2.9729,2.9729,0,0
UAHRUB,D,19961107,000000,2.9569,2.9569,2.9569,2.9569,0,0
UAHRUB,D,19961108,000000,2.9569,2.9569,2.9569,2.9569,0,0
UAHRUB,D,19961112,000000,2.9419,2.9419,2.9419,2.9419,0,0
UAHRUB,D,19961113,000000,2.9382,2.9382,2.9382,2.9382,0,0
UAHRUB,D,19961114,000000,2.9386,2.9386,2.9386,2.9386,0,0
UAHRUB,D,19961115,000000,2.9322,2.9322,2.9322,2.9322,0,0
UAHRUB,D,19961118,000000,2.9417,2.9417,2.9417,2.9417,0,0
UAHRUB,D,19961119,000000,2.9442,2.9442,2.9442,2.9442,0,0
UAHRUB,D,19961120,000000,2.9445,2.9445,2.9445,2.9445,0,0
UAHRUB,D,19961121,000000,2.9358,2.9358,2.9358,2.9358,0,0
UAHRUB,D,19961122,000000,2.9348,2.9348,2.9348,2.9348,0,0
UAHRUB,D,19961125,000000,2.9386,2.9386,2.9386,2.9386,0,0
UAHRUB,D,19961126,000000,2.9394,2.9394,2.9394,2.9394,0,0
UAHRUB,D,19961127,000000,2.9495,2.9495,2.9495,2.9495,0,0
UAHRUB,D,19961128,000000,2.9474,2.9474,2.9474,2.9474,0,0
UAHRUB,D,19961129,000000,2.9365,2.9365,2.9365,2.9365,0,0
UAHRUB,D,19961202,000000,2.9414,2.9414,2.9414,2.9414,0,0
UAHRUB,D,19961203,000000,2.9411,2.9411,2.9411,2.9411,0,0
UAHRUB,D,19961204,000000,2.9326,2.9326,2.9326,2.9326,0,0
UAHRUB,D,19961205,000000,2.9368,2.9368,2.9368,2.9368,0,0
UAHRUB,D,19961206,000000,2.9392,2.9392,2.9392,2.9392,0,0
UAHRUB,D,19961209,000000,2.9384,2.9384,2.9384,2.9384,0,0
UAHRUB,D,19961210,000000,2.9309,2.9309,2.9309,2.9309,0,0
UAHRUB,D,19961211,000000,2.9408,2.9408,2.9408,2.9408,0,0
UAHRUB,D,19961212,000000,2.9408,2.9408,2.9408,2.9408,0,0
UAHRUB,D,19961213,000000,2.9408,2.9408,2.9408,2.9408,0,0
UAHRUB,D,19961216,000000,2.9347,2.9347,2.9347,2.9347,0,0
UAHRUB,D,19961217,000000,2.9345,2.9345,2.9345,2.9345,0,0
UAHRUB,D,19961218,000000,2.9364,2.9364,2.9364,2.9364,0,0
UAHRUB,D,19961219,000000,2.9432,2.9432,2.9432,2.9432,0,0
UAHRUB,D,19961220,000000,2.9493,2.9493,2.9493,2.9493,0,0
UAHRUB,D,19961223,000000,2.9484,2.9484,2.9484,2.9484,0,0
UAHRUB,D,19961224,000000,2.9465,2.9465,2.9465,2.9465,0,0
UAHRUB,D,19961230,000000,2.9528,2.9528,2.9528,2.9528,0,0
UAHRUB,D,19961231,000000,2.9582,2.9582,2.9582,2.9582,0,0
UAHRUB,D,19970102,000000,2.9582,2.9582,2.9582,2.9582,0,0
UAHRUB,D,19970103,000000,2.9582,2.9582,2.9582,2.9582,0,0
UAHRUB,D,19970106,000000,2.9559,2.9559,2.9559,2.9559,0,0
UAHRUB,D,19970107,000000,2.9559,2.9559,2.9559,2.9559,0,0
UAHRUB,D,19970108,000000,2.9603,2.9603,2.9603,2.9603,0,0
UAHRUB,D,19970109,000000,2.9565,2.9565,2.9565,2.9565,0,0
UAHRUB,D,19970110,000000,2.9541,2.9541,2.9541,2.9541,0,0
UAHRUB,D,19970113,000000,2.9561,2.9561,2.9561,2.9561,0,0
UAHRUB,D,19970114,000000,2.9596,2.9596,2.9596,2.9596,0,0
UAHRUB,D,19970115,000000,2.9659,2.9659,2.9659,2.9659,0,0
UAHRUB,D,19970116,000000,2.962,2.962,2.962,2.962,0,0
UAHRUB,D,19970117,000000,2.9633,2.9633,2.9633,2.9633,0,0
UAHRUB,D,19970120,000000,2.9658,2.9658,2.9658,2.9658,0,0
UAHRUB,D,19970121,000000,2.9613,2.9613,2.9613,2.9613,0,0
UAHRUB,D,19970122,000000,2.964,2.964,2.964,2.964,0,0
UAHRUB,D,19970123,000000,2.9636,2.9636,2.9636,2.9636,0,0
UAHRUB,D,19970124,000000,2.9672,2.9672,2.9672,2.9672,0,0
UAHRUB,D,19970127,000000,2.9691,2.9691,2.9691,2.9691,0,0
UAHRUB,D,19970128,000000,2.9838,2.9838,2.9838,2.9838,0,0
UAHRUB,D,19970129,000000,2.986,2.986,2.986,2.986,0,0
UAHRUB,D,19970130,000000,2.9959,2.9959,2.9959,2.9959,0,0
UAHRUB,D,19970131,000000,3.0001,3.0001,3.0001,3.0001,0,0
UAHRUB,D,19970203,000000,3.0038,3.0038,3.0038,3.0038,0,0
UAHRUB,D,19970204,000000,3.0132,3.0132,3.0132,3.0132,0,0
UAHRUB,D,19970205,000000,3.0132,3.0132,3.0132,3.0132,0,0
UAHRUB,D,19970206,000000,3.0117,3.0117,3.0117,3.0117,0,0
UAHRUB,D,19970207,000000,3.0132,3.0132,3.0132,3.0132,0,0
UAHRUB,D,19970210,000000,3.0067,3.0067,3.0067,3.0067,0,0
UAHRUB,D,19970211,000000,3.0143,3.0143,3.0143,3.0143,0,0
UAHRUB,D,19970212,000000,3.0146,3.0146,3.0146,3.0146,0,0
UAHRUB,D,19970213,000000,3.0214,3.0214,3.0214,3.0214,0,0
UAHRUB,D,19970214,000000,3.0254,3.0254,3.0254,3.0254,0,0
UAHRUB,D,19970217,000000,3.0266,3.0266,3.0266,3.0266,0,0
UAHRUB,D,19970218,000000,3.0584,3.0584,3.0584,3.0584,0,0
UAHRUB,D,19970219,000000,3.0993,3.0993,3.0993,3.0993,0,0
UAHRUB,D,19970220,000000,3.141,3.141,3.141,3.141,0,0
UAHRUB,D,19970221,000000,3.2114,3.2114,3.2114,3.2114,0,0
UAHRUB,D,19970224,000000,3.2123,3.2123,3.2123,3.2123,0,0
UAHRUB,D,19970225,000000,3.1671,3.1671,3.1671,3.1671,0,0
UAHRUB,D,19970226,000000,3.1277,3.1277,3.1277,3.1277,0,0
UAHRUB,D,19970227,000000,3.0946,3.0946,3.0946,3.0946,0,0
UAHRUB,D,19970228,000000,3.0947,3.0947,3.0947,3.0947,0,0
UAHRUB,D,19970303,000000,3.0986,3.0986,3.0986,3.0986,0,0
