<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHTHB,D,19960902,000000,16.04,16.04,16.04,16.04,0,0
UAHTHB,D,19960903,000000,16.069,16.069,16.069,16.069,0,0
UAHTHB,D,19960904,000000,16.079,16.079,16.079,16.079,0,0
UAHTHB,D,19960905,000000,16.069,16.069,16.069,16.069,0,0
UAHTHB,D,19960906,000000,16.12,16.12,16.12,16.12,0,0
UAHTHB,D,19960909,000000,16.1,16.1,16.1,16.1,0,0
UAHTHB,D,19960910,000000,16.08,16.08,16.08,16.08,0,0
UAHTHB,D,19960911,000000,16.1,16.1,16.1,16.1,0,0
UAHTHB,D,19960912,000000,16.094,16.094,16.094,16.094,0,0
UAHTHB,D,19960913,000000,16.162,16.162,16.162,16.162,0,0
UAHTHB,D,19960916,000000,16.076,16.076,16.076,16.076,0,0
UAHTHB,D,19960917,000000,16.091,16.091,16.091,16.091,0,0
UAHTHB,D,19960918,000000,16.103,16.103,16.103,16.103,0,0
UAHTHB,D,19960919,000000,16.081,16.081,16.081,16.081,0,0
UAHTHB,D,19960920,000000,16.134,16.134,16.134,16.134,0,0
UAHTHB,D,19960923,000000,16.119,16.119,16.119,16.119,0,0
UAHTHB,D,19960924,000000,16.131,16.131,16.131,16.131,0,0
UAHTHB,D,19960925,000000,16.118,16.118,16.118,16.118,0,0
UAHTHB,D,19960926,000000,16.139,16.139,16.139,16.139,0,0
UAHTHB,D,19960927,000000,16.166,16.166,16.166,16.166,0,0
UAHTHB,D,19960930,000000,16.15,16.15,16.15,16.15,0,0
UAHTHB,D,19961001,000000,16.156,16.156,16.156,16.156,0,0
UAHTHB,D,19961002,000000,16.152,16.152,16.152,16.152,0,0
UAHTHB,D,19961003,000000,16.138,16.138,16.138,16.138,0,0
UAHTHB,D,19961004,000000,16.155,16.155,16.155,16.155,0,0
UAHTHB,D,19961007,000000,16.146,16.146,16.146,16.146,0,0
UAHTHB,D,19961008,000000,16.074,16.074,16.074,16.074,0,0
