<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHTWD,D,19960902,000000,15.611,15.611,15.611,15.611,0,0
UAHTWD,D,19960903,000000,15.655,15.655,15.655,15.655,0,0
UAHTWD,D,19960904,000000,15.662,15.662,15.662,15.662,0,0
UAHTWD,D,19960905,000000,15.626,15.626,15.626,15.626,0,0
UAHTWD,D,19960906,000000,15.574,15.574,15.574,15.574,0,0
UAHTWD,D,19960909,000000,15.565,15.565,15.565,15.565,0,0
UAHTWD,D,19960910,000000,15.55,15.55,15.55,15.55,0,0
UAHTWD,D,19960911,000000,15.589,15.589,15.589,15.589,0,0
UAHTWD,D,19960912,000000,15.591,15.591,15.591,15.591,0,0
UAHTWD,D,19960913,000000,15.65,15.65,15.65,15.65,0,0
UAHTWD,D,19960916,000000,15.671,15.671,15.671,15.671,0,0
UAHTWD,D,19960917,000000,15.576,15.576,15.576,15.576,0,0
UAHTWD,D,19960918,000000,15.618,15.618,15.618,15.618,0,0
UAHTWD,D,19960919,000000,15.57,15.57,15.57,15.57,0,0
UAHTWD,D,19960920,000000,15.641,15.641,15.641,15.641,0,0
UAHTWD,D,19960923,000000,15.634,15.634,15.634,15.634,0,0
UAHTWD,D,19960924,000000,15.685,15.685,15.685,15.685,0,0
UAHTWD,D,19960925,000000,15.577,15.577,15.577,15.577,0,0
UAHTWD,D,19960926,000000,15.623,15.623,15.623,15.623,0,0
UAHTWD,D,19960927,000000,15.657,15.657,15.657,15.657,0,0
UAHTWD,D,19960930,000000,15.668,15.668,15.668,15.668,0,0
UAHTWD,D,19961001,000000,15.642,15.642,15.642,15.642,0,0
UAHTWD,D,19961002,000000,15.599,15.599,15.599,15.599,0,0
UAHTWD,D,19961003,000000,15.632,15.632,15.632,15.632,0,0
UAHTWD,D,19961004,000000,15.622,15.622,15.622,15.622,0,0
UAHTWD,D,19961007,000000,15.608,15.608,15.608,15.608,0,0
UAHTWD,D,19961008,000000,15.542,15.542,15.542,15.542,0,0
UAHTWD,D,19961009,000000,15.566,15.566,15.566,15.566,0,0
UAHTWD,D,19961010,000000,15.542,15.542,15.542,15.542,0,0
UAHTWD,D,19961011,000000,15.518,15.518,15.518,15.518,0,0
UAHTWD,D,19961014,000000,15.516,15.516,15.516,15.516,0,0
UAHTWD,D,19961015,000000,15.503,15.503,15.503,15.503,0,0
UAHTWD,D,19961016,000000,15.521,15.521,15.521,15.521,0,0
UAHTWD,D,19961017,000000,15.488,15.488,15.488,15.488,0,0
UAHTWD,D,19961018,000000,15.49,15.49,15.49,15.49,0,0
UAHTWD,D,19961021,000000,15.49,15.49,15.49,15.49,0,0
