<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHXDR,D,19960902,000000,38.956,38.956,38.956,38.956,0,0
UAHXDR,D,19960903,000000,38.977,38.977,38.977,38.977,0,0
UAHXDR,D,19960904,000000,39.057,39.057,39.057,39.057,0,0
UAHXDR,D,19960905,000000,39.011,39.011,39.011,39.011,0,0
UAHXDR,D,19960906,000000,38.988,38.988,38.988,38.988,0,0
UAHXDR,D,19960909,000000,39.023,39.023,39.023,39.023,0,0
UAHXDR,D,19960910,000000,39.079,39.079,39.079,39.079,0,0
UAHXDR,D,19960911,000000,39.21,39.21,39.21,39.21,0,0
UAHXDR,D,19960912,000000,39.335,39.335,39.335,39.335,0,0
UAHXDR,D,19960913,000000,39.33,39.33,39.33,39.33,0,0
UAHXDR,D,19960916,000000,39.341,39.341,39.341,39.341,0,0
UAHXDR,D,19960917,000000,39.358,39.358,39.358,39.358,0,0
UAHXDR,D,19960918,000000,39.307,39.307,39.307,39.307,0,0
UAHXDR,D,19960919,000000,39.319,39.319,39.319,39.319,0,0
UAHXDR,D,19960920,000000,39.239,39.239,39.239,39.239,0,0
UAHXDR,D,19960923,000000,39.318,39.318,39.318,39.318,0,0
UAHXDR,D,19960924,000000,39.318,39.318,39.318,39.318,0,0
UAHXDR,D,19960925,000000,39.267,39.267,39.267,39.267,0,0
UAHXDR,D,19960926,000000,39.216,39.216,39.216,39.216,0,0
UAHXDR,D,19960927,000000,39.37,39.37,39.37,39.37,0,0
UAHXDR,D,19960930,000000,39.392,39.392,39.392,39.392,0,0
UAHXDR,D,19961001,000000,39.472,39.472,39.472,39.472,0,0
UAHXDR,D,19961002,000000,39.431,39.431,39.431,39.431,0,0
UAHXDR,D,19961003,000000,39.465,39.465,39.465,39.465,0,0
UAHXDR,D,19961004,000000,39.5,39.5,39.5,39.5,0,0
UAHXDR,D,19961007,000000,39.5,39.5,39.5,39.5,0,0
UAHXDR,D,19961008,000000,39.299,39.299,39.299,39.299,0,0
UAHXDR,D,19961009,000000,39.231,39.231,39.231,39.231,0,0
UAHXDR,D,19961010,000000,39.31,39.31,39.31,39.31,0,0
UAHXDR,D,19961011,000000,39.265,39.265,39.265,39.265,0,0
UAHXDR,D,19961014,000000,39.231,39.231,39.231,39.231,0,0
UAHXDR,D,19961015,000000,39.232,39.232,39.232,39.232,0,0
UAHXDR,D,19961016,000000,39.228,39.228,39.228,39.228,0,0
UAHXDR,D,19961017,000000,39.295,39.295,39.295,39.295,0,0
UAHXDR,D,19961018,000000,39.162,39.162,39.162,39.162,0,0
UAHXDR,D,19961021,000000,39.189,39.189,39.189,39.189,0,0
UAHXDR,D,19961022,000000,39.118,39.118,39.118,39.118,0,0
UAHXDR,D,19961023,000000,39.068,39.068,39.068,39.068,0,0
UAHXDR,D,19961024,000000,38.956,38.956,38.956,38.956,0,0
UAHXDR,D,19961025,000000,38.857,38.857,38.857,38.857,0,0
UAHXDR,D,19961028,000000,38.908,38.908,38.908,38.908,0,0
UAHXDR,D,19961029,000000,38.706,38.706,38.706,38.706,0,0
UAHXDR,D,19961030,000000,38.461,38.461,38.461,38.461,0,0
UAHXDR,D,19961031,000000,38.26,38.26,38.26,38.26,0,0
UAHXDR,D,19961104,000000,38.216,38.216,38.216,38.216,0,0
UAHXDR,D,19961105,000000,37.661,37.661,37.661,37.661,0,0
UAHXDR,D,19961106,000000,37.446,37.446,37.446,37.446,0,0
UAHXDR,D,19961107,000000,37.325,37.325,37.325,37.325,0,0
UAHXDR,D,19961108,000000,37.114,37.114,37.114,37.114,0,0
UAHXDR,D,19961112,000000,36.925,36.925,36.925,36.925,0,0
UAHXDR,D,19961113,000000,36.647,36.647,36.647,36.647,0,0
UAHXDR,D,19961114,000000,36.749,36.749,36.749,36.749,0,0
UAHXDR,D,19961115,000000,36.722,36.722,36.722,36.722,0,0
UAHXDR,D,19961118,000000,36.716,36.716,36.716,36.716,0,0
UAHXDR,D,19961119,000000,36.741,36.741,36.741,36.741,0,0
UAHXDR,D,19961120,000000,36.688,36.688,36.688,36.688,0,0
UAHXDR,D,19961121,000000,36.599,36.599,36.599,36.599,0,0
UAHXDR,D,19961122,000000,36.601,36.601,36.601,36.601,0,0
UAHXDR,D,19961125,000000,36.611,36.611,36.611,36.611,0,0
UAHXDR,D,19961126,000000,36.736,36.736,36.736,36.736,0,0
UAHXDR,D,19961127,000000,36.88,36.88,36.88,36.88,0,0
UAHXDR,D,19961128,000000,36.846,36.846,36.846,36.846,0,0
UAHXDR,D,19961129,000000,36.846,36.846,36.846,36.846,0,0
