<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDHRK,D,19951023,000000,5.2615,5.2615,5.2615,5.2615,0,0
USDHRK,D,19951024,000000,5.2615,5.2615,5.2615,5.2615,0,0
USDHRK,D,19951025,000000,5.1366,5.1366,5.1366,5.1366,0,0
USDHRK,D,19951026,000000,5.1525,5.1525,5.1525,5.1525,0,0
USDHRK,D,19951027,000000,5.1525,5.1525,5.1525,5.1525,0,0
USDHRK,D,19951030,000000,5.1561,5.1561,5.1561,5.1561,0,0
USDHRK,D,19951031,000000,5.1561,5.1561,5.1561,5.1561,0,0
USDHRK,D,19951102,000000,5.219,5.219,5.219,5.219,0,0
USDHRK,D,19951103,000000,5.2495,5.2495,5.2495,5.2495,0,0
USDHRK,D,19951106,000000,5.2495,5.2495,5.2495,5.2495,0,0
USDHRK,D,19951107,000000,5.2264,5.2264,5.2264,5.2264,0,0
USDHRK,D,19951108,000000,5.2263,5.2263,5.2263,5.2263,0,0
USDHRK,D,19951109,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951110,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951113,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951114,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951115,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951116,000000,5.259,5.259,5.259,5.259,0,0
USDHRK,D,19951117,000000,5.259,5.259,5.259,5.259,0,0
USDHRK,D,19951120,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951121,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951122,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951123,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951124,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951127,000000,5.2589,5.2589,5.2589,5.2589,0,0
USDHRK,D,19951128,000000,5.2637,5.2637,5.2637,5.2637,0,0
USDHRK,D,19951129,000000,5.2637,5.2637,5.2637,5.2637,0,0
USDHRK,D,19951130,000000,5.3019,5.3019,5.3019,5.3019,0,0
USDHRK,D,19951201,000000,5.3018,5.3018,5.3018,5.3018,0,0
USDHRK,D,19951204,000000,5.3578,5.3578,5.3578,5.3578,0,0
USDHRK,D,19951205,000000,5.3103,5.3103,5.3103,5.3103,0,0
USDHRK,D,19951206,000000,5.3103,5.3103,5.3103,5.3103,0,0
USDHRK,D,19951207,000000,5.3103,5.3103,5.3103,5.3103,0,0
USDHRK,D,19951208,000000,5.3103,5.3103,5.3103,5.3103,0,0
USDHRK,D,19951211,000000,5.3499,5.3499,5.3499,5.3499,0,0
USDHRK,D,19951212,000000,5.3499,5.3499,5.3499,5.3499,0,0
USDHRK,D,19951213,000000,5.3499,5.3499,5.3499,5.3499,0,0
USDHRK,D,19951214,000000,5.35,5.35,5.35,5.35,0,0
USDHRK,D,19951215,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951218,000000,5.365,5.365,5.365,5.365,0,0
USDHRK,D,19951219,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951220,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951221,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951222,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951227,000000,5.3649,5.3649,5.3649,5.3649,0,0
USDHRK,D,19951228,000000,5.299,5.299,5.299,5.299,0,0
USDHRK,D,19951229,000000,5.299,5.299,5.299,5.299,0,0
USDHRK,D,19960102,000000,5.3145,5.3145,5.3145,5.3145,0,0
USDHRK,D,19960103,000000,5.304,5.304,5.304,5.304,0,0
USDHRK,D,19960104,000000,5.3184,5.3184,5.3184,5.3184,0,0
USDHRK,D,19960105,000000,5.3413,5.3413,5.3413,5.3413,0,0
USDHRK,D,19960108,000000,5.3372,5.3372,5.3372,5.3372,0,0
USDHRK,D,19960109,000000,5.3085,5.3085,5.3085,5.3085,0,0
USDHRK,D,19960110,000000,5.3286,5.3286,5.3286,5.3286,0,0
USDHRK,D,19960111,000000,5.3141,5.3141,5.3141,5.3141,0,0
USDHRK,D,19960112,000000,5.3143,5.3143,5.3143,5.3143,0,0
USDHRK,D,19960115,000000,5.3143,5.3143,5.3143,5.3143,0,0
USDHRK,D,19960116,000000,5.3328,5.3328,5.3328,5.3328,0,0
USDHRK,D,19960117,000000,5.3328,5.3328,5.3328,5.3328,0,0
USDHRK,D,19960118,000000,5.4044,5.4044,5.4044,5.4044,0,0
USDHRK,D,19960119,000000,5.4044,5.4044,5.4044,5.4044,0,0
USDHRK,D,19960122,000000,5.4412,5.4412,5.4412,5.4412,0,0
USDHRK,D,19960123,000000,5.4414,5.4414,5.4414,5.4414,0,0
USDHRK,D,19960124,000000,5.4341,5.4341,5.4341,5.4341,0,0
USDHRK,D,19960125,000000,5.4777,5.4777,5.4777,5.4777,0,0
USDHRK,D,19960126,000000,5.4777,5.4777,5.4777,5.4777,0,0
USDHRK,D,19960129,000000,5.5083,5.5083,5.5083,5.5083,0,0
USDHRK,D,19960130,000000,5.4959,5.4959,5.4959,5.4959,0,0
USDHRK,D,19960131,000000,5.4764,5.4764,5.4764,5.4764,0,0
USDHRK,D,19960201,000000,5.4764,5.4764,5.4764,5.4764,0,0
USDHRK,D,19960202,000000,5.4764,5.4764,5.4764,5.4764,0,0
USDHRK,D,19960205,000000,5.4941,5.4941,5.4941,5.4941,0,0
USDHRK,D,19960206,000000,5.4941,5.4941,5.4941,5.4941,0,0
USDHRK,D,19960207,000000,5.452,5.452,5.452,5.452,0,0
USDHRK,D,19960208,000000,5.4458,5.4458,5.4458,5.4458,0,0
USDHRK,D,19960209,000000,5.4628,5.4628,5.4628,5.4628,0,0
USDHRK,D,19960212,000000,5.4627,5.4627,5.4627,5.4627,0,0
USDHRK,D,19960213,000000,5.4502,5.4502,5.4502,5.4502,0,0
USDHRK,D,19960214,000000,5.4376,5.4376,5.4376,5.4376,0,0
USDHRK,D,19960215,000000,5.4376,5.4376,5.4376,5.4376,0,0
USDHRK,D,19960216,000000,5.4243,5.4243,5.4243,5.4243,0,0
USDHRK,D,19960219,000000,5.4242,5.4242,5.4242,5.4242,0,0
USDHRK,D,19960220,000000,5.4242,5.4242,5.4242,5.4242,0,0
USDHRK,D,19960221,000000,5.3445,5.3445,5.3445,5.3445,0,0
USDHRK,D,19960222,000000,5.3473,5.3473,5.3473,5.3473,0,0
USDHRK,D,19960223,000000,5.3558,5.3558,5.3558,5.3558,0,0
USDHRK,D,19960226,000000,5.3644,5.3644,5.3644,5.3644,0,0
USDHRK,D,19960227,000000,5.3326,5.3326,5.3326,5.3326,0,0
USDHRK,D,19960228,000000,5.3517,5.3517,5.3517,5.3517,0,0
USDHRK,D,19960229,000000,5.3517,5.3517,5.3517,5.3517,0,0
USDHRK,D,19960301,000000,5.396,5.396,5.396,5.396,0,0
USDHRK,D,19960304,000000,5.396,5.396,5.396,5.396,0,0
USDHRK,D,19960305,000000,5.4197,5.4197,5.4197,5.4197,0,0
USDHRK,D,19960306,000000,5.4442,5.4442,5.4442,5.4442,0,0
USDHRK,D,19960307,000000,5.4361,5.4361,5.4361,5.4361,0,0
USDHRK,D,19960308,000000,5.4565,5.4565,5.4565,5.4565,0,0
USDHRK,D,19960311,000000,5.4509,5.4509,5.4509,5.4509,0,0
USDHRK,D,19960312,000000,5.4516,5.4516,5.4516,5.4516,0,0
USDHRK,D,19960313,000000,5.4547,5.4547,5.4547,5.4547,0,0
USDHRK,D,19960314,000000,5.4548,5.4548,5.4548,5.4548,0,0
USDHRK,D,19960315,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960318,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960319,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960320,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960321,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960322,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960325,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960326,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960327,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960328,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960329,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960401,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960402,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960403,000000,5.3948,5.3948,5.3948,5.3948,0,0
USDHRK,D,19960404,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960405,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960409,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960410,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960411,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960412,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960415,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960416,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960417,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960418,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960419,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960422,000000,5.3947,5.3947,5.3947,5.3947,0,0
USDHRK,D,19960423,000000,5.3947,5.3947,5.3947,5.3947,0,0
