<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDNAD,D,19840109,000000,1.2481,1.2481,1.2481,1.2481,0,0
USDNAD,D,19840116,000000,1.2323,1.2323,1.2323,1.2323,0,0
USDNAD,D,19840123,000000,1.2323,1.2323,1.2323,1.2323,0,0
USDNAD,D,19840130,000000,1.2481,1.2481,1.2481,1.2481,0,0
USDNAD,D,19840206,000000,1.2168,1.2168,1.2168,1.2168,0,0
USDNAD,D,19840213,000000,1.2168,1.2168,1.2168,1.2168,0,0
USDNAD,D,19840220,000000,1.2198,1.2198,1.2198,1.2198,0,0
USDNAD,D,19840301,000000,1.1886,1.1886,1.1886,1.1886,0,0
USDNAD,D,19840305,000000,1.1777,1.1777,1.1777,1.1777,0,0
USDNAD,D,19840312,000000,1.1932,1.1932,1.1932,1.1932,0,0
USDNAD,D,19840319,000000,1.2206,1.2206,1.2206,1.2206,0,0
USDNAD,D,19840326,000000,1.218,1.218,1.218,1.218,0,0
USDNAD,D,19840402,000000,1.218,1.218,1.218,1.218,0,0
USDNAD,D,19840409,000000,1.2319,1.2319,1.2319,1.2319,0,0
USDNAD,D,19840416,000000,1.218,1.218,1.218,1.218,0,0
USDNAD,D,19840424,000000,1.2292,1.2292,1.2292,1.2292,0,0
USDNAD,D,19840502,000000,1.2292,1.2292,1.2292,1.2292,0,0
USDNAD,D,19840507,000000,1.2404,1.2404,1.2404,1.2404,0,0
USDNAD,D,19840514,000000,1.2692,1.2692,1.2692,1.2692,0,0
USDNAD,D,19840521,000000,1.2545,1.2545,1.2545,1.2545,0,0
USDNAD,D,19840528,000000,1.2545,1.2545,1.2545,1.2545,0,0
USDNAD,D,19840604,000000,1.2404,1.2404,1.2404,1.2404,0,0
USDNAD,D,19840611,000000,1.2726,1.2726,1.2726,1.2726,0,0
USDNAD,D,19840618,000000,1.2841,1.2841,1.2841,1.2841,0,0
USDNAD,D,19840625,000000,1.3311,1.3311,1.3311,1.3311,0,0
USDNAD,D,19840702,000000,1.3431,1.3431,1.3431,1.3431,0,0
USDNAD,D,19840709,000000,1.4491,1.4491,1.4491,1.4491,0,0
USDNAD,D,19840716,000000,1.4491,1.4491,1.4491,1.4491,0,0
USDNAD,D,19840723,000000,1.5221,1.5221,1.5221,1.5221,0,0
USDNAD,D,19840730,000000,1.6104,1.6104,1.6104,1.6104,0,0
USDNAD,D,19840806,000000,1.5433,1.5433,1.5433,1.5433,0,0
USDNAD,D,19840813,000000,1.5873,1.5873,1.5873,1.5873,0,0
USDNAD,D,19840820,000000,1.5221,1.5221,1.5221,1.5221,0,0
USDNAD,D,19840827,000000,1.5221,1.5221,1.5221,1.5221,0,0
USDNAD,D,19840901,000000,1.531,1.531,1.531,1.531,0,0
USDNAD,D,19840910,000000,1.6258,1.6258,1.6258,1.6258,0,0
USDNAD,D,19840917,000000,1.6609,1.6609,1.6609,1.6609,0,0
USDNAD,D,19840924,000000,1.6302,1.6302,1.6302,1.6302,0,0
USDNAD,D,19841001,000000,1.652,1.652,1.652,1.652,0,0
USDNAD,D,19841008,000000,1.6609,1.6609,1.6609,1.6609,0,0
USDNAD,D,19841015,000000,1.7449,1.7449,1.7449,1.7449,0,0
USDNAD,D,19841022,000000,1.7588,1.7588,1.7588,1.7588,0,0
USDNAD,D,19841029,000000,1.9062,1.9062,1.9062,1.9062,0,0
USDNAD,D,19841105,000000,1.7699,1.7699,1.7699,1.7699,0,0
USDNAD,D,19841112,000000,1.7671,1.7671,1.7671,1.7671,0,0
USDNAD,D,19841119,000000,1.7671,1.7671,1.7671,1.7671,0,0
USDNAD,D,19841126,000000,1.7814,1.7814,1.7814,1.7814,0,0
USDNAD,D,19841201,000000,1.7956,1.7956,1.7956,1.7956,0,0
USDNAD,D,19841210,000000,1.7956,1.7956,1.7956,1.7956,0,0
USDNAD,D,19841217,000000,1.8772,1.8772,1.8772,1.8772,0,0
USDNAD,D,19841224,000000,1.9358,1.9358,1.9358,1.9358,0,0
USDNAD,D,19850101,000000,1.9385,1.9385,1.9385,1.9385,0,0
USDNAD,D,19850107,000000,2.0709,2.0709,2.0709,2.0709,0,0
USDNAD,D,19850114,000000,2.2244,2.2244,2.2244,2.2244,0,0
USDNAD,D,19850121,000000,2.2046,2.2046,2.2046,2.2046,0,0
USDNAD,D,19850128,000000,2.1029,2.1029,2.1029,2.1029,0,0
USDNAD,D,19850204,000000,1.9809,1.9809,1.9809,1.9809,0,0
USDNAD,D,19850211,000000,1.8602,1.8602,1.8602,1.8602,0,0
USDNAD,D,19850218,000000,1.8487,1.8487,1.8487,1.8487,0,0
USDNAD,D,19850225,000000,2.1331,2.1331,2.1331,2.1331,0,0
USDNAD,D,19850304,000000,2.0391,2.0391,2.0391,2.0391,0,0
USDNAD,D,19850311,000000,1.9803,1.9803,1.9803,1.9803,0,0
