<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDXPD,D,19840109,000000,70.102,70.102,70.102,70.102,0,0
USDXPD,D,19840116,000000,65.2,65.2,65.2,65.2,0,0
USDXPD,D,19840123,000000,65.567,65.567,65.567,65.567,0,0
USDXPD,D,19840130,000000,63.446,63.446,63.446,63.446,0,0
USDXPD,D,19840206,000000,63.993,63.993,63.993,63.993,0,0
USDXPD,D,19840213,000000,63.669,63.669,63.669,63.669,0,0
USDXPD,D,19840220,000000,64.162,64.162,64.162,64.162,0,0
USDXPD,D,19840301,000000,63.654,63.654,63.654,63.654,0,0
USDXPD,D,19840305,000000,61.539,61.539,61.539,61.539,0,0
USDXPD,D,19840312,000000,62.917,62.917,62.917,62.917,0,0
USDXPD,D,19840319,000000,63.422,63.422,63.422,63.422,0,0
USDXPD,D,19840326,000000,61.753,61.753,61.753,61.753,0,0
USDXPD,D,19840402,000000,63.068,63.068,63.068,63.068,0,0
USDXPD,D,19840409,000000,62.931,62.931,62.931,62.931,0,0
USDXPD,D,19840416,000000,63.335,63.335,63.335,63.335,0,0
USDXPD,D,19840424,000000,60.512,60.512,60.512,60.512,0,0
USDXPD,D,19840502,000000,63.51,63.51,63.51,63.51,0,0
USDXPD,D,19840507,000000,65.589,65.589,65.589,65.589,0,0
USDXPD,D,19840514,000000,65.405,65.405,65.405,65.405,0,0
USDXPD,D,19840521,000000,64.746,64.746,64.746,64.746,0,0
USDXPD,D,19840528,000000,64.659,64.659,64.659,64.659,0,0
USDXPD,D,19840604,000000,64.41,64.41,64.41,64.41,0,0
USDXPD,D,19840611,000000,67.106,67.106,67.106,67.106,0,0
USDXPD,D,19840618,000000,65.89,65.89,65.89,65.89,0,0
USDXPD,D,19840625,000000,67.65,67.65,67.65,67.65,0,0
USDXPD,D,19840702,000000,67.536,67.536,67.536,67.536,0,0
USDXPD,D,19840709,000000,72.595,72.595,72.595,72.595,0,0
USDXPD,D,19840716,000000,72.888,72.888,72.888,72.888,0,0
USDXPD,D,19840723,000000,78.296,78.296,78.296,78.296,0,0
USDXPD,D,19840730,000000,78.955,78.955,78.955,78.955,0,0
USDXPD,D,19840806,000000,74.888,74.888,74.888,74.888,0,0
USDXPD,D,19840813,000000,74.567,74.567,74.567,74.567,0,0
USDXPD,D,19840820,000000,76.381,76.381,76.381,76.381,0,0
USDXPD,D,19840827,000000,75.825,75.825,75.825,75.825,0,0
USDXPD,D,19840901,000000,75.758,75.758,75.758,75.758,0,0
USDXPD,D,19840910,000000,76.081,76.081,76.081,76.081,0,0
USDXPD,D,19840917,000000,77.335,77.335,77.335,77.335,0,0
USDXPD,D,19840924,000000,73.343,73.343,73.343,73.343,0,0
USDXPD,D,19841001,000000,73.481,73.481,73.481,73.481,0,0
USDXPD,D,19841008,000000,74.201,74.201,74.201,74.201,0,0
