<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGCLP,D,19931025,000000,18.218,18.218,18.218,18.218,0,0
XAGCLP,D,19931026,000000,18.091,18.091,18.091,18.091,0,0
XAGCLP,D,19931027,000000,18.373,18.373,18.373,18.373,0,0
XAGCLP,D,19931028,000000,18.074,18.074,18.074,18.074,0,0
XAGCLP,D,19931029,000000,18.009,18.009,18.009,18.009,0,0
XAGCLP,D,19931102,000000,17.255,17.255,17.255,17.255,0,0
XAGCLP,D,19931103,000000,17.738,17.738,17.738,17.738,0,0
XAGCLP,D,19931104,000000,18.006,18.006,18.006,18.006,0,0
XAGCLP,D,19931105,000000,18.509,18.509,18.509,18.509,0,0
XAGCLP,D,19931108,000000,18.495,18.495,18.495,18.495,0,0
XAGCLP,D,19931109,000000,18.596,18.596,18.596,18.596,0,0
XAGCLP,D,19931110,000000,18.799,18.799,18.799,18.799,0,0
XAGCLP,D,19931112,000000,18.559,18.559,18.559,18.559,0,0
XAGCLP,D,19931115,000000,18.721,18.721,18.721,18.721,0,0
XAGCLP,D,19931116,000000,18.705,18.705,18.705,18.705,0,0
XAGCLP,D,19931117,000000,18.878,18.878,18.878,18.878,0,0
XAGCLP,D,19931118,000000,19.18,19.18,19.18,19.18,0,0
XAGCLP,D,19931119,000000,19.455,19.455,19.455,19.455,0,0
XAGCLP,D,19931122,000000,19.392,19.392,19.392,19.392,0,0
XAGCLP,D,19931123,000000,19.438,19.438,19.438,19.438,0,0
XAGCLP,D,19931124,000000,19.412,19.412,19.412,19.412,0,0
XAGCLP,D,19931125,000000,19.452,19.452,19.452,19.452,0,0
XAGCLP,D,19931126,000000,19.538,19.538,19.538,19.538,0,0
XAGCLP,D,19931129,000000,18.889,18.889,18.889,18.889,0,0
XAGCLP,D,19931130,000000,18.685,18.685,18.685,18.685,0,0
XAGCLP,D,19931201,000000,19.663,19.663,19.663,19.663,0,0
XAGCLP,D,19931202,000000,19.585,19.585,19.585,19.585,0,0
XAGCLP,D,19931203,000000,20.564,20.564,20.564,20.564,0,0
XAGCLP,D,19931206,000000,20.718,20.718,20.718,20.718,0,0
XAGCLP,D,19931207,000000,21.231,21.231,21.231,21.231,0,0
XAGCLP,D,19931208,000000,21.442,21.442,21.442,21.442,0,0
XAGCLP,D,19931209,000000,21.261,21.261,21.261,21.261,0,0
XAGCLP,D,19931210,000000,21.384,21.384,21.384,21.384,0,0
XAGCLP,D,19931213,000000,21.895,21.895,21.895,21.895,0,0
XAGCLP,D,19931214,000000,21.734,21.734,21.734,21.734,0,0
XAGCLP,D,19931215,000000,21.736,21.736,21.736,21.736,0,0
XAGCLP,D,19931216,000000,21.303,21.303,21.303,21.303,0,0
XAGCLP,D,19931217,000000,21.407,21.407,21.407,21.407,0,0
XAGCLP,D,19931220,000000,21.73,21.73,21.73,21.73,0,0
XAGCLP,D,19931221,000000,21.543,21.543,21.543,21.543,0,0
XAGCLP,D,19931222,000000,21.558,21.558,21.558,21.558,0,0
XAGCLP,D,19931223,000000,21.614,21.614,21.614,21.614,0,0
XAGCLP,D,19931224,000000,21.516,21.516,21.516,21.516,0,0
XAGCLP,D,19931227,000000,21.864,21.864,21.864,21.864,0,0
XAGCLP,D,19931228,000000,21.844,21.844,21.844,21.844,0,0
