<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGPHP,D,19931025,000000,128.18,128.18,128.18,128.18,0,0
XAGPHP,D,19931026,000000,127.32,127.32,127.32,127.32,0,0
XAGPHP,D,19931027,000000,129.33,129.33,129.33,129.33,0,0
XAGPHP,D,19931028,000000,127.31,127.31,127.31,127.31,0,0
XAGPHP,D,19931029,000000,124.98,124.98,124.98,124.98,0,0
XAGPHP,D,19931102,000000,119.84,119.84,119.84,119.84,0,0
XAGPHP,D,19931103,000000,123.26,123.26,123.26,123.26,0,0
XAGPHP,D,19931104,000000,124.84,124.84,124.84,124.84,0,0
XAGPHP,D,19931105,000000,127.35,127.35,127.35,127.35,0,0
XAGPHP,D,19931108,000000,125.11,125.11,125.11,125.11,0,0
XAGPHP,D,19931109,000000,125.93,125.93,125.93,125.93,0,0
XAGPHP,D,19931110,000000,127.33,127.33,127.33,127.33,0,0
XAGPHP,D,19931112,000000,125.38,125.38,125.38,125.38,0,0
XAGPHP,D,19931115,000000,127.86,127.86,127.86,127.86,0,0
XAGPHP,D,19931116,000000,128.59,128.59,128.59,128.59,0,0
XAGPHP,D,19931117,000000,130.63,130.63,130.63,130.63,0,0
XAGPHP,D,19931118,000000,132.63,132.63,132.63,132.63,0,0
XAGPHP,D,19931119,000000,133.76,133.76,133.76,133.76,0,0
XAGPHP,D,19931122,000000,133.47,133.47,133.47,133.47,0,0
XAGPHP,D,19931123,000000,133.76,133.76,133.76,133.76,0,0
XAGPHP,D,19931124,000000,132.49,132.49,132.49,132.49,0,0
XAGPHP,D,19931125,000000,131.79,131.79,131.79,131.79,0,0
XAGPHP,D,19931126,000000,131.8,131.8,131.8,131.8,0,0
XAGPHP,D,19931129,000000,124.82,124.82,124.82,124.82,0,0
XAGPHP,D,19931130,000000,124,124,124,124,0,0
XAGPHP,D,19931201,000000,130.39,130.39,130.39,130.39,0,0
XAGPHP,D,19931202,000000,128.34,128.34,128.34,128.34,0,0
XAGPHP,D,19931203,000000,133.86,133.86,133.86,133.86,0,0
XAGPHP,D,19931206,000000,134.14,134.14,134.14,134.14,0,0
XAGPHP,D,19931207,000000,136.63,136.63,136.63,136.63,0,0
XAGPHP,D,19931208,000000,137.77,137.77,137.77,137.77,0,0
XAGPHP,D,19931209,000000,137.5,137.5,137.5,137.5,0,0
XAGPHP,D,19931210,000000,139.66,139.66,139.66,139.66,0,0
XAGPHP,D,19931213,000000,142.69,142.69,142.69,142.69,0,0
XAGPHP,D,19931214,000000,141.26,141.26,141.26,141.26,0,0
XAGPHP,D,19931215,000000,141.27,141.27,141.27,141.27,0,0
XAGPHP,D,19931216,000000,138.78,138.78,138.78,138.78,0,0
XAGPHP,D,19931217,000000,139.33,139.33,139.33,139.33,0,0
XAGPHP,D,19931220,000000,141.55,141.55,141.55,141.55,0,0
XAGPHP,D,19931221,000000,139.15,139.15,139.15,139.15,0,0
XAGPHP,D,19931222,000000,138.88,138.88,138.88,138.88,0,0
XAGPHP,D,19931223,000000,138.37,138.37,138.37,138.37,0,0
XAGPHP,D,19931224,000000,137.54,137.54,137.54,137.54,0,0
XAGPHP,D,19931227,000000,139.74,139.74,139.74,139.74,0,0
XAGPHP,D,19931228,000000,139.19,139.19,139.19,139.19,0,0
XAGPHP,D,19931229,000000,140.02,140.02,140.02,140.02,0,0
XAGPHP,D,19931230,000000,139.47,139.47,139.47,139.47,0,0
XAGPHP,D,19931231,000000,139.74,139.74,139.74,139.74,0,0
XAGPHP,D,19940103,000000,143.55,143.55,143.55,143.55,0,0
XAGPHP,D,19940104,000000,142.72,142.72,142.72,142.72,0,0
XAGPHP,D,19940105,000000,138.6,138.6,138.6,138.6,0,0
XAGPHP,D,19940106,000000,140.25,140.25,140.25,140.25,0,0
XAGPHP,D,19940107,000000,137.5,137.5,137.5,137.5,0,0
XAGPHP,D,19940110,000000,137.54,137.54,137.54,137.54,0,0
XAGPHP,D,19940111,000000,140.01,140.01,140.01,140.01,0,0
XAGPHP,D,19940112,000000,138.91,138.91,138.91,138.91,0,0
XAGPHP,D,19940113,000000,142.72,142.72,142.72,142.72,0,0
XAGPHP,D,19940114,000000,143.55,143.55,143.55,143.55,0,0
XAGPHP,D,19940117,000000,146.3,146.3,146.3,146.3,0,0
XAGPHP,D,19940118,000000,146.83,146.83,146.83,146.83,0,0
XAGPHP,D,19940119,000000,147.37,147.37,147.37,147.37,0,0
XAGPHP,D,19940120,000000,145.44,145.44,145.44,145.44,0,0
XAGPHP,D,19940121,000000,141.01,141.01,141.01,141.01,0,0
XAGPHP,D,19940124,000000,141.57,141.57,141.57,141.57,0,0
XAGPHP,D,19940125,000000,140.24,140.24,140.24,140.24,0,0
XAGPHP,D,19940126,000000,141.08,141.08,141.08,141.08,0,0
XAGPHP,D,19940127,000000,136.39,136.39,136.39,136.39,0,0
XAGPHP,D,19940128,000000,137.77,137.77,137.77,137.77,0,0
XAGPHP,D,19940131,000000,141.08,141.08,141.08,141.08,0,0
XAGPHP,D,19940201,000000,144.94,144.94,144.94,144.94,0,0
XAGPHP,D,19940202,000000,146.04,146.04,146.04,146.04,0,0
XAGPHP,D,19940203,000000,149.06,149.06,149.06,149.06,0,0
XAGPHP,D,19940204,000000,147.96,147.96,147.96,147.96,0,0
XAGPHP,D,19940207,000000,142.21,142.21,142.21,142.21,0,0
XAGPHP,D,19940208,000000,144.13,144.13,144.13,144.13,0,0
XAGPHP,D,19940209,000000,145.23,145.23,145.23,145.23,0,0
XAGPHP,D,19940210,000000,144.96,144.96,144.96,144.96,0,0
XAGPHP,D,19940211,000000,143.6,143.6,143.6,143.6,0,0
XAGPHP,D,19940214,000000,146.04,146.04,146.04,146.04,0,0
XAGPHP,D,19940215,000000,143.03,143.03,143.03,143.03,0,0
XAGPHP,D,19940216,000000,144.64,144.64,144.64,144.64,0,0
XAGPHP,D,19940217,000000,143.83,143.83,143.83,143.83,0,0
XAGPHP,D,19940218,000000,142.17,142.17,142.17,142.17,0,0
XAGPHP,D,19940221,000000,142.71,142.71,142.71,142.71,0,0
XAGPHP,D,19940222,000000,143.53,143.53,143.53,143.53,0,0
XAGPHP,D,19940223,000000,144.09,144.09,144.09,144.09,0,0
XAGPHP,D,19940224,000000,142.43,142.43,142.43,142.43,0,0
XAGPHP,D,19940225,000000,143.82,143.82,143.82,143.82,0,0
XAGPHP,D,19940228,000000,147.93,147.93,147.93,147.93,0,0
XAGPHP,D,19940301,000000,146,146,146,146,0,0
XAGPHP,D,19940302,000000,145.73,145.73,145.73,145.73,0,0
XAGPHP,D,19940303,000000,144.62,144.62,144.62,144.62,0,0
XAGPHP,D,19940304,000000,144.1,144.1,144.1,144.1,0,0
XAGPHP,D,19940307,000000,142.2,142.2,142.2,142.2,0,0
XAGPHP,D,19940308,000000,142.74,142.74,142.74,142.74,0,0
XAGPHP,D,19940309,000000,145.49,145.49,145.49,145.49,0,0
XAGPHP,D,19940310,000000,147.4,147.4,147.4,147.4,0,0
XAGPHP,D,19940311,000000,147.15,147.15,147.15,147.15,0,0
XAGPHP,D,19940314,000000,149.06,149.06,149.06,149.06,0,0
XAGPHP,D,19940315,000000,149.6,149.6,149.6,149.6,0,0
XAGPHP,D,19940316,000000,147.68,147.68,147.68,147.68,0,0
XAGPHP,D,19940317,000000,146.6,146.6,146.6,146.6,0,0
XAGPHP,D,19940318,000000,147.96,147.96,147.96,147.96,0,0
XAGPHP,D,19940321,000000,147.96,147.96,147.96,147.96,0,0
XAGPHP,D,19940322,000000,154.27,154.27,154.27,154.27,0,0
XAGPHP,D,19940323,000000,152.9,152.9,152.9,152.9,0,0
XAGPHP,D,19940324,000000,156.72,156.72,156.72,156.72,0,0
XAGPHP,D,19940325,000000,158.38,158.38,158.38,158.38,0,0
XAGPHP,D,19940328,000000,155.92,155.92,155.92,155.92,0,0
XAGPHP,D,19940329,000000,154.53,154.53,154.53,154.53,0,0
XAGPHP,D,19940330,000000,153.99,153.99,153.99,153.99,0,0
XAGPHP,D,19940331,000000,157.82,157.82,157.82,157.82,0,0
XAGPHP,D,19940401,000000,157.83,157.83,157.83,157.83,0,0
