<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGTWD,D,19840109,000000,320.75,320.75,320.75,320.75,0,0
XAGTWD,D,19840116,000000,328.87,328.87,328.87,328.87,0,0
XAGTWD,D,19840123,000000,324.81,324.81,324.81,324.81,0,0
XAGTWD,D,19840130,000000,337.26,337.26,337.26,337.26,0,0
XAGTWD,D,19840206,000000,353.52,353.52,353.52,353.52,0,0
XAGTWD,D,19840213,000000,349.45,349.45,349.45,349.45,0,0
XAGTWD,D,19840220,000000,353.04,353.04,353.04,353.04,0,0
XAGTWD,D,19840301,000000,394.74,394.74,394.74,394.74,0,0
XAGTWD,D,19840305,000000,409.14,409.14,409.14,409.14,0,0
XAGTWD,D,19840312,000000,393.61,393.61,393.61,393.61,0,0
XAGTWD,D,19840319,000000,389.32,389.32,389.32,389.32,0,0
XAGTWD,D,19840326,000000,384.9,384.9,384.9,384.9,0,0
XAGTWD,D,19840402,000000,373.9,373.9,373.9,373.9,0,0
XAGTWD,D,19840409,000000,373.9,373.9,373.9,373.9,0,0
XAGTWD,D,19840416,000000,364.96,364.96,364.96,364.96,0,0
XAGTWD,D,19840424,000000,368.1,368.1,368.1,368.1,0,0
XAGTWD,D,19840502,000000,364.23,364.23,364.23,364.23,0,0
XAGTWD,D,19840507,000000,346.43,346.43,346.43,346.43,0,0
XAGTWD,D,19840514,000000,357.14,357.14,357.14,357.14,0,0
XAGTWD,D,19840521,000000,365.33,365.33,365.33,365.33,0,0
XAGTWD,D,19840528,000000,365.33,365.33,365.33,365.33,0,0
XAGTWD,D,19840604,000000,378.38,378.38,378.38,378.38,0,0
XAGTWD,D,19840611,000000,347.83,347.83,347.83,347.83,0,0
XAGTWD,D,19840618,000000,344.33,344.33,344.33,344.33,0,0
XAGTWD,D,19840625,000000,333.45,333.45,333.45,333.45,0,0
XAGTWD,D,19840702,000000,336.52,336.52,336.52,336.52,0,0
