<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUBTC,D,20100719,000000,1462038,1462038,1462038,1462038,0,0
XAUBTC,D,20100720,000000,1592460,1592460,1592460,1592460,0,0
XAUBTC,D,20100721,000000,1504538,1504538,1504538,1504538,0,0
XAUBTC,D,20100722,000000,2368875,2368875,2368875,2368875,0,0
XAUBTC,D,20100723,000000,1896526,1896526,1896526,1896526,0,0
XAUBTC,D,20100726,000000,2114956,2114956,2114956,2114956,0,0
XAUBTC,D,20100727,000000,1932414,1932414,1932414,1932414,0,0
XAUBTC,D,20100728,000000,1969804,1969804,1969804,1969804,0,0
XAUBTC,D,20100729,000000,1664783,1664783,1664783,1664783,0,0
XAUBTC,D,20100730,000000,1880928,1880928,1880928,1880928,0,0
XAUBTC,D,20100802,000000,1969812,1969812,1969812,1969812,0,0
XAUBTC,D,20100803,000000,1976899,1976899,1976899,1976899,0,0
XAUBTC,D,20100804,000000,2102563,2102563,2102563,2102563,0,0
XAUBTC,D,20100805,000000,1958475,1958475,1958475,1958475,0,0
XAUBTC,D,20100806,000000,1932896,1932896,1932896,1932896,0,0
XAUBTC,D,20100809,000000,1688831,1688831,1688831,1688831,0,0
XAUBTC,D,20100810,000000,1708639,1708639,1708639,1708639,0,0
XAUBTC,D,20100811,000000,1784784,1784784,1784784,1784784,0,0
XAUBTC,D,20100812,000000,1731953,1731953,1731953,1731953,0,0
XAUBTC,D,20100813,000000,1882385,1882385,1882385,1882385,0,0
XAUBTC,D,20100816,000000,1867041,1867041,1867041,1867041,0,0
XAUBTC,D,20100817,000000,1750606,1750606,1750606,1750606,0,0
XAUBTC,D,20100818,000000,1809684,1809684,1809684,1809684,0,0
XAUBTC,D,20100819,000000,1847610,1847610,1847610,1847610,0,0
XAUBTC,D,20100820,000000,1873339,1873339,1873339,1873339,0,0
XAUBTC,D,20100823,000000,1886741,1886741,1886741,1886741,0,0
XAUBTC,D,20100824,000000,1891436,1891436,1891436,1891436,0,0
XAUBTC,D,20100825,000000,1911339,1911339,1911339,1911339,0,0
XAUBTC,D,20100826,000000,1930046,1930046,1930046,1930046,0,0
XAUBTC,D,20100827,000000,1900292,1900292,1900292,1900292,0,0
XAUBTC,D,20100830,000000,1903046,1903046,1903046,1903046,0,0
XAUBTC,D,20100831,000000,2078623,2078623,2078623,2078623,0,0
XAUBTC,D,20100901,000000,1979893,1979893,1979893,1979893,0,0
XAUBTC,D,20100902,000000,1970525,1970525,1970525,1970525,0,0
XAUBTC,D,20100903,000000,2052062,2052062,2052062,2052062,0,0
