<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUHRK,D,19951023,000000,2010.93,2010.93,2010.93,2010.93,0,0
XAUHRK,D,19951024,000000,2010.93,2010.93,2010.93,2010.93,0,0
XAUHRK,D,19951025,000000,1965.01,1965.01,1965.01,1965.01,0,0
XAUHRK,D,19951026,000000,1970.31,1970.31,1970.31,1970.31,0,0
XAUHRK,D,19951027,000000,1968.5,1968.5,1968.5,1968.5,0,0
XAUHRK,D,19951030,000000,1969.61,1969.61,1969.61,1969.61,0,0
XAUHRK,D,19951031,000000,1971.69,1971.69,1971.69,1971.69,0,0
XAUHRK,D,19951102,000000,1996.77,1996.77,1996.77,1996.77,0,0
XAUHRK,D,19951103,000000,2005.85,2005.85,2005.85,2005.85,0,0
XAUHRK,D,19951106,000000,2006.9,2006.9,2006.9,2006.9,0,0
XAUHRK,D,19951107,000000,2010.61,2010.61,2010.61,2010.61,0,0
XAUHRK,D,19951108,000000,2011.62,2011.62,2011.62,2011.62,0,0
XAUHRK,D,19951109,000000,2027.31,2027.31,2027.31,2027.31,0,0
XAUHRK,D,19951110,000000,2045.68,2045.68,2045.68,2045.68,0,0
XAUHRK,D,19951113,000000,2035.45,2035.45,2035.45,2035.45,0,0
XAUHRK,D,19951114,000000,2026.52,2026.52,2026.52,2026.52,0,0
XAUHRK,D,19951115,000000,2023.62,2023.62,2023.62,2023.62,0,0
XAUHRK,D,19951116,000000,2027.33,2027.33,2027.33,2027.33,0,0
XAUHRK,D,19951117,000000,2033.63,2033.63,2033.63,2033.63,0,0
XAUHRK,D,19951120,000000,2031.52,2031.52,2031.52,2031.52,0,0
XAUHRK,D,19951121,000000,2024.15,2024.15,2024.15,2024.15,0,0
XAUHRK,D,19951122,000000,2012.06,2012.06,2012.06,2012.06,0,0
XAUHRK,D,19951123,000000,2012.04,2012.04,2012.04,2012.04,0,0
XAUHRK,D,19951124,000000,2016.25,2016.25,2016.25,2016.25,0,0
XAUHRK,D,19951127,000000,2024.67,2024.67,2024.67,2024.67,0,0
XAUHRK,D,19951128,000000,2044.95,2044.95,2044.95,2044.95,0,0
XAUHRK,D,19951129,000000,2045.46,2045.46,2045.46,2045.46,0,0
XAUHRK,D,19951130,000000,2052.08,2052.08,2052.08,2052.08,0,0
XAUHRK,D,19951201,000000,2046.24,2046.24,2046.24,2046.24,0,0
XAUHRK,D,19951204,000000,2067.57,2067.57,2067.57,2067.57,0,0
XAUHRK,D,19951205,000000,2054.54,2054.54,2054.54,2054.54,0,0
XAUHRK,D,19951206,000000,2063.06,2063.06,2063.06,2063.06,0,0
XAUHRK,D,19951207,000000,2064.64,2064.64,2064.64,2064.64,0,0
XAUHRK,D,19951208,000000,2068.37,2068.37,2068.37,2068.37,0,0
XAUHRK,D,19951211,000000,2076.3,2076.3,2076.3,2076.3,0,0
XAUHRK,D,19951212,000000,2075.77,2075.77,2075.77,2075.77,0,0
XAUHRK,D,19951213,000000,2066.14,2066.14,2066.14,2066.14,0,0
XAUHRK,D,19951214,000000,2065.08,2065.08,2065.08,2065.08,0,0
XAUHRK,D,19951215,000000,2070.85,2070.85,2070.85,2070.85,0,0
XAUHRK,D,19951218,000000,2078.38,2078.38,2078.38,2078.38,0,0
XAUHRK,D,19951219,000000,2077.3,2077.3,2077.3,2077.3,0,0
XAUHRK,D,19951220,000000,2084.27,2084.27,2084.27,2084.27,0,0
XAUHRK,D,19951221,000000,2079.45,2079.45,2079.45,2079.45,0,0
XAUHRK,D,19951222,000000,2076.23,2076.23,2076.23,2076.23,0,0
XAUHRK,D,19951227,000000,2074.07,2074.07,2074.07,2074.07,0,0
XAUHRK,D,19951228,000000,2048.57,2048.57,2048.57,2048.57,0,0
XAUHRK,D,19951229,000000,2049.91,2049.91,2049.91,2049.91,0,0
XAUHRK,D,19960102,000000,2074.76,2074.76,2074.76,2074.76,0,0
XAUHRK,D,19960103,000000,2090.32,2090.32,2090.32,2090.32,0,0
XAUHRK,D,19960104,000000,2096.79,2096.79,2096.79,2096.79,0,0
XAUHRK,D,19960105,000000,2111.43,2111.43,2111.43,2111.43,0,0
XAUHRK,D,19960108,000000,2115.64,2115.64,2115.64,2115.64,0,0
XAUHRK,D,19960109,000000,2102.69,2102.69,2102.69,2102.69,0,0
XAUHRK,D,19960110,000000,2129.06,2129.06,2129.06,2129.06,0,0
XAUHRK,D,19960111,000000,2119.02,2119.02,2119.02,2119.02,0,0
XAUHRK,D,19960112,000000,2119.33,2119.33,2119.33,2119.33,0,0
XAUHRK,D,19960115,000000,2103.12,2103.12,2103.12,2103.12,0,0
XAUHRK,D,19960116,000000,2124.33,2124.33,2124.33,2124.33,0,0
XAUHRK,D,19960117,000000,2130.73,2130.73,2130.73,2130.73,0,0
XAUHRK,D,19960118,000000,2146.91,2146.91,2146.91,2146.91,0,0
XAUHRK,D,19960119,000000,2159.33,2159.33,2159.33,2159.33,0,0
XAUHRK,D,19960122,000000,2194.73,2194.73,2194.73,2194.73,0,0
XAUHRK,D,19960123,000000,2194.24,2194.24,2194.24,2194.24,0,0
XAUHRK,D,19960124,000000,2192.09,2192.09,2192.09,2192.09,0,0
XAUHRK,D,19960125,000000,2227.23,2227.23,2227.23,2227.23,0,0
XAUHRK,D,19960126,000000,2223.69,2223.69,2223.69,2223.69,0,0
XAUHRK,D,19960129,000000,2236.63,2236.63,2236.63,2236.63,0,0
