<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUNAD,D,19840109,000000,4.5386,4.5386,4.5386,4.5386,0,0
XAUNAD,D,19840116,000000,4.6054,4.6054,4.6054,4.6054,0,0
XAUNAD,D,19840123,000000,4.481,4.481,4.481,4.481,0,0
XAUNAD,D,19840130,000000,4.6647,4.6647,4.6647,4.6647,0,0
XAUNAD,D,19840206,000000,4.6706,4.6706,4.6706,4.6706,0,0
XAUNAD,D,19840213,000000,4.6706,4.6706,4.6706,4.6706,0,0
XAUNAD,D,19840220,000000,4.6054,4.6054,4.6054,4.6054,0,0
XAUNAD,D,19840301,000000,4.7542,4.7542,4.7542,4.7542,0,0
XAUNAD,D,19840305,000000,4.7542,4.7542,4.7542,4.7542,0,0
XAUNAD,D,19840312,000000,4.7509,4.7509,4.7509,4.7509,0,0
XAUNAD,D,19840319,000000,4.8599,4.8599,4.8599,4.8599,0,0
XAUNAD,D,19840326,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840402,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840409,000000,4.7468,4.7468,4.7468,4.7468,0,0
XAUNAD,D,19840416,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840424,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840502,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840507,000000,4.6933,4.6933,4.6933,4.6933,0,0
XAUNAD,D,19840514,000000,4.8022,4.8022,4.8022,4.8022,0,0
XAUNAD,D,19840521,000000,4.7468,4.7468,4.7468,4.7468,0,0
XAUNAD,D,19840528,000000,4.7468,4.7468,4.7468,4.7468,0,0
XAUNAD,D,19840604,000000,5.0285,5.0285,5.0285,5.0285,0,0
XAUNAD,D,19840611,000000,4.8589,4.8589,4.8589,4.8589,0,0
XAUNAD,D,19840618,000000,4.8589,4.8589,4.8589,4.8589,0,0
XAUNAD,D,19840625,000000,4.9167,4.9167,4.9167,4.9167,0,0
XAUNAD,D,19840702,000000,5.0366,5.0366,5.0366,5.0366,0,0
XAUNAD,D,19840709,000000,5.0459,5.0459,5.0459,5.0459,0,0
XAUNAD,D,19840716,000000,5.0459,5.0459,5.0459,5.0459,0,0
XAUNAD,D,19840723,000000,5.1185,5.1185,5.1185,5.1185,0,0
XAUNAD,D,19840730,000000,5.7004,5.7004,5.7004,5.7004,0,0
XAUNAD,D,19840806,000000,5.5996,5.5996,5.5996,5.5996,0,0
XAUNAD,D,19840813,000000,5.7592,5.7592,5.7592,5.7592,0,0
XAUNAD,D,19840820,000000,5.3879,5.3879,5.3879,5.3879,0,0
XAUNAD,D,19840827,000000,5.5226,5.5226,5.5226,5.5226,0,0
XAUNAD,D,19840901,000000,5.4767,5.4767,5.4767,5.4767,0,0
XAUNAD,D,19840910,000000,5.6379,5.6379,5.6379,5.6379,0,0
XAUNAD,D,19840917,000000,5.7135,5.7135,5.7135,5.7135,0,0
XAUNAD,D,19840924,000000,5.6929,5.6929,5.6929,5.6929,0,0
XAUNAD,D,19841001,000000,5.769,5.769,5.769,5.769,0,0
XAUNAD,D,19841008,000000,5.7135,5.7135,5.7135,5.7135,0,0
XAUNAD,D,19841015,000000,5.9549,5.9549,5.9549,5.9549,0,0
XAUNAD,D,19841022,000000,5.9549,5.9549,5.9549,5.9549,0,0
XAUNAD,D,19841029,000000,6.5053,6.5053,6.5053,6.5053,0,0
XAUNAD,D,19841105,000000,6.1806,6.1806,6.1806,6.1806,0,0
XAUNAD,D,19841112,000000,6.128,6.128,6.128,6.128,0,0
XAUNAD,D,19841119,000000,6.128,6.128,6.128,6.128,0,0
XAUNAD,D,19841126,000000,5.843,5.843,5.843,5.843,0,0
XAUNAD,D,19841201,000000,5.9855,5.9855,5.9855,5.9855,0,0
XAUNAD,D,19841210,000000,5.9855,5.9855,5.9855,5.9855,0,0
XAUNAD,D,19841217,000000,5.9595,5.9595,5.9595,5.9595,0,0
XAUNAD,D,19841224,000000,6.1453,6.1453,6.1453,6.1453,0,0
XAUNAD,D,19850101,000000,6.1806,6.1806,6.1806,6.1806,0,0
XAUNAD,D,19850107,000000,6.2575,6.2575,6.2575,6.2575,0,0
XAUNAD,D,19850114,000000,6.7698,6.7698,6.7698,6.7698,0,0
XAUNAD,D,19850121,000000,6.82,6.82,6.82,6.82,0,0
XAUNAD,D,19850128,000000,6.5053,6.5053,6.5053,6.5053,0,0
XAUNAD,D,19850204,000000,5.9855,5.9855,5.9855,5.9855,0,0
XAUNAD,D,19850211,000000,5.7135,5.7135,5.7135,5.7135,0,0
XAUNAD,D,19850218,000000,5.6379,5.6379,5.6379,5.6379,0,0
XAUNAD,D,19850225,000000,6.0514,6.0514,6.0514,6.0514,0,0
XAUNAD,D,19850304,000000,5.9291,5.9291,5.9291,5.9291,0,0
XAUNAD,D,19850311,000000,5.8164,5.8164,5.8164,5.8164,0,0
XAUNAD,D,19850318,000000,6.0402,6.0402,6.0402,6.0402,0,0
XAUNAD,D,19850325,000000,6.3211,6.3211,6.3211,6.3211,0,0
XAUNAD,D,19850329,000000,6.1961,6.1961,6.1961,6.1961,0,0
XAUNAD,D,19850401,000000,6.2318,6.2318,6.2318,6.2318,0,0
XAUNAD,D,19850409,000000,6.413,6.413,6.413,6.413,0,0
XAUNAD,D,19850415,000000,6.1961,6.1961,6.1961,6.1961,0,0
XAUNAD,D,19850422,000000,6.2318,6.2318,6.2318,6.2318,0,0
XAUNAD,D,19850429,000000,6.3211,6.3211,6.3211,6.3211,0,0
XAUNAD,D,19850506,000000,6.1638,6.1638,6.1638,6.1638,0,0
XAUNAD,D,19850513,000000,6.2318,6.2318,6.2318,6.2318,0,0
XAUNAD,D,19850520,000000,6.128,6.128,6.128,6.128,0,0
XAUNAD,D,19850527,000000,6.128,6.128,6.128,6.128,0,0
XAUNAD,D,19850601,000000,6.1455,6.1455,6.1455,6.1455,0,0
XAUNAD,D,19850610,000000,6.2236,6.2236,6.2236,6.2236,0,0
XAUNAD,D,19850617,000000,6.2684,6.2684,6.2684,6.2684,0,0
XAUNAD,D,19850624,000000,6.1455,6.1455,6.1455,6.1455,0,0
XAUNAD,D,19850701,000000,6.0226,6.0226,6.0226,6.0226,0,0
XAUNAD,D,19850708,000000,6.0694,6.0694,6.0694,6.0694,0,0
XAUNAD,D,19850715,000000,5.9959,5.9959,5.9959,5.9959,0,0
XAUNAD,D,19850723,000000,5.876,5.876,5.876,5.876,0,0
XAUNAD,D,19850729,000000,6.5557,6.5557,6.5557,6.5557,0,0
XAUNAD,D,19850805,000000,7.2681,7.2681,7.2681,7.2681,0,0
XAUNAD,D,19850812,000000,6.9094,6.9094,6.9094,6.9094,0,0
XAUNAD,D,19850819,000000,8.2722,8.2722,8.2722,8.2722,0,0
XAUNAD,D,19850826,000000,8.5218,8.5218,8.5218,8.5218,0,0
XAUNAD,D,19850902,000000,8.5218,8.5218,8.5218,8.5218,0,0
XAUNAD,D,19850909,000000,8.3333,8.3333,8.3333,8.3333,0,0
XAUNAD,D,19850916,000000,7.8353,7.8353,7.8353,7.8353,0,0
XAUNAD,D,19850923,000000,8.2474,8.2474,8.2474,8.2474,0,0
