<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAURON,D,19951023,000000,84.81,84.81,84.81,84.81,0,0
XAURON,D,19951024,000000,84.91,84.91,84.91,84.91,0,0
XAURON,D,19951025,000000,85.5,85.5,85.5,85.5,0,0
XAURON,D,19951026,000000,85.47,85.47,85.47,85.47,0,0
XAURON,D,19951027,000000,85.39,85.39,85.39,85.39,0,0
XAURON,D,19951030,000000,85.57,85.57,85.57,85.57,0,0
XAURON,D,19951031,000000,85.66,85.66,85.66,85.66,0,0
XAURON,D,19951102,000000,86.85,86.85,86.85,86.85,0,0
XAURON,D,19951103,000000,87.79,87.79,87.79,87.79,0,0
XAURON,D,19951106,000000,87.89,87.89,87.89,87.89,0,0
XAURON,D,19951107,000000,90.31,90.31,90.31,90.31,0,0
XAURON,D,19951108,000000,89.68,89.68,89.68,89.68,0,0
XAURON,D,19951109,000000,90.5,90.5,90.5,90.5,0,0
XAURON,D,19951110,000000,92.19,92.19,92.19,92.19,0,0
XAURON,D,19951113,000000,91.92,91.92,91.92,91.92,0,0
XAURON,D,19951114,000000,91.58,91.58,91.58,91.58,0,0
XAURON,D,19951115,000000,91.58,91.58,91.58,91.58,0,0
XAURON,D,19951116,000000,94.64,94.64,94.64,94.64,0,0
XAURON,D,19951117,000000,98.61,98.61,98.61,98.61,0,0
XAURON,D,19951120,000000,98.51,98.51,98.51,98.51,0,0
XAURON,D,19951121,000000,98.15,98.15,98.15,98.15,0,0
XAURON,D,19951122,000000,97.56,97.56,97.56,97.56,0,0
XAURON,D,19951123,000000,97.56,97.56,97.56,97.56,0,0
XAURON,D,19951124,000000,97.77,97.77,97.77,97.77,0,0
XAURON,D,19951127,000000,97.89,97.89,97.89,97.89,0,0
XAURON,D,19951128,000000,100.23,100.23,100.23,100.23,0,0
XAURON,D,19951129,000000,98.9,98.9,98.9,98.9,0,0
XAURON,D,19951130,000000,98.31,98.31,98.31,98.31,0,0
XAURON,D,19951201,000000,98.03,98.03,98.03,98.03,0,0
XAURON,D,19951204,000000,99.56,99.56,99.56,99.56,0,0
XAURON,D,19951205,000000,100.4,100.4,100.4,100.4,0,0
XAURON,D,19951206,000000,99.84,99.84,99.84,99.84,0,0
XAURON,D,19951207,000000,101.56,101.56,101.56,101.56,0,0
XAURON,D,19951208,000000,101.47,101.47,101.47,101.47,0,0
XAURON,D,19951211,000000,101.2,101.2,101.2,101.2,0,0
XAURON,D,19951212,000000,100.39,100.39,100.39,100.39,0,0
XAURON,D,19951213,000000,100.41,100.41,100.41,100.41,0,0
XAURON,D,19951214,000000,99.97,99.97,99.97,99.97,0,0
XAURON,D,19951215,000000,100.75,100.75,100.75,100.75,0,0
XAURON,D,19951218,000000,101.11,101.11,101.11,101.11,0,0
XAURON,D,19951219,000000,101.06,101.06,101.06,101.06,0,0
XAURON,D,19951220,000000,101.4,101.4,101.4,101.4,0,0
XAURON,D,19951221,000000,101.16,101.16,101.16,101.16,0,0
XAURON,D,19951222,000000,101.01,101.01,101.01,101.01,0,0
XAURON,D,19951227,000000,100.9,100.9,100.9,100.9,0,0
XAURON,D,19951228,000000,100.9,100.9,100.9,100.9,0,0
XAURON,D,19951229,000000,101.66,101.66,101.66,101.66,0,0
XAURON,D,19960102,000000,102.6,102.6,102.6,102.6,0,0
XAURON,D,19960103,000000,103.53,103.53,103.53,103.53,0,0
XAURON,D,19960104,000000,103.47,103.47,103.47,103.47,0,0
XAURON,D,19960105,000000,104.08,104.08,104.08,104.08,0,0
XAURON,D,19960108,000000,104.06,104.06,104.06,104.06,0,0
XAURON,D,19960109,000000,104.39,104.39,104.39,104.39,0,0
XAURON,D,19960110,000000,106.28,106.28,106.28,106.28,0,0
XAURON,D,19960111,000000,104.47,104.47,104.47,104.47,0,0
XAURON,D,19960112,000000,105.38,105.38,105.38,105.38,0,0
XAURON,D,19960115,000000,105.86,105.86,105.86,105.86,0,0
XAURON,D,19960116,000000,106.96,106.96,106.96,106.96,0,0
XAURON,D,19960117,000000,106.4,106.4,106.4,106.4,0,0
XAURON,D,19960118,000000,106.92,106.92,106.92,106.92,0,0
XAURON,D,19960119,000000,107.32,107.32,107.32,107.32,0,0
XAURON,D,19960122,000000,108.1,108.1,108.1,108.1,0,0
XAURON,D,19960123,000000,106.46,106.46,106.46,106.46,0,0
XAURON,D,19960124,000000,110.93,110.93,110.93,110.93,0,0
XAURON,D,19960125,000000,114.66,114.66,114.66,114.66,0,0
