<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAURUB,D,19951023,000000,17.224,17.224,17.224,17.224,0,0
XAURUB,D,19951024,000000,17.222,17.222,17.222,17.222,0,0
XAURUB,D,19951025,000000,17.238,17.238,17.238,17.238,0,0
XAURUB,D,19951026,000000,17.242,17.242,17.242,17.242,0,0
XAURUB,D,19951027,000000,17.242,17.242,17.242,17.242,0,0
XAURUB,D,19951030,000000,17.221,17.221,17.221,17.221,0,0
XAURUB,D,19951031,000000,17.239,17.239,17.239,17.239,0,0
XAURUB,D,19951102,000000,17.309,17.309,17.309,17.309,0,0
XAURUB,D,19951103,000000,17.286,17.286,17.286,17.286,0,0
XAURUB,D,19951106,000000,17.303,17.303,17.303,17.303,0,0
XAURUB,D,19951107,000000,17.411,17.411,17.411,17.411,0,0
XAURUB,D,19951108,000000,17.398,17.398,17.398,17.398,0,0
XAURUB,D,19951109,000000,17.421,17.421,17.421,17.421,0,0
XAURUB,D,19951110,000000,17.582,17.582,17.582,17.582,0,0
XAURUB,D,19951113,000000,17.537,17.537,17.537,17.537,0,0
XAURUB,D,19951114,000000,17.495,17.495,17.495,17.495,0,0
XAURUB,D,19951115,000000,17.458,17.458,17.458,17.458,0,0
XAURUB,D,19951116,000000,17.456,17.456,17.456,17.456,0,0
XAURUB,D,19951117,000000,17.615,17.615,17.615,17.615,0,0
XAURUB,D,19951120,000000,17.644,17.644,17.644,17.644,0,0
XAURUB,D,19951121,000000,17.546,17.546,17.546,17.546,0,0
XAURUB,D,19951122,000000,17.495,17.495,17.495,17.495,0,0
XAURUB,D,19951123,000000,17.508,17.508,17.508,17.508,0,0
XAURUB,D,19951124,000000,17.542,17.542,17.542,17.542,0,0
XAURUB,D,19951127,000000,17.642,17.642,17.642,17.642,0,0
XAURUB,D,19951128,000000,17.806,17.806,17.806,17.806,0,0
XAURUB,D,19951129,000000,17.791,17.791,17.791,17.791,0,0
XAURUB,D,19951130,000000,17.718,17.718,17.718,17.718,0,0
XAURUB,D,19951201,000000,17.712,17.712,17.712,17.712,0,0
XAURUB,D,19951204,000000,17.709,17.709,17.709,17.709,0,0
XAURUB,D,19951205,000000,17.771,17.771,17.771,17.771,0,0
XAURUB,D,19951206,000000,17.823,17.823,17.823,17.823,0,0
XAURUB,D,19951207,000000,17.876,17.876,17.876,17.876,0,0
XAURUB,D,19951208,000000,17.843,17.843,17.843,17.843,0,0
XAURUB,D,19951211,000000,17.779,17.779,17.779,17.779,0,0
XAURUB,D,19951212,000000,17.775,17.775,17.775,17.775,0,0
XAURUB,D,19951213,000000,17.858,17.858,17.858,17.858,0,0
XAURUB,D,19951214,000000,17.876,17.876,17.876,17.876,0,0
XAURUB,D,19951215,000000,17.877,17.877,17.877,17.877,0,0
XAURUB,D,19951218,000000,17.963,17.963,17.963,17.963,0,0
XAURUB,D,19951219,000000,17.964,17.964,17.964,17.964,0,0
XAURUB,D,19951220,000000,18.024,18.024,18.024,18.024,0,0
XAURUB,D,19951221,000000,17.983,17.983,17.983,17.983,0,0
XAURUB,D,19951222,000000,17.955,17.955,17.955,17.955,0,0
XAURUB,D,19951227,000000,17.922,17.922,17.922,17.922,0,0
XAURUB,D,19951228,000000,17.938,17.938,17.938,17.938,0,0
XAURUB,D,19951229,000000,17.95,17.95,17.95,17.95,0,0
XAURUB,D,19960102,000000,18.114,18.114,18.114,18.114,0,0
XAURUB,D,19960103,000000,18.286,18.286,18.286,18.286,0,0
XAURUB,D,19960104,000000,18.293,18.293,18.293,18.293,0,0
XAURUB,D,19960105,000000,18.342,18.342,18.342,18.342,0,0
XAURUB,D,19960108,000000,18.393,18.393,18.393,18.393,0,0
XAURUB,D,19960109,000000,18.441,18.441,18.441,18.441,0,0
XAURUB,D,19960110,000000,18.648,18.648,18.648,18.648,0,0
XAURUB,D,19960111,000000,18.611,18.611,18.611,18.611,0,0
XAURUB,D,19960112,000000,18.582,18.582,18.582,18.582,0,0
XAURUB,D,19960115,000000,18.461,18.461,18.461,18.461,0,0
XAURUB,D,19960116,000000,18.618,18.618,18.618,18.618,0,0
XAURUB,D,19960117,000000,18.674,18.674,18.674,18.674,0,0
XAURUB,D,19960118,000000,18.634,18.634,18.634,18.634,0,0
XAURUB,D,19960119,000000,18.761,18.761,18.761,18.761,0,0
XAURUB,D,19960122,000000,18.881,18.881,18.881,18.881,0,0
XAURUB,D,19960123,000000,18.876,18.876,18.876,18.876,0,0
XAURUB,D,19960124,000000,19.014,19.014,19.014,19.014,0,0
XAURUB,D,19960125,000000,19.146,19.146,19.146,19.146,0,0
XAURUB,D,19960126,000000,19.132,19.132,19.132,19.132,0,0
XAURUB,D,19960129,000000,19.183,19.183,19.183,19.183,0,0
XAURUB,D,19960130,000000,19.194,19.194,19.194,19.194,0,0
XAURUB,D,19960131,000000,19.252,19.252,19.252,19.252,0,0
XAURUB,D,19960201,000000,19.495,19.495,19.495,19.495,0,0
XAURUB,D,19960202,000000,19.693,19.693,19.693,19.693,0,0
