<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUXPD,D,19840109,000000,2.5894,2.5894,2.5894,2.5894,0,0
XAUXPD,D,19840116,000000,2.4126,2.4126,2.4126,2.4126,0,0
XAUXPD,D,19840123,000000,2.4115,2.4115,2.4115,2.4115,0,0
XAUXPD,D,19840130,000000,2.38,2.38,2.38,2.38,0,0
XAUXPD,D,19840206,000000,2.476,2.476,2.476,2.476,0,0
XAUXPD,D,19840213,000000,2.4427,2.4427,2.4427,2.4427,0,0
XAUXPD,D,19840220,000000,2.4427,2.4427,2.4427,2.4427,0,0
XAUXPD,D,19840301,000000,2.5322,2.5322,2.5322,2.5322,0,0
XAUXPD,D,19840305,000000,2.5065,2.5065,2.5065,2.5065,0,0
XAUXPD,D,19840312,000000,2.4972,2.4972,2.4972,2.4972,0,0
XAUXPD,D,19840319,000000,2.5,2.5,2.5,2.5,0,0
XAUXPD,D,19840326,000000,2.3908,2.3908,2.3908,2.3908,0,0
XAUXPD,D,19840402,000000,2.435,2.435,2.435,2.435,0,0
XAUXPD,D,19840409,000000,2.4341,2.4341,2.4341,2.4341,0,0
XAUXPD,D,19840416,000000,2.4243,2.4243,2.4243,2.4243,0,0
XAUXPD,D,19840424,000000,2.3443,2.3443,2.3443,2.3443,0,0
XAUXPD,D,19840502,000000,2.4164,2.4164,2.4164,2.4164,0,0
XAUXPD,D,19840507,000000,2.459,2.459,2.459,2.459,0,0
XAUXPD,D,19840514,000000,2.4463,2.4463,2.4463,2.4463,0,0
XAUXPD,D,19840521,000000,2.4577,2.4577,2.4577,2.4577,0,0
XAUXPD,D,19840528,000000,2.4577,2.4577,2.4577,2.4577,0,0
XAUXPD,D,19840604,000000,2.5915,2.5915,2.5915,2.5915,0,0
XAUXPD,D,19840611,000000,2.5413,2.5413,2.5413,2.5413,0,0
XAUXPD,D,19840618,000000,2.4815,2.4815,2.4815,2.4815,0,0
XAUXPD,D,19840625,000000,2.5152,2.5152,2.5152,2.5152,0,0
XAUXPD,D,19840702,000000,2.5329,2.5329,2.5329,2.5329,0,0
XAUXPD,D,19840709,000000,2.5385,2.5385,2.5385,2.5385,0,0
XAUXPD,D,19840716,000000,2.5403,2.5403,2.5403,2.5403,0,0
XAUXPD,D,19840723,000000,2.6557,2.6557,2.6557,2.6557,0,0
XAUXPD,D,19840730,000000,2.8027,2.8027,2.8027,2.8027,0,0
XAUXPD,D,19840806,000000,2.6998,2.6998,2.6998,2.6998,0,0
XAUXPD,D,19840813,000000,2.6967,2.6967,2.6967,2.6967,0,0
XAUXPD,D,19840820,000000,2.7043,2.7043,2.7043,2.7043,0,0
XAUXPD,D,19840827,000000,2.7189,2.7189,2.7189,2.7189,0,0
XAUXPD,D,19840901,000000,2.7189,2.7189,2.7189,2.7189,0,0
XAUXPD,D,19840910,000000,2.6484,2.6484,2.6484,2.6484,0,0
