<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRARS,D,19960806,000000,1.3938,1.3938,1.3938,1.3938,0,0
XDRARS,D,19960807,000000,1.3868,1.3868,1.3868,1.3868,0,0
XDRARS,D,19960808,000000,1.3896,1.3896,1.3896,1.3896,0,0
XDRARS,D,19960809,000000,1.3877,1.3877,1.3877,1.3877,0,0
XDRARS,D,19960812,000000,1.3885,1.3885,1.3885,1.3885,0,0
XDRARS,D,19960813,000000,1.391,1.391,1.391,1.391,0,0
XDRARS,D,19960814,000000,1.3881,1.3881,1.3881,1.3881,0,0
XDRARS,D,19960816,000000,1.3843,1.3843,1.3843,1.3843,0,0
XDRARS,D,19960819,000000,1.3874,1.3874,1.3874,1.3874,0,0
XDRARS,D,19960820,000000,1.3858,1.3858,1.3858,1.3858,0,0
XDRARS,D,19960821,000000,1.3854,1.3854,1.3854,1.3854,0,0
XDRARS,D,19960822,000000,1.3877,1.3877,1.3877,1.3877,0,0
XDRARS,D,19960823,000000,1.3884,1.3884,1.3884,1.3884,0,0
XDRARS,D,19960826,000000,1.3848,1.3848,1.3848,1.3848,0,0
XDRARS,D,19960827,000000,1.3891,1.3891,1.3891,1.3891,0,0
XDRARS,D,19960828,000000,1.3915,1.3915,1.3915,1.3915,0,0
XDRARS,D,19960829,000000,1.3886,1.3886,1.3886,1.3886,0,0
XDRARS,D,19960830,000000,1.3903,1.3903,1.3903,1.3903,0,0
XDRARS,D,19960902,000000,1.3859,1.3859,1.3859,1.3859,0,0
XDRARS,D,19960903,000000,1.3877,1.3877,1.3877,1.3877,0,0
XDRARS,D,19960904,000000,1.3854,1.3854,1.3854,1.3854,0,0
XDRARS,D,19960905,000000,1.3837,1.3837,1.3837,1.3837,0,0
XDRARS,D,19960906,000000,1.3833,1.3833,1.3833,1.3833,0,0
XDRARS,D,19960909,000000,1.3823,1.3823,1.3823,1.3823,0,0
XDRARS,D,19960910,000000,1.3806,1.3806,1.3806,1.3806,0,0
XDRARS,D,19960911,000000,1.3786,1.3786,1.3786,1.3786,0,0
XDRARS,D,19960912,000000,1.3747,1.3747,1.3747,1.3747,0,0
XDRARS,D,19960913,000000,1.3742,1.3742,1.3742,1.3742,0,0
XDRARS,D,19960916,000000,1.3756,1.3756,1.3756,1.3756,0,0
XDRARS,D,19960917,000000,1.373,1.373,1.373,1.373,0,0
XDRARS,D,19960918,000000,1.3776,1.3776,1.3776,1.3776,0,0
XDRARS,D,19960919,000000,1.3738,1.3738,1.3738,1.3738,0,0
XDRARS,D,19960920,000000,1.3792,1.3792,1.3792,1.3792,0,0
XDRARS,D,19960923,000000,1.3774,1.3774,1.3774,1.3774,0,0
XDRARS,D,19960924,000000,1.3806,1.3806,1.3806,1.3806,0,0
XDRARS,D,19960925,000000,1.3739,1.3739,1.3739,1.3739,0,0
XDRARS,D,19960926,000000,1.3786,1.3786,1.3786,1.3786,0,0
XDRARS,D,19960927,000000,1.3737,1.3737,1.3737,1.3737,0,0
XDRARS,D,19960930,000000,1.375,1.375,1.375,1.375,0,0
XDRARS,D,19961001,000000,1.3701,1.3701,1.3701,1.3701,0,0
XDRARS,D,19961002,000000,1.3682,1.3682,1.3682,1.3682,0,0
XDRARS,D,19961003,000000,1.3707,1.3707,1.3707,1.3707,0,0
XDRARS,D,19961004,000000,1.3674,1.3674,1.3674,1.3674,0,0
XDRARS,D,19961007,000000,1.368,1.368,1.368,1.368,0,0
XDRARS,D,19961008,000000,1.368,1.368,1.368,1.368,0,0
XDRARS,D,19961009,000000,1.3726,1.3726,1.3726,1.3726,0,0
XDRARS,D,19961010,000000,1.3711,1.3711,1.3711,1.3711,0,0
XDRARS,D,19961011,000000,1.3692,1.3692,1.3692,1.3692,0,0
XDRARS,D,19961014,000000,1.3701,1.3701,1.3701,1.3701,0,0
XDRARS,D,19961015,000000,1.3677,1.3677,1.3677,1.3677,0,0
XDRARS,D,19961016,000000,1.3679,1.3679,1.3679,1.3679,0,0
XDRARS,D,19961017,000000,1.3659,1.3659,1.3659,1.3659,0,0
XDRARS,D,19961018,000000,1.3672,1.3672,1.3672,1.3672,0,0
XDRARS,D,19961021,000000,1.3681,1.3681,1.3681,1.3681,0,0
XDRARS,D,19961022,000000,1.3709,1.3709,1.3709,1.3709,0,0
XDRARS,D,19961023,000000,1.3698,1.3698,1.3698,1.3698,0,0
XDRARS,D,19961024,000000,1.373,1.373,1.373,1.373,0,0
XDRARS,D,19961025,000000,1.3742,1.3742,1.3742,1.3742,0,0
XDRARS,D,19961028,000000,1.372,1.372,1.372,1.372,0,0
XDRARS,D,19961029,000000,1.3713,1.3713,1.3713,1.3713,0,0
XDRARS,D,19961030,000000,1.3737,1.3737,1.3737,1.3737,0,0
XDRARS,D,19961031,000000,1.3721,1.3721,1.3721,1.3721,0,0
XDRARS,D,19961104,000000,1.3778,1.3778,1.3778,1.3778,0,0
XDRARS,D,19961105,000000,1.3748,1.3748,1.3748,1.3748,0,0
XDRARS,D,19961106,000000,1.3786,1.3786,1.3786,1.3786,0,0
XDRARS,D,19961107,000000,1.3736,1.3736,1.3736,1.3736,0,0
XDRARS,D,19961108,000000,1.3854,1.3854,1.3854,1.3854,0,0
XDRARS,D,19961112,000000,1.3818,1.3818,1.3818,1.3818,0,0
XDRARS,D,19961113,000000,1.3894,1.3894,1.3894,1.3894,0,0
XDRARS,D,19961114,000000,1.3844,1.3844,1.3844,1.3844,0,0
XDRARS,D,19961115,000000,1.3857,1.3857,1.3857,1.3857,0,0
XDRARS,D,19961118,000000,1.3884,1.3884,1.3884,1.3884,0,0
XDRARS,D,19961119,000000,1.3843,1.3843,1.3843,1.3843,0,0
XDRARS,D,19961120,000000,1.388,1.388,1.388,1.388,0,0
XDRARS,D,19961121,000000,1.3932,1.3932,1.3932,1.3932,0,0
XDRARS,D,19961122,000000,1.3881,1.3881,1.3881,1.3881,0,0
XDRARS,D,19961125,000000,1.3863,1.3863,1.3863,1.3863,0,0
XDRARS,D,19961126,000000,1.3832,1.3832,1.3832,1.3832,0,0
XDRARS,D,19961127,000000,1.3773,1.3773,1.3773,1.3773,0,0
XDRARS,D,19961128,000000,1.3784,1.3784,1.3784,1.3784,0,0
XDRARS,D,19961129,000000,1.3764,1.3764,1.3764,1.3764,0,0
XDRARS,D,19961202,000000,1.3789,1.3789,1.3789,1.3789,0,0
XDRARS,D,19961203,000000,1.3712,1.3712,1.3712,1.3712,0,0
XDRARS,D,19961204,000000,1.366,1.366,1.366,1.366,0,0
