<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRCHF,D,19910102,000000,1.8177,1.8177,1.8177,1.8177,0,0
XDRCHF,D,19910103,000000,1.8095,1.8095,1.8095,1.8095,0,0
XDRCHF,D,19910104,000000,1.7971,1.7971,1.7971,1.7971,0,0
XDRCHF,D,19910107,000000,1.7815,1.7815,1.7815,1.7815,0,0
XDRCHF,D,19910108,000000,1.8306,1.8306,1.8306,1.8306,0,0
XDRCHF,D,19910109,000000,1.8377,1.8377,1.8377,1.8377,0,0
XDRCHF,D,19910110,000000,1.8167,1.8167,1.8167,1.8167,0,0
XDRCHF,D,19910111,000000,1.8135,1.8135,1.8135,1.8135,0,0
XDRCHF,D,19910114,000000,1.8138,1.8138,1.8138,1.8138,0,0
XDRCHF,D,19910115,000000,1.8099,1.8099,1.8099,1.8099,0,0
XDRCHF,D,19910116,000000,1.8086,1.8086,1.8086,1.8086,0,0
XDRCHF,D,19910117,000000,1.8303,1.8303,1.8303,1.8303,0,0
XDRCHF,D,19910118,000000,1.8274,1.8274,1.8274,1.8274,0,0
XDRCHF,D,19910121,000000,1.825,1.825,1.825,1.825,0,0
XDRCHF,D,19910122,000000,1.8037,1.8037,1.8037,1.8037,0,0
XDRCHF,D,19910123,000000,1.7936,1.7936,1.7936,1.7936,0,0
XDRCHF,D,19910124,000000,1.8106,1.8106,1.8106,1.8106,0,0
XDRCHF,D,19910125,000000,1.7947,1.7947,1.7947,1.7947,0,0
XDRCHF,D,19910128,000000,1.8001,1.8001,1.8001,1.8001,0,0
XDRCHF,D,19910129,000000,1.8118,1.8118,1.8118,1.8118,0,0
XDRCHF,D,19910130,000000,1.802,1.802,1.802,1.802,0,0
XDRCHF,D,19910131,000000,1.8206,1.8206,1.8206,1.8206,0,0
XDRCHF,D,19910201,000000,1.8264,1.8264,1.8264,1.8264,0,0
XDRCHF,D,19910204,000000,1.8189,1.8189,1.8189,1.8189,0,0
XDRCHF,D,19910205,000000,1.8132,1.8132,1.8132,1.8132,0,0
XDRCHF,D,19910206,000000,1.8181,1.8181,1.8181,1.8181,0,0
XDRCHF,D,19910207,000000,1.8071,1.8071,1.8071,1.8071,0,0
XDRCHF,D,19910208,000000,1.7981,1.7981,1.7981,1.7981,0,0
XDRCHF,D,19910211,000000,1.818,1.818,1.818,1.818,0,0
XDRCHF,D,19910212,000000,1.8081,1.8081,1.8081,1.8081,0,0
XDRCHF,D,19910213,000000,1.8072,1.8072,1.8072,1.8072,0,0
XDRCHF,D,19910214,000000,1.8056,1.8056,1.8056,1.8056,0,0
XDRCHF,D,19910215,000000,1.807,1.807,1.807,1.807,0,0
XDRCHF,D,19910218,000000,1.8182,1.8182,1.8182,1.8182,0,0
XDRCHF,D,19910219,000000,1.8199,1.8199,1.8199,1.8199,0,0
XDRCHF,D,19910220,000000,1.831,1.831,1.831,1.831,0,0
XDRCHF,D,19910221,000000,1.8278,1.8278,1.8278,1.8278,0,0
XDRCHF,D,19910222,000000,1.8169,1.8169,1.8169,1.8169,0,0
XDRCHF,D,19910225,000000,1.8059,1.8059,1.8059,1.8059,0,0
XDRCHF,D,19910226,000000,1.8394,1.8394,1.8394,1.8394,0,0
XDRCHF,D,19910227,000000,1.8518,1.8518,1.8518,1.8518,0,0
XDRCHF,D,19910228,000000,1.8612,1.8612,1.8612,1.8612,0,0
XDRCHF,D,19910301,000000,1.8571,1.8571,1.8571,1.8571,0,0
XDRCHF,D,19910304,000000,1.8769,1.8769,1.8769,1.8769,0,0
XDRCHF,D,19910305,000000,1.8819,1.8819,1.8819,1.8819,0,0
XDRCHF,D,19910306,000000,1.8665,1.8665,1.8665,1.8665,0,0
XDRCHF,D,19910307,000000,1.8861,1.8861,1.8861,1.8861,0,0
XDRCHF,D,19910308,000000,1.8843,1.8843,1.8843,1.8843,0,0
XDRCHF,D,19910311,000000,1.8841,1.8841,1.8841,1.8841,0,0
XDRCHF,D,19910312,000000,1.9042,1.9042,1.9042,1.9042,0,0
XDRCHF,D,19910313,000000,1.8924,1.8924,1.8924,1.8924,0,0
XDRCHF,D,19910314,000000,1.9011,1.9011,1.9011,1.9011,0,0
XDRCHF,D,19910315,000000,1.8891,1.8891,1.8891,1.8891,0,0
XDRCHF,D,19910318,000000,1.8808,1.8808,1.8808,1.8808,0,0
XDRCHF,D,19910319,000000,1.9,1.9,1.9,1.9,0,0
XDRCHF,D,19910320,000000,1.9025,1.9025,1.9025,1.9025,0,0
XDRCHF,D,19910321,000000,1.9588,1.9588,1.9588,1.9588,0,0
XDRCHF,D,19910322,000000,1.9271,1.9271,1.9271,1.9271,0,0
XDRCHF,D,19910325,000000,1.9181,1.9181,1.9181,1.9181,0,0
XDRCHF,D,19910326,000000,1.932,1.932,1.932,1.932,0,0
XDRCHF,D,19910327,000000,1.938,1.938,1.938,1.938,0,0
XDRCHF,D,19910328,000000,1.9294,1.9294,1.9294,1.9294,0,0
XDRCHF,D,19910329,000000,1.967,1.967,1.967,1.967,0,0
XDRCHF,D,19910402,000000,1.9743,1.9743,1.9743,1.9743,0,0
XDRCHF,D,19910403,000000,1.9622,1.9622,1.9622,1.9622,0,0
XDRCHF,D,19910404,000000,1.9349,1.9349,1.9349,1.9349,0,0
XDRCHF,D,19910405,000000,1.9292,1.9292,1.9292,1.9292,0,0
XDRCHF,D,19910408,000000,1.9037,1.9037,1.9037,1.9037,0,0
XDRCHF,D,19910409,000000,1.9559,1.9559,1.9559,1.9559,0,0
XDRCHF,D,19910410,000000,1.9437,1.9437,1.9437,1.9437,0,0
XDRCHF,D,19910411,000000,1.931,1.931,1.931,1.931,0,0
XDRCHF,D,19910412,000000,1.9377,1.9377,1.9377,1.9377,0,0
XDRCHF,D,19910415,000000,1.9308,1.9308,1.9308,1.9308,0,0
XDRCHF,D,19910416,000000,1.9414,1.9414,1.9414,1.9414,0,0
XDRCHF,D,19910417,000000,1.9278,1.9278,1.9278,1.9278,0,0
XDRCHF,D,19910418,000000,1.9312,1.9312,1.9312,1.9312,0,0
XDRCHF,D,19910419,000000,1.9219,1.9219,1.9219,1.9219,0,0
XDRCHF,D,19910422,000000,1.9346,1.9346,1.9346,1.9346,0,0
XDRCHF,D,19910423,000000,1.9676,1.9676,1.9676,1.9676,0,0
XDRCHF,D,19910424,000000,1.963,1.963,1.963,1.963,0,0
XDRCHF,D,19910425,000000,1.9415,1.9415,1.9415,1.9415,0,0
XDRCHF,D,19910426,000000,1.9635,1.9635,1.9635,1.9635,0,0
XDRCHF,D,19910429,000000,1.9598,1.9598,1.9598,1.9598,0,0
XDRCHF,D,19910430,000000,2.0072,2.0072,2.0072,2.0072,0,0
XDRCHF,D,19910501,000000,1.9716,1.9716,1.9716,1.9716,0,0
XDRCHF,D,19910506,000000,1.9482,1.9482,1.9482,1.9482,0,0
XDRCHF,D,19910507,000000,1.969,1.969,1.969,1.969,0,0
XDRCHF,D,19910508,000000,1.9589,1.9589,1.9589,1.9589,0,0
XDRCHF,D,19910509,000000,1.9532,1.9532,1.9532,1.9532,0,0
XDRCHF,D,19910510,000000,1.9713,1.9713,1.9713,1.9713,0,0
XDRCHF,D,19910513,000000,1.9699,1.9699,1.9699,1.9699,0,0
XDRCHF,D,19910514,000000,1.9658,1.9658,1.9658,1.9658,0,0
XDRCHF,D,19910515,000000,1.953,1.953,1.953,1.953,0,0
XDRCHF,D,19910516,000000,1.9341,1.9341,1.9341,1.9341,0,0
XDRCHF,D,19910517,000000,1.9218,1.9218,1.9218,1.9218,0,0
XDRCHF,D,19910520,000000,1.9351,1.9351,1.9351,1.9351,0,0
XDRCHF,D,19910521,000000,1.9834,1.9834,1.9834,1.9834,0,0
XDRCHF,D,19910522,000000,1.9484,1.9484,1.9484,1.9484,0,0
XDRCHF,D,19910523,000000,1.9544,1.9544,1.9544,1.9544,0,0
XDRCHF,D,19910524,000000,1.9679,1.9679,1.9679,1.9679,0,0
XDRCHF,D,19910527,000000,1.9592,1.9592,1.9592,1.9592,0,0
XDRCHF,D,19910528,000000,1.9547,1.9547,1.9547,1.9547,0,0
XDRCHF,D,19910529,000000,1.9568,1.9568,1.9568,1.9568,0,0
XDRCHF,D,19910531,000000,1.932,1.932,1.932,1.932,0,0
XDRCHF,D,19910603,000000,1.961,1.961,1.961,1.961,0,0
XDRCHF,D,19910604,000000,1.9954,1.9954,1.9954,1.9954,0,0
XDRCHF,D,19910605,000000,1.9955,1.9955,1.9955,1.9955,0,0
XDRCHF,D,19910606,000000,1.9919,1.9919,1.9919,1.9919,0,0
XDRCHF,D,19910607,000000,1.9833,1.9833,1.9833,1.9833,0,0
XDRCHF,D,19910610,000000,1.988,1.988,1.988,1.988,0,0
XDRCHF,D,19910611,000000,1.9996,1.9996,1.9996,1.9996,0,0
XDRCHF,D,19910612,000000,1.9896,1.9896,1.9896,1.9896,0,0
XDRCHF,D,19910613,000000,1.998,1.998,1.998,1.998,0,0
XDRCHF,D,19910614,000000,2.0302,2.0302,2.0302,2.0302,0,0
XDRCHF,D,19910617,000000,2.0259,2.0259,2.0259,2.0259,0,0
