<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRHKD,D,19910102,000000,11.125,11.125,11.125,11.125,0,0
XDRHKD,D,19910103,000000,11.148,11.148,11.148,11.148,0,0
XDRHKD,D,19910104,000000,11.083,11.083,11.083,11.083,0,0
XDRHKD,D,19910107,000000,10.991,10.991,10.991,10.991,0,0
XDRHKD,D,19910108,000000,10.999,10.999,10.999,10.999,0,0
XDRHKD,D,19910109,000000,11.078,11.078,11.078,11.078,0,0
XDRHKD,D,19910110,000000,11.021,11.021,11.021,11.021,0,0
XDRHKD,D,19910111,000000,11.025,11.025,11.025,11.025,0,0
XDRHKD,D,19910114,000000,10.989,10.989,10.989,10.989,0,0
XDRHKD,D,19910115,000000,10.975,10.975,10.975,10.975,0,0
XDRHKD,D,19910116,000000,10.961,10.961,10.961,10.961,0,0
XDRHKD,D,19910117,000000,11.083,11.083,11.083,11.083,0,0
XDRHKD,D,19910118,000000,11.128,11.128,11.128,11.128,0,0
XDRHKD,D,19910121,000000,11.167,11.167,11.167,11.167,0,0
XDRHKD,D,19910122,000000,11.163,11.163,11.163,11.163,0,0
XDRHKD,D,19910123,000000,11.175,11.175,11.175,11.175,0,0
XDRHKD,D,19910124,000000,11.184,11.184,11.184,11.184,0,0
XDRHKD,D,19910125,000000,11.171,11.171,11.171,11.171,0,0
XDRHKD,D,19910128,000000,11.18,11.18,11.18,11.18,0,0
XDRHKD,D,19910129,000000,11.189,11.189,11.189,11.189,0,0
XDRHKD,D,19910130,000000,11.177,11.177,11.177,11.177,0,0
XDRHKD,D,19910131,000000,11.215,11.215,11.215,11.215,0,0
XDRHKD,D,19910201,000000,11.246,11.246,11.246,11.246,0,0
XDRHKD,D,19910204,000000,11.262,11.262,11.262,11.262,0,0
XDRHKD,D,19910205,000000,11.292,11.292,11.292,11.292,0,0
XDRHKD,D,19910206,000000,11.361,11.361,11.361,11.361,0,0
XDRHKD,D,19910207,000000,11.366,11.366,11.366,11.366,0,0
XDRHKD,D,19910208,000000,11.338,11.338,11.338,11.338,0,0
XDRHKD,D,19910211,000000,11.371,11.371,11.371,11.371,0,0
XDRHKD,D,19910212,000000,11.332,11.332,11.332,11.332,0,0
XDRHKD,D,19910213,000000,11.316,11.316,11.316,11.316,0,0
XDRHKD,D,19910214,000000,11.274,11.274,11.274,11.274,0,0
XDRHKD,D,19910215,000000,11.235,11.235,11.235,11.235,0,0
XDRHKD,D,19910218,000000,11.217,11.217,11.217,11.217,0,0
XDRHKD,D,19910219,000000,11.172,11.172,11.172,11.172,0,0
XDRHKD,D,19910220,000000,11.148,11.148,11.148,11.148,0,0
XDRHKD,D,19910221,000000,11.176,11.176,11.176,11.176,0,0
XDRHKD,D,19910222,000000,11.124,11.124,11.124,11.124,0,0
XDRHKD,D,19910225,000000,11.057,11.057,11.057,11.057,0,0
XDRHKD,D,19910226,000000,11.072,11.072,11.072,11.072,0,0
XDRHKD,D,19910227,000000,11.074,11.074,11.074,11.074,0,0
XDRHKD,D,19910228,000000,11.049,11.049,11.049,11.049,0,0
XDRHKD,D,19910301,000000,10.992,10.992,10.992,10.992,0,0
XDRHKD,D,19910304,000000,10.981,10.981,10.981,10.981,0,0
XDRHKD,D,19910305,000000,10.99,10.99,10.99,10.99,0,0
XDRHKD,D,19910306,000000,10.951,10.951,10.951,10.951,0,0
XDRHKD,D,19910307,000000,10.944,10.944,10.944,10.944,0,0
XDRHKD,D,19910308,000000,10.895,10.895,10.895,10.895,0,0
XDRHKD,D,19910311,000000,10.822,10.822,10.822,10.822,0,0
XDRHKD,D,19910312,000000,10.864,10.864,10.864,10.864,0,0
XDRHKD,D,19910313,000000,10.847,10.847,10.847,10.847,0,0
XDRHKD,D,19910314,000000,10.856,10.856,10.856,10.856,0,0
XDRHKD,D,19910315,000000,10.777,10.777,10.777,10.777,0,0
XDRHKD,D,19910318,000000,10.668,10.668,10.668,10.668,0,0
XDRHKD,D,19910319,000000,10.599,10.599,10.599,10.599,0,0
XDRHKD,D,19910320,000000,10.607,10.607,10.607,10.607,0,0
XDRHKD,D,19910321,000000,10.657,10.657,10.657,10.657,0,0
XDRHKD,D,19910322,000000,10.646,10.646,10.646,10.646,0,0
XDRHKD,D,19910325,000000,10.565,10.565,10.565,10.565,0,0
XDRHKD,D,19910326,000000,10.529,10.529,10.529,10.529,0,0
XDRHKD,D,19910327,000000,10.492,10.492,10.492,10.492,0,0
XDRHKD,D,19910328,000000,10.46,10.46,10.46,10.46,0,0
XDRHKD,D,19910329,000000,10.492,10.492,10.492,10.492,0,0
XDRHKD,D,19910402,000000,10.576,10.576,10.576,10.576,0,0
XDRHKD,D,19910403,000000,10.617,10.617,10.617,10.617,0,0
XDRHKD,D,19910404,000000,10.639,10.639,10.639,10.639,0,0
XDRHKD,D,19910405,000000,10.587,10.587,10.587,10.587,0,0
XDRHKD,D,19910408,000000,10.571,10.571,10.571,10.571,0,0
XDRHKD,D,19910409,000000,10.643,10.643,10.643,10.643,0,0
XDRHKD,D,19910410,000000,10.603,10.603,10.603,10.603,0,0
XDRHKD,D,19910411,000000,10.633,10.633,10.633,10.633,0,0
XDRHKD,D,19910412,000000,10.59,10.59,10.59,10.59,0,0
XDRHKD,D,19910415,000000,10.636,10.636,10.636,10.636,0,0
XDRHKD,D,19910416,000000,10.653,10.653,10.653,10.653,0,0
XDRHKD,D,19910417,000000,10.61,10.61,10.61,10.61,0,0
XDRHKD,D,19910418,000000,10.566,10.566,10.566,10.566,0,0
XDRHKD,D,19910419,000000,10.435,10.435,10.435,10.435,0,0
XDRHKD,D,19910422,000000,10.352,10.352,10.352,10.352,0,0
XDRHKD,D,19910423,000000,10.429,10.429,10.429,10.429,0,0
XDRHKD,D,19910424,000000,10.396,10.396,10.396,10.396,0,0
XDRHKD,D,19910425,000000,10.409,10.409,10.409,10.409,0,0
XDRHKD,D,19910426,000000,10.387,10.387,10.387,10.387,0,0
XDRHKD,D,19910429,000000,10.359,10.359,10.359,10.359,0,0
XDRHKD,D,19910430,000000,10.5,10.5,10.5,10.5,0,0
XDRHKD,D,19910501,000000,10.501,10.501,10.501,10.501,0,0
XDRHKD,D,19910506,000000,10.421,10.421,10.421,10.421,0,0
XDRHKD,D,19910507,000000,10.472,10.472,10.472,10.472,0,0
XDRHKD,D,19910508,000000,10.431,10.431,10.431,10.431,0,0
XDRHKD,D,19910509,000000,10.394,10.394,10.394,10.394,0,0
XDRHKD,D,19910510,000000,10.45,10.45,10.45,10.45,0,0
XDRHKD,D,19910513,000000,10.47,10.47,10.47,10.47,0,0
XDRHKD,D,19910514,000000,10.503,10.503,10.503,10.503,0,0
XDRHKD,D,19910515,000000,10.53,10.53,10.53,10.53,0,0
XDRHKD,D,19910516,000000,10.523,10.523,10.523,10.523,0,0
XDRHKD,D,19910517,000000,10.424,10.424,10.424,10.424,0,0
XDRHKD,D,19910520,000000,10.445,10.445,10.445,10.445,0,0
XDRHKD,D,19910521,000000,10.486,10.486,10.486,10.486,0,0
XDRHKD,D,19910522,000000,10.458,10.458,10.458,10.458,0,0
XDRHKD,D,19910523,000000,10.484,10.484,10.484,10.484,0,0
XDRHKD,D,19910524,000000,10.438,10.438,10.438,10.438,0,0
XDRHKD,D,19910527,000000,10.435,10.435,10.435,10.435,0,0
XDRHKD,D,19910528,000000,10.454,10.454,10.454,10.454,0,0
XDRHKD,D,19910529,000000,10.406,10.406,10.406,10.406,0,0
XDRHKD,D,19910531,000000,10.329,10.329,10.329,10.329,0,0
XDRHKD,D,19910603,000000,10.323,10.323,10.323,10.323,0,0
XDRHKD,D,19910604,000000,10.351,10.351,10.351,10.351,0,0
XDRHKD,D,19910605,000000,10.313,10.313,10.313,10.313,0,0
XDRHKD,D,19910606,000000,10.299,10.299,10.299,10.299,0,0
XDRHKD,D,19910607,000000,10.238,10.238,10.238,10.238,0,0
XDRHKD,D,19910610,000000,10.213,10.213,10.213,10.213,0,0
XDRHKD,D,19910611,000000,10.207,10.207,10.207,10.207,0,0
XDRHKD,D,19910612,000000,10.154,10.154,10.154,10.154,0,0
XDRHKD,D,19910613,000000,10.154,10.154,10.154,10.154,0,0
XDRHKD,D,19910614,000000,10.175,10.175,10.175,10.175,0,0
XDRHKD,D,19910617,000000,10.137,10.137,10.137,10.137,0,0
XDRHKD,D,19910618,000000,10.104,10.104,10.104,10.104,0,0
XDRHKD,D,19910619,000000,10.166,10.166,10.166,10.166,0,0
XDRHKD,D,19910620,000000,10.161,10.161,10.161,10.161,0,0
XDRHKD,D,19910621,000000,10.155,10.155,10.155,10.155,0,0
XDRHKD,D,19910624,000000,10.192,10.192,10.192,10.192,0,0
XDRHKD,D,19910625,000000,10.197,10.197,10.197,10.197,0,0
XDRHKD,D,19910626,000000,10.224,10.224,10.224,10.224,0,0
XDRHKD,D,19910627,000000,10.215,10.215,10.215,10.215,0,0
XDRHKD,D,19910628,000000,10.2,10.2,10.2,10.2,0,0
XDRHKD,D,19910701,000000,10.185,10.185,10.185,10.185,0,0
XDRHKD,D,19910702,000000,10.156,10.156,10.156,10.156,0,0
XDRHKD,D,19910703,000000,10.155,10.155,10.155,10.155,0,0
XDRHKD,D,19910704,000000,10.14,10.14,10.14,10.14,0,0
XDRHKD,D,19910705,000000,10.172,10.172,10.172,10.172,0,0
XDRHKD,D,19910708,000000,10.194,10.194,10.194,10.194,0,0
XDRHKD,D,19910709,000000,10.182,10.182,10.182,10.182,0,0
XDRHKD,D,19910710,000000,10.196,10.196,10.196,10.196,0,0
XDRHKD,D,19910711,000000,10.154,10.154,10.154,10.154,0,0
XDRHKD,D,19910712,000000,10.278,10.278,10.278,10.278,0,0
XDRHKD,D,19910715,000000,10.281,10.281,10.281,10.281,0,0
XDRHKD,D,19910716,000000,10.239,10.239,10.239,10.239,0,0
XDRHKD,D,19910717,000000,10.283,10.283,10.283,10.283,0,0
XDRHKD,D,19910718,000000,10.316,10.316,10.316,10.316,0,0
XDRHKD,D,19910719,000000,10.369,10.369,10.369,10.369,0,0
XDRHKD,D,19910722,000000,10.333,10.333,10.333,10.333,0,0
XDRHKD,D,19910723,000000,10.337,10.337,10.337,10.337,0,0
XDRHKD,D,19910724,000000,10.373,10.373,10.373,10.373,0,0
XDRHKD,D,19910725,000000,10.306,10.306,10.306,10.306,0,0
XDRHKD,D,19910726,000000,10.355,10.355,10.355,10.355,0,0
XDRHKD,D,19910729,000000,10.317,10.317,10.317,10.317,0,0
XDRHKD,D,19910730,000000,10.331,10.331,10.331,10.331,0,0
XDRHKD,D,19910731,000000,10.351,10.351,10.351,10.351,0,0
XDRHKD,D,19910801,000000,10.332,10.332,10.332,10.332,0,0
XDRHKD,D,19910802,000000,10.397,10.397,10.397,10.397,0,0
XDRHKD,D,19910805,000000,10.43,10.43,10.43,10.43,0,0
XDRHKD,D,19910806,000000,10.465,10.465,10.465,10.465,0,0
XDRHKD,D,19910807,000000,10.464,10.464,10.464,10.464,0,0
XDRHKD,D,19910808,000000,10.418,10.418,10.418,10.418,0,0
XDRHKD,D,19910809,000000,10.407,10.407,10.407,10.407,0,0
XDRHKD,D,19910812,000000,10.425,10.425,10.425,10.425,0,0
XDRHKD,D,19910813,000000,10.404,10.404,10.404,10.404,0,0
XDRHKD,D,19910814,000000,10.391,10.391,10.391,10.391,0,0
XDRHKD,D,19910816,000000,10.318,10.318,10.318,10.318,0,0
XDRHKD,D,19910819,000000,10.213,10.213,10.213,10.213,0,0
XDRHKD,D,19910820,000000,10.249,10.249,10.249,10.249,0,0
XDRHKD,D,19910821,000000,10.356,10.356,10.356,10.356,0,0
XDRHKD,D,19910822,000000,10.413,10.413,10.413,10.413,0,0
XDRHKD,D,19910823,000000,10.352,10.352,10.352,10.352,0,0
XDRHKD,D,19910826,000000,10.361,10.361,10.361,10.361,0,0
XDRHKD,D,19910827,000000,10.357,10.357,10.357,10.357,0,0
XDRHKD,D,19910828,000000,10.386,10.386,10.386,10.386,0,0
