<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRHRK,D,19951023,000000,7.8846,7.8846,7.8846,7.8846,0,0
XDRHRK,D,19951024,000000,7.937,7.937,7.937,7.937,0,0
XDRHRK,D,19951025,000000,7.7509,7.7509,7.7509,7.7509,0,0
XDRHRK,D,19951026,000000,7.7446,7.7446,7.7446,7.7446,0,0
XDRHRK,D,19951027,000000,7.741,7.741,7.741,7.741,0,0
XDRHRK,D,19951030,000000,7.7534,7.7534,7.7534,7.7534,0,0
XDRHRK,D,19951031,000000,7.7223,7.7223,7.7223,7.7223,0,0
XDRHRK,D,19951102,000000,7.7988,7.7988,7.7988,7.7988,0,0
XDRHRK,D,19951103,000000,7.8118,7.8118,7.8118,7.8118,0,0
XDRHRK,D,19951106,000000,7.8025,7.8025,7.8025,7.8025,0,0
XDRHRK,D,19951107,000000,7.81,7.81,7.81,7.81,0,0
XDRHRK,D,19951108,000000,7.7982,7.7982,7.7982,7.7982,0,0
XDRHRK,D,19951109,000000,7.8596,7.8596,7.8596,7.8596,0,0
XDRHRK,D,19951110,000000,7.8492,7.8492,7.8492,7.8492,0,0
XDRHRK,D,19951113,000000,7.9046,7.9046,7.9046,7.9046,0,0
XDRHRK,D,19951114,000000,7.8939,7.8939,7.8939,7.8939,0,0
XDRHRK,D,19951115,000000,7.8526,7.8526,7.8526,7.8526,0,0
XDRHRK,D,19951116,000000,7.8988,7.8988,7.8988,7.8988,0,0
XDRHRK,D,19951117,000000,7.8832,7.8832,7.8832,7.8832,0,0
XDRHRK,D,19951120,000000,7.8856,7.8856,7.8856,7.8856,0,0
XDRHRK,D,19951121,000000,7.8514,7.8514,7.8514,7.8514,0,0
XDRHRK,D,19951122,000000,7.8703,7.8703,7.8703,7.8703,0,0
XDRHRK,D,19951123,000000,7.8797,7.8797,7.8797,7.8797,0,0
XDRHRK,D,19951124,000000,7.8797,7.8797,7.8797,7.8797,0,0
XDRHRK,D,19951127,000000,7.8796,7.8796,7.8796,7.8796,0,0
XDRHRK,D,19951128,000000,7.8644,7.8644,7.8644,7.8644,0,0
XDRHRK,D,19951129,000000,7.8445,7.8445,7.8445,7.8445,0,0
XDRHRK,D,19951130,000000,7.8886,7.8886,7.8886,7.8886,0,0
XDRHRK,D,19951201,000000,7.8791,7.8791,7.8791,7.8791,0,0
XDRHRK,D,19951204,000000,7.9374,7.9374,7.9374,7.9374,0,0
XDRHRK,D,19951205,000000,7.8987,7.8987,7.8987,7.8987,0,0
XDRHRK,D,19951206,000000,7.9022,7.9022,7.9022,7.9022,0,0
XDRHRK,D,19951207,000000,7.8951,7.8951,7.8951,7.8951,0,0
XDRHRK,D,19951208,000000,7.8941,7.8941,7.8941,7.8941,0,0
