<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRNZD,D,19910102,000000,2.4098,2.4098,2.4098,2.4098,0,0
XDRNZD,D,19910103,000000,2.4078,2.4078,2.4078,2.4078,0,0
XDRNZD,D,19910104,000000,2.4029,2.4029,2.4029,2.4029,0,0
XDRNZD,D,19910107,000000,2.3779,2.3779,2.3779,2.3779,0,0
XDRNZD,D,19910108,000000,2.3782,2.3782,2.3782,2.3782,0,0
XDRNZD,D,19910109,000000,2.403,2.403,2.403,2.403,0,0
XDRNZD,D,19910110,000000,2.3903,2.3903,2.3903,2.3903,0,0
XDRNZD,D,19910111,000000,2.3782,2.3782,2.3782,2.3782,0,0
XDRNZD,D,19910114,000000,2.3731,2.3731,2.3731,2.3731,0,0
XDRNZD,D,19910115,000000,2.366,2.366,2.366,2.366,0,0
XDRNZD,D,19910116,000000,2.3511,2.3511,2.3511,2.3511,0,0
XDRNZD,D,19910117,000000,2.39,2.39,2.39,2.39,0,0
XDRNZD,D,19910118,000000,2.3972,2.3972,2.3972,2.3972,0,0
XDRNZD,D,19910121,000000,2.4012,2.4012,2.4012,2.4012,0,0
XDRNZD,D,19910122,000000,2.4011,2.4011,2.4011,2.4011,0,0
XDRNZD,D,19910123,000000,2.4041,2.4041,2.4041,2.4041,0,0
XDRNZD,D,19910124,000000,2.4019,2.4019,2.4019,2.4019,0,0
XDRNZD,D,19910125,000000,2.4016,2.4016,2.4016,2.4016,0,0
XDRNZD,D,19910128,000000,2.3993,2.3993,2.3993,2.3993,0,0
XDRNZD,D,19910129,000000,2.3925,2.3925,2.3925,2.3925,0,0
XDRNZD,D,19910130,000000,2.3907,2.3907,2.3907,2.3907,0,0
XDRNZD,D,19910131,000000,2.4007,2.4007,2.4007,2.4007,0,0
XDRNZD,D,19910201,000000,2.4055,2.4055,2.4055,2.4055,0,0
XDRNZD,D,19910204,000000,2.4058,2.4058,2.4058,2.4058,0,0
XDRNZD,D,19910205,000000,2.4144,2.4144,2.4144,2.4144,0,0
XDRNZD,D,19910206,000000,2.4249,2.4249,2.4249,2.4249,0,0
XDRNZD,D,19910207,000000,2.4165,2.4165,2.4165,2.4165,0,0
XDRNZD,D,19910208,000000,2.4191,2.4191,2.4191,2.4191,0,0
XDRNZD,D,19910211,000000,2.4256,2.4256,2.4256,2.4256,0,0
XDRNZD,D,19910212,000000,2.4113,2.4113,2.4113,2.4113,0,0
XDRNZD,D,19910213,000000,2.3906,2.3906,2.3906,2.3906,0,0
XDRNZD,D,19910214,000000,2.3861,2.3861,2.3861,2.3861,0,0
XDRNZD,D,19910215,000000,2.3781,2.3781,2.3781,2.3781,0,0
XDRNZD,D,19910218,000000,2.3744,2.3744,2.3744,2.3744,0,0
XDRNZD,D,19910219,000000,2.3685,2.3685,2.3685,2.3685,0,0
XDRNZD,D,19910220,000000,2.3881,2.3881,2.3881,2.3881,0,0
XDRNZD,D,19910221,000000,2.3915,2.3915,2.3915,2.3915,0,0
XDRNZD,D,19910222,000000,2.3891,2.3891,2.3891,2.3891,0,0
XDRNZD,D,19910225,000000,2.3746,2.3746,2.3746,2.3746,0,0
XDRNZD,D,19910226,000000,2.365,2.365,2.365,2.365,0,0
XDRNZD,D,19910227,000000,2.3721,2.3721,2.3721,2.3721,0,0
XDRNZD,D,19910228,000000,2.3622,2.3622,2.3622,2.3622,0,0
XDRNZD,D,19910301,000000,2.3442,2.3442,2.3442,2.3442,0,0
XDRNZD,D,19910304,000000,2.3553,2.3553,2.3553,2.3553,0,0
XDRNZD,D,19910305,000000,2.3575,2.3575,2.3575,2.3575,0,0
XDRNZD,D,19910306,000000,2.3689,2.3689,2.3689,2.3689,0,0
XDRNZD,D,19910307,000000,2.3669,2.3669,2.3669,2.3669,0,0
XDRNZD,D,19910308,000000,2.3409,2.3409,2.3409,2.3409,0,0
XDRNZD,D,19910311,000000,2.3195,2.3195,2.3195,2.3195,0,0
XDRNZD,D,19910312,000000,2.3321,2.3321,2.3321,2.3321,0,0
XDRNZD,D,19910313,000000,2.3333,2.3333,2.3333,2.3333,0,0
XDRNZD,D,19910314,000000,2.3301,2.3301,2.3301,2.3301,0,0
XDRNZD,D,19910315,000000,2.3178,2.3178,2.3178,2.3178,0,0
XDRNZD,D,19910318,000000,2.3868,2.3868,2.3868,2.3868,0,0
XDRNZD,D,19910319,000000,2.2919,2.2919,2.2919,2.2919,0,0
XDRNZD,D,19910320,000000,2.2869,2.2869,2.2869,2.2869,0,0
XDRNZD,D,19910321,000000,2.2972,2.2972,2.2972,2.2972,0,0
XDRNZD,D,19910322,000000,2.2967,2.2967,2.2967,2.2967,0,0
XDRNZD,D,19910325,000000,2.3017,2.3017,2.3017,2.3017,0,0
XDRNZD,D,19910326,000000,2.3032,2.3032,2.3032,2.3032,0,0
XDRNZD,D,19910327,000000,2.293,2.293,2.293,2.293,0,0
XDRNZD,D,19910328,000000,2.287,2.287,2.287,2.287,0,0
XDRNZD,D,19910329,000000,2.2997,2.2997,2.2997,2.2997,0,0
XDRNZD,D,19910402,000000,2.2997,2.2997,2.2997,2.2997,0,0
XDRNZD,D,19910403,000000,2.2946,2.2946,2.2946,2.2946,0,0
XDRNZD,D,19910404,000000,2.3028,2.3028,2.3028,2.3028,0,0
XDRNZD,D,19910405,000000,2.2865,2.2865,2.2865,2.2865,0,0
XDRNZD,D,19910408,000000,2.2883,2.2883,2.2883,2.2883,0,0
XDRNZD,D,19910409,000000,2.3108,2.3108,2.3108,2.3108,0,0
XDRNZD,D,19910410,000000,2.3023,2.3023,2.3023,2.3023,0,0
XDRNZD,D,19910411,000000,2.3127,2.3127,2.3127,2.3127,0,0
XDRNZD,D,19910412,000000,2.3062,2.3062,2.3062,2.3062,0,0
XDRNZD,D,19910415,000000,2.3166,2.3166,2.3166,2.3166,0,0
XDRNZD,D,19910416,000000,2.3088,2.3088,2.3088,2.3088,0,0
XDRNZD,D,19910417,000000,2.3026,2.3026,2.3026,2.3026,0,0
XDRNZD,D,19910418,000000,2.2961,2.2961,2.2961,2.2961,0,0
XDRNZD,D,19910419,000000,2.2756,2.2756,2.2756,2.2756,0,0
XDRNZD,D,19910422,000000,2.2673,2.2673,2.2673,2.2673,0,0
XDRNZD,D,19910423,000000,2.2731,2.2731,2.2731,2.2731,0,0
XDRNZD,D,19910424,000000,2.2797,2.2797,2.2797,2.2797,0,0
XDRNZD,D,19910425,000000,2.2847,2.2847,2.2847,2.2847,0,0
XDRNZD,D,19910426,000000,2.2802,2.2802,2.2802,2.2802,0,0
