<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRUAH,D,19960902,000000,2.567,2.567,2.567,2.567,0,0
XDRUAH,D,19960903,000000,2.5656,2.5656,2.5656,2.5656,0,0
XDRUAH,D,19960904,000000,2.5604,2.5604,2.5604,2.5604,0,0
XDRUAH,D,19960905,000000,2.5634,2.5634,2.5634,2.5634,0,0
XDRUAH,D,19960906,000000,2.5649,2.5649,2.5649,2.5649,0,0
XDRUAH,D,19960909,000000,2.5626,2.5626,2.5626,2.5626,0,0
XDRUAH,D,19960910,000000,2.5589,2.5589,2.5589,2.5589,0,0
XDRUAH,D,19960911,000000,2.5504,2.5504,2.5504,2.5504,0,0
XDRUAH,D,19960912,000000,2.5423,2.5423,2.5423,2.5423,0,0
XDRUAH,D,19960913,000000,2.5426,2.5426,2.5426,2.5426,0,0
XDRUAH,D,19960916,000000,2.5419,2.5419,2.5419,2.5419,0,0
XDRUAH,D,19960917,000000,2.5408,2.5408,2.5408,2.5408,0,0
XDRUAH,D,19960918,000000,2.5441,2.5441,2.5441,2.5441,0,0
XDRUAH,D,19960919,000000,2.5433,2.5433,2.5433,2.5433,0,0
XDRUAH,D,19960920,000000,2.5485,2.5485,2.5485,2.5485,0,0
XDRUAH,D,19960923,000000,2.5433,2.5433,2.5433,2.5433,0,0
XDRUAH,D,19960924,000000,2.5434,2.5434,2.5434,2.5434,0,0
XDRUAH,D,19960925,000000,2.5467,2.5467,2.5467,2.5467,0,0
XDRUAH,D,19960926,000000,2.55,2.55,2.55,2.55,0,0
XDRUAH,D,19960927,000000,2.54,2.54,2.54,2.54,0,0
XDRUAH,D,19960930,000000,2.5386,2.5386,2.5386,2.5386,0,0
XDRUAH,D,19961001,000000,2.5335,2.5335,2.5335,2.5335,0,0
XDRUAH,D,19961002,000000,2.5361,2.5361,2.5361,2.5361,0,0
XDRUAH,D,19961003,000000,2.5339,2.5339,2.5339,2.5339,0,0
XDRUAH,D,19961004,000000,2.5317,2.5317,2.5317,2.5317,0,0
XDRUAH,D,19961007,000000,2.5316,2.5316,2.5316,2.5316,0,0
XDRUAH,D,19961008,000000,2.5446,2.5446,2.5446,2.5446,0,0
XDRUAH,D,19961009,000000,2.549,2.549,2.549,2.549,0,0
XDRUAH,D,19961010,000000,2.5439,2.5439,2.5439,2.5439,0,0
XDRUAH,D,19961011,000000,2.5468,2.5468,2.5468,2.5468,0,0
XDRUAH,D,19961014,000000,2.549,2.549,2.549,2.549,0,0
XDRUAH,D,19961015,000000,2.549,2.549,2.549,2.549,0,0
XDRUAH,D,19961016,000000,2.5492,2.5492,2.5492,2.5492,0,0
XDRUAH,D,19961017,000000,2.5449,2.5449,2.5449,2.5449,0,0
XDRUAH,D,19961018,000000,2.5535,2.5535,2.5535,2.5535,0,0
XDRUAH,D,19961021,000000,2.5517,2.5517,2.5517,2.5517,0,0
XDRUAH,D,19961022,000000,2.5564,2.5564,2.5564,2.5564,0,0
XDRUAH,D,19961023,000000,2.5596,2.5596,2.5596,2.5596,0,0
XDRUAH,D,19961024,000000,2.567,2.567,2.567,2.567,0,0
XDRUAH,D,19961025,000000,2.5736,2.5736,2.5736,2.5736,0,0
XDRUAH,D,19961028,000000,2.5702,2.5702,2.5702,2.5702,0,0
XDRUAH,D,19961029,000000,2.5836,2.5836,2.5836,2.5836,0,0
XDRUAH,D,19961030,000000,2.6,2.6,2.6,2.6,0,0
XDRUAH,D,19961031,000000,2.6137,2.6137,2.6137,2.6137,0,0
XDRUAH,D,19961104,000000,2.6167,2.6167,2.6167,2.6167,0,0
XDRUAH,D,19961105,000000,2.6553,2.6553,2.6553,2.6553,0,0
XDRUAH,D,19961106,000000,2.6705,2.6705,2.6705,2.6705,0,0
XDRUAH,D,19961107,000000,2.6792,2.6792,2.6792,2.6792,0,0
XDRUAH,D,19961108,000000,2.6944,2.6944,2.6944,2.6944,0,0
XDRUAH,D,19961112,000000,2.7082,2.7082,2.7082,2.7082,0,0
XDRUAH,D,19961113,000000,2.7287,2.7287,2.7287,2.7287,0,0
XDRUAH,D,19961114,000000,2.7212,2.7212,2.7212,2.7212,0,0
XDRUAH,D,19961115,000000,2.7231,2.7231,2.7231,2.7231,0,0
XDRUAH,D,19961118,000000,2.7236,2.7236,2.7236,2.7236,0,0
XDRUAH,D,19961119,000000,2.7217,2.7217,2.7217,2.7217,0,0
XDRUAH,D,19961120,000000,2.7257,2.7257,2.7257,2.7257,0,0
XDRUAH,D,19961121,000000,2.7323,2.7323,2.7323,2.7323,0,0
XDRUAH,D,19961122,000000,2.7322,2.7322,2.7322,2.7322,0,0
XDRUAH,D,19961125,000000,2.7314,2.7314,2.7314,2.7314,0,0
XDRUAH,D,19961126,000000,2.7221,2.7221,2.7221,2.7221,0,0
XDRUAH,D,19961127,000000,2.7115,2.7115,2.7115,2.7115,0,0
XDRUAH,D,19961128,000000,2.714,2.714,2.714,2.714,0,0
XDRUAH,D,19961129,000000,2.714,2.714,2.714,2.714,0,0
XDRUAH,D,19961202,000000,2.714,2.714,2.714,2.714,0,0
XDRUAH,D,19961203,000000,2.7132,2.7132,2.7132,2.7132,0,0
