<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDAUD,D,19840109,000000,158.87,158.87,158.87,158.87,0,0
XPDAUD,D,19840116,000000,168.92,168.92,168.92,168.92,0,0
XPDAUD,D,19840123,000000,168.82,168.82,168.82,168.82,0,0
XPDAUD,D,19840130,000000,174.06,174.06,174.06,174.06,0,0
XPDAUD,D,19840206,000000,170.27,170.27,170.27,170.27,0,0
XPDAUD,D,19840213,000000,170.43,170.43,170.43,170.43,0,0
XPDAUD,D,19840220,000000,166.77,166.77,166.77,166.77,0,0
XPDAUD,D,19840301,000000,166.77,166.77,166.77,166.77,0,0
XPDAUD,D,19840305,000000,172.23,172.23,172.23,172.23,0,0
XPDAUD,D,19840312,000000,166.34,166.34,166.34,166.34,0,0
XPDAUD,D,19840319,000000,163.3,163.3,163.3,163.3,0,0
XPDAUD,D,19840326,000000,169.05,169.05,169.05,169.05,0,0
XPDAUD,D,19840402,000000,167.35,167.35,167.35,167.35,0,0
XPDAUD,D,19840409,000000,168.95,168.95,168.95,168.95,0,0
XPDAUD,D,19840416,000000,172.19,172.19,172.19,172.19,0,0
XPDAUD,D,19840424,000000,179.29,179.29,179.29,179.29,0,0
XPDAUD,D,19840502,000000,171.32,171.32,171.32,171.32,0,0
XPDAUD,D,19840507,000000,164.56,164.56,164.56,164.56,0,0
XPDAUD,D,19840514,000000,167.09,167.09,167.09,167.09,0,0
XPDAUD,D,19840521,000000,171.8,171.8,171.8,171.8,0,0
XPDAUD,D,19840528,000000,171.43,171.43,171.43,171.43,0,0
XPDAUD,D,19840604,000000,172.89,172.89,172.89,172.89,0,0
XPDAUD,D,19840611,000000,165.48,165.48,165.48,165.48,0,0
XPDAUD,D,19840618,000000,169.53,169.53,169.53,169.53,0,0
XPDAUD,D,19840625,000000,167.13,167.13,167.13,167.13,0,0
XPDAUD,D,19840702,000000,170.94,170.94,170.94,170.94,0,0
XPDAUD,D,19840709,000000,160.55,160.55,160.55,160.55,0,0
XPDAUD,D,19840716,000000,165.19,165.19,165.19,165.19,0,0
XPDAUD,D,19840723,000000,153.04,153.04,153.04,153.04,0,0
XPDAUD,D,19840730,000000,153.98,153.98,153.98,153.98,0,0
XPDAUD,D,19840806,000000,160.98,160.98,160.98,160.98,0,0
XPDAUD,D,19840813,000000,159.7,159.7,159.7,159.7,0,0
XPDAUD,D,19840820,000000,155.76,155.76,155.76,155.76,0,0
XPDAUD,D,19840827,000000,154.43,154.43,154.43,154.43,0,0
XPDAUD,D,19840901,000000,154.29,154.29,154.29,154.29,0,0
XPDAUD,D,19840910,000000,156.37,156.37,156.37,156.37,0,0
XPDAUD,D,19840917,000000,155.32,155.32,155.32,155.32,0,0
XPDAUD,D,19840924,000000,164.48,164.48,164.48,164.48,0,0
XPDAUD,D,19841001,000000,164.06,164.06,164.06,164.06,0,0
XPDAUD,D,19841008,000000,161.97,161.97,161.97,161.97,0,0
XPDAUD,D,19841015,000000,166.71,166.71,166.71,166.71,0,0
XPDAUD,D,19841022,000000,166.63,166.63,166.63,166.63,0,0
XPDAUD,D,19841029,000000,164.88,164.88,164.88,164.88,0,0
XPDAUD,D,19841105,000000,176.67,176.67,176.67,176.67,0,0
XPDAUD,D,19841112,000000,166.48,166.48,166.48,166.48,0,0
XPDAUD,D,19841119,000000,165.71,165.71,165.71,165.71,0,0
XPDAUD,D,19841126,000000,162.13,162.13,162.13,162.13,0,0
XPDAUD,D,19841201,000000,163.07,163.07,163.07,163.07,0,0
XPDAUD,D,19841210,000000,159.11,159.11,159.11,159.11,0,0
XPDAUD,D,19841217,000000,150.38,150.38,150.38,150.38,0,0
XPDAUD,D,19841224,000000,151.81,151.81,151.81,151.81,0,0
XPDAUD,D,19850101,000000,152.1,152.1,152.1,152.1,0,0
XPDAUD,D,19850107,000000,134.89,134.89,134.89,134.89,0,0
XPDAUD,D,19850114,000000,140.49,140.49,140.49,140.49,0,0
XPDAUD,D,19850121,000000,149.27,149.27,149.27,149.27,0,0
XPDAUD,D,19850128,000000,151.92,151.92,151.92,151.92,0,0
XPDAUD,D,19850204,000000,150.23,150.23,150.23,150.23,0,0
XPDAUD,D,19850211,000000,164.92,164.92,164.92,164.92,0,0
XPDAUD,D,19850218,000000,171.22,171.22,171.22,171.22,0,0
