<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDMXN,D,19900108,000000,3.6756,3.6756,3.6756,3.6756,0,0
XPDMXN,D,19900115,000000,3.749,3.749,3.749,3.749,0,0
XPDMXN,D,19900122,000000,3.6411,3.6411,3.6411,3.6411,0,0
XPDMXN,D,19900129,000000,3.736,3.736,3.736,3.736,0,0
XPDMXN,D,19900205,000000,3.7196,3.7196,3.7196,3.7196,0,0
XPDMXN,D,19900212,000000,3.7169,3.7169,3.7169,3.7169,0,0
XPDMXN,D,19900219,000000,3.717,3.717,3.717,3.717,0,0
XPDMXN,D,19900226,000000,3.5425,3.5425,3.5425,3.5425,0,0
XPDMXN,D,19900305,000000,3.6354,3.6354,3.6354,3.6354,0,0
XPDMXN,D,19900312,000000,3.6321,3.6321,3.6321,3.6321,0,0
XPDMXN,D,19900319,000000,3.6394,3.6394,3.6394,3.6394,0,0
XPDMXN,D,19900326,000000,3.5697,3.5697,3.5697,3.5697,0,0
XPDMXN,D,19900402,000000,3.5778,3.5778,3.5778,3.5778,0,0
XPDMXN,D,19900409,000000,3.598,3.598,3.598,3.598,0,0
XPDMXN,D,19900417,000000,3.5973,3.5973,3.5973,3.5973,0,0
XPDMXN,D,19900423,000000,3.5699,3.5699,3.5699,3.5699,0,0
XPDMXN,D,19900430,000000,3.2864,3.2864,3.2864,3.2864,0,0
XPDMXN,D,19900507,000000,3.3544,3.3544,3.3544,3.3544,0,0
XPDMXN,D,19900514,000000,3.3614,3.3614,3.3614,3.3614,0,0
XPDMXN,D,19900521,000000,3.4259,3.4259,3.4259,3.4259,0,0
XPDMXN,D,19900528,000000,3.4227,3.4227,3.4227,3.4227,0,0
XPDMXN,D,19900604,000000,3.3594,3.3594,3.3594,3.3594,0,0
XPDMXN,D,19900611,000000,3.354,3.354,3.354,3.354,0,0
XPDMXN,D,19900618,000000,3.2672,3.2672,3.2672,3.2672,0,0
XPDMXN,D,19900625,000000,3.2667,3.2667,3.2667,3.2667,0,0
XPDMXN,D,19900702,000000,3.3296,3.3296,3.3296,3.3296,0,0
XPDMXN,D,19900709,000000,3.3481,3.3481,3.3481,3.3481,0,0
XPDMXN,D,19900716,000000,3.3536,3.3536,3.3536,3.3536,0,0
XPDMXN,D,19900723,000000,3.4136,3.4136,3.4136,3.4136,0,0
XPDMXN,D,19900730,000000,3.3028,3.3028,3.3028,3.3028,0,0
XPDMXN,D,19900806,000000,3.2552,3.2552,3.2552,3.2552,0,0
XPDMXN,D,19900813,000000,3.2568,3.2568,3.2568,3.2568,0,0
XPDMXN,D,19900820,000000,3.3896,3.3896,3.3896,3.3896,0,0
XPDMXN,D,19900827,000000,3.2401,3.2401,3.2401,3.2401,0,0
XPDMXN,D,19900903,000000,3.2421,3.2421,3.2421,3.2421,0,0
XPDMXN,D,19900910,000000,3.0193,3.0193,3.0193,3.0193,0,0
XPDMXN,D,19900917,000000,3.0527,3.0527,3.0527,3.0527,0,0
XPDMXN,D,19900924,000000,2.9451,2.9451,2.9451,2.9451,0,0
XPDMXN,D,19901001,000000,2.7812,2.7812,2.7812,2.7812,0,0
XPDMXN,D,19901008,000000,2.8882,2.8882,2.8882,2.8882,0,0
XPDMXN,D,19901010,000000,2.857,2.857,2.857,2.857,0,0
XPDMXN,D,19901015,000000,2.5713,2.5713,2.5713,2.5713,0,0
XPDMXN,D,19901022,000000,2.7782,2.7782,2.7782,2.7782,0,0
XPDMXN,D,19901029,000000,2.7776,2.7776,2.7776,2.7776,0,0
XPDMXN,D,19901105,000000,2.7436,2.7436,2.7436,2.7436,0,0
XPDMXN,D,19901112,000000,2.6924,2.6924,2.6924,2.6924,0,0
XPDMXN,D,19901119,000000,2.7664,2.7664,2.7664,2.7664,0,0
XPDMXN,D,19901126,000000,2.7703,2.7703,2.7703,2.7703,0,0
XPDMXN,D,19901203,000000,2.6873,2.6873,2.6873,2.6873,0,0
XPDMXN,D,19901210,000000,2.7101,2.7101,2.7101,2.7101,0,0
XPDMXN,D,19901217,000000,2.5763,2.5763,2.5763,2.5763,0,0
XPDMXN,D,19901224,000000,2.5817,2.5817,2.5817,2.5817,0,0
XPDMXN,D,19910102,000000,2.4072,2.4072,2.4072,2.4072,0,0
XPDMXN,D,19910103,000000,2.4325,2.4325,2.4325,2.4325,0,0
XPDMXN,D,19910104,000000,2.4632,2.4632,2.4632,2.4632,0,0
XPDMXN,D,19910107,000000,2.5344,2.5344,2.5344,2.5344,0,0
XPDMXN,D,19910108,000000,2.5218,2.5218,2.5218,2.5218,0,0
XPDMXN,D,19910109,000000,2.5285,2.5285,2.5285,2.5285,0,0
XPDMXN,D,19910110,000000,2.5692,2.5692,2.5692,2.5692,0,0
XPDMXN,D,19910111,000000,2.5771,2.5771,2.5771,2.5771,0,0
XPDMXN,D,19910114,000000,2.6409,2.6409,2.6409,2.6409,0,0
XPDMXN,D,19910115,000000,2.6536,2.6536,2.6536,2.6536,0,0
XPDMXN,D,19910116,000000,2.6693,2.6693,2.6693,2.6693,0,0
XPDMXN,D,19910117,000000,2.6989,2.6989,2.6989,2.6989,0,0
XPDMXN,D,19910118,000000,2.6538,2.6538,2.6538,2.6538,0,0
XPDMXN,D,19910121,000000,2.6702,2.6702,2.6702,2.6702,0,0
XPDMXN,D,19910122,000000,2.6528,2.6528,2.6528,2.6528,0,0
XPDMXN,D,19910123,000000,2.6054,2.6054,2.6054,2.6054,0,0
XPDMXN,D,19910124,000000,2.53,2.53,2.53,2.53,0,0
XPDMXN,D,19910125,000000,2.6314,2.6314,2.6314,2.6314,0,0
XPDMXN,D,19910128,000000,2.5787,2.5787,2.5787,2.5787,0,0
XPDMXN,D,19910129,000000,2.5731,2.5731,2.5731,2.5731,0,0
XPDMXN,D,19910130,000000,2.4585,2.4585,2.4585,2.4585,0,0
XPDMXN,D,19910131,000000,2.5062,2.5062,2.5062,2.5062,0,0
XPDMXN,D,19910201,000000,2.5625,2.5625,2.5625,2.5625,0,0
XPDMXN,D,19910204,000000,2.5463,2.5463,2.5463,2.5463,0,0
XPDMXN,D,19910205,000000,2.496,2.496,2.496,2.496,0,0
XPDMXN,D,19910206,000000,2.4855,2.4855,2.4855,2.4855,0,0
