<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDPLN,D,19840109,000000,1.41,1.41,1.41,1.41,0,0
XPDPLN,D,19840116,000000,1.52,1.52,1.52,1.52,0,0
XPDPLN,D,19840123,000000,1.5,1.5,1.5,1.5,0,0
XPDPLN,D,19840130,000000,1.56,1.56,1.56,1.56,0,0
XPDPLN,D,19840206,000000,1.55,1.55,1.55,1.55,0,0
XPDPLN,D,19840213,000000,1.55,1.55,1.55,1.55,0,0
XPDPLN,D,19840220,000000,1.53,1.53,1.53,1.53,0,0
XPDPLN,D,19840301,000000,1.73,1.73,1.73,1.73,0,0
XPDPLN,D,19840305,000000,1.77,1.77,1.77,1.77,0,0
XPDPLN,D,19840312,000000,1.72,1.72,1.72,1.72,0,0
XPDPLN,D,19840319,000000,1.71,1.71,1.71,1.71,0,0
XPDPLN,D,19840326,000000,1.77,1.77,1.77,1.77,0,0
XPDPLN,D,19840402,000000,1.73,1.73,1.73,1.73,0,0
XPDPLN,D,19840409,000000,1.74,1.74,1.74,1.74,0,0
XPDPLN,D,19840416,000000,1.73,1.73,1.73,1.73,0,0
XPDPLN,D,19840424,000000,1.81,1.81,1.81,1.81,0,0
XPDPLN,D,19840502,000000,1.74,1.74,1.74,1.74,0,0
XPDPLN,D,19840507,000000,1.69,1.69,1.69,1.69,0,0
XPDPLN,D,19840514,000000,1.7,1.7,1.7,1.7,0,0
XPDPLN,D,19840521,000000,1.72,1.72,1.72,1.72,0,0
XPDPLN,D,19840528,000000,1.72,1.72,1.72,1.72,0,0
XPDPLN,D,19840604,000000,1.72,1.72,1.72,1.72,0,0
XPDPLN,D,19840611,000000,1.64,1.64,1.64,1.64,0,0
XPDPLN,D,19840618,000000,1.68,1.68,1.68,1.68,0,0
XPDPLN,D,19840625,000000,1.64,1.64,1.64,1.64,0,0
XPDPLN,D,19840702,000000,1.65,1.65,1.65,1.65,0,0
XPDPLN,D,19840709,000000,1.54,1.54,1.54,1.54,0,0
XPDPLN,D,19840716,000000,1.54,1.54,1.54,1.54,0,0
XPDPLN,D,19840723,000000,1.44,1.44,1.44,1.44,0,0
