<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDSGD,D,19840109,000000,302.97,302.97,302.97,302.97,0,0
XPDSGD,D,19840116,000000,327.66,327.66,327.66,327.66,0,0
XPDSGD,D,19840123,000000,323.4,323.4,323.4,323.4,0,0
XPDSGD,D,19840130,000000,336.17,336.17,336.17,336.17,0,0
XPDSGD,D,19840206,000000,332.77,332.77,332.77,332.77,0,0
XPDSGD,D,19840213,000000,332.77,332.77,332.77,332.77,0,0
XPDSGD,D,19840220,000000,332.99,332.99,332.99,332.99,0,0
XPDSGD,D,19840301,000000,333.61,333.61,333.61,333.61,0,0
XPDSGD,D,19840305,000000,337.38,337.38,337.38,337.38,0,0
XPDSGD,D,19840312,000000,333.19,333.19,333.19,333.19,0,0
XPDSGD,D,19840319,000000,331.12,331.12,331.12,331.12,0,0
XPDSGD,D,19840326,000000,338.67,338.67,338.67,338.67,0,0
XPDSGD,D,19840402,000000,330.13,330.13,330.13,330.13,0,0
XPDSGD,D,19840409,000000,333.49,333.49,333.49,333.49,0,0
XPDSGD,D,19840416,000000,330.54,330.54,330.54,330.54,0,0
XPDSGD,D,19840424,000000,343.78,343.78,343.78,343.78,0,0
XPDSGD,D,19840502,000000,329.37,329.37,329.37,329.37,0,0
XPDSGD,D,19840507,000000,318.97,318.97,318.97,318.97,0,0
XPDSGD,D,19840514,000000,322.7,322.7,322.7,322.7,0,0
XPDSGD,D,19840521,000000,327.08,327.08,327.08,327.08,0,0
XPDSGD,D,19840528,000000,327.08,327.08,327.08,327.08,0,0
XPDSGD,D,19840604,000000,325.04,325.04,325.04,325.04,0,0
XPDSGD,D,19840611,000000,314.2,314.2,314.2,314.2,0,0
XPDSGD,D,19840618,000000,320.71,320.71,320.71,320.71,0,0
XPDSGD,D,19840625,000000,315.53,315.53,315.53,315.53,0,0
XPDSGD,D,19840702,000000,315.27,315.27,315.27,315.27,0,0
XPDSGD,D,19840709,000000,296.23,296.23,296.23,296.23,0,0
XPDSGD,D,19840716,000000,294.32,294.32,294.32,294.32,0,0
XPDSGD,D,19840723,000000,274.31,274.31,274.31,274.31,0,0
XPDSGD,D,19840730,000000,272.71,272.71,272.71,272.71,0,0
XPDSGD,D,19840806,000000,287.11,287.11,287.11,287.11,0,0
XPDSGD,D,19840813,000000,288.95,288.95,288.95,288.95,0,0
XPDSGD,D,19840820,000000,281.32,281.32,281.32,281.32,0,0
XPDSGD,D,19840827,000000,283.04,283.04,283.04,283.04,0,0
XPDSGD,D,19840901,000000,282.86,282.86,282.86,282.86,0,0
XPDSGD,D,19840910,000000,283.21,283.21,283.21,283.21,0,0
XPDSGD,D,19840917,000000,280.17,280.17,280.17,280.17,0,0
XPDSGD,D,19840924,000000,294.29,294.29,294.29,294.29,0,0
XPDSGD,D,19841001,000000,294.29,294.29,294.29,294.29,0,0
XPDSGD,D,19841008,000000,292.89,292.89,292.89,292.89,0,0
XPDSGD,D,19841015,000000,301.31,301.31,301.31,301.31,0,0
XPDSGD,D,19841022,000000,299.08,299.08,299.08,299.08,0,0
XPDSGD,D,19841029,000000,298.11,298.11,298.11,298.11,0,0
XPDSGD,D,19841105,000000,321.14,321.14,321.14,321.14,0,0
XPDSGD,D,19841112,000000,308.71,308.71,308.71,308.71,0,0
XPDSGD,D,19841119,000000,307.63,307.63,307.63,307.63,0,0
XPDSGD,D,19841126,000000,301.22,301.22,301.22,301.22,0,0
XPDSGD,D,19841201,000000,301.01,301.01,301.01,301.01,0,0
XPDSGD,D,19841210,000000,295.37,295.37,295.37,295.37,0,0
XPDSGD,D,19841217,000000,276.37,276.37,276.37,276.37,0,0
XPDSGD,D,19841224,000000,276.37,276.37,276.37,276.37,0,0
XPDSGD,D,19850101,000000,276.44,276.44,276.44,276.44,0,0
XPDSGD,D,19850107,000000,243.36,243.36,243.36,243.36,0,0
XPDSGD,D,19850114,000000,253.29,253.29,253.29,253.29,0,0
XPDSGD,D,19850121,000000,268.75,268.75,268.75,268.75,0,0
XPDSGD,D,19850128,000000,272.93,272.93,272.93,272.93,0,0
XPDSGD,D,19850204,000000,273.76,273.76,273.76,273.76,0,0
XPDSGD,D,19850211,000000,291.33,291.33,291.33,291.33,0,0
XPDSGD,D,19850218,000000,291.52,291.52,291.52,291.52,0,0
XPDSGD,D,19850225,000000,248.29,248.29,248.29,248.29,0,0
XPDSGD,D,19850304,000000,250.84,250.84,250.84,250.84,0,0
XPDSGD,D,19850311,000000,246.57,246.57,246.57,246.57,0,0
XPDSGD,D,19850318,000000,254.53,254.53,254.53,254.53,0,0
XPDSGD,D,19850325,000000,252.09,252.09,252.09,252.09,0,0
XPDSGD,D,19850329,000000,256.82,256.82,256.82,256.82,0,0
XPDSGD,D,19850401,000000,245.95,245.95,245.95,245.95,0,0
XPDSGD,D,19850409,000000,254.53,254.53,254.53,254.53,0,0
XPDSGD,D,19850415,000000,252.23,252.23,252.23,252.23,0,0
XPDSGD,D,19850422,000000,241.63,241.63,241.63,241.63,0,0
XPDSGD,D,19850429,000000,252.41,252.41,252.41,252.41,0,0
XPDSGD,D,19850506,000000,246.47,246.47,246.47,246.47,0,0
XPDSGD,D,19850513,000000,251.8,251.8,251.8,251.8,0,0
XPDSGD,D,19850520,000000,236.13,236.13,236.13,236.13,0,0
XPDSGD,D,19850527,000000,236.13,236.13,236.13,236.13,0,0
XPDSGD,D,19850601,000000,236.3,236.3,236.3,236.3,0,0
XPDSGD,D,19850610,000000,211.48,211.48,211.48,211.48,0,0
XPDSGD,D,19850617,000000,218.9,218.9,218.9,218.9,0,0
XPDSGD,D,19850624,000000,219.86,219.86,219.86,219.86,0,0
XPDSGD,D,19850701,000000,203.24,203.24,203.24,203.24,0,0
XPDSGD,D,19850708,000000,209.26,209.26,209.26,209.26,0,0
XPDSGD,D,19850715,000000,207.79,207.79,207.79,207.79,0,0
XPDSGD,D,19850723,000000,207.18,207.18,207.18,207.18,0,0
XPDSGD,D,19850729,000000,212.82,212.82,212.82,212.82,0,0
XPDSGD,D,19850805,000000,220.47,220.47,220.47,220.47,0,0
XPDSGD,D,19850812,000000,223.38,223.38,223.38,223.38,0,0
XPDSGD,D,19850819,000000,241.6,241.6,241.6,241.6,0,0
XPDSGD,D,19850826,000000,233.07,233.07,233.07,233.07,0,0
XPDSGD,D,19850902,000000,233.07,233.07,233.07,233.07,0,0
XPDSGD,D,19850909,000000,223.77,223.77,223.77,223.77,0,0
XPDSGD,D,19850916,000000,219.03,219.03,219.03,219.03,0,0
XPDSGD,D,19850923,000000,220.51,220.51,220.51,220.51,0,0
XPDSGD,D,19850930,000000,210.66,210.66,210.66,210.66,0,0
XPDSGD,D,19851007,000000,217.49,217.49,217.49,217.49,0,0
XPDSGD,D,19851014,000000,217.81,217.81,217.81,217.81,0,0
XPDSGD,D,19851021,000000,219.25,219.25,219.25,219.25,0,0
XPDSGD,D,19851028,000000,223.18,223.18,223.18,223.18,0,0
XPDSGD,D,19851104,000000,215.37,215.37,215.37,215.37,0,0
XPDSGD,D,19851111,000000,209.45,209.45,209.45,209.45,0,0
XPDSGD,D,19851118,000000,213.47,213.47,213.47,213.47,0,0
XPDSGD,D,19851125,000000,223.44,223.44,223.44,223.44,0,0
XPDSGD,D,19851202,000000,219.76,219.76,219.76,219.76,0,0
XPDSGD,D,19851209,000000,205.12,205.12,205.12,205.12,0,0
XPDSGD,D,19851216,000000,204.06,204.06,204.06,204.06,0,0
XPDSGD,D,19851223,000000,200.09,200.09,200.09,200.09,0,0
XPDSGD,D,19860101,000000,200.09,200.09,200.09,200.09,0,0
XPDSGD,D,19860106,000000,207.16,207.16,207.16,207.16,0,0
XPDSGD,D,19860113,000000,217.3,217.3,217.3,217.3,0,0
XPDSGD,D,19860120,000000,222.2,222.2,222.2,222.2,0,0
XPDSGD,D,19860127,000000,225.61,225.61,225.61,225.61,0,0
XPDSGD,D,19860201,000000,225.6,225.6,225.6,225.6,0,0
XPDSGD,D,19860210,000000,212.34,212.34,212.34,212.34,0,0
XPDSGD,D,19860217,000000,212.15,212.15,212.15,212.15,0,0
XPDSGD,D,19860224,000000,236.43,236.43,236.43,236.43,0,0
XPDSGD,D,19860301,000000,236.44,236.44,236.44,236.44,0,0
XPDSGD,D,19860303,000000,231.45,231.45,231.45,231.45,0,0
XPDSGD,D,19860310,000000,233.86,233.86,233.86,233.86,0,0
XPDSGD,D,19860317,000000,244.66,244.66,244.66,244.66,0,0
XPDSGD,D,19860318,000000,242.83,242.83,242.83,242.83,0,0
XPDSGD,D,19860324,000000,242.6,242.6,242.6,242.6,0,0
XPDSGD,D,19860401,000000,215.99,215.99,215.99,215.99,0,0
XPDSGD,D,19860407,000000,236.66,236.66,236.66,236.66,0,0
XPDSGD,D,19860409,000000,234.85,234.85,234.85,234.85,0,0
XPDSGD,D,19860414,000000,229.64,229.64,229.64,229.64,0,0
XPDSGD,D,19860421,000000,233.81,233.81,233.81,233.81,0,0
XPDSGD,D,19860428,000000,238.98,238.98,238.98,238.98,0,0
XPDSGD,D,19860505,000000,238.65,238.65,238.65,238.65,0,0
XPDSGD,D,19860512,000000,240.66,240.66,240.66,240.66,0,0
XPDSGD,D,19860519,000000,235.53,235.53,235.53,235.53,0,0
XPDSGD,D,19860526,000000,235.36,235.36,235.36,235.36,0,0
XPDSGD,D,19860602,000000,245.25,245.25,245.25,245.25,0,0
XPDSGD,D,19860609,000000,252.35,252.35,252.35,252.35,0,0
XPDSGD,D,19860616,000000,245.5,245.5,245.5,245.5,0,0
XPDSGD,D,19860623,000000,244.94,244.94,244.94,244.94,0,0
XPDSGD,D,19860630,000000,241.15,241.15,241.15,241.15,0,0
XPDSGD,D,19860707,000000,240.43,240.43,240.43,240.43,0,0
XPDSGD,D,19860714,000000,243.37,243.37,243.37,243.37,0,0
XPDSGD,D,19860721,000000,245.89,245.89,245.89,245.89,0,0
XPDSGD,D,19860728,000000,243.52,243.52,243.52,243.52,0,0
XPDSGD,D,19860804,000000,247.13,247.13,247.13,247.13,0,0
XPDSGD,D,19860811,000000,284.36,284.36,284.36,284.36,0,0
XPDSGD,D,19860818,000000,275.45,275.45,275.45,275.45,0,0
XPDSGD,D,19860825,000000,298.32,298.32,298.32,298.32,0,0
XPDSGD,D,19860901,000000,298.39,298.39,298.39,298.39,0,0
XPDSGD,D,19860908,000000,314.58,314.58,314.58,314.58,0,0
XPDSGD,D,19860915,000000,302.38,302.38,302.38,302.38,0,0
XPDSGD,D,19860922,000000,316.83,316.83,316.83,316.83,0,0
XPDSGD,D,19860929,000000,290.77,290.77,290.77,290.77,0,0
XPDSGD,D,19861006,000000,309.11,309.11,309.11,309.11,0,0
XPDSGD,D,19861013,000000,301.21,301.21,301.21,301.21,0,0
XPDSGD,D,19861020,000000,300.13,300.13,300.13,300.13,0,0
XPDSGD,D,19861027,000000,283.01,283.01,283.01,283.01,0,0
XPDSGD,D,19861101,000000,282.75,282.75,282.75,282.75,0,0
XPDSGD,D,19861110,000000,281.36,281.36,281.36,281.36,0,0
XPDSGD,D,19861117,000000,254.17,254.17,254.17,254.17,0,0
XPDSGD,D,19861124,000000,254.89,254.89,254.89,254.89,0,0
XPDSGD,D,19861201,000000,257.3,257.3,257.3,257.3,0,0
XPDSGD,D,19861208,000000,253.91,253.91,253.91,253.91,0,0
XPDSGD,D,19861215,000000,257.14,257.14,257.14,257.14,0,0
XPDSGD,D,19861222,000000,255.58,255.58,255.58,255.58,0,0
XPDSGD,D,19861231,000000,256.68,256.68,256.68,256.68,0,0
XPDSGD,D,19870112,000000,271.17,271.17,271.17,271.17,0,0
XPDSGD,D,19870119,000000,275.42,275.42,275.42,275.42,0,0
XPDSGD,D,19870126,000000,262.83,262.83,262.83,262.83,0,0
XPDSGD,D,19870201,000000,262.69,262.69,262.69,262.69,0,0
XPDSGD,D,19870209,000000,266.46,266.46,266.46,266.46,0,0
XPDSGD,D,19870216,000000,266.38,266.38,266.38,266.38,0,0
XPDSGD,D,19870223,000000,252.64,252.64,252.64,252.64,0,0
XPDSGD,D,19870302,000000,250.84,250.84,250.84,250.84,0,0
XPDSGD,D,19870309,000000,263.81,263.81,263.81,263.81,0,0
XPDSGD,D,19870316,000000,263.05,263.05,263.05,263.05,0,0
XPDSGD,D,19870323,000000,274.04,274.04,274.04,274.04,0,0
XPDSGD,D,19870330,000000,276.16,276.16,276.16,276.16,0,0
XPDSGD,D,19870406,000000,278,278,278,278,0,0
XPDSGD,D,19870413,000000,290.15,290.15,290.15,290.15,0,0
XPDSGD,D,19870421,000000,300.23,300.23,300.23,300.23,0,0
XPDSGD,D,19870427,000000,301.77,301.77,301.77,301.77,0,0
XPDSGD,D,19870504,000000,320.81,320.81,320.81,320.81,0,0
XPDSGD,D,19870511,000000,311.35,311.35,311.35,311.35,0,0
XPDSGD,D,19870518,000000,312.81,312.81,312.81,312.81,0,0
XPDSGD,D,19870525,000000,312.89,312.89,312.89,312.89,0,0
XPDSGD,D,19870601,000000,289.89,289.89,289.89,289.89,0,0
XPDSGD,D,19870608,000000,288.47,288.47,288.47,288.47,0,0
XPDSGD,D,19870615,000000,292.31,292.31,292.31,292.31,0,0
XPDSGD,D,19870622,000000,281.9,281.9,281.9,281.9,0,0
XPDSGD,D,19870629,000000,286.77,286.77,286.77,286.77,0,0
XPDSGD,D,19870706,000000,299.34,299.34,299.34,299.34,0,0
XPDSGD,D,19870713,000000,291.68,291.68,291.68,291.68,0,0
XPDSGD,D,19870720,000000,294.42,294.42,294.42,294.42,0,0
XPDSGD,D,19870727,000000,299.22,299.22,299.22,299.22,0,0
XPDSGD,D,19870803,000000,311.59,311.59,311.59,311.59,0,0
XPDSGD,D,19870810,000000,298.72,298.72,298.72,298.72,0,0
XPDSGD,D,19870817,000000,288.9,288.9,288.9,288.9,0,0
XPDSGD,D,19870824,000000,293.27,293.27,293.27,293.27,0,0
XPDSGD,D,19870831,000000,284.74,284.74,284.74,284.74,0,0
XPDSGD,D,19870907,000000,284.63,284.63,284.63,284.63,0,0
XPDSGD,D,19870914,000000,286.58,286.58,286.58,286.58,0,0
XPDSGD,D,19870921,000000,285.14,285.14,285.14,285.14,0,0
XPDSGD,D,19870928,000000,283.45,283.45,283.45,283.45,0,0
XPDSGD,D,19871005,000000,280.83,280.83,280.83,280.83,0,0
XPDSGD,D,19871012,000000,283.35,283.35,283.35,283.35,0,0
XPDSGD,D,19871019,000000,295.17,295.17,295.17,295.17,0,0
XPDSGD,D,19871026,000000,256.99,256.99,256.99,256.99,0,0
XPDSGD,D,19871102,000000,238.9,238.9,238.9,238.9,0,0
XPDSGD,D,19871109,000000,223.93,223.93,223.93,223.93,0,0
XPDSGD,D,19871116,000000,227.95,227.95,227.95,227.95,0,0
XPDSGD,D,19871123,000000,232.23,232.23,232.23,232.23,0,0
XPDSGD,D,19871130,000000,252.31,252.31,252.31,252.31,0,0
XPDSGD,D,19871207,000000,229.7,229.7,229.7,229.7,0,0
XPDSGD,D,19871214,000000,242.36,242.36,242.36,242.36,0,0
