<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDXAG,D,19840109,000000,17.883,17.883,17.883,17.883,0,0
XPDXAG,D,19840116,000000,18.861,18.861,18.861,18.861,0,0
XPDXAG,D,19840123,000000,18.706,18.706,18.706,18.706,0,0
XPDXAG,D,19840130,000000,18.753,18.753,18.753,18.753,0,0
XPDXAG,D,19840206,000000,17.741,17.741,17.741,17.741,0,0
XPDXAG,D,19840213,000000,17.883,17.883,17.883,17.883,0,0
XPDXAG,D,19840220,000000,17.884,17.884,17.884,17.884,0,0
XPDXAG,D,19840301,000000,16.014,16.014,16.014,16.014,0,0
XPDXAG,D,19840305,000000,15.916,15.916,15.916,15.916,0,0
XPDXAG,D,19840312,000000,16.242,16.242,16.242,16.242,0,0
XPDXAG,D,19840319,000000,16.309,16.309,16.309,16.309,0,0
XPDXAG,D,19840326,000000,16.909,16.909,16.909,16.909,0,0
XPDXAG,D,19840402,000000,16.851,16.851,16.851,16.851,0,0
XPDXAG,D,19840409,000000,17.121,17.121,17.121,17.121,0,0
XPDXAG,D,19840416,000000,17.22,17.22,17.22,17.22,0,0
XPDXAG,D,19840424,000000,17.767,17.767,17.767,17.767,0,0
XPDXAG,D,19840502,000000,17.115,17.115,17.115,17.115,0,0
XPDXAG,D,19840507,000000,17.405,17.405,17.405,17.405,0,0
XPDXAG,D,19840514,000000,17.131,17.131,17.131,17.131,0,0
XPDXAG,D,19840521,000000,16.815,16.815,16.815,16.815,0,0
XPDXAG,D,19840528,000000,16.815,16.815,16.815,16.815,0,0
XPDXAG,D,19840604,000000,16.388,16.388,16.388,16.388,0,0
XPDXAG,D,19840611,000000,17.177,17.177,17.177,17.177,0,0
XPDXAG,D,19840618,000000,17.544,17.544,17.544,17.544,0,0
XPDXAG,D,19840625,000000,17.736,17.736,17.736,17.736,0,0
XPDXAG,D,19840702,000000,17.456,17.456,17.456,17.456,0,0
XPDXAG,D,19840709,000000,17.711,17.711,17.711,17.711,0,0
XPDXAG,D,19840716,000000,18.118,18.118,18.118,18.118,0,0
