<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTBGN,D,19951023,000000,27.82,27.82,27.82,27.82,0,0
XPTBGN,D,19951024,000000,27.85,27.85,27.85,27.85,0,0
XPTBGN,D,19951025,000000,28.03,28.03,28.03,28.03,0,0
XPTBGN,D,19951026,000000,27.74,27.74,27.74,27.74,0,0
XPTBGN,D,19951027,000000,27.46,27.46,27.46,27.46,0,0
XPTBGN,D,19951030,000000,27.62,27.62,27.62,27.62,0,0
XPTBGN,D,19951031,000000,27.8,27.8,27.8,27.8,0,0
XPTBGN,D,19951102,000000,27.69,27.69,27.69,27.69,0,0
XPTBGN,D,19951103,000000,27.76,27.76,27.76,27.76,0,0
XPTBGN,D,19951106,000000,27.59,27.59,27.59,27.59,0,0
XPTBGN,D,19951107,000000,28.1,28.1,28.1,28.1,0,0
XPTBGN,D,19951108,000000,27.99,27.99,27.99,27.99,0,0
XPTBGN,D,19951109,000000,28.45,28.45,28.45,28.45,0,0
XPTBGN,D,19951110,000000,28.74,28.74,28.74,28.74,0,0
XPTBGN,D,19951113,000000,28.4,28.4,28.4,28.4,0,0
XPTBGN,D,19951114,000000,28.33,28.33,28.33,28.33,0,0
XPTBGN,D,19951115,000000,28.44,28.44,28.44,28.44,0,0
XPTBGN,D,19951116,000000,28.26,28.26,28.26,28.26,0,0
XPTBGN,D,19951117,000000,28.5,28.5,28.5,28.5,0,0
XPTBGN,D,19951120,000000,28.5,28.5,28.5,28.5,0,0
XPTBGN,D,19951121,000000,28.43,28.43,28.43,28.43,0,0
XPTBGN,D,19951122,000000,28.27,28.27,28.27,28.27,0,0
XPTBGN,D,19951123,000000,28.32,28.32,28.32,28.32,0,0
XPTBGN,D,19951124,000000,28.36,28.36,28.36,28.36,0,0
XPTBGN,D,19951127,000000,28.6,28.6,28.6,28.6,0,0
XPTBGN,D,19951128,000000,28.67,28.67,28.67,28.67,0,0
XPTBGN,D,19951129,000000,28.55,28.55,28.55,28.55,0,0
XPTBGN,D,19951130,000000,28.48,28.48,28.48,28.48,0,0
XPTBGN,D,19951201,000000,28.38,28.38,28.38,28.38,0,0
XPTBGN,D,19951204,000000,28.5,28.5,28.5,28.5,0,0
XPTBGN,D,19951205,000000,28.72,28.72,28.72,28.72,0,0
XPTBGN,D,19951206,000000,28.65,28.65,28.65,28.65,0,0
XPTBGN,D,19951207,000000,28.68,28.68,28.68,28.68,0,0
XPTBGN,D,19951208,000000,29,29,29,29,0,0
XPTBGN,D,19951211,000000,28.98,28.98,28.98,28.98,0,0
XPTBGN,D,19951212,000000,28.76,28.76,28.76,28.76,0,0
XPTBGN,D,19951213,000000,28.37,28.37,28.37,28.37,0,0
XPTBGN,D,19951214,000000,28.36,28.36,28.36,28.36,0,0
XPTBGN,D,19951215,000000,28.23,28.23,28.23,28.23,0,0
XPTBGN,D,19951218,000000,28.5,28.5,28.5,28.5,0,0
XPTBGN,D,19951219,000000,28.37,28.37,28.37,28.37,0,0
XPTBGN,D,19951220,000000,28.38,28.38,28.38,28.38,0,0
XPTBGN,D,19951221,000000,28.48,28.48,28.48,28.48,0,0
XPTBGN,D,19951222,000000,28.44,28.44,28.44,28.44,0,0
XPTBGN,D,19951227,000000,28.38,28.38,28.38,28.38,0,0
XPTBGN,D,19951228,000000,28.07,28.07,28.07,28.07,0,0
XPTBGN,D,19951229,000000,28.09,28.09,28.09,28.09,0,0
XPTBGN,D,19960102,000000,28.55,28.55,28.55,28.55,0,0
XPTBGN,D,19960103,000000,29.04,29.04,29.04,29.04,0,0
XPTBGN,D,19960104,000000,29.23,29.23,29.23,29.23,0,0
XPTBGN,D,19960105,000000,29.95,29.95,29.95,29.95,0,0
XPTBGN,D,19960108,000000,30.11,30.11,30.11,30.11,0,0
XPTBGN,D,19960109,000000,29.9,29.9,29.9,29.9,0,0
XPTBGN,D,19960110,000000,30.04,30.04,30.04,30.04,0,0
XPTBGN,D,19960111,000000,29.93,29.93,29.93,29.93,0,0
XPTBGN,D,19960112,000000,29.88,29.88,29.88,29.88,0,0
